iteration,ns
0,58098610361
1,58127413872
2,58063912912
3,58040643188
4,58497149712
5,58156355204
6,58065117522
7,59428322864
8,58016870137
9,60434482190
10,58530284213
11,58176268473
12,58176106037
13,58085675011
14,58226235736
15,59097750372
16,58090291943
17,58086663415
18,58274617778
19,58204187835
20,58052538167
21,57998404778
22,58168307979
23,58178787921
24,58175960313
25,58124844069
26,58225633980
27,58060374459
28,58180764392
29,58179205068
30,58081421125
31,58054453271
32,58013228918
33,58008011159
34,58219180012
35,58150009772
36,58192084367
