iteration,operation,ns
1,1,572127
1,2,3886041
1,3,363243273
1,4,182885811
1,5,298480
1,6,154686
1,7,147555
1,8,148831
1,9,347129352
1,10,210209
1,11,142474
1,12,144364
1,13,136835
1,14,252267
1,15,96947
1,16,224688277
1,17,229118633
1,18,224137
1,19,142864
1,20,1362785
1,21,155854
1,22,96148
1,23,94725
1,24,1358628
1,25,190226
1,26,120497
1,27,65265
1,28,89680
1,29,1960119
1,30,1606506
1,31,107457
1,32,78504
1,33,73423
1,34,74989
1,35,78141
1,36,75679
1,37,74261
1,38,90692
1,39,82423
1,40,71795
1,41,82156
1,42,3409039
1,43,353443195
1,44,142397
1,45,110330
1,46,3312694
1,47,127833
1,48,1309038
1,49,130511
1,50,176486191
1,51,258275
1,52,202971
1,53,89334
1,54,88975
1,55,82480
1,56,72033
1,57,72198
1,58,78365
1,59,4670456
1,60,117181
1,61,88855
1,62,173982776
1,63,363326600
1,64,154499
1,65,233707
1,66,125956
1,67,103139
1,68,176673
1,69,90546
1,70,79403
1,71,213987
1,72,2689935
1,73,352873083
1,74,161554
1,75,8979313
1,76,141961
1,77,145320
1,78,124312
1,79,105823
1,80,166610
1,81,176138786
1,82,309390
1,83,450984292
1,84,197613
1,85,84478
1,86,132772
1,87,109007
1,88,89450
1,89,71808
1,90,50296
1,91,47593
1,92,51313
1,93,82700
1,94,70391
1,95,61827
1,96,79455
1,97,54300
1,98,348795949
1,99,178362946
1,100,166107
1,101,156485
1,102,88595
1,103,85385
1,104,841282
1,105,150032
1,106,62306
1,107,55034
1,108,126992
1,109,83909
1,110,56523
1,111,79564
1,112,93123
1,113,79553
1,114,83084
1,115,64507
1,116,81725
1,117,5893338
1,118,67141
1,119,96065
1,120,76483
1,121,348518669
1,122,144378
1,123,130177
1,124,121884
1,125,143553
1,126,98051
1,127,133364
1,128,3762908
1,129,450630368
1,130,114093
1,131,448910113
1,132,256041
1,133,150216
1,134,125877
1,135,120660
1,136,111518
1,137,81168
1,138,78336
1,139,79552
1,140,51834
1,141,119283
1,142,83048
1,143,89635
1,144,182161971
1,145,178655
1,146,119149
1,147,82694
1,148,166876
1,149,117510
1,150,96933
1,151,97508
1,152,130576
1,153,114044
1,154,346809263
1,155,297429
1,156,119986
1,157,98240
1,158,145796
1,159,4673880
1,160,114846
1,161,109964
1,162,128878
1,163,227780602
1,164,243939
1,165,114346
1,166,174867
1,167,145361
1,168,120940
1,169,454293643
1,170,187089
1,171,178956792
1,172,353100140
1,173,251441
1,174,124534
1,175,114234
1,176,169460
1,177,363715861
1,178,109703
1,179,328027
1,180,91626
1,181,90496
1,182,84070
1,183,101324
1,184,72269
1,185,58883
1,186,75140
1,187,76494
1,188,58009
1,189,86626
1,190,73961
1,191,53207
1,192,53817
1,193,72034
1,194,103919
1,195,73876
1,196,71961
1,197,105130
1,198,71631
1,199,72359
1,200,55959
1,201,53040
1,202,7449288
1,203,125446
1,204,80393
1,205,76602
1,206,173776946
1,207,155796
1,208,99795
1,209,165862
1,210,174557
1,211,351946908
1,212,143169
1,213,448424370
1,214,270853
1,215,138350
1,216,127429
1,217,148054
1,218,101839
1,219,71139
1,220,54212
1,221,51916
1,222,78501
1,223,50036
1,224,1997293
1,225,64301
1,226,448748774
1,227,185151
1,228,327248
1,229,6869760
1,230,357697513
1,231,181475355
1,232,235236
1,233,356004733
1,234,223794
1,235,649760
1,236,153242
1,237,103895
1,238,110440
1,239,71828
1,240,454858889
1,241,136591
1,242,80723
1,243,140577
1,244,178822
1,245,113546
1,246,78615
1,247,71027
1,248,80946
1,249,73683
1,250,49793
1,251,48349
1,252,93322
1,253,70590
1,254,53556
1,255,75202
1,256,362213759
1,257,146288
1,258,100416
1,259,120878
1,260,115765
1,261,115185
1,262,52866
1,263,449687727
1,264,129146
1,265,152484
1,266,2828253
1,267,156662
1,268,84469
1,269,102692
1,270,76517
1,271,177144507
1,272,185224
1,273,162919
1,274,107076
1,275,87684
1,276,77270
1,277,83044
1,278,181890635
1,279,346144973
1,280,189983
1,281,125451
1,282,5824963
1,283,131849
1,284,111371
1,285,455330595
1,286,346781049
1,287,163886
1,288,276351
1,289,4971568
1,290,183728
1,291,105583
1,292,92816
1,293,360177825
1,294,4511525
1,295,192529
1,296,112168
1,297,3416970
1,298,362364835
1,299,135234
