iteration,operation,ns
1,1,558421
1,2,199566
1,3,191255
1,4,191591
1,5,178493
1,6,148265
1,7,145555
1,8,147909
1,9,143209
1,10,185033
1,11,148855
1,12,154699
1,13,160945
1,14,1234241993
1,15,263030
1,16,128421
1,17,142093
1,18,219374
1,19,141031
1,20,143852
1,21,1224161199
1,22,1228039608
1,23,294204
1,24,137614
1,25,130777
1,26,1232814841
1,27,281875
1,28,140280
1,29,130747
1,30,128596
1,31,188767
1,32,126589
1,33,129464
1,34,130580
1,35,158436
1,36,1226877392
1,37,266484
1,38,136657
1,39,130501
1,40,159262
1,41,1224035577
1,42,1223302786
1,43,309824
1,44,149176
1,45,1225744931
1,46,353733
1,47,178941
1,48,137047
1,49,139244
1,50,140443
1,51,142627
1,52,129912
1,53,1223280584
1,54,409862
1,55,143067
1,56,133400
1,57,1220607162
1,58,339659
1,59,1231061339
1,60,1226197949
1,61,259098
1,62,132247
1,63,126203
1,64,116442
1,65,125837
1,66,122689
1,67,113723
1,68,113213
1,69,113596
1,70,117533
1,71,101014
1,72,104570
1,73,108235
1,74,1222905969
1,75,1226397530
1,76,258927
1,77,160852
1,78,128003
1,79,1238706313
1,80,291416
1,81,147271
1,82,158405
1,83,130298
1,84,186506
1,85,130543
1,86,127510
1,87,129930
1,88,128323
1,89,122390
1,90,103903
1,91,117626
1,92,102980
1,93,1225715131
1,94,340651
1,95,124101
1,96,123918
1,97,1229854982
1,98,271674
1,99,130378
1,100,133655
2,1,521721
2,2,1231706762
2,3,283091
2,4,141632
2,5,124545
2,6,125843
2,7,1224465898
2,8,263351
2,9,133553
2,10,149101
2,11,122376
2,12,150719
2,13,124018
2,14,131080
2,15,124203
2,16,153502
2,17,134139
2,18,135468
2,19,111481
2,20,121455
2,21,179279
2,22,105762
2,23,1226378468
2,24,262589
2,25,159545
2,26,137449
2,27,128836
2,28,1227370147
2,29,267243
2,30,134326
2,31,1223223778
2,32,367010
2,33,170547
2,34,125985
2,35,124196
2,36,124742
2,37,1226611075
2,38,312909
2,39,122285
2,40,124003
2,41,1231855397
2,42,255756
2,43,120513
2,44,116183
2,45,114175
2,46,1218923325
2,47,1224855799
2,48,245674
2,49,121409
2,50,113510
2,51,1220551618
2,52,255366
2,53,123090
2,54,120298
2,55,163072
2,56,153987
2,57,163497
2,58,129417
2,59,117956
2,60,1225219741
2,61,291002
2,62,1225952383
2,63,340994
2,64,127602
2,65,118543
2,66,1226555387
2,67,270321
2,68,1226878021
2,69,1224611334
2,70,235540
2,71,1229011192
2,72,281760
2,73,116365
2,74,109569
2,75,122334
2,76,108775
2,77,107912
2,78,107641
2,79,128753
2,80,4115485
2,81,1222153709
2,82,1224965410
2,83,274727
2,84,120392
2,85,111316
2,86,115759
2,87,107125
2,88,1225796514
2,89,235531
2,90,114696
2,91,109284
2,92,121692
2,93,114779
2,94,1240604712
2,95,241266
2,96,122617
2,97,113279
2,98,117866
2,99,109666
2,100,108834
3,1,628299
3,2,160847
3,3,140412
3,4,149114
3,5,153277
3,6,110457
3,7,1261741621
3,8,248729
3,9,147660
3,10,115432
3,11,149382
3,12,108361
