iteration,operation,ns
1,1,188030042
1,2,1031056
1,3,547449
1,4,183340771
1,5,369727
1,6,212618
1,7,201525
1,8,216353
1,9,184187008
1,10,371655
1,11,257080
1,12,546988
1,13,214811
1,14,239844
1,15,197656
1,16,193699
1,17,200559
1,18,186568825
1,19,439437
1,20,229975
1,21,185837451
1,22,354681
1,23,183816201
1,24,184846694
1,25,417547
1,26,248714
1,27,298879
1,28,231976
1,29,687387
1,30,185238968
1,31,472188
1,32,216614
1,33,183856629
1,34,387374
1,35,183545856
1,36,188615169
1,37,329923
1,38,2033646
1,39,207600
1,40,184935234
1,41,447558
1,42,217708
1,43,189393
1,44,224484
1,45,187300
1,46,179871
1,47,178558
1,48,183861
1,49,192035737
1,50,631930
1,51,187321926
1,52,1389107
1,53,210394
1,54,188701
1,55,193295
1,56,200724
1,57,188250
1,58,187579
1,59,208137
1,60,183278
1,61,196898
1,62,171813
1,63,2410338
1,64,211467
1,65,202093
1,66,189488
1,67,185171437
1,68,532712
1,69,207171
1,70,196790
1,71,178932
1,72,185774
1,73,195246
1,74,177317
1,75,208021
1,76,182348
1,77,180980
1,78,187339357
1,79,341258
1,80,221749
1,81,187243444
1,82,402953
1,83,188424383
1,84,354970
1,85,188700515
1,86,183800674
1,87,512870
1,88,183227521
1,89,261543
1,90,184671797
1,91,460015
1,92,183377020
1,93,186183970
1,94,507288
1,95,223262
1,96,200557
1,97,183355
1,98,183443
1,99,183611
1,100,185287620
2,1,191519262
2,2,614412
2,3,215173
2,4,204412
2,5,183430302
2,6,343003
2,7,198215
2,8,197666
2,9,173056
2,10,185191710
2,11,353836
2,12,183266869
2,13,555489
2,14,207263
2,15,183336
2,16,169381
2,17,196176
2,18,597471
2,19,200272
2,20,183279623
2,21,328963
2,22,178956
2,23,189034
2,24,183660103
2,25,378808
2,26,199528
2,27,179109
2,28,171233
2,29,190199
2,30,183028880
2,31,333811
2,32,178733
2,33,175240
2,34,184584422
2,35,185136102
2,36,570851
2,37,183753537
2,38,562492
2,39,197871
2,40,185096408
2,41,182826419
2,42,483040
2,43,184075
2,44,173717
2,45,169576
2,46,171156
2,47,182507
2,48,163261
2,49,161282
2,50,176935
2,51,176267
2,52,176968
2,53,174086
2,54,162819
2,55,163751
2,56,175487
2,57,152459
2,58,146332
2,59,187190965
2,60,280679
2,61,180849
2,62,171082
2,63,177883
2,64,169181
2,65,169304
2,66,165271
2,67,186193643
2,68,321573
2,69,189701
2,70,181486
2,71,181655
2,72,170297
2,73,162554
2,74,183383958
2,75,298496
2,76,189662
2,77,183704874
2,78,326011
2,79,181892
2,80,186216
2,81,214434
2,82,201888
2,83,182919684
2,84,298113
2,85,216542
2,86,184061913
2,87,341990
2,88,176079
2,89,190423
2,90,169032
2,91,162598
2,92,161663
2,93,165886
2,94,1455847
2,95,198820
2,96,188696834
2,97,349048
2,98,183963113
2,99,313112
2,100,215462
3,1,357745
3,2,254896
3,3,185886877
3,4,380365
3,5,232673
3,6,191584067
3,7,501121
3,8,332128
3,9,180343
3,10,201442
3,11,175501
3,12,151085
3,13,138403
3,14,183536528
3,15,323439
3,16,182551544
3,17,240759
3,18,164906
3,19,194983
3,20,174683
3,21,168054
3,22,182561658
3,23,220595
3,24,184844
3,25,171499
3,26,155194
3,27,170958
3,28,168356
3,29,148530
3,30,165525
3,31,163854
3,32,167840
3,33,182931289
3,34,220443
3,35,182529453
3,36,277222
3,37,174337
3,38,538777
3,39,191165
3,40,176468
3,41,163630
3,42,156944
3,43,161682
3,44,159157
3,45,168063
3,46,186516070
3,47,182851275
3,48,182739717
3,49,182472027
3,50,274689
3,51,185511969
3,52,312212
3,53,184610531
3,54,318645
3,55,184342013
3,56,285376
3,57,184111
3,58,172310
3,59,179490
3,60,183953754
3,61,187351489
3,62,184496968
3,63,485632
3,64,183185179
3,65,184258270
3,66,183958058
3,67,415763
3,68,188091315
3,69,509499
3,70,157315
3,71,147532
3,72,167470
3,73,188098074
3,74,319809
3,75,182660151
3,76,454564
3,77,182960994
3,78,318709
3,79,182009
3,80,183853729
3,81,572775
3,82,191615
3,83,176039
3,84,213206
3,85,172080
3,86,173594
3,87,161493
3,88,149454
3,89,153749
3,90,183009497
3,91,203445
3,92,155975
3,93,174412
3,94,175082
3,95,165477
3,96,155320
3,97,177425
3,98,155200
3,99,183581609
3,100,189413206
4,1,395429
4,2,189195593
4,3,310487
4,4,336912
4,5,161172
4,6,169176
4,7,186521935
4,8,260022
4,9,187717241
4,10,959354
4,11,188231
4,12,164881
4,13,162944
4,14,184387540
4,15,303654
4,16,210429
4,17,161831
4,18,207210
4,19,151020
4,20,156152
4,21,152494
4,22,152205
4,23,187370621
4,24,314046
4,25,170851
4,26,179778
4,27,150005
4,28,152158
4,29,159230
4,30,151418
4,31,156366
4,32,184546707
4,33,284202
4,34,187754
4,35,157770
4,36,151197
4,37,183029945
4,38,183489660
4,39,608287
4,40,366424
4,41,216137
4,42,169145
4,43,159819
4,44,179389
4,45,162651
4,46,148852
4,47,148658
4,48,188746758
4,49,183953190
4,50,280469
4,51,171957
4,52,343360
4,53,1239387
4,54,195972
4,55,166354
4,56,156908
4,57,151036
4,58,169312
4,59,151801
4,60,150194
4,61,155896
4,62,146245
4,63,178198
4,64,185409198
4,65,346072
4,66,188828
4,67,187954
4,68,153448
4,69,166457
4,70,153972
4,71,158416
4,72,182989191
4,73,277820
4,74,166261
4,75,157355
4,76,153742
4,77,159859
4,78,149075
4,79,182530632
4,80,222582
4,81,184708882
4,82,182884127
4,83,1551125
4,84,180127
4,85,161181
4,86,182690999
4,87,415813
4,88,205025
4,89,169456
4,90,146959
4,91,184978996
4,92,284602
4,93,176320
4,94,162526
4,95,185581172
4,96,394045
4,97,185685
4,98,178959
4,99,170425
4,100,145218
5,1,459643
5,2,177493
5,3,159248
5,4,153185
5,5,136424
5,6,110457
5,7,136063
5,8,112382
5,9,114532
5,10,105671
5,11,128039
5,12,143139
5,13,105391
5,14,115926
5,15,189109745
5,16,315690
5,17,182319
5,18,156501
5,19,182989643
5,20,269508
5,21,170650
5,22,157105
5,23,164601
5,24,140094
5,25,136964
5,26,159885
5,27,146460
5,28,141905
5,29,129040
5,30,115643
5,31,109761
5,32,192416462
5,33,253671
5,34,171420
5,35,146090
5,36,158620
5,37,183118131
5,38,247313
5,39,153915
5,40,145513
5,41,142913
5,42,182833205
5,43,269135
5,44,193893
5,45,158030
5,46,153048
5,47,159343
5,48,150502
5,49,182865361
5,50,184123581
5,51,319948
5,52,338401
5,53,180054
5,54,188017082
5,55,304990
5,56,157825
5,57,182462121
5,58,228715
5,59,173143
5,60,154373
5,61,150006
5,62,148350
5,63,182511939
5,64,187284605
5,65,555388
5,66,155316
5,67,183299171
5,68,286620
5,69,154189
5,70,172231
5,71,145640
5,72,166792
5,73,143160
5,74,160954
5,75,182370363
5,76,247749
5,77,166958
5,78,149239
5,79,173839
5,80,144500
5,81,185678384
5,82,346103
5,83,166426
5,84,208265
5,85,182662486
5,86,188194569
5,87,313142
5,88,157979
5,89,183451915
5,90,465817
5,91,204069
5,92,157146
5,93,159846
5,94,184067424
5,95,285989
5,96,155597
5,97,183240836
5,98,253506
5,99,155074
5,100,148160
