iteration,operation,ns
1,1,3336960
1,2,9447912
1,3,10773174
1,4,9955927
1,5,9635568
1,6,10716545
1,7,11627967
1,8,10016700
1,9,11171987
1,10,10010389
1,11,9940526
1,12,13508685
1,13,15089931
1,14,10031360
1,15,9733418
1,16,9339590
1,17,10392649
1,18,9177692
1,19,9150494
1,20,9687456
1,21,9448601
1,22,9648810
1,23,10183075
1,24,9469778
1,25,10320798
1,26,9455244
1,27,9650763
1,28,9106971
1,29,10478133
1,30,10854514
1,31,9851234
1,32,9766571
1,33,9748677
1,34,9436490
1,35,11621337
1,36,10387981
1,37,10231973
1,38,9477423
1,39,9504506
1,40,9491913
1,41,9948343
1,42,9810480
1,43,9237907
1,44,9883783
1,45,9845808
1,46,9564285
1,47,9503385
1,48,8995145
1,49,9522342
1,50,9271944
1,51,10252276
1,52,9877522
1,53,10076733
1,54,9725442
1,55,10023161
1,56,10309869
1,57,10077193
1,58,9541835
1,59,10162224
1,60,8935860
1,61,9670670
1,62,9126142
1,63,9434116
1,64,9242077
1,65,9410141
1,66,9404923
1,67,11097962
1,68,9959339
1,69,10091321
1,70,9168898
1,71,9482576
1,72,8965623
1,73,9397170
1,74,9204391
1,75,9601851
1,76,9085984
1,77,9360483
1,78,9487955
1,79,9265514
1,80,9200842
1,81,9180983
1,82,9660260
1,83,10281837
1,84,9863023
1,85,9640992
1,86,9425510
1,87,9731916
1,88,8986547
1,89,9412593
1,90,9322506
1,91,11069557
1,92,9761331
1,93,9291231
1,94,9605753
1,95,9737134
1,96,8857953
1,97,9290269
1,98,8869827
1,99,10893572
1,100,9467178
2,1,8989059
2,2,10023261
2,3,9590624
2,4,9350794
2,5,9426753
2,6,9549408
2,7,9428219
2,8,9423585
2,9,9250705
2,10,9326815
2,11,8831879
2,12,9170389
2,13,8950285
2,14,9994234
2,15,8860292
2,16,9607214
2,17,9314219
2,18,9626987
2,19,8869204
2,20,9394689
2,21,9008809
2,22,9446023
2,23,9199117
2,24,9418329
2,25,9305028
2,26,9311143
2,27,9094251
2,28,9645841
2,29,8995827
2,30,9257465
2,31,8942016
2,32,9349540
2,33,8905404
2,34,9550665
2,35,8833422
2,36,9684485
2,37,9313617
2,38,9114602
2,39,9543225
2,40,11425776
2,41,9815223
2,42,9464175
2,43,9096584
2,44,10096480
2,45,8688345
2,46,9065149
2,47,8637674
2,48,9385776
2,49,10234005
2,50,10014122
2,51,9413520
2,52,9552164
2,53,8947823
2,54,9554044
2,55,9019240
2,56,9207617
2,57,8889158
2,58,8979217
2,59,8564343
2,60,9034095
2,61,8783567
2,62,9421065
2,63,9110673
2,64,9483922
2,65,8806575
2,66,9721007
2,67,8377538
2,68,8865766
2,69,8935338
2,70,9423494
2,71,9133710
2,72,9699458
2,73,8913363
2,74,8969916
2,75,9117321
2,76,9376342
2,77,9280178
2,78,9657519
2,79,9156556
2,80,9372460
2,81,8632089
2,82,8974990
2,83,9031628
2,84,9288241
2,85,8652497
2,86,9160440
2,87,8800347
2,88,9109051
2,89,8934740
2,90,9469808
2,91,9140611
2,92,9368849
2,93,8638075
2,94,9302917
2,95,9763782
2,96,10137376
2,97,8958631
2,98,9664838
2,99,9002258
2,100,9144732
3,1,8280935
3,2,10252882
3,3,9366763
3,4,9791670
3,5,9010129
3,6,9235289
3,7,9163270
3,8,9243963
3,9,8812559
3,10,9204447
3,11,8878748
3,12,9125815
3,13,8575223
3,14,9427598
3,15,9036319
3,16,9134926
3,17,8874449
3,18,9553022
3,19,9680959
3,20,9507037
3,21,8991059
3,22,8662306
3,23,8588606
3,24,9150475
3,25,9004505
3,26,9373021
3,27,9486917
3,28,9416012
3,29,9270794
3,30,9463131
3,31,9374857
3,32,9479677
3,33,8724844
3,34,9632564
3,35,10791108
3,36,10008647
3,37,10848314
3,38,9445203
3,39,8783130
3,40,9297192
3,41,9066868
3,42,8769663
3,43,9376003
3,44,9695879
3,45,9248167
3,46,9561665
3,47,8617132
3,48,9184614
3,49,8777655
3,50,9030214
3,51,9141309
3,52,9189493
3,53,8957458
3,54,9298321
3,55,8961767
3,56,9250678
3,57,9804685
3,58,9795239
3,59,8761506
3,60,9571680
3,61,9219929
3,62,9269223
3,63,9912811
3,64,9255481
3,65,20462363
3,66,9487478
3,67,9017209
3,68,10172497
3,69,8800451
3,70,8914576
3,71,8486506
3,72,9994281
3,73,9454137
3,74,10383297
3,75,9619933
3,76,10350476
3,77,10323951
3,78,10669701
3,79,11075749
3,80,11291044
3,81,11137351
3,82,11856724
3,83,11619373
3,84,11801046
3,85,12031775
3,86,11603195
3,87,10394498
3,88,9757876
3,89,9546022
3,90,9834951
3,91,9480747
3,92,9074355
3,93,8979059
3,94,9156445
3,95,9199594
3,96,9139279
3,97,8654603
3,98,8966797
3,99,8466868
3,100,9333334
4,1,7029263
4,2,10026611
4,3,9054426
4,4,9190456
4,5,9347319
4,6,9742129
4,7,8940487
4,8,9169909
4,9,8999874
4,10,9017914
4,11,9272109
4,12,9151455
4,13,9079041
4,14,8858707
4,15,8930292
4,16,9402913
4,17,9253246
4,18,9314495
4,19,8840040
4,20,9229284
4,21,8918855
4,22,9305277
4,23,8408972
4,24,8831264
4,25,8892290
4,26,9078070
4,27,8541350
4,28,8700773
4,29,8623255
4,30,9066963
4,31,8677954
4,32,9148307
4,33,8847071
4,34,9410477
4,35,8991552
4,36,9117804
4,37,8352006
4,38,8834706
4,39,8689774
4,40,9709141
4,41,12005275
4,42,10360490
4,43,12498224
4,44,14814255
4,45,9802226
4,46,10088845
4,47,8675461
4,48,9069118
4,49,8587416
4,50,9184261
4,51,8884619
4,52,9468094
4,53,8914345
4,54,10648411
4,55,9072659
4,56,9094488
4,57,8846510
4,58,9000876
4,59,9076984
4,60,8807937
4,61,8947504
4,62,9075072
4,63,8747278
4,64,8970051
4,65,8758887
4,66,9125238
4,67,9054807
4,68,8982499
4,69,8519530
4,70,8877156
4,71,8423892
4,72,9998257
4,73,8818584
4,74,9237224
4,75,8858306
4,76,9398060
4,77,9116049
4,78,8741843
4,79,9144275
4,80,8931740
4,81,8679022
4,82,8659660
4,83,8942042
4,84,9148414
4,85,8700378
4,86,9045851
4,87,9066750
4,88,8615896
4,89,8954481
4,90,8753824
4,91,8716298
4,92,9829852
4,93,8549631
4,94,8786648
4,95,8946842
4,96,9564479
4,97,10051436
4,98,9232126
4,99,8962316
4,100,9084191
5,1,4729974
5,2,8794021
5,3,9227982
5,4,9077897
5,5,9262762
5,6,10631252
5,7,10065973
5,8,8771933
5,9,9024607
5,10,9200380
5,11,8791121
5,12,9064040
5,13,9391873
5,14,9109161
5,15,8831245
5,16,8852539
5,17,8930518
5,18,9342510
5,19,9695275
5,20,9010861
5,21,9110853
5,22,9167947
5,23,8915267
5,24,9171000
5,25,9500465
5,26,9140517
5,27,8920379
5,28,9599157
5,29,8590638
5,30,8776019
5,31,10485886
5,32,8871443
5,33,9129325
5,34,8511764
5,35,8701025
5,36,8799136
5,37,8716665
5,38,8630368
5,39,10543268
5,40,9041356
5,41,9254098
5,42,8695749
5,43,9471923
5,44,8772620
5,45,9883513
5,46,12311438
5,47,12251425
5,48,10080367
5,49,8918089
5,50,8637461
5,51,9021782
5,52,8797479
5,53,9546336
5,54,8659867
5,55,9013636
5,56,9607370
5,57,9579069
5,58,9304041
5,59,8774311
5,60,9249491
5,61,8954698
5,62,9499866
5,63,9668582
5,64,8819612
5,65,8998621
5,66,8705994
5,67,10305713
5,68,10216783
5,69,9720590
5,70,9151470
5,71,9456725
5,72,8881321
5,73,9174502
5,74,8835235
5,75,9051525
5,76,8588313
5,77,8845948
5,78,9107033
5,79,8690152
5,80,8946363
5,81,8795567
5,82,8774922
5,83,8900462
5,84,9080574
5,85,8936007
5,86,8690391
5,87,9083698
5,88,8723380
5,89,8525942
5,90,8876738
5,91,8786508
5,92,8428612
5,93,8965084
5,94,8402929
5,95,9227212
5,96,8591934
5,97,8779192
5,98,8559271
5,99,8852589
5,100,8721856
6,1,4780514
6,2,8764364
6,3,8972869
6,4,9169459
6,5,10910683
6,6,8801990
6,7,8758764
6,8,9080676
6,9,9236945
6,10,9354429
6,11,8756592
6,12,9242140
6,13,8419558
6,14,9176689
6,15,8714774
6,16,8943294
6,17,8871160
6,18,9210566
6,19,9205020
6,20,9964302
6,21,10362812
6,22,9856104
6,23,8909748
6,24,9114833
6,25,9093229
6,26,9119047
6,27,8306186
6,28,8895696
6,29,8786048
6,30,8912108
6,31,10167526
6,32,8849489
6,33,8708931
6,34,9123932
6,35,16356795
6,36,9784753
6,37,9363442
6,38,9158586
6,39,9149689
6,40,10021262
6,41,8682186
6,42,9805957
6,43,9424186
6,44,9184505
6,45,9236561
6,46,9573163
6,47,9391942
6,48,9725107
6,49,9525270
6,50,9825536
6,51,9616935
6,52,10268503
6,53,9405434
6,54,9792046
6,55,10323232
