iteration,operation,ns
1,1,1503983
1,2,1406484
1,3,973938
1,4,8937146
1,5,1030001
1,6,1276660
1,7,1149550
1,8,11092286
1,9,10965749
1,10,1373240
1,11,10710277
1,12,9695822
1,13,11979334
1,14,12276617
1,15,1399227
1,16,10136959
1,17,11195240
1,18,7849631
1,19,1001946
1,20,9322470
1,21,9803139
1,22,1041616
1,23,9625951
1,24,9240353
1,25,11039439
1,26,1375759
1,27,1259074
1,28,9566724
1,29,1078455
1,30,10996395
1,31,973928
1,32,1179006
1,33,8071441
1,34,8715491
1,35,7583550
1,36,10330544
1,37,9913175
1,38,941772
1,39,747966
1,40,962369
1,41,9936378
1,42,8230679
1,43,9841712
1,44,1141017
1,45,1069520
1,46,8676991
1,47,992556
1,48,9330290
1,49,798616
1,50,9726164
1,51,1010677
1,52,960549
1,53,7918469
1,54,1152056
1,55,9661066
1,56,11603325
1,57,10587574
1,58,10262899
1,59,9856456
1,60,1010457
1,61,868679
1,62,1074503
1,63,11131289
1,64,1289834
1,65,9031143
1,66,10504027
1,67,8383878
1,68,1063732
1,69,855521
1,70,1021778
1,71,827349
1,72,9798375
1,73,10558322
1,74,11807293
1,75,11497926
1,76,1169470
1,77,8406151
1,78,1431682
1,79,7986141
1,80,10545691
1,81,11250458
1,82,1213825
1,83,916265
1,84,10162852
1,85,7583537
1,86,1296895
1,87,814163
1,88,1049027
1,89,864404
1,90,1276949
1,91,5686585
1,92,1223301
1,93,8963318
1,94,1413888
1,95,981899
1,96,1265675
1,97,1006782
1,98,1041438
1,99,4743474
1,100,1092383
2,1,10590435
2,2,1173283
2,3,9588680
2,4,10014365
2,5,10305800
2,6,1178182
2,7,9309834
2,8,10570780
2,9,1000391
2,10,969471
2,11,780038
2,12,10494436
2,13,843133
2,14,9486132
2,15,817593
2,16,973839
2,17,8731802
2,18,1149906
2,19,820145
2,20,1009606
2,21,10277542
2,22,7505567
2,23,10064440
2,24,986211
2,25,9027538
2,26,1020894
2,27,805078
2,28,834395
2,29,10441149
2,30,10481635
2,31,1680196
2,32,1199665
2,33,8836971
2,34,8599360
2,35,1273393
2,36,9845552
2,37,876971
2,38,991983
2,39,11207528
2,40,12056780
2,41,1034936
2,42,11064292
2,43,11282801
2,44,9450612
2,45,937397
2,46,1128107
2,47,1133867
2,48,1179036
2,49,1428874
2,50,10190255
2,51,862167
2,52,9400181
2,53,10024397
2,54,10282226
2,55,10335078
2,56,1262602
2,57,808054
2,58,8862408
2,59,993081
2,60,9294093
2,61,964168
2,62,9743175
2,63,10285951
2,64,1059410
2,65,788596
2,66,8241498
2,67,8211717
2,68,7851047
2,69,10033060
2,70,10088906
2,71,918424
2,72,1112169
2,73,903774
2,74,9807000
2,75,899917
2,76,10441870
2,77,10219102
2,78,10602940
2,79,10171551
2,80,10013150
2,81,11801496
2,82,1134554
2,83,792607
2,84,822310
2,85,786079
2,86,7452212
2,87,827919
2,88,9602722
2,89,10619929
2,90,1090161
2,91,9326864
2,92,7214912
2,93,800633
2,94,6722780
2,95,7435910
2,96,7785916
2,97,7483995
2,98,8092170
2,99,4848812
2,100,4818794
3,1,3700599
3,2,1225853
3,3,10253378
3,4,11888875
3,5,947320
3,6,10106826
3,7,10891896
3,8,1332900
3,9,9870190
3,10,11075039
3,11,10777329
3,12,12278512
3,13,11785820
3,14,1235479
3,15,9370590
3,16,1462026
3,17,793762
3,18,1140860
3,19,958197
3,20,1167726
3,21,7712757
3,22,8694350
3,23,9682151
3,24,1037523
3,25,786902
3,26,850186
3,27,7762105
3,28,1040183
3,29,8952815
3,30,10341359
3,31,1011684
3,32,9580890
3,33,10437981
3,34,1058745
3,35,735261
3,36,941745
3,37,830327
3,38,9732996
3,39,10624650
3,40,1221894
3,41,10197428
3,42,9813051
3,43,861765
3,44,920136
3,45,8470591
3,46,10516821
3,47,996822
3,48,9428305
3,49,9901855
3,50,971564
3,51,807220
3,52,918075
3,53,717871
3,54,7473176
3,55,1004053
3,56,1145305
3,57,852921
3,58,7607727
3,59,10313937
3,60,1369123
3,61,9606315
3,62,10360106
3,63,7543773
3,64,1093546
3,65,10126262
3,66,9829032
3,67,899733
3,68,872434
3,69,9253619
3,70,10573993
3,71,800109
3,72,836826
3,73,8454760
3,74,9833776
3,75,9676607
3,76,10614116
3,77,1067543
3,78,1024645
3,79,8284032
3,80,1063848
3,81,9026130
3,82,10213797
3,83,10791500
3,84,1489170
3,85,837825
3,86,8603679
3,87,1029875
3,88,9101595
3,89,9388586
3,90,1008995
3,91,796772
3,92,8044686
3,93,9698056
3,94,8049252
3,95,1001606
3,96,4000020
3,97,755124
3,98,3683810
3,99,2908102
3,100,2725617
4,1,7590513
4,2,10586387
4,3,10206463
4,4,7467135
4,5,1056719
4,6,8845030
4,7,9222745
4,8,9304096
4,9,1038660
4,10,8913495
4,11,9375452
4,12,970682
4,13,993547
4,14,1006237
4,15,7054640
4,16,1055185
4,17,8673778
4,18,1087052
4,19,1011905
4,20,7411724
4,21,7799249
4,22,1102424
4,23,985921
4,24,7755348
4,25,1017256
4,26,927649
4,27,896764
4,28,1169693
4,29,10390497
4,30,1139554
4,31,1038491
4,32,7686741
4,33,1056238
4,34,8754643
4,35,7084381
4,36,1007909
4,37,8345373
4,38,9959095
4,39,10060395
4,40,1030701
4,41,8341828
4,42,9721957
4,43,7605460
4,44,10760405
4,45,914249
4,46,1087877
4,47,5842018
4,48,9764542
4,49,9460370
4,50,9214372
4,51,828830
4,52,843726
4,53,758130
4,54,1004224
4,55,705922
4,56,5897636
4,57,9219612
4,58,1008828
4,59,761668
4,60,1158000
4,61,764457
4,62,865144
4,63,732848
4,64,1281401
4,65,18730209
4,66,1269830
4,67,851410
4,68,1051114
4,69,796706
4,70,9769319
4,71,9837807
4,72,1089126
4,73,7009040
4,74,9841403
4,75,912444
4,76,1060476
4,77,8324409
4,78,10370966
4,79,901675
4,80,1061083
4,81,825496
4,82,9945225
4,83,9398994
4,84,1197344
4,85,797377
4,86,1080310
4,87,7117502
4,88,1211192
4,89,851439
4,90,1023467
4,91,823438
4,92,998536
4,93,7951902
4,94,1029643
4,95,8666661
4,96,6830865
4,97,777446
4,98,6518816
4,99,861095
4,100,1093035
5,1,1088870
5,2,7451002
5,3,8587920
5,4,9765229
5,5,840007
5,6,932633
5,7,772239
5,8,9703913
5,9,849652
5,10,945656
5,11,7872967
5,12,1027969
5,13,8568210
5,14,9378900
5,15,762418
5,16,9092874
5,17,9325290
5,18,7280886
5,19,812427
5,20,978726
5,21,7298763
5,22,9525287
5,23,9749751
5,24,1024908
5,25,7996700
5,26,9774908
5,27,9082200
5,28,9363965
5,29,1044327
5,30,8429467
5,31,796910
5,32,901495
5,33,8036588
5,34,8018092
5,35,866424
5,36,971896
5,37,721298
5,38,9073971
5,39,871117
5,40,1000568
5,41,728258
5,42,9526111
5,43,850987
5,44,930060
5,45,680505
5,46,787358
5,47,723371
5,48,5729120
5,49,7328884
5,50,9379280
5,51,879072
5,52,8572121
5,53,9531903
5,54,9371635
5,55,789689
5,56,856358
5,57,637159
5,58,8326504
5,59,9330715
5,60,9871504
5,61,821613
5,62,850749
5,63,680674
5,64,6822317
5,65,860144
5,66,887087
5,67,8285212
5,68,1020884
5,69,8739257
5,70,1022857
5,71,8610862
5,72,1061883
5,73,765908
5,74,8617739
5,75,832651
5,76,864125
5,77,720377
5,78,7783933
5,79,9419789
5,80,9739143
5,81,9054298
5,82,1143835
5,83,830863
5,84,7713997
5,85,9553999
5,86,1051321
5,87,757217
5,88,934002
5,89,733796
5,90,6470104
5,91,1072764
5,92,7340739
5,93,9162722
5,94,965208
5,95,7916004
5,96,991399
5,97,8043550
5,98,9387979
5,99,9008932
5,100,9708410
6,1,3400191
6,2,1128170
6,3,898293
6,4,1045540
6,5,790541
6,6,993801
6,7,843072
6,8,7166117
6,9,9848679
6,10,9751722
6,11,777340
6,12,1008274
6,13,839926
6,14,7328486
6,15,810637
6,16,1032115
6,17,764278
6,18,10183002
6,19,7362693
6,20,9639673
6,21,9303089
6,22,9569812
6,23,9225440
6,24,7525072
6,25,865625
6,26,8644200
6,27,822681
6,28,910088
6,29,8092636
6,30,1036121
6,31,808770
6,32,7970081
6,33,9098344
6,34,9662240
6,35,835158
6,36,826979
6,37,8206289
6,38,7397091
6,39,9337075
6,40,1048082
6,41,965703
6,42,7992465
6,43,837112
6,44,955488
6,45,766445
6,46,7186747
6,47,752507
6,48,8517308
6,49,758320
6,50,1075833
6,51,792166
6,52,6805642
6,53,847927
6,54,8654229
6,55,9243858
6,56,9229954
6,57,959423
6,58,962845
6,59,7572331
6,60,991816
6,61,8202642
6,62,9654006
6,63,942004
6,64,9544327
6,65,10404582
6,66,10150190
6,67,927190
6,68,11599115
6,69,1262578
6,70,1173710
6,71,907448
6,72,12160797
6,73,8043130
6,74,7371868
6,75,855946
6,76,1250768
6,77,909769
6,78,9930687
6,79,895340
6,80,802442
6,81,8168258
6,82,9523630
6,83,9196361
6,84,1230025
6,85,8609148
6,86,1061036
6,87,8548059
6,88,1218112
6,89,771829
6,90,1050845
6,91,6967536
6,92,1092901
6,93,6248203
6,94,997922
6,95,775031
6,96,957262
6,97,5329343
6,98,7144595
6,99,9477301
6,100,4813117
7,1,3156771
7,2,9119940
7,3,9395207
7,4,953932
7,5,8263903
7,6,1309140
7,7,923271
7,8,999170
7,9,7276495
7,10,9514018
7,11,9587774
7,12,1014821
7,13,8276210
7,14,9490411
7,15,10101534
7,16,899931
7,17,8883024
7,18,2652074
7,19,10294787
7,20,10686435
7,21,10393528
7,22,9729100
7,23,797982
7,24,8509940
7,25,6930575
7,26,1164204
7,27,7965535
7,28,9591787
7,29,9512028
7,30,9386423
7,31,854316
7,32,888782
7,33,765863
7,34,919462
7,35,887156
7,36,7763548
7,37,8969980
7,38,1300454
7,39,787687
7,40,7183019
7,41,9287225
7,42,9206778
7,43,895143
7,44,994675
7,45,8756153
7,46,969153
7,47,8266833
7,48,9295141
7,49,843457
7,50,853115
7,51,748223
7,52,7087802
7,53,9573475
7,54,967379
7,55,736321
7,56,1191764
7,57,6641825
7,58,9756169
7,59,926887
7,60,1041413
7,61,7656266
7,62,9322099
7,63,903318
7,64,8402594
7,65,9347634
7,66,9648583
