iteration,operation,ns
1,1,5760749
1,2,9961958
1,3,9348494
1,4,9468171
1,5,9950670
1,6,11674137
1,7,9652712
1,8,9900371
1,9,9546407
1,10,9313970
1,11,9365561
1,12,15255140
1,13,25168268
1,14,10201232
1,15,9751673
1,16,9701721
1,17,9430932
1,18,9411135
1,19,9471160
1,20,9296373
1,21,9330751
1,22,9609061
1,23,10453329
1,24,9742221
1,25,9827330
1,26,9717425
1,27,9756261
1,28,9963272
1,29,9544447
1,30,9835551
1,31,10549579
1,32,10130209
1,33,10083714
1,34,10349020
1,35,11102571
1,36,9786716
1,37,9304906
1,38,9726169
1,39,9504906
1,40,9713439
1,41,9376254
1,42,9235420
1,43,9483728
1,44,10003803
1,45,9113375
1,46,9468191
1,47,8872463
1,48,8952135
1,49,9182959
1,50,9237904
1,51,9126234
1,52,10433539
1,53,10325058
1,54,9828940
1,55,9740514
1,56,11046266
1,57,9203309
1,58,8980288
1,59,9582273
1,60,9811999
1,61,9242552
1,62,9336985
1,63,9119992
1,64,9226538
1,65,9794590
1,66,9468378
1,67,9804655
1,68,9765302
1,69,9843551
1,70,9944562
1,71,9809879
1,72,9728945
1,73,9710334
1,74,9418907
1,75,9398472
1,76,10199896
1,77,9208089
1,78,9614548
1,79,9365400
1,80,9452981
1,81,9360309
1,82,9252895
1,83,9058379
1,84,9161891
1,85,9467322
1,86,8977824
1,87,9138221
1,88,9472650
1,89,9346643
1,90,9630206
1,91,9623735
1,92,10108315
1,93,9753730
1,94,9509220
1,95,8968979
1,96,8929637
1,97,9330205
1,98,9332284
1,99,10457481
1,100,9261089
2,1,7044954
2,2,9902366
2,3,9346624
2,4,9323765
2,5,9499144
2,6,9860998
2,7,9130723
2,8,9402773
2,9,8820624
2,10,9416340
2,11,9065739
2,12,9317026
2,13,9194924
2,14,9103304
2,15,9290970
2,16,9114970
2,17,9599050
2,18,9738527
2,19,9489476
2,20,9524068
2,21,9050073
2,22,9430368
2,23,9348621
2,24,10168144
2,25,9080552
2,26,9289355
2,27,9177820
2,28,9597059
2,29,8704547
2,30,9579620
2,31,9339669
2,32,9230777
2,33,9242237
2,34,9309769
2,35,9171774
2,36,9165135
2,37,8881847
2,38,8903880
2,39,9304149
2,40,10587203
2,41,10585545
2,42,9812519
2,43,9122094
2,44,9615465
2,45,9218692
2,46,8849464
2,47,8928488
2,48,9273021
2,49,8926988
2,50,9239493
2,51,10409730
2,52,9474149
2,53,9330642
2,54,9719143
2,55,8727934
2,56,9421478
2,57,9053044
2,58,9565263
2,59,8941056
2,60,9673427
2,61,9149782
2,62,9402370
2,63,8759434
2,64,9457074
2,65,8813456
2,66,9176326
2,67,9296745
2,68,9119205
2,69,9279362
2,70,9100205
2,71,9191653
2,72,9362977
2,73,9413866
2,74,9356809
2,75,8674238
2,76,9441945
2,77,9167254
2,78,9148314
2,79,9267355
2,80,9028311
2,81,9310954
2,82,9506663
2,83,9092851
2,84,8910261
2,85,9081172
2,86,8869000
2,87,9197008
2,88,9286906
2,89,8935612
2,90,9144214
2,91,9217668
2,92,9410964
2,93,8888034
2,94,9714176
2,95,8802074
2,96,9264336
2,97,8855112
2,98,9267931
2,99,9201552
2,100,9876255
3,1,3052703
3,2,9389130
3,3,9849252
3,4,9635110
3,5,9326417
3,6,9880568
3,7,9244431
3,8,9062476
3,9,9104053
3,10,9506130
3,11,9027498
3,12,8967804
3,13,9572731
3,14,8974061
3,15,9088600
3,16,18182737
3,17,10538226
3,18,9336476
3,19,9609152
3,20,9629906
3,21,9613849
3,22,9519539
3,23,9479547
3,24,9398347
3,25,9316559
3,26,9010061
3,27,9760656
3,28,10386869
3,29,9417050
3,30,8904391
3,31,8822211
3,32,9103972
3,33,9358337
3,34,9016736
3,35,9280474
3,36,9120675
3,37,9434754
3,38,9510454
3,39,9345043
3,40,8846405
3,41,9227377
3,42,8880942
3,43,9113100
3,44,8612374
3,45,9120252
3,46,9095410
3,47,8855063
3,48,8886962
3,49,9035824
3,50,8947310
3,51,9148062
3,52,9129133
3,53,9424037
3,54,8948777
3,55,9644024
3,56,9082078
3,57,9271434
3,58,8777955
