iteration,operation,ns
1,1,1735904
1,2,1845466
1,3,1887427
1,4,1904828
1,5,1507238
1,6,1501221
1,7,1710133
1,8,1581981
1,9,1461046
1,10,2038831
1,11,1652870
1,12,1708019
1,13,1874067
1,14,2067942
1,15,22078403
1,16,2019510
1,17,1894271
1,18,1919866
1,19,1796395
1,20,1666468
1,21,4224051
1,22,2159402
1,23,1630190
1,24,1851823
1,25,2665043
1,26,1656300
1,27,2977952
1,28,5973303
1,29,27192298
1,30,1807604
1,31,1951547
1,32,13165978
1,33,7958164
1,34,1744777
1,35,1853150
1,36,1652092
1,37,1857264
1,38,1555462
1,39,1516549
1,40,11552342
1,41,1871065
1,42,1619081
1,43,4343301
1,44,4656739
1,45,3501438
1,46,1597536
1,47,1535240
1,48,7816841
1,49,1967277
1,50,1506847
1,51,5884667
1,52,3006709
1,53,3001677
1,54,11428511
1,55,4033432
1,56,1741570
1,57,1674868
1,58,12682769
1,59,1455184
1,60,1524049
1,61,3957150
1,62,1581260
1,63,1502953
1,64,1196663
1,65,3724149
1,66,2203524
1,67,1739904
1,68,1933077
1,69,10733842
1,70,1823549
1,71,3362533
1,72,1714613
1,73,3278816
1,74,1789582
1,75,1741787
1,76,3154858
1,77,2192749
1,78,3430331
1,79,1643394
1,80,3105692
1,81,1889795
1,82,761105
1,83,11566057
1,84,17680543
1,85,8359119
1,86,11113714
1,87,12983641
1,88,1913738
1,89,6014639
1,90,6250183
1,91,3237690
1,92,5521004
1,93,5782475
1,94,4030495
1,95,12747365
1,96,3213431
1,97,1607550
1,98,1535124
1,99,1458190
1,100,3683669
2,1,1954346
2,2,4939030
2,3,1705822
2,4,1420354
2,5,1553451
2,6,3198751
2,7,19034967
2,8,3750146
2,9,9854534
2,10,4224255
2,11,1672529
2,12,9320071
2,13,4415380
2,14,2213501
2,15,8620100
2,16,1665915
2,17,1746714
2,18,5276819
2,19,4377946
2,20,1993779
2,21,3506475
2,22,13442096
2,23,3713841
2,24,1350860
2,25,2019146
2,26,3000490
2,27,19731939
2,28,3659086
2,29,3856724
2,30,3255056
2,31,1500131
2,32,32207027
2,33,20335608
2,34,2005210
2,35,1486627
2,36,1829387
2,37,14026676
2,38,1962114
2,39,7336417
2,40,3738327
2,41,1688166
2,42,1683517
2,43,1380367
2,44,1457806
2,45,6554908
2,46,2224753
2,47,1341506
2,48,3299857
2,49,10759812
2,50,8792066
2,51,1439590
2,52,1808841
2,53,1687275
2,54,1754076
2,55,1905260
2,56,1568076
2,57,1907608
2,58,9890652
2,59,8552273
2,60,1711651
2,61,24077112
2,62,6960789
2,63,3570346
2,64,1736667
2,65,1476439
2,66,1827151
2,67,18238223
2,68,6684888
2,69,3509643
2,70,5260064
2,71,1582741
2,72,5506106
2,73,1606763
2,74,26863397
2,75,3219323
2,76,1838188
2,77,839823
2,78,3107986
2,79,3749051
2,80,1856360
2,81,2059704
2,82,1584561
2,83,1536533
2,84,6861334
2,85,1501518
2,86,3125534
2,87,1532385
2,88,1438588
2,89,2579560
2,90,2601758
2,91,1782136
2,92,3085500
2,93,1509579
2,94,14628533
2,95,2072349
2,96,1965238
2,97,3298649
2,98,18112164
2,99,3263684
2,100,3332468
3,1,1976777
3,2,1574591
3,3,6475210
3,4,1736156
3,5,1957141
3,6,3516124
3,7,23692169
3,8,24813516
3,9,33257727
3,10,1619524
3,11,11032106
3,12,3294062
3,13,2934569
3,14,1840171
3,15,3107509
3,16,2195644
3,17,8756205
3,18,1814186
3,19,1415946
3,20,3533728
3,21,7260164
3,22,1408217
3,23,746498
3,24,3205705
3,25,2948535
3,26,1980559
3,27,2919909
3,28,2864164
3,29,1687945
3,30,3423100
3,31,1324262
3,32,5386670
3,33,3399685
3,34,3475949
3,35,1322071
3,36,1699472
3,37,1509354
3,38,3702020
3,39,1882717
3,40,3931315
3,41,2181373
3,42,4982913
3,43,22755870
3,44,1959099
3,45,1711035
3,46,1760737
3,47,27653983
3,48,3003841
3,49,13984027
3,50,1572278
3,51,8518578
3,52,1671362
3,53,1669324
3,54,10364092
3,55,1819209
3,56,1635989
3,57,1903737
3,58,3348396
3,59,1627168
3,60,2877163
3,61,1395883
3,62,1439376
3,63,32544130
3,64,1855227
3,65,1582851
3,66,2004994
3,67,23921277
3,68,3366754
3,69,1865111
3,70,1926413
3,71,15573160
3,72,20345948
3,73,3317080
3,74,11728996
3,75,4262255
3,76,6989029
3,77,3417932
3,78,15256876
3,79,3321939
3,80,4146138
3,81,3511190
3,82,2010450
3,83,2081466
3,84,2628158
3,85,3379887
3,86,1454870
3,87,1760543
3,88,1848960
3,89,3019474
3,90,1399480
3,91,1500281
3,92,1957268
3,93,1692320
3,94,3814205
3,95,2056654
3,96,3353933
3,97,1728536
3,98,1551039
3,99,1613111
3,100,1371221
4,1,4169338
4,2,4969788
4,3,1955543
4,4,2802608
4,5,1664966
4,6,3125108
4,7,1713645
4,8,614072
4,9,1535797
4,10,3046106
4,11,1667957
4,12,1430736
4,13,5038210
4,14,7550062
4,15,29171022
4,16,12597061
4,17,1735335
4,18,26649846
4,19,4229261
4,20,6795792
4,21,35534816
4,22,3119351
4,23,2202198
4,24,1899955
4,25,9837961
4,26,7567826
4,27,32078046
4,28,11904154
4,29,36152653
4,30,21605667
4,31,1856402
4,32,1983276
4,33,1671090
4,34,8910372
4,35,2033848
4,36,3985800
4,37,6472580
4,38,1575747
4,39,926376
4,40,1542463
4,41,1559281
4,42,18150900
4,43,3175443
4,44,1612130
4,45,1686442
4,46,7479941
4,47,1613082
4,48,1570190
4,49,3034451
4,50,6578317
4,51,1442774
4,52,1915499
4,53,1538303
4,54,3172442
4,55,10944927
4,56,3466401
4,57,3169313
4,58,1776147
4,59,3242917
4,60,1909852
4,61,1498615
4,62,7662496
4,63,4278510
4,64,7779231
4,65,32211128
4,66,15811915
4,67,1645323
4,68,1744730
4,69,22758013
4,70,1358980
4,71,9494902
4,72,21573691
4,73,3539369
4,74,1891736
4,75,3268576
4,76,8250487
4,77,1559141
4,78,1276257
4,79,3013897
4,80,1416987
4,81,1397624
4,82,14236323
4,83,3625337
4,84,1900004
4,85,1612470
4,86,1364173
4,87,1418628
4,88,1411624
4,89,1281167
4,90,1316790
4,91,1121122
4,92,7290163
4,93,2592340
4,94,1443565
4,95,10747535
4,96,2850925
4,97,12318642
4,98,5271057
4,99,2520050
4,100,1588270
5,1,2705242
5,2,1554488
5,3,3515143
5,4,1793705
5,5,1668982
5,6,2584034
5,7,13933131
5,8,3043439
5,9,3400418
5,10,1683688
5,11,1860735
5,12,4096938
5,13,1762560
5,14,1949927
5,15,1611123
5,16,3086199
5,17,2948094
5,18,9190753
5,19,1694449
5,20,32282574
5,21,16050095
5,22,24539815
5,23,3926587
5,24,1902621
5,25,1476914
5,26,4131847
5,27,20199972
5,28,1966738
5,29,1417953
5,30,1441548
5,31,1791300
5,32,1649796
5,33,1367609
5,34,1735413
5,35,37345129
5,36,6916616
5,37,1701069
5,38,1669811
5,39,1556305
5,40,7973247
5,41,1980488
5,42,1913047
5,43,3331446
5,44,3251029
5,45,8118745
5,46,3391605
5,47,1839018
5,48,1582440
5,49,710470
5,50,20886261
5,51,1779872
5,52,1853319
5,53,1757434
5,54,8948617
5,55,16032008
5,56,2361255
5,57,1590974
5,58,11905810
5,59,15322197
5,60,1683085
5,61,8701097
5,62,12715750
5,63,1996125
5,64,3188757
5,65,1523308
5,66,23638662
5,67,4055599
5,68,6814451
5,69,2924128
5,70,1723139
5,71,2003408
5,72,3616332
5,73,2244685
5,74,1488112
5,75,1544037
5,76,1428133
5,77,3216190
5,78,1754754
5,79,1570331
5,80,3281456
5,81,1983324
5,82,1499438
5,83,3610483
5,84,1823770
5,85,1475276
5,86,1439764
5,87,1298676
5,88,2803298
5,89,11937964
5,90,26207815
5,91,1739300
5,92,3802576
5,93,21499323
5,94,23699321
5,95,1754843
5,96,1825729
5,97,1551476
5,98,3018544
5,99,2789426
5,100,1457577
6,1,4881335
6,2,1962030
6,3,1706965
6,4,3739067
6,5,3709240
6,6,27258925
6,7,1900182
6,8,3464657
6,9,3274103
6,10,1480950
6,11,1533869
6,12,1559666
6,13,15502576
6,14,2154040
6,15,1755202
6,16,2177559
6,17,4280058
6,18,2118891
6,19,3625754
6,20,28818072
6,21,1915381
6,22,12145753
6,23,3822321
6,24,1684771
6,25,3434278
6,26,3224666
6,27,1698888
6,28,3276071
6,29,9407256
6,30,1710757
6,31,1760950
6,32,1747691
6,33,1881425
6,34,1524439
6,35,1931247
6,36,1765365
6,37,1455245
6,38,1538934
6,39,28384032
6,40,17761278
6,41,10010562
6,42,1783229
6,43,2032458
6,44,1778408
6,45,3148461
6,46,30236392
6,47,3810445
6,48,1814117
6,49,1862214
6,50,5435985
6,51,1461453
6,52,1338498
6,53,1743024
6,54,22307175
6,55,1721037
6,56,3317842
6,57,5531591
6,58,1531729
6,59,10677440
6,60,31722308
6,61,5999171
6,62,1688698
6,63,13219873
6,64,29961713
6,65,2536037
6,66,1916745
6,67,3824784
6,68,1609274
6,69,10437510
6,70,18384460
6,71,1943967
6,72,1280035
6,73,23408280
6,74,1598898
6,75,1485687
6,76,1230505
6,77,3326233
6,78,1306331
6,79,2732532
6,80,1358707
6,81,1388329
6,82,1448734
6,83,1373409
6,84,15615173
6,85,1460611
6,86,1735456
6,87,8607614
6,88,1177686
6,89,1427743
6,90,2797702
6,91,2389316
6,92,11240459
6,93,1481161
6,94,1270623
6,95,1257083
6,96,15676852
6,97,1786815
6,98,24569499
6,99,1431925
6,100,1225640
7,1,20454225
7,2,11100830
7,3,1643438
7,4,1302512
7,5,2233506
7,6,2298681
7,7,1993617
7,8,1752780
7,9,3231701
7,10,8218593
7,11,2735220
7,12,1578649
7,13,1670815
7,14,15207198
7,15,1970023
7,16,1758738
7,17,1969757
7,18,1836626
7,19,1937014
7,20,1663770
7,21,3473868
7,22,3035064
7,23,1882649
7,24,2818536
7,25,1625388
