iteration,operation,ns
1,1,1732400
1,2,772860
1,3,1358094
1,4,1469118
1,5,989191
1,6,1544333
1,7,20429189
1,8,1507174
1,9,1608775
1,10,2063249
1,11,982914
1,12,1670643
1,13,1452454
1,14,1136646
1,15,29260497
1,16,10527013
1,17,1679133
1,18,1603988
1,19,1555113
1,20,5050138
1,21,1074999
1,22,1144173
1,23,1154377
1,24,28754297
1,25,1737925
1,26,8392740
1,27,1454221
1,28,1315290
1,29,1518338
1,30,1637629
1,31,1502012
1,32,29638388
1,33,1221616
1,34,1776308
1,35,1716347
1,36,22391227
1,37,980173
1,38,1270759
1,39,1413443
1,40,1201649
1,41,29100569
1,42,5496718
1,43,1289833
1,44,12539811
1,45,1097133
1,46,11340181
1,47,1329122
1,48,1130554
1,49,1521108
1,50,19782786
1,51,25839779
1,52,4203502
1,53,1306367
1,54,1336904
1,55,1260631
1,56,1560494
1,57,1439996
1,58,9385264
1,59,1572187
1,60,1342648
1,61,7105173
1,62,19252967
1,63,1291417
1,64,1353764
1,65,32264598
1,66,1834907
1,67,29963775
1,68,1846136
1,69,31659072
1,70,1403585
1,71,1209058
1,72,1328775
1,73,1351463
1,74,790233
1,75,1184384
1,76,761156
1,77,19592366
1,78,1829501
1,79,1356586
1,80,1098157
1,81,1133131
1,82,1301809
1,83,1122284
1,84,812227
1,85,1144804
1,86,1221684
1,87,1440263
1,88,9626366
1,89,1299695
1,90,6876486
1,91,1355897
1,92,872930
1,93,663136
1,94,1215243
1,95,925621
1,96,16021142
1,97,1439104
1,98,1475878
1,99,1351191
1,100,1143828
2,1,1573365
2,2,27542302
2,3,12741891
2,4,13492196
2,5,14301247
2,6,1521646
2,7,1601036
2,8,32817809
2,9,1158096
2,10,1349558
2,11,1637408
2,12,4553263
2,13,4764536
2,14,1366992
2,15,1387019
2,16,16119880
2,17,2670410
2,18,1351716
2,19,1151975
2,20,1040558
2,21,3832817
2,22,4816980
2,23,1509599
2,24,1097458
2,25,6951881
2,26,9875872
2,27,8772981
2,28,1468391
2,29,1363721
2,30,1257481
2,31,5613542
2,32,1376693
2,33,31326242
2,34,1628728
2,35,1447402
2,36,1625066
2,37,6622334
2,38,1700176
2,39,9444207
2,40,1397696
2,41,12881064
2,42,1267721
2,43,7719563
2,44,25733076
2,45,1428255
2,46,23969646
2,47,29663572
2,48,1567036
2,49,1799634
2,50,2020199
2,51,1136076
2,52,1429181
2,53,5674771
2,54,1426612
2,55,1156031
2,56,4253975
2,57,1643637
2,58,1420530
2,59,1396396
2,60,1365117
2,61,1199031
2,62,1290283
2,63,1176536
2,64,1504816
2,65,1264339
2,66,1197496
2,67,1331557
2,68,17523116
2,69,1537454
2,70,16134747
2,71,1907625
2,72,7028539
2,73,1595186
2,74,1389852
2,75,6340299
2,76,1088089
2,77,7085064
2,78,1293783
2,79,1157783
2,80,991460
2,81,5729291
2,82,905673
2,83,7373154
2,84,1541623
2,85,1030478
2,86,1019129
2,87,795879
2,88,23776011
2,89,8626864
2,90,6075651
2,91,13369028
2,92,10382564
2,93,1150892
2,94,1206096
2,95,1162688
2,96,916929
2,97,1080008
2,98,1177030
2,99,1210794
2,100,761464
3,1,18666374
3,2,1155802
3,3,1473507
3,4,1828998
3,5,28991470
3,6,11431875
3,7,21303195
3,8,1077943
3,9,1245672
3,10,1400522
3,11,35320952
3,12,1550603
3,13,1791397
3,14,1600109
3,15,20663366
3,16,1690622
3,17,1248501
3,18,1376361
3,19,6778265
3,20,1771486
3,21,869638
3,22,1036991
3,23,1448693
3,24,1593432
3,25,12128191
3,26,1111953
3,27,1339023
3,28,37642190
3,29,987633
3,30,9026491
3,31,1539206
3,32,15726685
3,33,1062979
3,34,36355285
3,35,2628392
3,36,1211013
3,37,1431886
3,38,7537762
3,39,1420922
3,40,1426397
3,41,3900447
3,42,1296603
3,43,1340894
3,44,17013392
3,45,1835275
3,46,1323862
3,47,1878343
3,48,1332426
3,49,1225267
3,50,26637748
3,51,1617739
3,52,1453986
3,53,9938388
3,54,1544380
3,55,1844494
3,56,1884856
3,57,1394505
3,58,1753252
3,59,1598816
3,60,1255882
3,61,1035321
3,62,1189707
3,63,1263326
3,64,960392
3,65,1128175
3,66,1371263
3,67,1354607
3,68,1249019
3,69,784285
3,70,4015784
3,71,9004327
3,72,1457837
3,73,1388231
3,74,1309000
3,75,1339491
3,76,3797245
3,77,22813112
3,78,1140102
3,79,23399789
3,80,18984428
3,81,1366189
3,82,1404519
3,83,1028617
3,84,10823380
3,85,1293659
3,86,1535895
3,87,1450274
3,88,845297
3,89,1167213
3,90,3845957
3,91,20813954
3,92,15580701
3,93,9743014
3,94,1575498
3,95,1325294
3,96,1247082
3,97,17416689
3,98,1329027
3,99,994958
3,100,1314313
4,1,1273211
4,2,1345297
4,3,12883087
4,4,1428013
4,5,7746917
4,6,1296736
4,7,1225318
4,8,1314290
4,9,1263835
4,10,1563019
4,11,5209473
4,12,1663329
4,13,1578047
4,14,6268169
4,15,1401356
4,16,1686211
4,17,1845168
4,18,1389946
4,19,7506020
4,20,1605398
4,21,8360640
4,22,1509196
4,23,934885
4,24,1079941
4,25,1043792
4,26,2766951
4,27,1177676
4,28,1342219
4,29,1236879
4,30,28984647
4,31,14560489
4,32,1624303
4,33,21545520
4,34,1274128
4,35,1161416
4,36,9446187
4,37,1201574
4,38,1372586
4,39,3061224
4,40,1499703
4,41,2852250
4,42,1319970
4,43,2207182
4,44,1500389
4,45,1742040
4,46,1291963
4,47,13250834
4,48,1409338
4,49,1107046
4,50,2168688
4,51,1254858
4,52,1449641
4,53,1116362
4,54,1049621
4,55,1099193
4,56,1196750
4,57,1484857
4,58,1232699
4,59,1008761
4,60,1279283
4,61,1287008
4,62,1869097
4,63,6675423
4,64,17522413
4,65,8559903
4,66,1579510
4,67,18142294
4,68,29290756
