iteration,operation,ns
1,1,9370385
1,2,4740109
1,3,13664204
1,4,19376573
1,5,6088052
1,6,8835396
1,7,6558078
1,8,4257841
1,9,5034084
1,10,9271877
1,11,10204716
1,12,8966337
1,13,21180092
1,14,8561138
1,15,6506630
1,16,10447024
1,17,9472570
1,18,6892575
1,19,6522445
1,20,6722605
1,21,4203186
1,22,5168911
1,23,4676290
1,24,8761926
1,25,6665518
1,26,4415574
1,27,9347745
1,28,9129605
1,29,8781684
1,30,17252822
1,31,5988284
1,32,10912084
1,33,9070264
1,34,16299013
1,35,7031579
1,36,10894955
1,37,8664110
1,38,9112782
1,39,4860520
1,40,6165359
1,41,8770708
1,42,4627547
1,43,4532717
1,44,14017288
1,45,11084658
1,46,9349277
1,47,5817638
1,48,9341321
1,49,10136245
1,50,5845151
1,51,6576238
1,52,23149493
1,53,9089428
1,54,12059408
1,55,10430989
1,56,6373216
1,57,17281338
1,58,7184044
1,59,4194206
1,60,9510131
1,61,8788604
1,62,8970282
1,63,11163514
1,64,5865103
1,65,9662687
1,66,20195670
1,67,14525433
1,68,9243013
1,69,4603212
1,70,6545543
1,71,6291238
1,72,4863620
1,73,8446934
1,74,9609601
1,75,7665364
1,76,6334725
1,77,8585972
1,78,6611918
1,79,6483779
1,80,4815434
1,81,9529964
1,82,7400254
1,83,5947031
1,84,4014656
1,85,9402006
1,86,6552782
1,87,12907254
1,88,7614241
1,89,22769381
1,90,6515883
1,91,20234494
1,92,4887844
1,93,4065745
1,94,13004883
1,95,6178393
1,96,8270669
1,97,8278386
1,98,5500258
1,99,10338126
1,100,8080273
2,1,7652838
2,2,4060200
2,3,18386466
2,4,8806985
2,5,8551814
2,6,14045492
2,7,8875886
2,8,13998922
2,9,19438713
2,10,6800831
2,11,3556705
2,12,4586714
2,13,9051917
2,14,4037565
2,15,4590014
2,16,13712749
2,17,8634942
2,18,7117498
2,19,11397518
2,20,20912347
2,21,9105331
2,22,5104298
2,23,6174277
2,24,4156109
2,25,5825377
2,26,8628083
2,27,10938535
2,28,11883187
2,29,3419893
2,30,4898767
2,31,16421820
2,32,4479544
2,33,9704700
2,34,8127186
2,35,7778019
2,36,8577315
2,37,7260302
2,38,8839954
2,39,8659247
2,40,5298983
2,41,3591212
2,42,9546695
2,43,24942110
2,44,11971993
2,45,6162460
2,46,4228142
2,47,8803965
2,48,8913381
2,49,4388402
2,50,22122171
2,51,8356955
2,52,5290566
2,53,7592669
2,54,7469384
2,55,6263633
2,56,10408340
2,57,6280328
2,58,8632840
2,59,4647650
2,60,6127032
2,61,8483711
2,62,11677676
2,63,5440955
2,64,6808334
2,65,6637114
2,66,9952019
2,67,9858313
2,68,4662582
2,69,3667329
2,70,16722758
2,71,8349393
2,72,11982979
2,73,6736727
2,74,12397203
2,75,6304592
2,76,19287168
2,77,14253523
2,78,4472570
2,79,4431922
2,80,24618070
2,81,11427162
2,82,8817434
2,83,4995569
2,84,6585514
2,85,9443422
2,86,4483399
2,87,5576442
2,88,8272103
2,89,4857807
2,90,8072244
2,91,6002748
2,92,8836838
2,93,8720160
2,94,6070556
2,95,3400174
2,96,9973289
2,97,5421066
2,98,3543657
2,99,7413336
2,100,14187708
3,1,8236262
3,2,9269671
3,3,6196566
3,4,9350702
3,5,8868318
3,6,8778690
3,7,3569950
3,8,8043595
3,9,7266493
3,10,8526850
3,11,6931020
3,12,9366708
3,13,6457526
3,14,6304684
3,15,5357661
3,16,9642599
3,17,9922572
3,18,12257456
3,19,3974606
3,20,6538017
3,21,6415060
3,22,6453728
3,23,6337144
3,24,6252061
3,25,5499283
3,26,8384885
3,27,9143729
3,28,12546635
3,29,6678774
3,30,4237651
3,31,6680608
3,32,8606583
3,33,11755890
3,34,5311427
3,35,6188526
3,36,5652038
3,37,9496797
3,38,7393388
3,39,16029693
3,40,3528097
3,41,5916780
3,42,10624158
3,43,11237830
3,44,7059309
3,45,11050281
3,46,3517783
3,47,5034086
3,48,11231245
3,49,15823624
3,50,9198919
3,51,8799720
3,52,22883151
3,53,16563519
3,54,7203642
3,55,12109350
3,56,10254595
3,57,8600424
3,58,6408587
3,59,10796364
3,60,8947819
3,61,10767063
3,62,6702230
3,63,3828034
3,64,5052198
3,65,8691649
3,66,9225085
3,67,6739228
3,68,18923383
3,69,3612376
3,70,6632469
3,71,5730533
3,72,6655487
3,73,6847026
3,74,4682645
3,75,5786085
3,76,13045788
3,77,8605877
3,78,7903701
3,79,6960927
3,80,5167668
3,81,5035011
3,82,15964894
3,83,8626051
3,84,4974426
3,85,9520443
3,86,14349460
3,87,5337557
3,88,8410328
3,89,23857894
3,90,9151558
3,91,11956646
3,92,15711316
3,93,7712463
3,94,7162897
3,95,7071927
3,96,9283053
3,97,8154922
3,98,24940525
3,99,6414219
3,100,7386146
4,1,6045149
4,2,14185675
4,3,6577226
4,4,7056664
4,5,7550772
4,6,22438868
4,7,5037150
4,8,6561084
4,9,8659035
4,10,4220244
4,11,20749527
4,12,4365669
4,13,6398539
4,14,23713465
4,15,14453014
4,16,6490170
4,17,6104430
4,18,19441495
4,19,8638540
4,20,7034102
4,21,24321995
4,22,8060502
4,23,8437841
4,24,6830467
4,25,12092840
4,26,6876446
4,27,6657628
4,28,11499267
4,29,6410043
4,30,4232436
4,31,6019237
4,32,9506601
4,33,5678016
4,34,8652338
4,35,5122789
4,36,6807721
4,37,6663990
4,38,9094950
4,39,9176593
4,40,8097087
4,41,9293583
4,42,6499268
4,43,13308490
4,44,3201133
4,45,4851029
4,46,6392237
4,47,4509050
4,48,6911216
4,49,6547824
4,50,6412013
4,51,16635061
4,52,5057423
4,53,8225055
4,54,9883092
4,55,4541803
4,56,4719425
4,57,6895192
4,58,4935210
4,59,9946360
4,60,4181391
4,61,6839766
4,62,9227708
4,63,6823999
4,64,8710069
4,65,9379837
4,66,11094504
4,67,6172701
4,68,2982629
4,69,5986848
4,70,6274970
4,71,5344947
4,72,12898252
4,73,6448183
4,74,4202586
4,75,9700322
4,76,6232493
4,77,16799993
4,78,11370089
4,79,11168513
4,80,8641932
4,81,8914896
4,82,22874773
4,83,6168239
4,84,6565315
4,85,5683863
4,86,8047733
4,87,8248550
4,88,3967656
4,89,9691089
4,90,5138773
4,91,5017728
4,92,3887068
4,93,4879486
4,94,9029946
4,95,4771227
4,96,8262134
4,97,5746348
4,98,3060377
4,99,3936664
4,100,11038386
5,1,6301636
5,2,6720294
5,3,8071940
5,4,7051241
5,5,9034259
5,6,4202692
5,7,6502907
5,8,9810685
5,9,9585296
5,10,9202615
5,11,7977635
5,12,6499880
5,13,5699998
5,14,3655000
5,15,5833758
5,16,6162427
5,17,6577741
5,18,8556740
5,19,5965107
5,20,4542053
5,21,4752942
5,22,6745941
5,23,6522279
5,24,8562518
5,25,4621943
5,26,20007104
5,27,4635923
5,28,9149533
5,29,7490736
5,30,6196744
5,31,9050295
5,32,6715827
5,33,24454773
5,34,5773588
5,35,9186521
5,36,8761395
5,37,4591933
5,38,8615108
