iteration,operation,ns
1,1,10025034
1,2,3640301
1,3,8949165
1,4,9828352
1,5,4462788
1,6,9263831
1,7,4080629
1,8,2058132
1,9,2446265
1,10,8312123
1,11,8444598
1,12,12829799
1,13,12391520
1,14,2678423
1,15,2712861
1,16,2780692
1,17,4897700
1,18,8363304
1,19,3115546
1,20,2792964
1,21,8580599
1,22,5448573
1,23,2211548
1,24,8054742
1,25,8603083
1,26,8853018
1,27,3230299
1,28,3031193
1,29,3081978
1,30,9085701
1,31,10334656
1,32,8653439
1,33,10889023
1,34,5563707
1,35,8687165
1,36,10109819
1,37,6046352
1,38,2847621
1,39,2776584
1,40,18120321
1,41,12571577
1,42,9787391
1,43,10285688
1,44,9832569
1,45,13317664
1,46,15872553
1,47,2723319
1,48,9053513
1,49,5652805
1,50,8381174
1,51,9025492
1,52,5885299
1,53,11367179
1,54,2641771
1,55,1638051
1,56,12787103
1,57,2832091
1,58,6511650
1,59,2398536
1,60,7445033
1,61,8786471
1,62,3308203
1,63,8729554
1,64,1978401
1,65,2880993
1,66,10538534
1,67,2906113
1,68,8630016
1,69,5104179
1,70,9220200
1,71,1723447
1,72,2583203
1,73,10975246
1,74,3190958
1,75,6592312
1,76,2559941
1,77,8737172
1,78,3327961
1,79,2557853
1,80,2899318
1,81,2827250
1,82,7952647
1,83,2482785
1,84,8230409
1,85,12002777
1,86,9063814
1,87,3044434
1,88,5437677
1,89,7545481
1,90,8245435
1,91,5137404
1,92,6838100
1,93,9213523
1,94,10426050
1,95,7459060
1,96,2842044
1,97,7889859
1,98,2561360
1,99,7070670
1,100,9180618
2,1,11295370
2,2,3450434
2,3,10122021
2,4,2849385
2,5,2905005
2,6,2698470
2,7,3325643
2,8,2509407
2,9,5654892
2,10,7992725
2,11,2769851
2,12,8776236
2,13,8971995
2,14,9412063
2,15,9140079
2,16,3530512
2,17,11072229
2,18,9557194
2,19,8388132
2,20,3561019
2,21,3033314
2,22,11034356
2,23,7993916
2,24,10524368
2,25,8618040
2,26,2676759
2,27,5315057
2,28,2613487
2,29,2599809
2,30,2615553
2,31,2611018
2,32,2960496
2,33,1914468
2,34,8378761
2,35,11674495
2,36,14810277
2,37,2756281
2,38,12967997
2,39,2386655
2,40,10991195
2,41,2707442
2,42,2705743
2,43,2801152
2,44,2747860
2,45,7199857
2,46,2931356
2,47,9108187
2,48,2418085
2,49,9402121
2,50,9596611
2,51,3709460
2,52,2565856
2,53,2492510
2,54,2548131
2,55,5996351
2,56,2737060
2,57,2267619
2,58,2601559
2,59,1564734
2,60,5634175
2,61,8294036
2,62,2367612
2,63,3403832
2,64,4521681
2,65,12856163
2,66,7988767
2,67,13188583
2,68,1912585
2,69,1865804
2,70,8269503
2,71,3516379
2,72,1996154
2,73,2256632
2,74,8800391
2,75,12112133
2,76,1868438
2,77,2363499
2,78,4523014
2,79,3161230
2,80,1555281
2,81,9545660
2,82,5568939
2,83,2877465
2,84,7626830
2,85,2948463
2,86,7732302
2,87,5016966
2,88,2593185
2,89,10119799
2,90,2587475
2,91,1669505
2,92,3074941
2,93,8764302
2,94,3454210
2,95,13537637
2,96,3154402
2,97,9570468
2,98,11207341
2,99,11761537
2,100,8432426
3,1,8714215
3,2,8801243
3,3,12762532
3,4,2477940
3,5,7778105
3,6,8679563
3,7,2376344
3,8,13234688
3,9,8412444
3,10,3326847
3,11,2733433
3,12,8541213
3,13,7875130
3,14,3345010
3,15,3974154
3,16,1996933
3,17,12181356
3,18,1750311
3,19,9655027
3,20,8120774
3,21,1818107
3,22,2865960
3,23,10961048
3,24,2380994
3,25,1749175
3,26,8506409
3,27,2854842
3,28,11294524
3,29,3399972
3,30,3412944
3,31,3913597
3,32,2504081
3,33,2945954
3,34,8102871
3,35,10515212
3,36,2071496
3,37,2688194
3,38,5961040
3,39,9436013
3,40,9959070
3,41,2966306
3,42,2257766
3,43,9249949
3,44,8840514
3,45,2743964
3,46,2809276
3,47,10221156
3,48,2407161
3,49,8323992
3,50,8373337
3,51,4583327
3,52,3764377
3,53,2353114
3,54,4388973
3,55,8780472
3,56,7911076
