iteration,operation,ns
1,1,3229111
1,2,2720730
1,3,6947313
1,4,3749711
1,5,2796541
1,6,2337915
1,7,8781911
1,8,3258455
1,9,2948905
1,10,3408794
1,11,3392823
1,12,10473607
1,13,2308786
1,14,8700364
1,15,2604103
1,16,2271675
1,17,4334124
1,18,2122115
1,19,3939375
1,20,3018129
1,21,12066872
1,22,6787007
1,23,3500794
1,24,3103723
1,25,2989190
1,26,7846465
1,27,2990311
1,28,3163004
1,29,5449283
1,30,4321525
1,31,2064181
1,32,2803784
1,33,8882373
1,34,1964009
1,35,2921478
1,36,3155079
1,37,3442516
1,38,1942818
1,39,2944286
1,40,7182659
1,41,4147055
1,42,2996766
1,43,3769499
1,44,4420410
1,45,3350196
1,46,3165498
1,47,7727956
1,48,9247680
1,49,3179037
1,50,3131659
1,51,3446554
1,52,8954231
1,53,3990980
1,54,4043015
1,55,7462829
1,56,3810663
1,57,2225003
1,58,3749848
1,59,2701680
1,60,2410115
1,61,3248241
1,62,3943803
1,63,2956207
1,64,4344549
1,65,5320642
1,66,2682529
1,67,3152574
1,68,8593800
1,69,2735805
1,70,3378148
1,71,8075988
1,72,8626183
1,73,3357597
1,74,4215303
1,75,3066859
1,76,3516674
1,77,10818790
1,78,4817576
1,79,1924748
1,80,3131241
1,81,11280278
1,82,3320430
1,83,7946934
1,84,3165751
1,85,3028189
1,86,4271386
1,87,7571150
1,88,7482234
1,89,4377467
1,90,5282279
1,91,4035174
1,92,3315454
1,93,5076528
1,94,3688009
1,95,3478792
1,96,8753106
1,97,6861103
1,98,3700766
1,99,4113222
1,100,3293369
2,1,4568754
2,2,3576877
2,3,2793087
2,4,2596208
2,5,7389067
2,6,8717075
2,7,8518502
2,8,2936483
2,9,3177040
2,10,2375052
2,11,4875513
2,12,3489582
2,13,2022520
2,14,3429605
2,15,3083980
2,16,3393141
2,17,8190079
2,18,3303510
2,19,3296714
2,20,4012195
2,21,4162638
2,22,3514780
2,23,11713869
2,24,4104091
2,25,4208406
2,26,3208020
2,27,3857474
2,28,3380134
2,29,3023763
2,30,3362598
2,31,3796123
2,32,3845234
2,33,3145176
2,34,1873923
2,35,6330979
2,36,2713721
2,37,2966646
2,38,3569810
2,39,3592602
2,40,3558696
2,41,4541000
2,42,3696851
2,43,2441946
2,44,1698570
2,45,10491492
2,46,5358057
2,47,4246792
2,48,3468023
2,49,8630987
2,50,4487237
2,51,2585084
2,52,9500122
2,53,3807151
2,54,2602885
2,55,3095068
2,56,3247904
2,57,3934719
2,58,8332216
2,59,3323095
2,60,3323141
2,61,4448134
2,62,5117074
2,63,3870380
2,64,2802498
2,65,3571772
2,66,3345755
2,67,3897960
2,68,3176012
2,69,2961969
2,70,3295792
2,71,10934650
2,72,3736607
2,73,2490605
2,74,11009778
2,75,12093472
2,76,2767294
2,77,7301729
2,78,7948779
2,79,3096554
2,80,1748765
2,81,3098668
2,82,3535082
2,83,13165809
2,84,2967787
2,85,4570051
2,86,7873591
2,87,2908754
2,88,2535523
2,89,2468313
2,90,2857040
2,91,3866399
2,92,5095618
2,93,3891337
2,94,4570500
2,95,7677669
2,96,3316816
2,97,6746082
2,98,2357721
2,99,3696632
2,100,4060470
3,1,2397975
3,2,3723088
3,3,3829353
3,4,8466499
3,5,3190983
3,6,3085453
3,7,4982735
3,8,3515333
3,9,7559946
3,10,8481164
3,11,2877932
3,12,1533771
3,13,3394487
3,14,2804926
3,15,2035333
3,16,2375575
3,17,7505769
3,18,4631796
3,19,2723161
3,20,3938813
3,21,8848309
3,22,3708992
3,23,4168853
3,24,3081083
3,25,2804555
3,26,1682859
3,27,1939015
3,28,4605018
3,29,8437799
3,30,7766807
3,31,4156383
3,32,8615552
3,33,7277943
3,34,8446645
3,35,5235496
3,36,2791542
3,37,4205828
3,38,4452997
3,39,7607180
3,40,3069991
3,41,3652321
3,42,2833442
3,43,6922047
3,44,3018136
3,45,3775411
3,46,3851526
3,47,9257691
3,48,7579669
3,49,3648077
3,50,3004155
3,51,2943124
3,52,3155472
3,53,5069905
3,54,4157560
3,55,3040613
3,56,9074277
3,57,4074718
3,58,5156392
3,59,4141557
3,60,3181476
3,61,1739918
3,62,3332955
3,63,4945836
3,64,2931961
3,65,3975787
3,66,5248642
3,67,3458108
3,68,2983977
3,69,10460758
3,70,4835486
3,71,2868137
3,72,4745362
3,73,3372253
3,74,9885252
3,75,3342189
3,76,5430210
3,77,12875254
3,78,3204864
3,79,3321228
3,80,13215342
3,81,1979811
3,82,3618040
3,83,4666509
3,84,4324017
3,85,2934406
3,86,3972130
3,87,3081152
3,88,4331945
3,89,3293785
3,90,5123929
3,91,2106390
3,92,3908624
3,93,3852404
3,94,2475249
3,95,2797105
3,96,2484636
3,97,6921926
3,98,2378254
3,99,1873260
3,100,1942294
4,1,2442950
4,2,3156174
4,3,2557828
4,4,3490862
4,5,4317200
4,6,3778761
4,7,3888806
4,8,3380788
4,9,4672907
4,10,4370947
4,11,3304150
4,12,4608151
4,13,2671507
4,14,2832207
4,15,3166272
4,16,11247855
4,17,13132216
4,18,3250216
4,19,3222457
4,20,2846494
4,21,3161709
4,22,3391469
4,23,6042945
4,24,10986316
4,25,3749746
4,26,4277931
4,27,10507013
4,28,2333380
4,29,5888640
4,30,3141613
4,31,2878993
4,32,8664095
4,33,5077608
4,34,2954176
4,35,2024299
4,36,3907133
4,37,2457848
4,38,5097904
4,39,3371641
4,40,7638110
4,41,3605351
4,42,4455620
4,43,3280947
4,44,10149416
4,45,12216064
4,46,2367681
4,47,1865634
4,48,3561365
4,49,6891050
4,50,3782705
4,51,4791369
4,52,10439116
4,53,12076923
4,54,2619262
4,55,7960749
4,56,3294181
4,57,3923027
4,58,3655176
4,59,3411824
4,60,3576623
4,61,8151138
4,62,4007121
4,63,3442313
4,64,4969198
4,65,3235357
4,66,2577323
4,67,2503284
4,68,4278045
4,69,3354734
4,70,5682886
4,71,1868767
4,72,4494553
4,73,4599727
4,74,4651891
4,75,8909490
4,76,16158359
4,77,4084094
4,78,3470245
4,79,1801017
4,80,3455909
4,81,3348836
4,82,6014305
4,83,3325750
4,84,11673637
4,85,3632991
4,86,4055730
4,87,4144201
4,88,3416957
4,89,2881751
4,90,3154983
4,91,7634837
4,92,3936883
4,93,4078978
4,94,11347322
4,95,3047822
4,96,7435188
4,97,2888036
4,98,2919827
4,99,2999277
4,100,4670771
5,1,3604537
5,2,3045537
5,3,8830721
5,4,3683816
5,5,4211249
5,6,3310146
5,7,3762895
5,8,4577988
5,9,4563378
5,10,4845137
5,11,2639599
5,12,2857387
5,13,3234707
5,14,3961537
5,15,9828941
5,16,3738786
5,17,3939980
5,18,2734313
5,19,7912145
5,20,2664782
5,21,3277986
5,22,2597509
5,23,3247274
5,24,3733645
5,25,8967040
5,26,7168280
5,27,10465912
5,28,9073088
5,29,2889431
5,30,3029749
5,31,3659630
5,32,8301842
5,33,5084988
5,34,2623479
5,35,3877298
5,36,5582423
5,37,2540401
5,38,5829865
5,39,3076719
5,40,11268731
5,41,7948660
5,42,9189689
5,43,6981833
5,44,3363227
5,45,3142745
5,46,3419032
5,47,3086627
5,48,2287909
5,49,4042110
5,50,11278785
5,51,3477771
5,52,3963267
5,53,8304569
5,54,2839496
5,55,3726165
5,56,2255083
5,57,2907306
5,58,3151663
5,59,2598609
5,60,2863718
5,61,8945285
5,62,4621619
5,63,2861414
5,64,10346206
5,65,2645928
5,66,5006031
5,67,2831439
5,68,7568597
5,69,2877026
5,70,2913533
5,71,2355134
5,72,7751130
5,73,1879831
5,74,8415737
5,75,8758116
5,76,4970641
5,77,9288981
5,78,8329232
5,79,2879963
5,80,4639005
5,81,3175646
5,82,3986968
5,83,3996616
5,84,2521299
5,85,5524598
5,86,3611615
5,87,3696565
5,88,2618237
5,89,2526736
5,90,3217771
5,91,3373694
5,92,3183783
5,93,4780145
5,94,6308259
5,95,3380421
5,96,1665740
