iteration,operation,ns
1,1,6321328
1,2,10872433
1,3,6389018
1,4,8597391
1,5,13329005
1,6,8345238
1,7,6449749
1,8,8802913
1,9,15137587
1,10,6273746
1,11,11485835
1,12,5837809
1,13,20768037
1,14,8893785
1,15,13067966
1,16,9015345
1,17,8074065
1,18,13701615
1,19,10652296
1,20,15321078
1,21,8397742
1,22,10731882
1,23,10554526
1,24,10808924
1,25,10143150
1,26,8794942
1,27,15858225
1,28,17189369
1,29,8170609
1,30,17814358
1,31,6199253
1,32,8153723
1,33,5814537
1,34,13637992
1,35,15853817
1,36,14119440
1,37,12083329
1,38,10598326
1,39,9108583
1,40,7083276
1,41,5735132
1,42,6150072
1,43,11014981
1,44,10262639
1,45,10891270
1,46,15709583
1,47,10490832
1,48,13184698
1,49,12773764
1,50,8837879
1,51,18756380
1,52,12914768
1,53,8768233
1,54,6220514
1,55,8524124
1,56,18778100
1,57,18502036
1,58,7959668
1,59,14375240
1,60,8730607
1,61,7972741
1,62,19921724
1,63,13611914
1,64,8033462
1,65,10234906
1,66,8857650
1,67,7789509
1,68,6823891
1,69,8413612
1,70,8712704
1,71,11226233
1,72,6342318
1,73,11556189
1,74,13364896
1,75,8555048
1,76,12790189
1,77,8233180
1,78,10647667
1,79,14969047
1,80,8096906
1,81,12944404
1,82,21504461
1,83,6387959
1,84,8923705
1,85,12731528
1,86,15920215
1,87,14007319
1,88,7684849
1,89,7482070
1,90,12216254
1,91,14156482
1,92,5947224
1,93,14804367
1,94,7622865
1,95,7391355
1,96,7238448
1,97,6793262
1,98,8773264
1,99,6796648
1,100,6201479
2,1,8211484
2,2,13263747
2,3,10447652
2,4,13106154
2,5,15884499
2,6,6544171
2,7,6027448
2,8,9071575
2,9,15700129
2,10,10912156
2,11,8013271
2,12,8149044
2,13,7659121
2,14,8324904
2,15,8316076
2,16,8258604
2,17,14115285
2,18,8287506
2,19,13394702
2,20,12920817
2,21,13421233
2,22,13329404
2,23,6929809
2,24,8847094
2,25,6333419
2,26,10310082
2,27,13580865
2,28,12419673
2,29,8782364
2,30,6323074
2,31,13819810
2,32,9416344
2,33,10628188
2,34,19171289
2,35,8927057
2,36,12734608
2,37,8007080
2,38,21624998
2,39,16608089
2,40,7789228
2,41,8813581
2,42,10465718
2,43,8700195
2,44,7884277
2,45,5424732
2,46,10927659
2,47,13129474
2,48,8432713
2,49,5549057
2,50,5733301
2,51,7757178
2,52,11088978
2,53,8092295
2,54,8245160
2,55,6527030
2,56,6565289
2,57,15923533
2,58,8526747
2,59,22955710
2,60,8492418
2,61,5708390
2,62,11288435
2,63,8730759
2,64,9723290
2,65,11615593
2,66,13007240
2,67,17298190
2,68,7731688
2,69,9247324
2,70,10596339
2,71,8793485
2,72,8324994
2,73,7967545
2,74,13371551
2,75,9016273
2,76,13703046
2,77,12769192
2,78,9027534
2,79,11238707
2,80,8840776
2,81,6386106
2,82,10916742
2,83,6403824
2,84,6796777
2,85,8408839
2,86,17115967
2,87,17017693
2,88,5397566
2,89,10131601
2,90,9691842
2,91,8741995
2,92,7886465
2,93,8153801
2,94,10576377
2,95,6463208
2,96,6505861
2,97,16248078
2,98,12675399
2,99,12523993
2,100,9261341
3,1,8515627
3,2,10795597
