iteration,operation,ns
1,1,14319972
1,2,5221845
1,3,17309442
1,4,20701639
1,5,8254589
1,6,10724207
1,7,11166677
1,8,9571183
1,9,7320394
1,10,17157302
1,11,21737692
1,12,7200547
1,13,9557308
1,14,18711475
1,15,7598564
1,16,19201978
1,17,11351137
1,18,21925937
1,19,16092792
1,20,7116699
1,21,9612117
1,22,10214002
1,23,10571890
1,24,8827483
1,25,13519636
1,26,11119842
1,27,5868869
1,28,14547065
1,29,17461148
1,30,11319080
1,31,10027885
1,32,16696414
1,33,12332854
1,34,18226400
1,35,7588725
1,36,13001610
1,37,21087989
1,38,10150930
1,39,8242409
1,40,10731364
1,41,14076470
1,42,10926906
1,43,12345212
1,44,8068280
1,45,7510247
1,46,10253605
1,47,15168957
1,48,14229955
1,49,19714915
1,50,22805683
1,51,11167172
1,52,10271189
1,53,10842272
1,54,19533774
1,55,11248494
1,56,18398993
1,57,20501761
1,58,16906350
1,59,18603503
1,60,12557731
1,61,23078034
1,62,19166396
1,63,7955480
1,64,7652142
1,65,12592064
1,66,13188577
1,67,10511349
1,68,12901070
1,69,16769616
1,70,29379685
1,71,8266769
1,72,14696407
1,73,15199372
1,74,15703723
1,75,14391528
1,76,7449781
1,77,4711022
1,78,17368289
1,79,12291393
1,80,14984364
1,81,19488965
1,82,9814376
1,83,10886234
1,84,15563023
1,85,8410318
1,86,8191866
1,87,11841518
1,88,11535074
1,89,7664519
1,90,9808899
1,91,22356285
1,92,8337350
1,93,15724460
1,94,7661163
1,95,17068970
1,96,19110296
1,97,10507273
1,98,12559094
1,99,7459614
1,100,11430892
2,1,18602371
2,2,8333880
2,3,8154365
2,4,8151734
2,5,8881297
2,6,12434164
2,7,9870378
2,8,16118762
2,9,21364714
2,10,14407676
2,11,14983060
2,12,19554079
2,13,9888978
2,14,8230217
2,15,22349581
2,16,5186872
2,17,8084519
2,18,16831507
2,19,12748274
2,20,7558951
2,21,9789134
2,22,16562456
2,23,12005354
2,24,10730603
2,25,13120020
2,26,10158369
2,27,15517770
2,28,8471944
2,29,9524052
2,30,5434204
2,31,23014139
2,32,14032433
2,33,17793546
2,34,15737444
2,35,8476281
2,36,15203229
2,37,10411720
2,38,7800553
2,39,17824066
2,40,10000174
2,41,8227584
2,42,20869476
2,43,7252048
2,44,7043381
2,45,7484844
2,46,22972134
2,47,9926770
2,48,10218980
2,49,15500527
2,50,13705489
2,51,11526680
2,52,17030979
2,53,18447085
2,54,10895927
2,55,17214494
2,56,7720173
2,57,12966071
2,58,8908030
2,59,12421503
2,60,16598467
2,61,12042876
2,62,15840313
2,63,8668919
2,64,10110781
2,65,15972123
2,66,9926112
2,67,9972208
2,68,17689931
2,69,7940524
2,70,22908530
2,71,10808149
2,72,9525685
2,73,27177211
2,74,5128642
2,75,10140243
2,76,10842773
2,77,7893538
2,78,17153631
2,79,8342178
2,80,16386672
2,81,10317651
2,82,17717188
2,83,8680089
2,84,7963441
2,85,10692893
2,86,7892983
2,87,21027460
2,88,12558712
2,89,8130436
2,90,16454557
2,91,16224851
2,92,7991066
2,93,7587131
2,94,7957863
2,95,10669704
2,96,12611259
2,97,24287620
2,98,10240006
2,99,8859400
2,100,11978453
3,1,7500956
3,2,21819199
3,3,18282330
3,4,16083697
3,5,10423140
3,6,8716157
3,7,17602124
3,8,17624574
3,9,10729728
3,10,9740308
3,11,17323557
3,12,12406891
3,13,7613925
3,14,16079607
3,15,16583269
3,16,11457084
3,17,9959102
3,18,10032634
3,19,11076761
3,20,7789939
3,21,8627964
3,22,14089349
3,23,14378230
3,24,22772593
3,25,19826927
3,26,17055529
3,27,17536557
3,28,10867075
3,29,12815146
3,30,8032451
3,31,20759493
3,32,5135843
3,33,12933379
3,34,13222070
3,35,7597716
3,36,7850245
3,37,17350482
3,38,19706822
3,39,17848736
3,40,7437980
3,41,8140743
3,42,16173708
3,43,19296360
3,44,18065974
3,45,8256031
3,46,14041719
3,47,10147554
3,48,7575535
3,49,7767835
3,50,12572132
3,51,22138733
3,52,19393156
3,53,20933719
3,54,17489080
3,55,19087357
3,56,8803732
3,57,7522730
3,58,10066539
3,59,5320397
3,60,17660734
3,61,10374039
3,62,17381964
3,63,22706321
3,64,16829433
3,65,11239930
3,66,13085167
3,67,7399962
3,68,19119855
3,69,7682449
3,70,10493919
3,71,5526373
3,72,4848811
3,73,14134856
3,74,10975617
3,75,18927913
3,76,19854133
3,77,7962711
3,78,10172193
3,79,11112961
3,80,7481880
3,81,17420116
3,82,16899693
3,83,7888952
3,84,7442162
3,85,8639602
3,86,7589228
3,87,11509253
3,88,17050592
3,89,16436494
3,90,18252731
3,91,8152563
3,92,8509766
3,93,12716895
3,94,10121835
3,95,7792599
3,96,10951267
3,97,13991678
3,98,7569183
3,99,17193200
3,100,10189406
4,1,7916527
4,2,10042164
4,3,7947556
4,4,10904974
4,5,11747897
4,6,9523915
4,7,25706365
4,8,7894256
4,9,8104674
4,10,13918093
4,11,19311989
4,12,7646041
4,13,8224160
4,14,7746911
4,15,7172074
4,16,7972385
4,17,18682110
4,18,13637178
4,19,13463105
4,20,10700857
4,21,14552424
4,22,16977789
4,23,8997527
4,24,12834411
4,25,7545446
4,26,8295685
4,27,7626177
4,28,7805301
4,29,12749539
4,30,16602584
4,31,12334196
4,32,21613795
4,33,19111892
4,34,17949487
4,35,7829915
4,36,9323398
4,37,11444922
4,38,7188032
4,39,18922940
4,40,12199094
4,41,9460632
4,42,11690203
4,43,11001845
4,44,7886851
4,45,18898721
4,46,12605795
4,47,18479710
4,48,15356392
4,49,7127571
4,50,19116041
4,51,7562734
4,52,17311318
4,53,19489459
4,54,13131341
4,55,21275579
4,56,8346907
4,57,21831863
4,58,19018607
4,59,12905497
4,60,10368862
4,61,9935617
4,62,18944172
4,63,12621621
4,64,18319978
4,65,19127930
4,66,14554772
4,67,12259020
4,68,18915349
4,69,4924301
4,70,13279891
4,71,16072592
4,72,8023909
4,73,10022109
4,74,10068969
4,75,23341299
4,76,24540980
4,77,9889043
4,78,15191822
4,79,9200164
4,80,8020027
4,81,13363815
4,82,11359342
4,83,12748729
4,84,16597132
4,85,9297807
4,86,11836764
4,87,12844508
4,88,8422455
4,89,7165866
4,90,10447261
4,91,11191034
4,92,19098875
4,93,16236976
4,94,13264891
4,95,9383656
4,96,10041883
4,97,10645874
4,98,9690111
4,99,8121949
4,100,7162339
5,1,10287787
5,2,11026806
5,3,17797091
5,4,11100328
5,5,12537458
5,6,17952070
5,7,9222207
5,8,20453006
5,9,19485658
5,10,10953938
5,11,4769108
5,12,7874997
5,13,8540555
5,14,14060464
5,15,7278137
5,16,18250469
5,17,8045987
5,18,29033259
5,19,16721007
5,20,11128831
5,21,9693498
5,22,16160110
5,23,20896086
5,24,7654099
5,25,10723486
5,26,5142894
5,27,12303673
5,28,27974023
5,29,10435740
5,30,7302034
5,31,19579439
5,32,8923620
5,33,9208124
5,34,10330206
5,35,13640860
5,36,14877303
5,37,14057081
5,38,18807851
5,39,19215435
5,40,10251389
5,41,25847412
5,42,9911788
5,43,8077192
5,44,7429077
5,45,6744400
5,46,14132240
5,47,7066812
5,48,8103015
5,49,7641019
5,50,9537938
5,51,9437837
5,52,16053274
5,53,20488277
5,54,16071759
5,55,19638991
5,56,16391635
5,57,14044123
5,58,9486510
5,59,7586714
5,60,9997879
5,61,16875266
5,62,18674886
5,63,7358629
5,64,7310415
5,65,9840393
5,66,10431846
5,67,20600526
5,68,21003437
5,69,10411391
5,70,24812784
5,71,10673898
5,72,9835224
5,73,19077579
5,74,7719714
5,75,12764574
5,76,10886285
5,77,16686029
5,78,17925611
5,79,7807747
5,80,11247065
5,81,12601384
5,82,19958805
5,83,7131117
5,84,11058043
5,85,18043016
5,86,8036539
5,87,22441493
5,88,7782582
5,89,10183890
5,90,11684653
5,91,11423014
5,92,4940162
5,93,13369241
5,94,4841808
5,95,7862802
5,96,7876678
5,97,14684396
5,98,7398294
5,99,15786634
5,100,11650829
6,1,7274613
6,2,9402189
6,3,8055304
6,4,10104681
6,5,10610137
6,6,12798968
6,7,10005191
6,8,9467731
6,9,12474139
6,10,25453961
6,11,7508655
6,12,19208047
6,13,9998583
6,14,12241989
6,15,18551394
6,16,10265600
6,17,7663144
6,18,18808386
6,19,13455899
6,20,7949770
6,21,5118877
6,22,20007247
6,23,14534506
6,24,16021045
6,25,16120939
6,26,14318922
6,27,7472758
6,28,19987825
6,29,15178829
6,30,14391194
6,31,12541871
6,32,11534652
6,33,19150864
6,34,5244544
6,35,9557301
6,36,12782607
6,37,7375698
6,38,8014408
6,39,8073402
6,40,5045187
6,41,19939711
6,42,11592437
6,43,11755925
6,44,7341765
6,45,16641821
6,46,10784028
6,47,17652989
6,48,5189486
6,49,17095728
6,50,12903104
6,51,9862002
6,52,13460164
6,53,18973485
6,54,23946779
6,55,10507116
6,56,10409269
6,57,9704468
6,58,19312294
6,59,10795149
6,60,12697195
6,61,21506517
6,62,10577051
6,63,20036983
6,64,7084832
6,65,17997738
6,66,12430084
6,67,21193079
6,68,10381405
6,69,7532899
6,70,19107533
6,71,14178459
6,72,22345296
6,73,12319341
6,74,12542172
6,75,15125515
6,76,8123392
6,77,12383905
6,78,14577200
6,79,21737401
6,80,10806692
6,81,14697648
6,82,7673422
6,83,5330292
6,84,10586437
6,85,7273952
6,86,12672128
6,87,17840003
6,88,9735980
6,89,9719841
6,90,7235403
6,91,14847390
6,92,8863417
6,93,16710817
6,94,12359841
6,95,16701174
6,96,7342171
6,97,7216710
6,98,9295886
6,99,11910766
6,100,10495217
7,1,20338907
7,2,7781591
7,3,11142358
7,4,8332512
7,5,18593652
7,6,10943237
7,7,8927962
7,8,7375491
7,9,16182641
7,10,7884332
7,11,10997632
7,12,8328540
7,13,5084285
7,14,8436446
7,15,19409748
7,16,7759824
7,17,19380283
7,18,23813335
7,19,17571358
7,20,9917519
7,21,18174012
7,22,20191369
7,23,11104804
7,24,7145991
7,25,7298786
7,26,7650921
7,27,17880713
7,28,8138426
7,29,11662584
7,30,10546572
7,31,18953402
7,32,9787491
7,33,7976600
7,34,13400459
7,35,16690626
7,36,11024900
7,37,8434358
7,38,7359203
7,39,7460418
7,40,5302302
7,41,21313517
7,42,17513925
7,43,10970571
7,44,9085801
7,45,16686899
7,46,7484997
7,47,13350787
7,48,9991847
7,49,8028862
7,50,10029942
7,51,7190184
7,52,16598884
7,53,8071893
7,54,18062008
7,55,7952947
7,56,7902484
7,57,11010504
7,58,5277160
7,59,19191061
7,60,21318053
7,61,18760084
7,62,24126629
7,63,17288190
7,64,7928932
7,65,8308593
7,66,12344673
7,67,22698325
7,68,19573172
7,69,7687464
7,70,11204886
7,71,7362497
7,72,17952413
7,73,9542733
7,74,11208266
7,75,12278429
7,76,20086336
7,77,9546037
7,78,16657498
7,79,10115185
7,80,19063498
7,81,14915313
7,82,10115966
7,83,8105371
7,84,17417659
7,85,8027547
7,86,11259007
7,87,13179541
7,88,9153201
7,89,16474798
7,90,13448499
7,91,14683700
7,92,7930327
7,93,7336071
7,94,19618044
7,95,9570299
7,96,11118983
7,97,7546176
7,98,12531442
7,99,8225794
7,100,19147356
8,1,7760400
8,2,8216800
8,3,7599459
8,4,8606718
8,5,8261074
8,6,16816440
8,7,13215929
8,8,13316310
8,9,14017027
8,10,9946007
8,11,19322267
8,12,5343905
8,13,4726854
8,14,14096746
8,15,9631828
8,16,16859227
8,17,17751994
8,18,17385154
8,19,17188746
8,20,14533308
8,21,7938576
8,22,11055155
8,23,21839740
8,24,18935277
8,25,24133845
8,26,16601301
8,27,22124140
8,28,7943553
8,29,8158006
8,30,19103295
8,31,19044568
8,32,16852978
8,33,15268481
8,34,14837494
8,35,5028702
8,36,9792527
8,37,12913142
8,38,14964570
8,39,8799851
8,40,12150159
8,41,9379629
8,42,25522474
8,43,21545541
8,44,11663399
8,45,7421083
8,46,12063745
8,47,8704692
8,48,9795969
8,49,10613026
8,50,10128214
8,51,11525003
8,52,19446109
8,53,9059955
8,54,13387272
8,55,7408274
8,56,9833521
8,57,10852059
