iteration,operation,ns
1,1,3832765
1,2,3526558
1,3,2566393
1,4,4592705
1,5,3052291
1,6,2770938
1,7,2479366
1,8,3469348
1,9,2056470
1,10,2799307
1,11,1466137
1,12,4649612
1,13,2915790
1,14,2929353
1,15,3433703
1,16,3768105
1,17,3471419
1,18,3187533
1,19,6895968
1,20,3280683
1,21,2809947
1,22,2384292
1,23,2003747
1,24,4216155
1,25,3343281
1,26,2512264
1,27,3563604
1,28,3566891
1,29,3460530
1,30,2071013
1,31,2192341
1,32,1699689
1,33,3749626
1,34,2675265
1,35,1728962
1,36,3845742
1,37,2747727
1,38,2807673
1,39,4046015
1,40,1874821
1,41,2751633
1,42,2696322
1,43,2262899
1,44,2581151
1,45,2009232
1,46,2345899
1,47,2456478
1,48,3454054
1,49,2644767
1,50,3765816
1,51,2555931
1,52,1536342
1,53,3703429
1,54,2505674
1,55,2712884
1,56,3149605
1,57,2789920
1,58,2719074
1,59,2142610
1,60,2474492
1,61,3367881
1,62,2730688
1,63,6381532
1,64,3104004
1,65,4056924
1,66,2927653
1,67,2008857
1,68,2322627
1,69,2295640
1,70,5624236
1,71,2621429
1,72,3316110
1,73,4020827
1,74,2216409
1,75,2410962
1,76,3374353
1,77,2517019
1,78,2601419
1,79,3465710
1,80,3391554
1,81,2584209
1,82,3678803
1,83,2634688
1,84,2442892
1,85,2025747
1,86,2323154
1,87,3145162
1,88,3395354
1,89,3512211
1,90,1707503
1,91,2853787
1,92,2671593
1,93,5390613
1,94,4334027
1,95,1989203
1,96,3764857
1,97,4013718
1,98,2211543
1,99,2628764
1,100,2775503
2,1,2958197
2,2,2447812
2,3,3590122
2,4,3463944
2,5,2661974
2,6,2552051
2,7,3741710
2,8,2358323
2,9,2705874
2,10,2595357
2,11,2770406
2,12,3007731
2,13,5164908
2,14,2908338
2,15,3794822
2,16,3287667
2,17,4314844
2,18,2448903
2,19,2303069
2,20,2223489
2,21,3995464
2,22,2549012
2,23,2094719
2,24,3414371
2,25,1383191
2,26,2776411
2,27,1990092
2,28,3133403
2,29,2544061
2,30,2610903
2,31,2626968
2,32,4375411
2,33,2619225
2,34,3054162
2,35,2431527
2,36,3028778
2,37,2666373
2,38,2602763
2,39,2939650
2,40,2615685
2,41,3159324
2,42,2994798
2,43,2949175
2,44,3238591
2,45,2709736
2,46,2954270
2,47,2252327
2,48,2863102
2,49,3277195
2,50,3314097
2,51,4252049
2,52,2816159
2,53,2747273
2,54,3972872
2,55,2304999
2,56,5599808
2,57,2582846
2,58,2395900
2,59,4061535
2,60,1432220
2,61,2751069
2,62,2715553
2,63,2485790
2,64,3080374
2,65,2547790
2,66,3346438
2,67,2878696
2,68,2997250
2,69,3070930
2,70,3440092
2,71,2369013
2,72,3469434
2,73,3197710
2,74,5915080
2,75,2794547
2,76,2390349
2,77,2194506
2,78,2407772
2,79,4038365
2,80,2355873
2,81,3126600
2,82,3240014
2,83,2432625
2,84,2373859
2,85,3497087
2,86,3095156
2,87,3222323
2,88,2409668
2,89,3354454
2,90,2867190
2,91,3175306
2,92,2763834
2,93,3155681
2,94,2815237
2,95,2887501
2,96,2197648
2,97,5637171
2,98,1942306
2,99,4227501
2,100,2641211
3,1,2820129
3,2,3217263
3,3,2269853
3,4,2937809
3,5,3120545
3,6,3721205
3,7,3162206
3,8,3628064
3,9,2987002
3,10,2652989
3,11,2949808
3,12,2822690
3,13,3001549
3,14,2214790
3,15,2781278
3,16,3150349
3,17,4022753
3,18,2408701
3,19,3111925
3,20,4536970
3,21,2617880
3,22,3959294
3,23,4889594
3,24,5657272
3,25,2510593
3,26,2338351
3,27,2964719
3,28,4474701
3,29,3204343
3,30,2800084
3,31,4609062
3,32,2254581
3,33,3447321
3,34,2948953
3,35,2612355
3,36,4683120
3,37,2562452
3,38,2733980
3,39,2839448
3,40,3010303
3,41,3619919
3,42,2126862
3,43,3261340
3,44,2505081
3,45,3315476
3,46,3194458
3,47,2499293
3,48,2356131
3,49,2397063
3,50,5889619
3,51,3472216
3,52,3544987
3,53,2460936
3,54,3725394
3,55,3465102
3,56,2170283
3,57,2547938
3,58,5826282
3,59,1558607
3,60,2841580
3,61,2457723
3,62,2915684
3,63,4044459
3,64,5961606
3,65,3384247
3,66,2263859
3,67,6224020
3,68,3012980
3,69,2734522
3,70,3129187
3,71,2238487
3,72,2678222
3,73,2581899
3,74,2902169
3,75,4919404
3,76,3426868
3,77,3948171
3,78,2545013
3,79,3613876
3,80,1892053
3,81,2750097
3,82,4168288
3,83,3170450
3,84,3490586
3,85,2702393
3,86,2524339
3,87,3672130
3,88,2856950
3,89,4115051
3,90,2217820
3,91,3098615
3,92,2342527
3,93,2138862
3,94,4033047
3,95,1981687
3,96,2491317
3,97,4438796
3,98,1364994
3,99,2665116
3,100,3889969
4,1,2861202
4,2,3483892
4,3,3059545
4,4,3172317
4,5,1568435
4,6,2192891
4,7,4541410
4,8,3518878
4,9,2794907
4,10,1389344
4,11,2777473
4,12,6354511
4,13,3059159
4,14,4510518
4,15,2818228
4,16,3990724
4,17,4302711
4,18,5524298
4,19,1367618
4,20,2660604
4,21,4071384
4,22,2762940
4,23,2392181
4,24,2356682
4,25,2755345
4,26,2404723
4,27,3898537
4,28,2690454
4,29,3201740
4,30,5823321
4,31,2911826
4,32,3518210
4,33,2587457
4,34,2810212
4,35,4524119
4,36,3118719
4,37,1532216
4,38,3039211
4,39,2640548
4,40,3122271
4,41,2525014
4,42,2535786
4,43,2258340
4,44,3446680
4,45,2445937
4,46,2482919
4,47,3131419
4,48,2119209
4,49,2582620
4,50,1628588
4,51,2583901
4,52,2791812
4,53,2735239
4,54,3028046
4,55,2015336
4,56,1386633
4,57,1994015
4,58,2730780
4,59,2356360
4,60,2347858
4,61,2841561
4,62,3113043
4,63,3013623
4,64,2391710
4,65,2857480
4,66,2755685
4,67,1732135
4,68,4928079
4,69,4199030
4,70,2399048
4,71,2291662
4,72,3594659
4,73,1441822
4,74,2479791
4,75,2230481
4,76,1448280
4,77,3367132
4,78,2797219
4,79,2633442
4,80,2492170
4,81,2587981
4,82,3388212
4,83,4821134
4,84,2383593
4,85,2274276
4,86,2146880
4,87,3160440
4,88,2837806
4,89,2656833
4,90,3271044
4,91,2677106
4,92,3322608
4,93,2558556
4,94,2929232
4,95,3583681
4,96,2388728
4,97,2361536
4,98,2236431
4,99,2597506
4,100,2539907
5,1,3546053
5,2,2360753
5,3,2476604
5,4,3469504
5,5,3623248
5,6,3195784
5,7,1644889
5,8,2398752
5,9,2761377
5,10,3795532
5,11,4182041
5,12,1675862
5,13,5654247
5,14,2439484
5,15,2366705
5,16,2792866
5,17,2842760
5,18,2418458
5,19,5003209
5,20,2766973
5,21,2627025
5,22,3278147
5,23,1703981
5,24,2223861
5,25,2805497
5,26,2625817
5,27,3630543
5,28,2245138
5,29,2737483
5,30,4084726
5,31,3644001
5,32,1817994
5,33,2552609
5,34,3449573
5,35,2167276
5,36,4567940
5,37,2483618
5,38,3172682
5,39,1721081
5,40,2601494
5,41,3469644
5,42,3148331
5,43,3541951
5,44,3619232
5,45,4414700
5,46,3240720
5,47,3074595
5,48,2912768
5,49,1849863
5,50,3073927
5,51,1704193
5,52,2564885
5,53,1653141
5,54,2880565
5,55,2388678
5,56,3282518
5,57,2626656
5,58,2527185
5,59,2747103
5,60,3219075
5,61,5324350
5,62,3374100
5,63,2445118
5,64,2807048
5,65,5763242
5,66,4415988
5,67,2084369
5,68,2672346
5,69,2482755
5,70,1685035
5,71,2701072
5,72,2907582
5,73,5615539
5,74,3889144
5,75,3152862
5,76,3190723
5,77,3539707
5,78,2212419
5,79,2161193
5,80,1643436
5,81,1843272
5,82,3080485
5,83,2800834
5,84,2806086
5,85,2309514
5,86,2517753
5,87,3024255
5,88,3078121
5,89,2639972
5,90,3616168
5,91,2004974
5,92,1814832
5,93,2750104
5,94,3239781
5,95,2758488
5,96,2306603
5,97,2652504
5,98,2496263
5,99,2581751
5,100,2138006
6,1,2576379
6,2,3788011
6,3,1770380
6,4,3138599
6,5,4007188
6,6,3547952
6,7,1999519
6,8,2957365
6,9,2704417
6,10,2206207
6,11,2924814
6,12,2388047
6,13,3560321
6,14,2140500
6,15,2264613
6,16,5489937
6,17,3247778
6,18,3309308
6,19,2310433
6,20,1812977
6,21,3047554
6,22,2265844
6,23,2126812
6,24,2759904
6,25,2543485
6,26,2421096
6,27,2811674
6,28,1529471
6,29,3145865
6,30,2586773
6,31,2792896
6,32,2108161
6,33,4322769
6,34,1976745
6,35,3907148
6,36,1828428
6,37,2583707
6,38,2379788
6,39,6800760
6,40,3101791
6,41,2940554
6,42,3612883
6,43,2907423
6,44,2934579
6,45,1802262
6,46,5403805
6,47,2102210
6,48,1735369
6,49,2686325
6,50,3139392
6,51,3027940
6,52,2492399
6,53,3208266
6,54,2348171
6,55,2449720
