iteration,operation,ns
1,1,7621910
1,2,2303710
1,3,3284526
1,4,4146614
1,5,5057906
1,6,2977302
1,7,3350089
1,8,3161633
1,9,3460953
1,10,6780328
1,11,4141696
1,12,5304711
1,13,3706558
1,14,4235506
1,15,4312766
1,16,2391536
1,17,2967175
1,18,4185929
1,19,6060732
1,20,2490817
1,21,4304943
1,22,1672752
1,23,5278048
1,24,3778667
1,25,4099024
1,26,8765372
1,27,3638804
1,28,2994705
1,29,3988010
1,30,2979745
1,31,6046990
1,32,4729078
1,33,3853151
1,34,5022416
1,35,3775908
1,36,4496449
1,37,2156690
1,38,4424365
1,39,2977443
1,40,2663252
1,41,3876393
1,42,3569223
1,43,3358983
1,44,6429422
1,45,3834179
1,46,2152707
1,47,5670343
1,48,4645804
1,49,2404021
1,50,2513417
1,51,6276966
1,52,3872143
1,53,4867177
1,54,2907521
1,55,3677776
1,56,3610188
1,57,7151281
1,58,4250843
1,59,3199543
1,60,2792620
1,61,3056939
1,62,2787342
1,63,4714335
1,64,1704716
1,65,3892363
1,66,1954621
1,67,3904862
1,68,3919875
1,69,5315207
1,70,2780356
1,71,2879762
1,72,4108575
1,73,5317000
1,74,3508758
1,75,2914674
1,76,2954359
1,77,6875259
1,78,5294478
1,79,2888449
1,80,4938846
1,81,5085617
1,82,4557688
1,83,4446310
1,84,5757455
1,85,6580212
1,86,3006880
1,87,1560596
1,88,4810841
1,89,2786962
1,90,4645611
1,91,2925992
1,92,4219814
1,93,6702173
1,94,4190295
1,95,3705913
1,96,1950071
1,97,2316450
1,98,2773566
1,99,4810540
1,100,3225067
2,1,1493037
2,2,4304041
2,3,4467473
2,4,5335129
2,5,4012296
2,6,6385689
2,7,6899100
2,8,3654084
2,9,2343337
2,10,3993463
2,11,3938427
2,12,2017087
2,13,3025962
2,14,5184000
2,15,6041690
2,16,4840338
2,17,2882489
2,18,3783949
2,19,2719810
2,20,2637240
2,21,3844167
2,22,3901157
2,23,2287751
2,24,1602549
2,25,2607391
2,26,2581247
2,27,1639139
2,28,2468440
2,29,6121729
2,30,2650296
2,31,1424483
2,32,7577717
2,33,6498649
2,34,2325309
2,35,4430717
2,36,3506461
2,37,1244859
2,38,2393143
2,39,2539697
2,40,3548710
2,41,2741294
2,42,4323511
2,43,1437324
2,44,1596418
2,45,2824877
2,46,4939963
2,47,3008999
2,48,3960824
2,49,4549747
2,50,2216727
2,51,3321914
2,52,7355008
2,53,5412722
2,54,3154446
2,55,4104967
2,56,3943636
2,57,4657675
2,58,5839805
2,59,3258324
2,60,2567963
2,61,4006063
2,62,4148741
2,63,4599028
2,64,6615562
2,65,3259368
2,66,2832637
2,67,4444050
2,68,5806866
2,69,3199306
2,70,2952660
2,71,2250496
2,72,2376968
2,73,2304166
2,74,3351817
2,75,5036318
2,76,3112041
2,77,2623192
2,78,1659332
2,79,3721896
2,80,6055021
2,81,2626101
2,82,3224656
2,83,3967727
2,84,3115123
2,85,3706663
2,86,2620626
2,87,3240635
2,88,1854653
2,89,4767933
2,90,5743581
2,91,4459201
2,92,2329788
2,93,4260556
2,94,3276265
2,95,3644284
2,96,6640604
2,97,2314257
2,98,2463774
2,99,3633102
2,100,4384033
3,1,1675032
3,2,4347327
3,3,3832303
3,4,4569233
3,5,3715333
3,6,4155492
3,7,3905695
3,8,4354552
3,9,3526585
3,10,3728356
3,11,4389396
3,12,4674661
3,13,2986282
3,14,6533558
3,15,6512062
3,16,4569316
3,17,1701806
3,18,4990956
3,19,5175332
3,20,2957777
3,21,3323324
3,22,4819478
3,23,2492988
3,24,2770771
3,25,2552007
3,26,6608926
3,27,5848283
3,28,2594858
3,29,2319620
3,30,2656757
3,31,3026446
3,32,1491049
3,33,3778558
3,34,3973736
3,35,3935145
3,36,4445966
3,37,3981447
3,38,2478970
3,39,3338404
3,40,2712559
3,41,3479099
3,42,4367730
3,43,3549195
3,44,5123849
3,45,1670932
3,46,4542703
3,47,2806545
3,48,4787982
3,49,4829728
3,50,1984424
3,51,2682428
3,52,2404708
3,53,4068414
3,54,5877462
3,55,3601944
3,56,2289826
3,57,5081048
3,58,5134366
3,59,6506018
3,60,3533310
3,61,3173105
3,62,2931934
3,63,5415475
3,64,6518535
3,65,4684197
3,66,3743129
3,67,2530614
3,68,2452688
3,69,4507582
3,70,2774742
3,71,2074991
3,72,4701337
3,73,4682744
3,74,7017983
3,75,2664044
3,76,3802526
3,77,2442971
3,78,4887031
3,79,3629458
3,80,2892725
3,81,3426932
3,82,4184454
3,83,2495126
3,84,2159884
3,85,3706004
3,86,2285715
3,87,3653825
3,88,3327772
3,89,2826317
3,90,3745219
3,91,4511671
3,92,4247658
3,93,3000920
3,94,1585866
3,95,2845155
3,96,2740065
3,97,1655820
3,98,3156776
3,99,3665298
3,100,2599862
4,1,4827871
4,2,2224861
4,3,3949863
4,4,2157519
4,5,2598886
4,6,6378225
4,7,4758224
4,8,7778743
4,9,2808663
4,10,4958863
4,11,4739434
4,12,4520281
4,13,3445831
4,14,6284151
4,15,2671574
4,16,4148916
4,17,4229243
4,18,4425579
4,19,2374771
4,20,3459347
4,21,4970301
4,22,3244670
4,23,4452328
4,24,4498685
4,25,3318456
4,26,4135687
4,27,3417131
4,28,3705518
4,29,4905873
4,30,4237158
4,31,3018051
4,32,3707999
4,33,6963900
4,34,6943181
4,35,2716550
4,36,2254733
4,37,1521067
4,38,2666607
4,39,3180387
4,40,3392941
4,41,2403249
4,42,4365023
4,43,4956324
4,44,2517209
4,45,5681260
4,46,4509136
4,47,3922031
4,48,2111835
4,49,4917963
4,50,5746188
4,51,3852326
4,52,2885395
4,53,4394927
4,54,2710646
4,55,3846245
4,56,3204578
4,57,5096719
4,58,2122236
4,59,2083815
4,60,5920379
4,61,4832888
4,62,5083143
4,63,3799449
4,64,3905152
4,65,3919119
4,66,2384231
4,67,5591380
4,68,2576984
4,69,3371073
4,70,2941877
4,71,6054362
4,72,9112461
4,73,5127492
4,74,2995382
4,75,4383692
4,76,2867609
4,77,3587580
4,78,2916197
4,79,2813252
4,80,4554729
4,81,2353096
4,82,2464201
4,83,4728998
4,84,3597209
4,85,4674122
4,86,4591471
4,87,6758870
4,88,2668424
4,89,5379014
4,90,5243155
4,91,6302590
4,92,2798881
4,93,3190484
4,94,2430225
4,95,3169015
4,96,5212404
4,97,2554641
4,98,3603018
4,99,3601393
4,100,2608294
5,1,1799081
5,2,2715069
5,3,2875931
5,4,5125177
5,5,4544151
5,6,3015148
5,7,4315435
5,8,3739837
5,9,5146364
5,10,3767250
5,11,3990067
5,12,4040445
5,13,3245157
5,14,3568354
5,15,2533724
5,16,2793124
5,17,2080982
5,18,4635042
5,19,2424710
5,20,3679137
5,21,4879962
5,22,3703450
5,23,2636095
5,24,3417305
5,25,4738619
5,26,4013280
5,27,3191343
5,28,2333619
5,29,4318110
5,30,2909034
5,31,2071281
5,32,2393883
5,33,6661754
5,34,6567231
5,35,3955550
5,36,2668434
5,37,2275667
5,38,4579829
5,39,6117689
5,40,7058576
5,41,3651217
5,42,4074982
5,43,4130738
5,44,3212337
5,45,4576021
5,46,2433346
5,47,1783810
5,48,2669000
5,49,2814093
5,50,2261928
5,51,3376433
5,52,2255098
5,53,6288754
5,54,1717133
5,55,3761421
5,56,3212151
5,57,4655870
5,58,1839236
5,59,3642091
5,60,3114508
5,61,2879608
5,62,1404503
5,63,3026888
5,64,3339335
5,65,4425615
5,66,4888925
5,67,2459180
5,68,3101720
5,69,2487353
5,70,4099402
5,71,6446481
5,72,3551159
5,73,4763503
5,74,4017089
5,75,4992845
5,76,4312148
5,77,1574891
5,78,2377565
5,79,3376831
5,80,4258646
5,81,5274288
5,82,3425705
5,83,3998963
5,84,2545913
5,85,1650139
5,86,3211804
5,87,5147266
5,88,4250902
5,89,4545517
5,90,2821669
5,91,3728830
5,92,2292883
5,93,3967460
5,94,2218858
5,95,5053211
