iteration,operation,ns
1,1,17694369
1,2,40493702
1,3,51847380
1,4,29104509
1,5,57378729
1,6,51774779
1,7,28484161
1,8,33117696
1,9,43126224
1,10,53103727
1,11,57482520
1,12,56465038
1,13,48497734
1,14,27760735
1,15,1526017
1,16,53860364
1,17,50649318
1,18,21602066
1,19,54747928
1,20,1950599
1,21,42304241
1,22,46292676
1,23,41305477
1,24,16607640
1,25,36577746
1,26,31054336
1,27,49444124
1,28,51968324
1,29,1343248
1,30,40768612
1,31,53719045
1,32,42201318
1,33,54267885
1,34,51051324
1,35,49813847
1,36,49876823
1,37,20066213
1,38,39324473
1,39,1870183
1,40,1398753
1,41,1509481
1,42,54175998
1,43,55345134
1,44,38340610
1,45,55576716
1,46,20757575
1,47,17359611
1,48,1965980
1,49,56924916
1,50,51890471
1,51,49906762
1,52,52946650
1,53,28932325
1,54,54106058
1,55,54157071
1,56,1701609
1,57,30571104
1,58,30376770
1,59,41611351
1,60,1896786
1,61,30272809
1,62,53344435
1,63,29347244
1,64,57921870
1,65,29688011
1,66,39780959
1,67,49686795
1,68,51609333
1,69,52153806
1,70,54712915
1,71,36089986
1,72,1972384
1,73,49870618
1,74,33182849
1,75,49958640
1,76,32032740
1,77,55340407
1,78,49262097
1,79,41495511
1,80,38075861
1,81,34817167
1,82,58577231
1,83,43270746
1,84,59328978
1,85,55273151
1,86,30651555
1,87,51747457
1,88,42942979
1,89,45715814
1,90,32900858
1,91,36437711
1,92,38760861
1,93,28381960
1,94,15590147
1,95,38624926
1,96,30488065
1,97,23892510
1,98,40647806
1,99,27466561
1,100,46514173
2,1,48489470
2,2,57418234
2,3,56728300
2,4,51086471
2,5,48558476
2,6,29465562
2,7,31431703
2,8,1922012
2,9,40853298
2,10,53764374
2,11,51950037
2,12,39792927
2,13,39170050
2,14,2126683
2,15,37204210
2,16,52322224
2,17,48719427
2,18,39168799
2,19,51007469
2,20,17909226
2,21,48387899
2,22,53862894
2,23,55347169
2,24,51699183
2,25,32469673
2,26,52958255
2,27,33560741
2,28,41145290
2,29,1678653
2,30,52898820
2,31,56327064
2,32,1721620
2,33,48586227
2,34,1844296
2,35,43301378
2,36,1776597
2,37,40742574
2,38,20086116
2,39,60809570
2,40,18480787
2,41,50079645
2,42,37600678
2,43,51349976
2,44,45141353
2,45,30190076
2,46,50692104
2,47,51019834
2,48,29346900
2,49,26776537
2,50,17528090
2,51,51900748
2,52,61321821
2,53,48485604
2,54,31190401
2,55,29776298
2,56,17488908
2,57,16339554
2,58,34344765
2,59,1930638
2,60,1750024
2,61,35644662
2,62,48588262
2,63,42884059
2,64,39542732
2,65,47356815
2,66,33154411
2,67,70339864
2,68,31325025
2,69,53320372
2,70,30533465
2,71,49933505
2,72,54309181
2,73,50065425
2,74,55264875
2,75,21320414
2,76,31704997
2,77,55285383
2,78,46053562
2,79,1648503
2,80,42740324
2,81,50433582
2,82,51324570
2,83,50534890
2,84,16788618
2,85,49369173
2,86,42122027
2,87,30959970
2,88,52023705
2,89,35430438
2,90,48712607
2,91,28890727
2,92,36140283
2,93,48354399
2,94,26676580
2,95,37795217
2,96,28372928
2,97,42349212
2,98,40014810
2,99,26387283
2,100,37069615
3,1,1774066
3,2,1824459
3,3,30120034
3,4,37842109
3,5,28710182
3,6,40531394
3,7,53361544
3,8,1866999
3,9,53964570
3,10,52404052
3,11,48141908
3,12,1761654
3,13,17227754
3,14,30542750
3,15,29625518
3,16,29211732
3,17,49440708
3,18,51939466
3,19,1498451
3,20,1445528
3,21,16404148
3,22,37607729
3,23,48321024
3,24,53303133
3,25,43738011
3,26,51046497
3,27,33973286
3,28,37100258
3,29,50573233
3,30,38262304
3,31,48611045
3,32,50351140
3,33,37295344
3,34,1833990
3,35,2116755
3,36,1604510
3,37,52663122
3,38,48741741
3,39,51943326
3,40,31564506
3,41,55041721
3,42,39026247
3,43,46635669
3,44,20271940
3,45,37730661
3,46,29713699
3,47,1696787
3,48,54855050
3,49,1583597
3,50,52793282
3,51,2037239
3,52,33010136
3,53,49927452
3,54,31470116
3,55,44111819
3,56,27850875
3,57,51662836
3,58,41247577
3,59,32956525
3,60,39750963
3,61,16745956
3,62,50032977
3,63,1471387
3,64,40193308
3,65,49111643
3,66,54173588
3,67,49315801
3,68,29781115
3,69,60368558
3,70,27383345
3,71,50684973
3,72,31754988
3,73,40033006
3,74,36682441
3,75,35219350
3,76,33099236
3,77,48759525
3,78,50144550
3,79,33079795
3,80,16520859
3,81,17064144
3,82,31355161
3,83,55193673
3,84,29218120
3,85,7047260
3,86,48542420
3,87,16748845
3,88,28709117
3,89,16294481
3,90,51109527
3,91,29497758
3,92,46126657
3,93,27231312
3,94,26879347
3,95,44685954
3,96,36303650
3,97,29274499
3,98,35203037
3,99,43685515
3,100,25699688
4,1,35364986
4,2,53557157
4,3,18353716
4,4,55559677
4,5,45609938
4,6,35783121
4,7,51227275
4,8,1852435
4,9,47397840
4,10,45626122
4,11,31195175
4,12,49055326
4,13,16036378
4,14,48479637
4,15,31418393
4,16,48744372
4,17,1851727
4,18,21474635
4,19,31035367
4,20,52279476
4,21,16445593
4,22,55915495
4,23,54422266
4,24,17238092
4,25,50955131
4,26,50445972
4,27,51493261
4,28,41159207
4,29,49677817
4,30,1852478
4,31,51554906
4,32,35335837
4,33,49629051
4,34,49469408
4,35,15915066
4,36,28544178
4,37,18386900
4,38,51372648
4,39,46588776
4,40,33186091
4,41,47483042
4,42,36133803
4,43,54612971
4,44,54009734
4,45,51594105
4,46,48854939
4,47,40200834
4,48,49335214
4,49,50689319
4,50,17680031
4,51,29909477
4,52,31812538
4,53,37119919
4,54,47683726
4,55,28888889
4,56,45590917
4,57,49119186
4,58,57823803
4,59,28384463
4,60,48601056
4,61,52143401
4,62,54571465
4,63,52509815
4,64,64023931
4,65,17800314
4,66,51224089
4,67,43873060
4,68,42998950
4,69,28909329
4,70,1775854
4,71,43564131
4,72,1700912
4,73,41542653
4,74,55216704
4,75,49117770
4,76,49212876
4,77,37865172
4,78,30392895
4,79,53204644
4,80,35015444
4,81,31662312
4,82,27821490
4,83,16981915
4,84,43050641
4,85,48333154
4,86,21055028
4,87,50174886
4,88,1901169
4,89,1830875
4,90,49649021
4,91,1816569
4,92,44702553
4,93,48697739
4,94,34112231
4,95,27392981
4,96,15587912
4,97,15685308
4,98,45768615
4,99,39713154
4,100,14738655
5,1,1886237
5,2,38127610
5,3,2337272
5,4,31604131
5,5,57712671
5,6,51194386
5,7,48136617
5,8,40059902
5,9,27853716
5,10,47471551
5,11,1655362
5,12,52931064
5,13,1847150
5,14,2105039
5,15,52942241
5,16,50880516
5,17,30327793
5,18,16767058
5,19,2017127
5,20,1967076
5,21,53841445
5,22,50273237
5,23,28175313
5,24,17674382
5,25,29863334
5,26,35659487
5,27,40183290
5,28,51687809
5,29,29879753
5,30,53745029
5,31,20296563
5,32,51431518
5,33,55400758
5,34,49908090
5,35,38353348
5,36,33434518
5,37,18581117
5,38,51273200
5,39,37138671
5,40,27932464
5,41,47373356
5,42,43672282
5,43,1561508
5,44,27431960
5,45,47945713
5,46,51326638
5,47,30361034
5,48,48170113
5,49,33590800
5,50,27651788
5,51,31681288
5,52,50332648
5,53,35704649
5,54,48178256
5,55,20008041
5,56,48055184
5,57,28177413
5,58,50455246
5,59,16481343
5,60,48071760
5,61,52299251
5,62,51279570
5,63,49314559
5,64,39758484
5,65,58408807
5,66,46242021
5,67,52247883
5,68,49064503
5,69,1765398
5,70,30569996
5,71,1721492
5,72,53359005
5,73,52141771
5,74,77269448
5,75,47519879
5,76,32582404
5,77,16974422
5,78,48135361
5,79,52924636
5,80,19281770
5,81,49976592
5,82,50990185
5,83,29147909
5,84,40524280
5,85,1750305
5,86,52378508
5,87,48647013
5,88,52676846
5,89,48067295
5,90,36802410
5,91,43939520
5,92,44480337
5,93,42172161
5,94,39525730
5,95,31400125
5,96,41386309
5,97,21354838
5,98,30370216
5,99,38052867
5,100,13157430
6,1,40350312
6,2,48369803
6,3,2227630
6,4,51716901
6,5,19390238
6,6,58293299
6,7,21888427
6,8,1761513
6,9,52557172
6,10,47968749
6,11,52456389
6,12,38883944
6,13,20791564
6,14,30348735
6,15,1941919
6,16,49882237
6,17,19659584
6,18,1747429
6,19,52238707
6,20,31181100
6,21,21901285
6,22,52889002
6,23,49880925
6,24,16509257
6,25,51060753
6,26,31622208
6,27,41943346
6,28,53561146
6,29,32552464
6,30,30571490
6,31,51818146
6,32,37879354
6,33,17115452
6,34,69660178
6,35,30462230
6,36,40560020
6,37,47742681
6,38,39298480
6,39,52122516
6,40,1849096
6,41,1446864
6,42,28769943
6,43,16890485
6,44,51013548
6,45,45472823
6,46,34382409
6,47,62919544
6,48,2014247
6,49,51935048
6,50,45973091
6,51,31111290
6,52,51176355
