iteration,operation,ns
1,1,14848942
1,2,5689768
1,3,10072215
1,4,5960605
1,5,18758825
1,6,11923114
1,7,14256355
1,8,1810941
1,9,1520409
1,10,11114462
1,11,1626486
1,12,11429851
1,13,6098080
1,14,7401445
1,15,5269029
1,16,14565414
1,17,5324721
1,18,1595349
1,19,9346430
1,20,5063712
1,21,12252767
1,22,10002236
1,23,5507111
1,24,14937982
1,25,11728707
1,26,13456722
1,27,11417621
1,28,5965497
1,29,5676644
1,30,14402152
1,31,11155144
1,32,2353058
1,33,1764101
1,34,5712040
1,35,6047441
1,36,5068433
1,37,5508768
1,38,5115346
1,39,7140174
1,40,11627084
1,41,1470935
1,42,5659047
1,43,1742809
1,44,6240449
1,45,11281844
1,46,11481600
1,47,6471650
1,48,6529518
1,49,5304803
1,50,1636173
1,51,14382443
1,52,5564026
1,53,9740709
1,54,5333183
1,55,12479940
1,56,13736237
1,57,10788754
1,58,16471797
1,59,2437373
1,60,6845866
1,61,7463182
1,62,6078476
1,63,6355371
1,64,10864289
1,65,4936039
1,66,1650121
1,67,10910846
1,68,5530176
1,69,5697325
1,70,1686070
1,71,13431728
1,72,15873002
1,73,13241827
1,74,5550988
1,75,13216528
1,76,13216251
1,77,15412108
1,78,5563900
1,79,1543032
1,80,4779036
1,81,11175015
1,82,5260461
1,83,11091137
1,84,5268152
1,85,11442100
1,86,14577791
1,87,9190150
1,88,1549955
1,89,11642413
1,90,11855925
1,91,9274145
1,92,13640207
1,93,2274741
1,94,5674747
1,95,1717759
1,96,11234616
1,97,5331075
1,98,6898923
1,99,10462755
1,100,5022302
2,1,14731341
2,2,6018301
2,3,1602620
2,4,12156106
2,5,12032058
2,6,6078736
2,7,15382709
2,8,6861690
2,9,5136480
2,10,16418168
2,11,1795623
2,12,5933988
2,13,5747079
2,14,6557923
2,15,8105017
2,16,12335376
2,17,5574111
2,18,5687691
2,19,5363032
2,20,11977537
2,21,5480168
2,22,11460213
2,23,12215435
2,24,15163659
2,25,6076023
2,26,11579124
2,27,5762976
2,28,5023642
2,29,14854961
2,30,8586028
2,31,10285302
2,32,5441890
2,33,12558171
2,34,12239478
2,35,5621340
2,36,5671768
2,37,5956611
2,38,5007879
2,39,11533507
2,40,5263400
2,41,5165482
2,42,12132797
2,43,5859024
2,44,9847416
2,45,4879076
2,46,5897114
2,47,5465926
2,48,5141999
2,49,15310668
2,50,12940024
2,51,4997749
2,52,6199927
2,53,14706117
2,54,5729562
2,55,11685922
2,56,5312553
2,57,5577027
2,58,10498776
2,59,5766084
2,60,5882768
2,61,9613838
2,62,1950065
2,63,12110187
2,64,13987703
2,65,6516993
2,66,5951675
2,67,6817864
2,68,5414494
2,69,2050916
2,70,6767538
2,71,2541244
2,72,1984621
2,73,6187684
2,74,9232502
2,75,11438803
2,76,7034124
2,77,13132350
2,78,11071652
2,79,15943741
2,80,1649701
2,81,12452483
2,82,5992214
2,83,14981330
2,84,1426966
2,85,16196091
2,86,11227066
2,87,5965215
2,88,12840079
2,89,5576129
2,90,4933429
2,91,10653365
2,92,11776586
2,93,12615517
2,94,2252564
2,95,5030651
2,96,11223341
2,97,5010236
2,98,9505628
2,99,4573696
2,100,8290551
3,1,6034569
3,2,5965183
3,3,12667524
3,4,1813882
3,5,12504675
3,6,5508904
3,7,16709294
3,8,12802834
3,9,18091500
3,10,5776457
3,11,12430386
3,12,5940046
3,13,5255160
3,14,10099599
3,15,5259792
3,16,5392021
3,17,12174814
3,18,11848093
3,19,14351337
3,20,4381449
3,21,5419682
3,22,5322970
3,23,6402534
3,24,11779403
3,25,15113772
3,26,1788540
3,27,17342184
3,28,14602324
3,29,5663320
3,30,5272377
3,31,5412984
3,32,1708451
3,33,10299137
3,34,17506403
3,35,6443547
3,36,5548167
3,37,1859381
3,38,7596484
3,39,11626284
3,40,13720533
3,41,16820393
3,42,6075849
3,43,5591070
3,44,5386775
3,45,15192787
3,46,13932641
3,47,1622256
3,48,5725581
3,49,6288788
3,50,5405374
3,51,15430929
3,52,1948367
3,53,9607382
3,54,1753004
3,55,5753540
3,56,12567058
3,57,11629679
3,58,5091554
3,59,5111123
3,60,12521233
3,61,5459944
3,62,4847789
3,63,13904951
3,64,5236821
3,65,14019824
3,66,11919054
3,67,1708864
3,68,2332816
3,69,5858186
3,70,1336018
3,71,11076437
3,72,15376299
3,73,14847573
3,74,5504963
3,75,5515403
3,76,10420060
3,77,17522723
3,78,5619286
3,79,5111265
3,80,5683345
3,81,15031963
3,82,5374123
3,83,11773386
3,84,14829967
3,85,12129025
3,86,5269154
3,87,5592292
3,88,5785730
3,89,5855792
