iteration,operation,ns
1,1,14443339
1,2,6122123
1,3,14312906
1,4,14298125
1,5,12835011
1,6,3064892
1,7,12770722
1,8,8882008
1,9,13611982
1,10,8721973
1,11,5826627
1,12,14327700
1,13,3086524
1,14,12800701
1,15,12905181
1,16,8516685
1,17,13257053
1,18,8234469
1,19,6341475
1,20,13298244
1,21,13599273
1,22,13452645
1,23,13806833
1,24,12633779
1,25,10537042
1,26,8800215
1,27,8974136
1,28,8765827
1,29,13193569
1,30,8802527
1,31,16065143
1,32,3091899
1,33,8410111
1,34,14013300
1,35,8859059
1,36,2960877
1,37,8890737
1,38,8098924
1,39,13238086
1,40,12633430
1,41,8657458
1,42,12763434
1,43,2876663
1,44,13098756
1,45,14036084
1,46,8746137
1,47,14357724
1,48,3346984
1,49,12807085
1,50,8459953
1,51,13010459
1,52,8211479
1,53,13795346
1,54,13788976
1,55,12956636
1,56,13219492
1,57,8527622
1,58,14973124
1,59,8506061
1,60,9125941
1,61,8264925
1,62,23478648
1,63,14168310
1,64,6018415
1,65,9118709
1,66,15357055
1,67,14156707
1,68,14480143
1,69,13243719
1,70,13312947
1,71,6735608
1,72,3504894
1,73,7701613
1,74,13307653
1,75,8997318
1,76,13328185
1,77,14918741
1,78,8156024
1,79,16054027
1,80,13405187
1,81,13031718
1,82,8665339
1,83,13171855
1,84,12657929
1,85,8031777
1,86,12637601
1,87,13882539
1,88,13155891
1,89,6090630
1,90,5557252
1,91,8585363
1,92,3109297
1,93,8691489
1,94,11076102
1,95,9327729
1,96,15962939
1,97,15239517
1,98,8265162
1,99,3273214
1,100,5689848
2,1,8433643
2,2,13923741
2,3,13468458
2,4,2963850
2,5,8476687
2,6,13586546
2,7,13358748
2,8,15038648
2,9,13696128
2,10,9660141
2,11,13435554
2,12,13357998
2,13,13667216
2,14,8423737
2,15,9220070
2,16,5766974
2,17,13207103
2,18,10027871
2,19,3565140
2,20,8566583
2,21,8520088
2,22,17195460
2,23,3257242
2,24,6366097
2,25,8216607
2,26,13851174
2,27,15135202
2,28,12932576
2,29,14065925
2,30,8730094
2,31,15689333
2,32,12936914
2,33,8782442
2,34,8457013
2,35,13511241
2,36,8387571
2,37,13007831
2,38,13460999
2,39,8578500
2,40,15459180
2,41,2976000
2,42,8278257
2,43,8801316
2,44,13293063
2,45,8051821
2,46,3429230
2,47,13360469
2,48,8511608
2,49,7771230
2,50,5779986
2,51,15210720
2,52,13608047
2,53,13224087
2,54,15149756
2,55,5537893
2,56,3166891
2,57,5837325
2,58,14739747
2,59,14397320
2,60,8094728
2,61,14529296
2,62,8753436
2,63,14930800
2,64,12642080
2,65,8603314
2,66,12801961
2,67,12938669
2,68,8065547
2,69,15947864
2,70,13829918
2,71,13017752
2,72,13005476
2,73,16680502
2,74,7673764
2,75,8080552
2,76,2976066
2,77,8996991
2,78,12948606
2,79,12351546
2,80,9236560
2,81,13197374
2,82,8296001
2,83,9339793
2,84,5241515
2,85,12827332
2,86,5873706
2,87,3786385
2,88,8342838
2,89,9670600
2,90,4312638
2,91,10079930
2,92,13192477
2,93,7092254
2,94,2766701
2,95,5324971
2,96,6146863
2,97,12864786
2,98,13004279
2,99,10557216
2,100,8992769
3,1,5517288
3,2,8816003
3,3,9632985
3,4,12927854
3,5,14677849
3,6,8480089
3,7,14108345
3,8,8407249
3,9,8244717
3,10,16303132
3,11,12305777
3,12,3451177
3,13,3204155
3,14,5374177
3,15,2999805
3,16,8282860
3,17,9045546
3,18,12786542
3,19,3240064
3,20,13340915
3,21,12916279
3,22,14946575
3,23,12703848
3,24,13409579
3,25,12791687
3,26,12864559
3,27,12785255
3,28,8075230
3,29,9201730
3,30,13327197
3,31,8431178
3,32,9955585
3,33,7844440
3,34,8194503
3,35,12719971
3,36,12916814
3,37,3330812
3,38,8337906
3,39,3936157
3,40,8138449
3,41,12911882
3,42,13823880
3,43,5454558
3,44,14804428
3,45,9006739
3,46,13642654
3,47,14371366
3,48,8129217
3,49,12556530
3,50,8156354
3,51,8433384
3,52,9680269
3,53,3384153
3,54,8243974
3,55,7491505
3,56,13571379
3,57,13293865
3,58,12393630
3,59,14096515
3,60,13746829
3,61,13052619
3,62,13169478
3,63,5863236
3,64,8745544
3,65,3416314
3,66,12879758
3,67,7992747
3,68,13572257
3,69,16342397
3,70,8218865
3,71,8870666
3,72,13292094
3,73,8061428
3,74,13449195
3,75,3228241
3,76,12858016
3,77,13997884
3,78,11425632
3,79,13138477
3,80,8734880
3,81,10115976
3,82,8692128
3,83,17670025
3,84,8576320
3,85,15544913
3,86,12952736
3,87,8188121
3,88,13398440
3,89,3083570
3,90,8152459
3,91,5971707
3,92,8838864
3,93,6416213
3,94,7839809
3,95,8051311
3,96,5791138
3,97,13308562
3,98,8265915
3,99,15341640
3,100,7997012
4,1,8275041
4,2,13434618
4,3,3417604
4,4,10476258
4,5,9001105
4,6,13902913
4,7,13397725
4,8,13842813
4,9,8764614
4,10,7853312
4,11,8072554
4,12,8754671
4,13,13582999
4,14,12739007
4,15,13180068
4,16,8927307
4,17,13500751
4,18,14063611
4,19,12648623
4,20,8833514
4,21,3387924
4,22,14464664
4,23,12741598
4,24,10016504
4,25,13675757
4,26,9134172
4,27,8866733
4,28,12819315
4,29,8478162
4,30,13356428
4,31,7815958
4,32,12823734
4,33,8556282
4,34,14642616
4,35,13316689
4,36,8773956
