iteration,operation,ns
1,1,45104093
1,2,58927416
1,3,63502546
1,4,33644247
1,5,38945132
1,6,20825987
1,7,55914644
1,8,43101242
1,9,46877335
1,10,66232961
1,11,3793744
1,12,66494109
1,13,22327878
1,14,63187271
1,15,59714598
1,16,36141050
1,17,24806607
1,18,62610520
1,19,89476315
1,20,62236754
1,21,33114847
1,22,60561556
1,23,61796300
1,24,38599969
1,25,47807225
1,26,58627301
1,27,20301703
1,28,36603698
1,29,57302189
1,30,3979975
1,31,38160415
1,32,71871452
1,33,20966343
1,34,43709801
1,35,3729808
1,36,3549671
1,37,43170184
1,38,57057646
1,39,62280457
1,40,69475231
1,41,28274358
1,42,56466484
1,43,36179228
1,44,63864935
1,45,60984281
1,46,58359083
1,47,59607069
1,48,4140646
1,49,44477517
1,50,63107030
1,51,3483860
1,52,33498654
1,53,3474238
1,54,59742076
1,55,20217506
1,56,62128290
1,57,70283039
1,58,43678564
1,59,59188543
1,60,67721934
1,61,60904505
1,62,21054769
1,63,37369271
1,64,63530579
1,65,33944744
1,66,68092494
1,67,37124476
1,68,34099154
1,69,59265578
1,70,20545384
1,71,43273836
1,72,37007175
1,73,20068706
1,74,3915615
1,75,48216378
1,76,66084340
1,77,36714997
1,78,4014200
1,79,23452417
1,80,55538341
1,81,62052403
1,82,3526358
1,83,61698586
1,84,3999480
1,85,38985723
1,86,45565861
1,87,64055045
1,88,37509823
1,89,22377876
1,90,33174623
1,91,62355052
1,92,65842870
1,93,32632497
1,94,36445488
1,95,34975587
1,96,20676295
1,97,37707643
1,98,59396036
1,99,64995687
1,100,40469319
2,1,43517726
2,2,61856991
2,3,59591227
2,4,49747700
2,5,3642385
2,6,60914105
2,7,58249621
2,8,33306852
2,9,70472261
2,10,65087180
2,11,22219471
2,12,46497534
2,13,23801574
2,14,62528680
2,15,64786676
2,16,37148015
2,17,21746407
2,18,4172629
2,19,65456824
2,20,48472359
2,21,59501533
2,22,60682890
2,23,51715067
2,24,34416266
2,25,61702578
2,26,35327753
2,27,50933044
2,28,62560882
2,29,33392252
2,30,56498583
2,31,59934007
2,32,55949738
2,33,61570539
2,34,24089667
2,35,37687058
2,36,58584723
2,37,47351413
2,38,35486907
2,39,58929320
2,40,21564285
2,41,46955494
2,42,66306170
2,43,57093137
2,44,45388794
2,45,59142985
2,46,58748715
2,47,3557997
2,48,54120784
2,49,37888833
2,50,34729857
2,51,37957430
2,52,58579664
2,53,60582564
2,54,60769091
2,55,62157282
2,56,33767398
2,57,59832631
2,58,37703462
2,59,34352721
2,60,50116873
2,61,34781128
2,62,57213219
2,63,3841254
2,64,62247547
2,65,44098459
2,66,65001466
2,67,55813846
2,68,47552996
2,69,36130734
2,70,60221158
2,71,38649701
2,72,45716009
2,73,58131775
2,74,60670518
2,75,35871536
2,76,57903211
2,77,58436920
2,78,48089433
2,79,78497667
2,80,37242618
2,81,3670373
2,82,62499738
2,83,58184310
2,84,54497185
2,85,3200679
2,86,32610509
2,87,54643495
2,88,50246958
2,89,32120079
2,90,49126501
2,91,16223231
2,92,37871076
2,93,44159325
2,94,24722854
2,95,2882423
2,96,27486833
2,97,41811601
2,98,33954990
2,99,3035164
2,100,44381982
3,1,36117006
3,2,46870060
3,3,25695932
3,4,60431951
3,5,59285342
3,6,3699799
3,7,44604772
3,8,60326653
3,9,4143728
3,10,58534793
3,11,59220573
3,12,41323546
3,13,66780737
3,14,36865456
3,15,6726437
3,16,57187538
3,17,45607713
3,18,49565495
3,19,36754675
3,20,34604453
3,21,62079196
3,22,38233652
3,23,43386383
3,24,36084707
3,25,59597444
3,26,38977621
3,27,45676067
3,28,3667494
3,29,58506003
3,30,34964056
3,31,33484800
3,32,36187856
3,33,36803082
3,34,38480183
3,35,57838016
3,36,56120780
3,37,56825383
3,38,34596840
3,39,3826316
3,40,58105311
3,41,66801126
3,42,43629562
3,43,21859817
3,44,46364069
3,45,4255772
3,46,33005703
3,47,56654797
3,48,55863396
3,49,60468763
3,50,36237999
3,51,33105745
3,52,88893920
3,53,57783558
3,54,6049161
3,55,4108304
3,56,67510338
3,57,60792679
3,58,65894470
3,59,42920237
3,60,35144501
3,61,3664038
3,62,60968685
3,63,35276954
3,64,66720112
3,65,3595990
3,66,61230875
3,67,63084308
3,68,25152370
3,69,41360401
3,70,59430739
3,71,40903890
3,72,91836937
3,73,46496933
3,74,56701155
3,75,63002579
3,76,61195428
3,77,59204514
3,78,44828279
3,79,41026161
3,80,60876222
3,81,34619826
3,82,3482645
3,83,56058233
3,84,50895639
3,85,57034902
3,86,34502036
3,87,63635203
3,88,62673473
3,89,35415984
3,90,3465311
3,91,32177452
3,92,56613332
3,93,41200442
3,94,19534660
3,95,58238198
3,96,74476269
3,97,3310828
3,98,23761817
3,99,21496700
3,100,59149883
4,1,3853280
4,2,24975490
4,3,34077800
4,4,61600924
4,5,40965095
4,6,3528936
4,7,57754326
4,8,59346656
4,9,3794634
4,10,63267333
4,11,20836384
4,12,34770321
4,13,3830945
4,14,66221985
4,15,63753467
4,16,41206199
4,17,65969068
4,18,64640811
4,19,61265123
4,20,33671065
4,21,56424752
4,22,69644690
4,23,49861759
4,24,59748850
4,25,4086975
4,26,35218042
4,27,38815282
4,28,40177731
4,29,59396750
4,30,48141681
4,31,59666359
4,32,57111910
4,33,46976346
4,34,23719722
4,35,45265867
4,36,59810196
4,37,4156883
4,38,60417628
4,39,40152738
4,40,3902007
4,41,37715371
4,42,5150153
4,43,59012561
4,44,64713198
4,45,43635658
4,46,53409329
4,47,38861049
4,48,57557514
4,49,62265918
4,50,57063819
4,51,49741441
4,52,44913359
4,53,51359257
4,54,60289593
4,55,6411823
4,56,42356735
4,57,59281766
4,58,20986673
4,59,55390799
4,60,47665180
4,61,3580933
4,62,35432423
4,63,55210321
4,64,58254520
4,65,57431505
4,66,63579148
4,67,24883063
4,68,26773718
4,69,59317194
4,70,36284562
4,71,21043824
4,72,64271855
4,73,60356375
4,74,61152217
4,75,34970344
4,76,24388462
4,77,57948861
4,78,62004719
4,79,36492600
4,80,46997697
4,81,39022575
4,82,3825511
4,83,56044549
4,84,64601277
4,85,25099948
4,86,43219990
4,87,47944860
4,88,43164736
4,89,57926888
4,90,65705741
4,91,36693909
4,92,32763642
4,93,37372370
4,94,51121961
4,95,21311218
4,96,42442445
4,97,53645878
4,98,29439636
4,99,51516307
4,100,41655294
5,1,48157364
5,2,61701636
5,3,3725500
5,4,67333220
5,5,63608584
5,6,34611842
5,7,3705772
5,8,59545324
5,9,3330103
5,10,33439703
5,11,56592420
5,12,56504704
5,13,33696314
5,14,58035639
5,15,59112400
5,16,64327486
5,17,39314920
5,18,32706124
5,19,36088161
5,20,21853846
5,21,3347153
5,22,43857593
5,23,61754590
5,24,62789978
5,25,55897324
5,26,3526281
5,27,35783628
5,28,59148843
5,29,61451110
5,30,37298187
5,31,36962159
5,32,42132907
5,33,50000644
5,34,59777154
5,35,65992731
5,36,62605462
5,37,3885090
5,38,37081048
5,39,42358004
5,40,6154661
5,41,60548402
5,42,3812875
5,43,62443614
5,44,62212304
5,45,66844210
5,46,23114512
5,47,39562929
5,48,56964896
5,49,61929255
5,50,53319142
5,51,25533725
5,52,3961495
5,53,35253150
5,54,60576080
5,55,38812007
5,56,60723712
5,57,44159486
5,58,25172598
5,59,47556728
5,60,23232063
5,61,44990253
5,62,23219361
5,63,38107135
5,64,61461013
5,65,35388781
5,66,59259734
5,67,38603611
5,68,33695195
5,69,62283895
5,70,48832101
5,71,36351727
5,72,3487552
5,73,3427609
5,74,21370549
5,75,50968052
5,76,58807444
5,77,33934130
5,78,33073137
5,79,46477265
5,80,45824524
5,81,3909881
5,82,65439404
5,83,64482706
5,84,3495489
5,85,37719064
5,86,64413964
5,87,6611650
5,88,22712652
5,89,42945968
5,90,25832018
5,91,22893146
5,92,68070472
5,93,21966110
5,94,59031674
5,95,4126927
5,96,62667925
5,97,60997271
5,98,62598523
5,99,69898166
5,100,32402903
6,1,60352459
6,2,6278046
6,3,44766716
6,4,41387081
6,5,23909170
6,6,61585530
6,7,57789917
6,8,63268098
6,9,59242738
6,10,59178736
6,11,62011059
6,12,59902618
6,13,36845827
6,14,53175924
6,15,56078430
6,16,60709691
6,17,3654656
6,18,64925322
6,19,38656371
6,20,62915663
6,21,3951369
6,22,36318355
6,23,63701735
6,24,59675303
6,25,54174144
6,26,63792065
6,27,40375258
6,28,61051309
6,29,60415545
6,30,37746859
6,31,20570806
6,32,33592036
6,33,66546853
6,34,55875982
6,35,3758072
6,36,45144885
6,37,46279321
6,38,35990133
6,39,35725291
6,40,24128824
6,41,61258620
6,42,59251120
6,43,37616851
6,44,55121599
6,45,4134074
6,46,37416740
6,47,62185449
6,48,3476223
6,49,47481367
6,50,34241776
6,51,3677147
6,52,60962887
6,53,33990091
6,54,46475153
6,55,61339969
6,56,64624201
6,57,58402685
6,58,34316815
6,59,4133044
6,60,46845345
6,61,61949866
6,62,41885095
6,63,49286147
6,64,57348660
6,65,43936324
6,66,58438778
6,67,35062616
6,68,59602621
6,69,38363469
6,70,27120404
6,71,57484286
6,72,63175074
6,73,45660186
6,74,62264086
6,75,3512095
6,76,56567871
6,77,33188268
6,78,45537980
6,79,64433431
6,80,62785121
6,81,36361541
6,82,43774747
6,83,20327881
6,84,3835032
6,85,46602605
6,86,71266994
6,87,68064292
6,88,33236520
6,89,58907097
6,90,56365921
6,91,70827379
6,92,37151157
6,93,45488474
6,94,60717952
6,95,21499877
6,96,44331024
6,97,51824360
6,98,28722717
6,99,52247216
6,100,45202953
7,1,21628998
7,2,58713074
7,3,25206302
7,4,63530005
7,5,48861786
7,6,45359578
7,7,59504942
7,8,64454910
7,9,58423454
7,10,4673296
7,11,66272762
7,12,37899024
7,13,39935036
7,14,65224576
7,15,48815268
7,16,67769066
7,17,63376523
7,18,37190680
7,19,85550210
7,20,56452857
7,21,42875812
7,22,24085919
7,23,49772103
7,24,44004871
7,25,59622253
7,26,37109711
7,27,50306914
7,28,58790552
7,29,66996765
7,30,3551747
7,31,62069661
7,32,3627108
7,33,62605888
7,34,59654294
7,35,45804453
7,36,55882162
7,37,30585997
7,38,66761277
7,39,43740840
7,40,47358705
7,41,49878866
7,42,3634927
7,43,57483267
7,44,61617494
7,45,47745312
7,46,61902271
7,47,46313863
7,48,58065760
7,49,22183699
7,50,29813346
7,51,3675162
7,52,36390585
7,53,35901506
7,54,53503134
7,55,62710905
7,56,34091824
7,57,44896441
7,58,56096936
7,59,34422958
7,60,20642719
7,61,36486864
7,62,21382329
7,63,57605205
7,64,60270396
7,65,3527686
7,66,43733497
7,67,60335545
7,68,58750128
7,69,27367561
7,70,60466609
7,71,22605696
7,72,55908402
7,73,33607383
7,74,62726873
7,75,3981391
7,76,33246526
7,77,44796477
7,78,57030215
7,79,3913896
7,80,2975184
7,81,3567398
7,82,36323001
7,83,41301046
7,84,33592087
7,85,49404832
7,86,3955178
7,87,67691493
7,88,34314296
7,89,64994270
7,90,4031487
7,91,54258378
7,92,58824452
7,93,56111089
7,94,60596728
7,95,42047259
7,96,55721490
7,97,57383314
7,98,36278247
7,99,44107526
7,100,54822230
8,1,44950423
8,2,62014978
8,3,38373609
8,4,54590810
8,5,48139269
8,6,65304772
8,7,40215598
8,8,59278487
8,9,20462067
8,10,59225821
8,11,61371155
8,12,36831192
8,13,20669614
8,14,44311991
8,15,55915565
8,16,20638866
8,17,23318787
8,18,33902719
8,19,22292076
8,20,40868840
8,21,62249180
8,22,66973231
8,23,45083050
8,24,3636112
8,25,37097998
8,26,60843655
8,27,60468470
8,28,23920331
8,29,72697052
8,30,58687582
8,31,45758238
8,32,5290553
8,33,3727635
8,34,66701065
8,35,3991534
8,36,65166471
8,37,58595062
8,38,61117283
8,39,63544598
8,40,54576546
8,41,63689090
8,42,62294398
8,43,36007563
8,44,36148785
8,45,62862204
8,46,3414991
8,47,61485407
8,48,63589445
8,49,37797543
8,50,23226470
8,51,46381449
8,52,42533659
8,53,59629162
8,54,61604876
8,55,39061941
8,56,61445195
8,57,43492487
8,58,46331988
8,59,63523672
8,60,38428610
8,61,5596017
8,62,56287375
8,63,64648649
8,64,45624086
8,65,53263418
8,66,48852153
8,67,21821293
8,68,59893271
8,69,46074571
8,70,35972033
8,71,3786843
8,72,18844230
8,73,39161112
8,74,36300822
8,75,42309282
8,76,59033932
8,77,42368976
8,78,36510793
8,79,48460228
8,80,64273325
8,81,32840244
8,82,44791445
8,83,3874915
8,84,57857976
8,85,56330603
8,86,33698997
8,87,37327615
8,88,60716904
8,89,22106934
8,90,36379931
8,91,64355632
8,92,36303406
8,93,55182333
8,94,21276004
8,95,19109716
8,96,59943613
8,97,45165200
8,98,18238731
8,99,53024401
8,100,43680703
9,1,61621898
9,2,43944380
9,3,36308006
9,4,36797793
9,5,60431628
9,6,38319104
9,7,42506456
9,8,34074326
9,9,68988133
9,10,63835139
9,11,20895421
9,12,67645857
9,13,43822738
9,14,36294328
9,15,44932159
9,16,63431554
9,17,58093375
9,18,22200812
9,19,61762648
9,20,62797851
9,21,47821649
9,22,43962324
9,23,73209522
9,24,42616165
9,25,42189806
9,26,3675692
9,27,33718536
9,28,34230519
9,29,43629307
9,30,20535160
9,31,53360889
9,32,62254613
9,33,59167327
9,34,25090830
9,35,36260754
9,36,57688136
9,37,61996366
9,38,45586087
9,39,37595475
9,40,45741006
9,41,49840467
9,42,52345465
9,43,42776621
9,44,56801176
9,45,66167314
9,46,46603723
9,47,59145143
9,48,101420762
9,49,59777372
9,50,49179901
9,51,38639921
9,52,3839451
