iteration,operation,ns
1,1,4336065
1,2,4507667
1,3,2913441
1,4,5568973
1,5,3650937
1,6,4386138
1,7,3585713
1,8,4094305
1,9,4703816
1,10,2998312
1,11,1476278
1,12,2674268
1,13,5579612
1,14,3591620
1,15,4302083
1,16,4426537
1,17,1354252
1,18,3774264
1,19,3398753
1,20,5125070
1,21,3319982
1,22,3020514
1,23,3479983
1,24,3462278
1,25,3683701
1,26,3320231
1,27,3299974
1,28,3902089
1,29,4802139
1,30,4700512
1,31,6991612
1,32,4275790
1,33,3872199
1,34,4852159
1,35,4972033
1,36,5061886
1,37,4720150
1,38,1302941
1,39,3773758
1,40,4083887
1,41,4800779
1,42,1435318
1,43,2952174
1,44,3124259
1,45,4949289
1,46,4468489
1,47,2300111
1,48,4612669
1,49,5152563
1,50,5637700
1,51,4477111
1,52,1560118
1,53,5216661
1,54,2708801
1,55,4589985
1,56,3376384
1,57,4003819
1,58,4596333
1,59,4274111
1,60,1814925
1,61,4409669
1,62,4069008
1,63,3437858
1,64,3860573
1,65,1539546
1,66,4766092
1,67,4369313
1,68,3096042
1,69,4569109
1,70,3687402
1,71,3588422
1,72,1581166
1,73,1541235
1,74,3443588
1,75,4473588
1,76,1712454
1,77,4670836
1,78,3013252
1,79,3078510
1,80,3092918
1,81,4780686
1,82,3430879
1,83,3559304
1,84,4384787
1,85,4674645
1,86,4813640
1,87,4624760
1,88,5052432
1,89,1669484
1,90,3703922
1,91,3871870
1,92,3272199
1,93,5901639
1,94,3368148
1,95,3973754
1,96,3186149
1,97,3528431
1,98,4500301
1,99,3657891
1,100,3264538
2,1,4334068
2,2,3408543
2,3,1801874
2,4,5316914
2,5,2946014
2,6,4274725
2,7,3340381
2,8,4682583
2,9,5000042
2,10,2439406
2,11,5800688
2,12,2848631
2,13,3343692
2,14,2727954
2,15,5454220
2,16,3393397
2,17,3986167
2,18,3632429
2,19,4757032
2,20,3456972
2,21,2926409
2,22,3870001
2,23,4346652
2,24,3681324
2,25,5931758
2,26,6085501
2,27,1823859
2,28,5651369
2,29,1992300
2,30,5120822
2,31,4250160
2,32,3634481
2,33,6066189
2,34,4588905
2,35,1642835
2,36,3952563
2,37,3537917
2,38,3540161
2,39,4830059
2,40,2879080
2,41,4576399
2,42,4804499
2,43,3302849
2,44,3413718
2,45,4739294
2,46,3004056
2,47,3589827
2,48,3022508
2,49,3049809
2,50,3092491
2,51,1210868
2,52,4863828
2,53,4360223
2,54,2612851
2,55,4182810
2,56,1417947
2,57,1489944
2,58,3233999
2,59,4448791
2,60,2474173
2,61,3409207
2,62,3022609
2,63,4947993
2,64,2558556
2,65,2949195
2,66,2930240
2,67,3085860
2,68,3186491
2,69,4796760
2,70,6649926
2,71,4570211
2,72,3604626
2,73,2642636
2,74,4621364
2,75,5244737
2,76,4732845
2,77,4272591
2,78,4355973
2,79,1610012
2,80,3936518
2,81,4045796
2,82,4029372
2,83,4914369
2,84,4837340
2,85,3049473
2,86,4103411
2,87,3221433
2,88,4487189
2,89,2973219
2,90,4227106
2,91,3164946
2,92,4614446
2,93,1243113
2,94,4399690
2,95,4636293
2,96,2990124
2,97,4422238
2,98,4267024
2,99,2622214
2,100,3488937
3,1,4177092
3,2,3849578
3,3,4213369
3,4,3757579
3,5,3195208
3,6,3120453
3,7,2438566
3,8,4661398
3,9,5561760
3,10,1564463
3,11,3147426
3,12,4290244
3,13,3272291
3,14,3091634
3,15,4353935
3,16,3045166
3,17,4297049
3,18,4667617
3,19,4853858
3,20,3083335
3,21,3770778
3,22,3550274
3,23,1554214
3,24,5045360
3,25,5556023
3,26,2123773
3,27,5575082
3,28,2761791
3,29,5372787
3,30,5074442
3,31,5097255
3,32,4700432
3,33,4897783
3,34,1443714
3,35,4160779
3,36,4209705
3,37,3491459
3,38,5319834
3,39,2900200
3,40,4827341
3,41,4546902
3,42,4231230
3,43,3287270
3,44,3259530
3,45,1403700
3,46,4211580
3,47,4339001
3,48,3509431
3,49,3545122
3,50,6015726
3,51,5205178
3,52,3507175
3,53,3835520
3,54,4910543
3,55,3254531
3,56,5300595
3,57,4169585
3,58,2851902
3,59,3642849
3,60,3250850
3,61,4501642
3,62,2910409
3,63,2845314
3,64,4155155
3,65,2459640
3,66,5160991
3,67,1571544
3,68,4214704
3,69,3728732
3,70,4798039
3,71,4525119
3,72,2440401
3,73,2756723
3,74,4610069
3,75,2400853
3,76,3820512
3,77,2786835
3,78,4877524
3,79,2950489
3,80,3418767
3,81,4762781
3,82,5424948
3,83,3643752
3,84,4849799
3,85,4385285
3,86,3264017
3,87,1919954
3,88,1382285
3,89,4713150
3,90,4311387
3,91,4727475
3,92,1589679
3,93,2570869
3,94,2986890
3,95,1013323
3,96,4799097
3,97,6286817
3,98,3938853
3,99,3955259
3,100,5033029
4,1,1847510
4,2,5681737
4,3,1228058
4,4,4589297
4,5,1591906
4,6,3959720
4,7,3267408
4,8,4370251
4,9,2495221
4,10,3837232
4,11,2997203
4,12,4088317
4,13,4913868
4,14,4296527
4,15,4625015
4,16,3052739
4,17,5283568
4,18,4860205
4,19,5191493
4,20,3202123
4,21,4592089
4,22,2961941
4,23,4569950
4,24,4899222
4,25,4266110
4,26,2240254
4,27,928015
4,28,2991089
4,29,3097841
4,30,3779157
4,31,2802244
4,32,5113523
4,33,4673687
4,34,4491411
4,35,4123424
4,36,4559889
4,37,5614327
4,38,4480845
4,39,3021873
4,40,3353248
4,41,6568804
4,42,4727688
4,43,4782697
4,44,5256477
4,45,4818162
4,46,2888323
4,47,3803366
4,48,6863089
4,49,2884027
4,50,4156466
4,51,4877836
4,52,3539736
4,53,2775781
4,54,3621801
4,55,3842331
4,56,2863497
4,57,3548168
4,58,4390769
4,59,4621910
4,60,2471236
4,61,4953190
4,62,3545444
4,63,2304140
4,64,3389417
4,65,3664133
4,66,3572581
4,67,4633567
4,68,2940650
4,69,3201009
4,70,4252583
4,71,4367641
4,72,4468869
4,73,2346704
4,74,1287938
4,75,3351105
4,76,4197173
4,77,4846799
4,78,4635176
4,79,2551033
4,80,1404352
4,81,1660728
4,82,2142769
4,83,3416346
4,84,4496264
4,85,2284034
4,86,2246468
4,87,4301328
4,88,1882502
4,89,4246513
4,90,1290153
4,91,1509540
4,92,4490781
4,93,3138531
4,94,3452254
4,95,2833352
4,96,4067640
4,97,4461687
4,98,3659562
4,99,1230891
4,100,3248639
5,1,3258071
5,2,2778397
5,3,2890767
5,4,1615051
5,5,4492123
5,6,3454627
5,7,4383510
5,8,3744332
5,9,2502292
5,10,2654431
5,11,2595901
5,12,3582469
5,13,4538776
5,14,2377796
5,15,2976177
5,16,5917430
5,17,3555815
5,18,3076854
5,19,4816486
5,20,2971404
5,21,4598242
5,22,3256737
5,23,4032683
5,24,4736205
5,25,4341787
5,26,3155018
5,27,2970950
5,28,2894276
5,29,4838842
5,30,3743409
5,31,4052020
5,32,4125081
5,33,4600857
5,34,2195659
5,35,4105001
5,36,3045996
5,37,3906695
5,38,4199467
5,39,3135756
5,40,4334157
5,41,4181317
5,42,3427271
5,43,5050297
5,44,3831565
5,45,2361512
5,46,4772660
5,47,5099438
5,48,4082301
5,49,4484404
5,50,3268705
5,51,4074787
5,52,4252867
5,53,4099435
5,54,1188135
5,55,3130942
5,56,2943627
5,57,1380898
5,58,2211064
5,59,878418
5,60,4394776
5,61,3239121
5,62,2593853
5,63,4353350
5,64,4265688
5,65,4077587
5,66,3967883
5,67,2681473
5,68,4189002
5,69,2860095
5,70,2767384
5,71,3200294
5,72,3226901
5,73,2899601
5,74,2396247
5,75,2927938
5,76,4217503
5,77,3634916
5,78,1633151
5,79,5900969
5,80,4353756
5,81,1283902
5,82,3847260
5,83,4921012
5,84,4053479
5,85,1350151
5,86,2979869
5,87,4263460
5,88,1309632
5,89,1355739
5,90,4297873
5,91,4259950
5,92,4387868
5,93,3708827
5,94,2048649
5,95,2816243
5,96,3021435
5,97,3920005
5,98,4139788
5,99,4787098
5,100,2399274
6,1,5416522
6,2,2877815
6,3,4623073
6,4,3730187
6,5,1496268
6,6,2739947
6,7,2571813
6,8,4341094
6,9,1465412
6,10,4054692
6,11,1247085
6,12,2786677
6,13,3914918
6,14,4644721
6,15,1460587
6,16,1469298
6,17,2932562
6,18,4833612
6,19,2151762
6,20,1400227
6,21,1221252
6,22,4787602
6,23,2221952
6,24,3946733
6,25,4024026
6,26,4703170
6,27,1207800
6,28,4411849
6,29,1551092
6,30,4541815
6,31,3665955
6,32,4719330
6,33,4704077
6,34,3070001
6,35,3360412
6,36,3381821
6,37,1355196
6,38,3889929
6,39,4200555
6,40,4618293
6,41,3350319
6,42,3413180
6,43,4368906
6,44,3499669
6,45,5008703
6,46,4256860
6,47,2717848
6,48,3391854
6,49,3377195
6,50,2444855
6,51,3474959
6,52,3540651
6,53,4444695
6,54,4922334
6,55,2965155
6,56,4226441
6,57,1289612
6,58,3549488
6,59,4615911
6,60,4721963
6,61,4526303
6,62,1400945
6,63,4256887
6,64,2470783
6,65,4237597
6,66,4938341
6,67,2911774
6,68,4144956
6,69,5117657
6,70,1372537
6,71,3185153
6,72,1456952
6,73,4621528
6,74,3877474
6,75,4108487
6,76,6014374
6,77,4183368
6,78,4555917
6,79,1197935
6,80,3860219
6,81,4146778
6,82,2772574
6,83,3554129
6,84,2689313
6,85,3814485
6,86,4614046
6,87,1565409
6,88,1299262
6,89,4288311
6,90,4907970
6,91,1063133
6,92,2567081
6,93,3321015
6,94,5316659
6,95,3169037
6,96,5206476
6,97,5183269
6,98,2996623
6,99,2491534
6,100,2279907
7,1,3459109
7,2,3196994
7,3,4136906
7,4,3246277
7,5,1406014
7,6,3476878
7,7,4253922
7,8,2487663
7,9,1471596
7,10,4749408
7,11,5384657
7,12,4677199
7,13,2874514
7,14,4919076
7,15,3597230
7,16,3309725
7,17,3988734
7,18,5036115
7,19,2536400
7,20,3003276
7,21,3686933
7,22,3739488
7,23,3603330
7,24,4339053
7,25,5253481
7,26,4908941
7,27,1634773
7,28,3244064
7,29,4837468
7,30,2791809
7,31,3457430
7,32,3117306
7,33,4515784
7,34,4417239
7,35,1335670
7,36,4865559
7,37,2379183
7,38,5555156
7,39,3293597
7,40,3393763
7,41,1536589
7,42,3385217
7,43,2076415
7,44,3119932
7,45,2998374
7,46,4232700
7,47,2976125
7,48,2448150
7,49,4467039
7,50,5313813
7,51,4796847
7,52,3075604
7,53,1376660
7,54,2966649
7,55,5617413
7,56,3181279
7,57,3940203
7,58,4702335
7,59,3391682
7,60,2986952
7,61,4172911
7,62,2775226
7,63,4634735
7,64,4086944
7,65,2467456
7,66,4460149
7,67,4278894
7,68,5032626
7,69,2900907
7,70,4464763
7,71,2844747
7,72,1445849
7,73,2041434
7,74,2971145
7,75,4630793
7,76,3042194
7,77,3549579
7,78,3285709
7,79,3764762
7,80,4587385
7,81,4161380
7,82,2836248
7,83,1398006
7,84,4451919
7,85,3999948
7,86,4054703
7,87,4332567
7,88,3476219
7,89,1384991
7,90,2740647
7,91,2857839
7,92,3086896
7,93,2770502
7,94,3505178
7,95,3288618
7,96,3364079
7,97,3154731
7,98,3798752
7,99,4163517
7,100,3752118
8,1,5142003
8,2,3289210
8,3,3301733
8,4,5006218
8,5,4309643
8,6,3321198
8,7,4844487
8,8,5170711
8,9,2943041
8,10,5026728
8,11,4272051
8,12,4394599
8,13,4667058
8,14,4949268
8,15,4268381
8,16,4752293
8,17,2880091
8,18,1342394
8,19,3478988
8,20,1627329
8,21,2921791
8,22,5238449
8,23,4976015
8,24,3943834
8,25,4215606
8,26,1693418
8,27,3336989
8,28,4839275
8,29,1531800
8,30,3044554
8,31,2759196
8,32,4631648
8,33,4720135
8,34,4838531
8,35,4275879
8,36,4247782
8,37,3090625
8,38,3220509
8,39,1528593
8,40,1591948
8,41,4724641
8,42,3217870
8,43,2389341
8,44,2993415
8,45,4818812
8,46,4561261
8,47,1329420
8,48,1631834
8,49,4241954
8,50,3344774
8,51,3252408
8,52,1325951
8,53,4738145
8,54,4037283
8,55,3696568
8,56,3415935
8,57,3694885
8,58,5167972
8,59,3115001
8,60,4120588
8,61,3103219
8,62,1582778
8,63,3287887
8,64,6473947
8,65,2181734
8,66,1822277
8,67,1584994
8,68,4882436
8,69,3344813
8,70,1130945
8,71,4322661
8,72,4326531
8,73,1335147
8,74,3421649
8,75,3536178
8,76,5097512
8,77,3559065
8,78,4902513
8,79,3773792
8,80,5235666
8,81,3468675
8,82,5110534
8,83,3773656
8,84,3589340
8,85,5627489
8,86,2647600
8,87,5297092
8,88,4564585
8,89,2817733
8,90,2566458
8,91,3628781
8,92,5353301
8,93,1565387
8,94,3910718
8,95,4990586
8,96,3466277
8,97,3669069
8,98,3425640
8,99,5202064
8,100,3813588
9,1,3693432
9,2,5333596
9,3,2717900
9,4,2685595
9,5,3519784
9,6,3526174
9,7,2620747
9,8,3301605
9,9,4946016
9,10,3209436
9,11,2718206
9,12,2769250
9,13,2851934
9,14,4826167
9,15,4825606
9,16,2801827
9,17,1351947
9,18,2831405
9,19,4337330
9,20,3600435
9,21,4829445
9,22,4374706
9,23,3153260
9,24,5077728
9,25,4975089
9,26,4018721
9,27,1412483
9,28,4534312
9,29,4459977
9,30,2529883
9,31,4755283
9,32,4978270
9,33,6880491
9,34,2887242
9,35,2501667
9,36,3674058
9,37,4787482
9,38,3675839
9,39,4342934
9,40,1554972
9,41,2796551
9,42,3032654
9,43,4642651
9,44,2891673
9,45,2116303
9,46,4443887
9,47,4006710
9,48,4339693
9,49,4984600
9,50,3671712
9,51,4819857
9,52,3170125
9,53,4991701
9,54,2256137
9,55,3344376
9,56,1530702
9,57,4304805
9,58,3243876
9,59,5078489
9,60,2424239
9,61,4901270
9,62,2161551
9,63,3129151
9,64,4495637
9,65,2966382
9,66,3872078
9,67,3079026
9,68,4430160
9,69,4844946
9,70,2958106
9,71,4198121
9,72,4633374
9,73,1271272
9,74,4117310
9,75,4271376
9,76,1220797
9,77,4745537
9,78,2466980
9,79,1510613
9,80,4220766
9,81,3358814
9,82,4811810
9,83,4408360
9,84,4258482
9,85,4822125
9,86,4277261
9,87,1959332
9,88,4424560
9,89,4381904
9,90,3143251
9,91,3285673
9,92,4692784
9,93,2966958
9,94,4508129
9,95,5232747
9,96,1990495
9,97,4328820
9,98,4504001
9,99,3316378
9,100,2122917
10,1,3695810
10,2,3916656
10,3,4931263
10,4,4522401
10,5,3968901
10,6,4043525
10,7,3251127
10,8,2718203
10,9,5067817
10,10,4287798
10,11,4423776
10,12,4058195
10,13,5697495
10,14,3968279
10,15,2047100
10,16,3740144
10,17,5075995
10,18,4317941
10,19,1452544
10,20,4769345
10,21,1498906
10,22,1747912
10,23,1567089
10,24,4943811
10,25,3929157
10,26,1396380
10,27,3237295
10,28,8158268
10,29,6243700
10,30,3235733
10,31,3008469
10,32,1368814
10,33,3108625
10,34,1301177
10,35,5213013
10,36,3449374
10,37,4318920
10,38,4584170
10,39,1019289
10,40,2557777
10,41,3541208
10,42,1331400
10,43,3731460
10,44,4779923
10,45,1922847
10,46,3071684
10,47,2648682
10,48,3385186
10,49,4275289
10,50,3207242
10,51,2081405
10,52,4245857
10,53,4897318
10,54,4964540
10,55,4698933
10,56,2598424
10,57,3409683
10,58,2402697
10,59,3247851
10,60,3604183
10,61,3772059
10,62,3096662
10,63,5365682
10,64,3005619
10,65,1688605
10,66,4023327
10,67,4314282
10,68,4555579
10,69,1721316
10,70,3383142
10,71,3788645
10,72,2908896
10,73,2676107
10,74,4193446
10,75,4090805
10,76,2819104
10,77,2910666
10,78,4034960
10,79,4372210
10,80,4197696
10,81,4278193
10,82,2982459
10,83,3321012
10,84,5169701
10,85,4730608
10,86,4348533
10,87,3679821
10,88,3168548
10,89,4329453
10,90,2819521
10,91,4348074
10,92,2287927
10,93,3467961
10,94,3354593
10,95,1308330
10,96,2700246
10,97,536276
10,98,4946655
10,99,1642746
10,100,4380625
