iteration,operation,ns
1,1,1800757
1,2,15267880
1,3,1671062
1,4,13551921
1,5,16669353
1,6,1484111
1,7,9533428
1,8,6050695
1,9,15194928
1,10,19287337
1,11,14070986
1,12,11993895
1,13,1471375
1,14,15669355
1,15,12457131
1,16,9727638
1,17,15520821
1,18,6423214
1,19,6898317
1,20,10223169
1,21,18545432
1,22,9269902
1,23,12603028
1,24,16001220
1,25,10783076
1,26,13373136
1,27,1532898
1,28,10819354
1,29,12599127
1,30,6658855
1,31,12465082
1,32,17387108
1,33,2015617
1,34,7715109
1,35,15765797
1,36,9992167
1,37,11548743
1,38,16831820
1,39,16968702
1,40,16665493
1,41,15113542
1,42,15729096
1,43,7275270
1,44,6716277
1,45,11444570
1,46,16754490
1,47,11217320
1,48,11919030
1,49,1642021
1,50,12000592
1,51,16105268
1,52,1500516
1,53,15279138
1,54,16628746
1,55,7293764
1,56,9436547
1,57,6611806
1,58,1588551
1,59,12502933
1,60,9520171
1,61,16131998
1,62,15733470
1,63,17766421
1,64,16296987
1,65,10283551
1,66,16028013
1,67,15624004
1,68,9355614
1,69,11655173
1,70,15988499
1,71,10065149
1,72,1625143
1,73,15550714
1,74,13701669
1,75,1641237
1,76,11095719
1,77,1759854
1,78,12301117
1,79,15920651
1,80,9858150
1,81,10272803
1,82,17538898
1,83,19327893
1,84,12291758
1,85,1613400
1,86,13844463
1,87,9491983
1,88,9920238
1,89,9899665
1,90,15712514
1,91,1417053
1,92,12541755
1,93,16547374
1,94,1840271
1,95,10160997
1,96,15727416
1,97,20455103
1,98,16532133
1,99,11711135
1,100,15935820
2,1,15262591
2,2,16571092
2,3,16370264
2,4,20355425
2,5,15311977
2,6,11707342
2,7,6689325
2,8,9111927
2,9,10378041
2,10,11568202
2,11,8912176
2,12,10625501
2,13,15270962
2,14,16093786
2,15,18144971
2,16,11998075
2,17,15883755
2,18,9596086
2,19,16172395
2,20,15949467
2,21,14033007
2,22,11582617
2,23,9369368
2,24,15773979
2,25,15480922
2,26,12763773
2,27,11291130
2,28,16193929
2,29,12847701
2,30,9711305
2,31,1669137
2,32,5671789
2,33,16033788
2,34,1745476
2,35,15463099
2,36,2016064
2,37,10257425
2,38,15482990
2,39,10988112
2,40,19873329
2,41,9701420
2,42,17010496
2,43,12217974
2,44,10449568
2,45,10069769
2,46,10232939
2,47,16627559
2,48,15197758
2,49,16962388
2,50,9161455
2,51,6726773
2,52,12066302
2,53,6576552
2,54,9361139
2,55,6236964
2,56,16828275
2,57,10973816
2,58,9725309
