iteration,operation,ns
1,1,2907344
1,2,4677138
1,3,5625916
1,4,4539510
1,5,2634671
1,6,5006002
1,7,5296407
1,8,4897850
1,9,5659173
1,10,4608747
1,11,5139944
1,12,4204733
1,13,3060138
1,14,4452903
1,15,5039024
1,16,5249704
1,17,5646211
1,18,3465114
1,19,5549322
1,20,4594506
1,21,4758108
1,22,4395356
1,23,4411768
1,24,2421751
1,25,3802291
1,26,2065818
1,27,4424634
1,28,4314781
1,29,4498005
1,30,2081258
1,31,2574547
1,32,4566033
1,33,3730432
1,34,4297906
1,35,4511090
1,36,4424133
1,37,2377168
1,38,3938996
1,39,2821492
1,40,2520774
1,41,4478314
1,42,3865097
1,43,4382021
1,44,4256132
1,45,4539428
1,46,2530454
1,47,4798993
1,48,4442813
1,49,4257491
1,50,4858196
1,51,2441101
1,52,4517060
1,53,6357280
1,54,3927356
1,55,2316115
1,56,4366604
1,57,3940725
1,58,3898825
1,59,3853573
1,60,3866727
1,61,4119278
1,62,3737757
1,63,3976871
1,64,3516773
1,65,2598293
1,66,4395221
1,67,4357177
1,68,2277116
1,69,4129215
1,70,2623140
1,71,3832158
1,72,4074721
1,73,4576086
1,74,3839055
1,75,4059636
1,76,2549146
1,77,4194356
1,78,3921022
1,79,2539383
1,80,3726185
1,81,2278444
1,82,4426730
1,83,4061829
1,84,3461992
1,85,1921765
1,86,2353240
1,87,3886947
1,88,4373811
1,89,3969644
1,90,4210236
1,91,2687352
1,92,3695893
1,93,2413658
1,94,3645874
1,95,4006189
1,96,3816572
1,97,4097925
1,98,2600594
1,99,2536580
1,100,2412389
2,1,4301931
2,2,4089171
2,3,2381669
2,4,4435170
2,5,4780614
2,6,5088467
2,7,5320956
2,8,4693435
2,9,4221810
2,10,2668820
2,11,2132977
2,12,4738580
2,13,2484759
2,14,4815302
2,15,2210253
2,16,3770453
2,17,2425358
2,18,3818799
2,19,2410896
2,20,4261739
2,21,3852580
2,22,3937390
2,23,4075027
2,24,2504325
2,25,2471721
2,26,4760105
2,27,4917670
2,28,3911799
2,29,3843622
2,30,4197983
2,31,2526985
2,32,4001482
2,33,2273371
2,34,2244176
2,35,3726446
2,36,4143252
2,37,2766395
2,38,4312384
2,39,4373431
2,40,4467889
2,41,4382758
2,42,3671033
2,43,2274493
2,44,3775384
2,45,2630864
2,46,3939310
2,47,3893516
2,48,3642031
2,49,4354927
2,50,4537337
2,51,2911944
2,52,3853018
2,53,4117189
2,54,2588520
2,55,2674801
2,56,4063683
2,57,4228695
2,58,4309586
2,59,4086902
2,60,2038139
2,61,4065702
2,62,4096335
2,63,2542056
2,64,4602878
2,65,4262815
2,66,2401348
2,67,4313364
2,68,4711719
2,69,2198680
2,70,2376608
2,71,4052154
2,72,4618219
2,73,4445387
2,74,4039657
2,75,6256329
2,76,4095159
2,77,4555734
2,78,4066792
2,79,4228058
2,80,3138595
2,81,3967290
2,82,2049337
2,83,2479038
2,84,3909000
2,85,3803472
2,86,4241783
2,87,2192053
2,88,2695719
2,89,4115764
2,90,2369173
2,91,4463839
2,92,2083495
2,93,4539529
2,94,3820602
2,95,4179554
2,96,3740031
2,97,2496447
2,98,4475959
2,99,3939881
2,100,2502234
3,1,4264799
3,2,4218887
3,3,5113858
3,4,4581631
3,5,4584315
3,6,4420927
3,7,3773582
3,8,4095844
3,9,4028896
3,10,6341769
3,11,5312207
3,12,4602347
3,13,2390867
3,14,4177413
3,15,4164747
3,16,4500603
3,17,4067899
3,18,3757044
3,19,4582250
3,20,2311348
3,21,4724988
3,22,3884502
3,23,4261659
3,24,7220928
3,25,2226745
3,26,6264701
3,27,4051184
3,28,4088137
3,29,4193047
3,30,3820070
3,31,3836467
3,32,6433522
3,33,2651224
3,34,4370453
3,35,2156390
3,36,4922897
3,37,4312351
3,38,3991840
3,39,4198601
3,40,2599735
3,41,2278512
3,42,6370937
3,43,4592069
3,44,5525636
3,45,4300162
3,46,3996446
3,47,3739604
3,48,5889681
3,49,5183801
3,50,2593338
3,51,7854991
3,52,7473449
3,53,4712174
3,54,2449495
3,55,4303549
3,56,3975644
3,57,4004133
3,58,4057913
3,59,6640476
3,60,4122654
3,61,6466146
3,62,2748615
3,63,4547346
3,64,3857371
3,65,4710677
3,66,2489751
3,67,4591168
3,68,2686802
3,69,4230010
3,70,2546633
3,71,4394350
3,72,4071460
3,73,4184487
3,74,2678394
3,75,4093368
3,76,7004826
3,77,4398305
3,78,3678284
3,79,2460968
3,80,4696287
3,81,4789519
3,82,3816539
3,83,4147264
3,84,2863731
3,85,5232055
3,86,4701820
3,87,4525742
3,88,5406056
3,89,3901017
3,90,3607039
3,91,5869516
3,92,4565708
3,93,6151048
3,94,2451622
3,95,2412921
3,96,3763626
3,97,3738881
3,98,1970883
3,99,3610468
3,100,2268441
4,1,2742961
4,2,5010991
4,3,2488158
4,4,4143659
4,5,2368510
4,6,2624173
4,7,4519121
4,8,2630278
4,9,3942996
4,10,4108533
4,11,2663765
4,12,4138464
4,13,4634803
4,14,4123001
4,15,6330899
4,16,4391807
4,17,4160390
4,18,4469564
4,19,3971146
4,20,4123617
4,21,2586560
4,22,3949087
4,23,4012935
4,24,2258749
4,25,4349238
4,26,3818444
4,27,2557962
4,28,4057981
4,29,3724761
4,30,2430457
