iteration,operation,ns
1,1,2474756
1,2,2241343
1,3,6557774
1,4,6047978
1,5,5822033
1,6,5761806
1,7,5807800
1,8,5255216
1,9,3227530
1,10,5369637
1,11,5067460
1,12,6145374
1,13,5648572
1,14,5342180
1,15,5581272
1,16,5807411
1,17,5816731
1,18,3069728
1,19,6644861
1,20,6041331
1,21,6483448
1,22,6219924
1,23,6479473
1,24,2814637
1,25,6248339
1,26,6634212
1,27,5426232
1,28,6380399
1,29,6337383
1,30,3110387
1,31,6465921
1,32,2933893
1,33,6313654
1,34,5326137
1,35,5084745
1,36,4845678
1,37,4967786
1,38,2793837
1,39,5723561
1,40,5106426
1,41,5949747
1,42,2760679
1,43,2621009
1,44,2429254
1,45,5893022
1,46,9224151
1,47,2752612
1,48,5576910
1,49,3045498
1,50,5203192
1,51,5549160
1,52,6474946
1,53,2443020
1,54,6823916
1,55,5619381
1,56,5655411
1,57,3097517
1,58,2706987
1,59,2971780
1,60,5315886
1,61,5323451
1,62,5573405
1,63,5206634
1,64,5115528
1,65,5241538
1,66,4787549
1,67,4911638
1,68,4985045
1,69,5570359
1,70,4922395
1,71,4914027
1,72,2722365
1,73,5653549
1,74,5434207
1,75,5494133
1,76,5851913
1,77,5604573
1,78,5452775
1,79,5495544
1,80,9944273
1,81,12719305
1,82,2840364
1,83,5685749
1,84,2580518
1,85,5242347
1,86,5669750
1,87,5908023
1,88,2615443
1,89,2561131
1,90,6184310
1,91,9983500
1,92,5490571
1,93,2840653
1,94,2732010
1,95,4907048
1,96,4713587
1,97,2607974
1,98,5856096
1,99,4497220
1,100,4641146
2,1,2723938
2,2,6587878
2,3,5068014
2,4,5392600
2,5,5085767
2,6,5381739
2,7,2841919
2,8,5474967
2,9,2449353
2,10,4941302
2,11,8670559
2,12,2555933
2,13,5641093
2,14,5855889
2,15,5347690
2,16,5224776
2,17,5210899
2,18,5047274
2,19,5270771
2,20,2292662
2,21,5560409
2,22,5671783
2,23,2473376
2,24,5059995
2,25,5294617
2,26,6646189
2,27,5378529
2,28,2720374
2,29,5250546
2,30,5005987
2,31,5487438
2,32,4941714
2,33,5506746
2,34,5523940
2,35,6054890
2,36,5125222
2,37,2690447
2,38,5462249
2,39,4648880
2,40,2744726
2,41,5628382
2,42,5336769
2,43,5243868
2,44,5850830
2,45,5160715
2,46,4984590
2,47,5797079
2,48,6178252
2,49,4964030
2,50,2395247
2,51,2882888
2,52,2416079
2,53,2504638
2,54,5212544
2,55,5439297
2,56,2542294
2,57,2473024
2,58,5507629
2,59,5328561
2,60,2596458
2,61,6636886
2,62,5389550
2,63,2084552
2,64,5310955
2,65,2382819
2,66,5642749
2,67,2353790
2,68,2745421
2,69,5331240
2,70,5154166
2,71,5216273
2,72,8669544
2,73,4726418
2,74,2575785
2,75,2270755
2,76,2352889
2,77,5316728
2,78,5517283
2,79,5360920
2,80,2556407
2,81,7683449
2,82,5609352
2,83,5086087
2,84,5262406
2,85,5407947
2,86,2733632
2,87,5460959
2,88,5262463
2,89,5018912
2,90,5243145
2,91,5402663
2,92,5532596
2,93,2684362
2,94,5650964
2,95,7403690
2,96,4647033
2,97,4266651
2,98,2169552
2,99,5476923
2,100,4690385
3,1,2738176
3,2,6456590
3,3,6312724
3,4,2596223
3,5,5200497
3,6,5753882
3,7,5294224
3,8,4940315
3,9,3123485
3,10,5064625
3,11,2351790
3,12,5328571
3,13,2610949
3,14,5309082
3,15,5681716
3,16,5255349
3,17,5573499
3,18,5402478
3,19,7320413
3,20,2466064
3,21,2416854
3,22,5641575
3,23,6277467
3,24,5404171
3,25,8439139
3,26,4759759
3,27,2335627
3,28,2559380
3,29,5156341
3,30,5621626
3,31,2490787
3,32,2345121
3,33,5288128
3,34,5213897
3,35,7727150
3,36,4962830
3,37,5029210
3,38,5335805
3,39,5217398
3,40,5187526
3,41,5380312
3,42,2347989
3,43,7458585
3,44,8636864
3,45,5418186
3,46,5599856
3,47,7217604
3,48,7465855
3,49,5479832
3,50,2825746
3,51,5206883
3,52,2668220
3,53,5134552
3,54,5233610
3,55,2927858
3,56,2570282
3,57,5172580
3,58,5321188
3,59,2289838
3,60,2379797
3,61,2415278
3,62,5153538
3,63,4944716
3,64,5614141
3,65,7604250
3,66,7735857
3,67,5502943
3,68,5330192
3,69,5867874
3,70,5336482
3,71,2892443
3,72,2620950
3,73,9476923
3,74,5072152
3,75,5145348
3,76,7830575
3,77,2776617
3,78,5804484
3,79,3144793
3,80,5581962
3,81,5318679
3,82,5266513
3,83,8377686
3,84,5409890
3,85,2711779
3,86,5465246
3,87,5641289
3,88,7517096
3,89,5492021
3,90,5508768
3,91,2387813
3,92,2408493
3,93,2170374
3,94,5132263
3,95,5195579
3,96,5880943
3,97,4671939
3,98,4872821
3,99,2702046
3,100,4847154
4,1,5067878
4,2,4924336
4,3,9055850
4,4,5517934
4,5,2431279
4,6,3202379
4,7,5385603
4,8,3156126
4,9,2778990
4,10,5710833
4,11,5609018
4,12,2617726
4,13,2937206
4,14,5436518
4,15,5632034
4,16,5571535
4,17,5578406
4,18,2832283
4,19,7783044
4,20,5460340
4,21,5220437
4,22,2436051
4,23,5158889
4,24,2611078
4,25,5065716
4,26,6170480
4,27,8648043
4,28,2874683
4,29,5701613
4,30,2989994
4,31,6678375
4,32,5889349
4,33,3406876
4,34,3251768
4,35,6198380
4,36,6691703
4,37,6494928
4,38,6279499
4,39,3086439
4,40,5631092
4,41,5351654
4,42,5355225
4,43,2715557
4,44,5685886
4,45,9230503
4,46,2657533
4,47,3432094
4,48,5729955
4,49,2878118
4,50,3126338
4,51,7417803
4,52,2317893
4,53,2366818
4,54,2509163
4,55,5727033
4,56,7560792
4,57,9428675
4,58,2418355
4,59,5074218
4,60,2687355
4,61,5711048
4,62,5220026
4,63,5259260
4,64,2802057
4,65,4196935
4,66,2566357
4,67,4667523
4,68,2776950
4,69,22082511
4,70,4857527
4,71,4971693
4,72,2619421
4,73,2982822
4,74,5300686
4,75,8473366
4,76,6082093
4,77,2640041
4,78,2461082
4,79,2964379
4,80,5453253
4,81,5860490
4,82,5981616
4,83,7941456
4,84,2848245
4,85,5812069
4,86,4964347
4,87,2679482
4,88,7670281
4,89,2336884
4,90,2781395
4,91,5173557
4,92,5703217
4,93,4958046
4,94,5747748
4,95,5028149
4,96,2550557
4,97,5442574
4,98,5407776
4,99,3601695
4,100,2795796
5,1,5429159
5,2,2787189
5,3,5912028
5,4,2905822
5,5,2597245
5,6,2482285
5,7,2974834
5,8,5148415
5,9,5622100
5,10,2905133
5,11,5165059
5,12,5007006
5,13,6057691
5,14,5114946
5,15,6869082
5,16,9925685
5,17,7085851
5,18,5521388
5,19,3209170
5,20,5582080
5,21,5547656
5,22,3001924
5,23,5326426
5,24,2988689
5,25,5439329
5,26,6253350
5,27,5776414
5,28,5780020
5,29,5408092
5,30,6050445
5,31,5236508
5,32,7292116
5,33,5414834
5,34,5119711
5,35,6372894
5,36,5257492
5,37,5137270
5,38,2690921
5,39,5669481
5,40,2161074
5,41,5290476
5,42,2461862
5,43,5285161
5,44,5437027
5,45,3129066
5,46,2712501
5,47,5656778
5,48,5567228
5,49,5384656
5,50,2974611
5,51,2682614
5,52,6422792
5,53,2922040
5,54,6199058
5,55,5391457
5,56,5374255
5,57,5979471
5,58,5457212
5,59,5281411
5,60,5058657
5,61,4851637
5,62,5793311
5,63,5265530
5,64,5221193
5,65,5511141
5,66,5158169
5,67,2470694
5,68,5184995
5,69,2740542
5,70,5767343
5,71,5211324
5,72,4948056
5,73,2453941
5,74,2632984
5,75,5375626
5,76,5442373
5,77,4905222
5,78,4919567
5,79,2461010
5,80,2663193
5,81,2548990
5,82,1920999
5,83,2838224
5,84,2395277
5,85,5143693
5,86,4945833
5,87,5289365
5,88,5178503
5,89,4842365
5,90,5368240
5,91,5803844
5,92,5134369
5,93,5260607
5,94,5293795
5,95,5490978
5,96,5167294
5,97,5081328
5,98,4854183
5,99,4937520
5,100,4530681
6,1,5337670
6,2,2683071
6,3,2746056
6,4,5298359
6,5,5930530
6,6,5728863
6,7,2439875
6,8,5290468
6,9,5191354
6,10,5542232
6,11,4885844
6,12,5639176
6,13,5903491
6,14,5251528
6,15,4711377
6,16,2565071
6,17,4654184
6,18,2486598
6,19,2986832
6,20,5519379
6,21,4889532
6,22,5426647
6,23,6178934
6,24,3008232
6,25,6033112
6,26,6112695
6,27,4567749
6,28,5516330
6,29,2770779
6,30,6024337
6,31,2862672
6,32,5498315
6,33,5864719
6,34,2912736
6,35,5534396
6,36,2816801
6,37,5619180
6,38,2431511
6,39,2527552
6,40,5924888
6,41,2721804
6,42,5481141
6,43,2325147
6,44,5121459
6,45,5570189
6,46,5002072
6,47,5521090
6,48,4780505
6,49,5391994
6,50,5143021
6,51,5453315
6,52,2401560
6,53,5843117
6,54,5165240
6,55,2508705
6,56,5438411
6,57,5459749
6,58,5240719
6,59,5493196
6,60,6002273
6,61,5827745
6,62,3112001
6,63,5446040
6,64,5889981
6,65,7630000
6,66,2516838
6,67,5973715
6,68,8334002
6,69,5340942
6,70,5519581
6,71,2691123
6,72,5883831
6,73,5504308
6,74,3032589
6,75,5219047
6,76,5152723
6,77,4756866
6,78,5197045
6,79,4716286
6,80,4976085
6,81,2583058
6,82,5474436
6,83,3224753
6,84,2938455
6,85,5972972
6,86,5522611
6,87,5028480
6,88,2226822
6,89,9496745
6,90,6808485
6,91,5464103
6,92,2801759
6,93,6314178
6,94,2360190
6,95,5433347
6,96,2344126
6,97,4851885
6,98,5093934
6,99,5108154
6,100,2279262
7,1,5040260
7,2,5170978
7,3,2817516
7,4,5628983
7,5,5234205
7,6,5043657
7,7,2453189
7,8,7505110
7,9,8402030
7,10,3088551
7,11,2611964
7,12,2396750
7,13,2629014
7,14,5189737
7,15,5997482
7,16,4942331
7,17,5153667
7,18,2459885
7,19,2433187
7,20,5701672
7,21,2550917
7,22,5534122
7,23,7943970
7,24,5181266
7,25,7804206
7,26,5079173
7,27,2450567
7,28,5399553
7,29,5904078
7,30,2870222
7,31,5124262
7,32,5096578
7,33,5287156
7,34,7454855
7,35,2805860
7,36,7828631
7,37,7480648
7,38,7782036
7,39,7666414
7,40,5653714
7,41,5891796
7,42,8142996
7,43,5381592
7,44,4999268
7,45,5080847
7,46,5859902
7,47,6643809
7,48,2269396
7,49,5416836
7,50,5221821
7,51,5724894
7,52,9607840
7,53,5049383
7,54,7213556
7,55,5251808
7,56,5356601
7,57,2437526
7,58,7705292
7,59,6327617
7,60,5484306
7,61,5147545
7,62,5110681
7,63,2511533
7,64,4639220
7,65,2370340
7,66,4771405
7,67,5633331
7,68,5461612
7,69,2299453
7,70,5098366
7,71,4647854
7,72,4751890
7,73,4971273
7,74,5077069
7,75,4853732
7,76,5314600
7,77,4775912
7,78,5016343
7,79,5248554
7,80,5098138
7,81,4933772
7,82,3332859
7,83,6171237
7,84,3025167
7,85,2583987
7,86,2673963
7,87,2395530
7,88,7715357
7,89,2256567
7,90,4728223
7,91,2796730
7,92,2358465
7,93,4616269
7,94,5541900
7,95,5108438
7,96,4716081
7,97,7269030
7,98,2559622
7,99,4971227
7,100,5393442
8,1,5530998
8,2,5766378
8,3,4930895
8,4,4810185
8,5,7422861
8,6,2495347
8,7,7533153
8,8,5176814
8,9,5695269
8,10,5130589
8,11,5301587
8,12,4904286
