iteration,operation,ns
1,1,2028610
1,2,2587616
1,3,9136283
1,4,2532310
1,5,2391510
1,6,2839396
1,7,2413508
1,8,2844234
1,9,2094309
1,10,1830377
1,11,9066790
1,12,1907430
1,13,8835168
1,14,2893489
1,15,8622761
1,16,1973380
1,17,2963187
1,18,9180963
1,19,2299723
1,20,1508610
1,21,5231910
1,22,2915518
1,23,7758885
1,24,2066239
1,25,2707598
1,26,8273524
1,27,2186870
1,28,2666203
1,29,11377440
1,30,2506263
1,31,2023264
1,32,8530759
1,33,2085818
1,34,8979295
1,35,2228540
1,36,2467321
1,37,2592950
1,38,2296777
1,39,6945594
1,40,8781335
1,41,2814064
1,42,2314041
1,43,2124923
1,44,2105816
1,45,2311627
1,46,9446799
1,47,9372446
1,48,2370922
1,49,2490998
1,50,2281937
1,51,3220707
1,52,9137061
1,53,2314821
1,54,9250910
1,55,2860048
1,56,9960781
1,57,2152880
1,58,9553982
1,59,2027459
1,60,9598691
1,61,1977424
1,62,3420509
1,63,2754084
1,64,8996723
1,65,2685695
1,66,2586716
1,67,2035148
1,68,8282546
1,69,1786409
1,70,10654965
1,71,8908209
1,72,2302420
1,73,2707461
1,74,2137692
1,75,2318085
1,76,1947553
1,77,2379090
1,78,2274306
1,79,10757714
1,80,2207452
1,81,2216988
1,82,2885635
1,83,8802483
1,84,2011807
1,85,8989624
1,86,7151556
1,87,1855328
1,88,2549742
1,89,2425049
1,90,1425507
1,91,2306377
1,92,2098699
1,93,2361824
1,94,2660040
1,95,2063370
1,96,2238225
1,97,2164502
1,98,1361309
1,99,6974485
1,100,2569039
2,1,2361046
2,2,12625771
2,3,8424642
2,4,3595818
2,5,1965765
2,6,1811222
2,7,2252332
2,8,2767099
2,9,2383191
2,10,3785051
2,11,3423767
2,12,2824291
2,13,10360400
2,14,3537190
2,15,2989077
2,16,2799195
2,17,3399145
2,18,2840799
2,19,2495983
2,20,2722193
2,21,1865707
2,22,10309075
2,23,2371336
2,24,2304125
2,25,2223684
2,26,6411447
2,27,3109173
2,28,3423197
2,29,2370270
2,30,2371066
2,31,2176648
2,32,2385480
2,33,1896436
2,34,11808950
2,35,10475605
2,36,2094095
2,37,9032713
2,38,3652639
2,39,2128659
2,40,1951113
2,41,6473326
2,42,9552946
2,43,2915070
2,44,9899708
2,45,2250078
2,46,3512413
2,47,2885819
2,48,8671752
2,49,1938428
2,50,2095025
2,51,2081141
2,52,9505368
2,53,2782354
2,54,2247921
2,55,2245005
2,56,1966458
2,57,4163688
2,58,2684739
2,59,2161859
2,60,9060937
2,61,9343172
2,62,3795165
2,63,9767685
2,64,10750667
2,65,3412178
2,66,2736338
2,67,10898580
2,68,9483373
2,69,3966110
2,70,10441329
2,71,2789053
2,72,3552836
2,73,1918198
2,74,3644093
2,75,2352316
2,76,3277771
2,77,2813687
2,78,2693536
2,79,2860191
2,80,1881396
2,81,15584880
2,82,2524700
2,83,3171935
2,84,10965781
2,85,2349928
2,86,2853622
2,87,12099267
2,88,11432755
2,89,2631017
2,90,4006442
2,91,2542877
2,92,2843361
2,93,2828248
2,94,2639535
2,95,8451873
2,96,1930281
2,97,2943249
2,98,8751281
2,99,1868030
2,100,1569645
3,1,7997000
3,2,2679397
3,3,8864620
3,4,1911986
3,5,8658954
3,6,2162885
3,7,8808463
3,8,2006026
3,9,8985191
3,10,1836357
3,11,2002603
3,12,3284828
3,13,3861949
3,14,2354546
3,15,2856313
3,16,2016631
3,17,8615175
3,18,2482915
3,19,3283811
3,20,2875181
3,21,2369585
3,22,2965810
3,23,10578283
3,24,2516328
3,25,3390398
3,26,6317518
3,27,2412287
3,28,8491497
3,29,9435584
3,30,2531162
3,31,8665949
3,32,2286453
3,33,1987835
3,34,2255642
3,35,2063425
3,36,8367835
3,37,2412309
3,38,2077225
3,39,1936898
3,40,2819603
3,41,1845001
3,42,2423714
3,43,3365267
3,44,9550733
3,45,3206021
3,46,2901286
3,47,3027053
3,48,2094282
3,49,1978355
3,50,1741547
3,51,8452950
3,52,2960895
3,53,1851924
3,54,2111655
3,55,2479450
3,56,1959645
3,57,1629017
3,58,3377104
3,59,2643758
3,60,9310382
3,61,7740964
3,62,1588445
3,63,2393581
3,64,8380654
3,65,1810407
3,66,2896752
3,67,2678747
3,68,3380904
3,69,9534620
3,70,3347700
3,71,2498644
3,72,2220758
3,73,2461748
3,74,2501372
3,75,2124338
3,76,9704841
3,77,1994914
3,78,2121216
3,79,7974804
3,80,1965048
3,81,4645140
3,82,8279593
3,83,1893209
3,84,1721518
3,85,1694586
3,86,2241908
3,87,1835281
3,88,2417793
3,89,7760903
3,90,1741369
3,91,1785952
3,92,2003339
3,93,2195762
3,94,2288260
3,95,2037092
3,96,7547969
3,97,2505139
3,98,7152767
3,99,6555273
3,100,2469649
4,1,2048654
4,2,1612387
4,3,2505632
4,4,2239324
4,5,1727228
4,6,3112384
4,7,2119057
4,8,2086842
4,9,1533486
4,10,1942544
4,11,1805023
4,12,8409537
4,13,2014937
4,14,2398320
4,15,2182618
4,16,8864327
4,17,2036570
4,18,1664232
4,19,2254526
4,20,9289511
4,21,1862801
4,22,2906072
4,23,2987659
4,24,3277950
4,25,2274137
4,26,2920439
4,27,2082304
4,28,2069593
4,29,2244439
4,30,2559204
4,31,2380924
4,32,9010674
4,33,2495063
4,34,8618129
4,35,2822417
4,36,2065539
4,37,2110312
4,38,2885153
4,39,8699700
4,40,8325055
4,41,6895071
4,42,8914127
4,43,2577758
4,44,1750826
4,45,1819892
4,46,1933400
4,47,3325651
4,48,2154187
4,49,2748738
4,50,2163181
4,51,8056224
4,52,2789299
4,53,2321906
4,54,3281986
4,55,2307837
4,56,1666432
4,57,2413775
4,58,1766579
4,59,7790060
4,60,8009890
4,61,2118299
4,62,1938145
4,63,2627497
4,64,7811269
4,65,1907949
4,66,1946608
4,67,2151473
4,68,2160458
4,69,1610036
4,70,5727095
4,71,2346832
4,72,1552779
4,73,1659970
4,74,2331182
4,75,2174404
4,76,2237168
4,77,8143672
4,78,2813986
4,79,3573466
4,80,3293764
4,81,2781243
4,82,1552087
4,83,2256008
4,84,8476565
4,85,2042907
4,86,2611676
4,87,7962831
4,88,8443347
4,89,2192915
4,90,3856186
4,91,2017359
4,92,1554363
4,93,1901045
4,94,1748711
4,95,2758479
4,96,1882530
4,97,2914066
4,98,2952411
4,99,2404689
4,100,2925898
5,1,7789687
5,2,1719263
5,3,2019013
5,4,1725839
5,5,1858027
5,6,4566952
5,7,8755929
5,8,8477782
5,9,8379353
5,10,9289593
5,11,8695813
5,12,3091338
5,13,1785447
5,14,1814198
5,15,1846954
5,16,1918225
5,17,1954327
5,18,2404445
5,19,7878677
5,20,1993068
5,21,1882135
5,22,4360315
5,23,3224833
5,24,2599715
5,25,2454673
5,26,2561551
5,27,2940100
5,28,1964985
5,29,5620674
5,30,2827880
5,31,2851167
5,32,2437669
5,33,1931519
5,34,2048853
5,35,2921949
5,36,2577268
5,37,2786781
5,38,8385180
5,39,8596717
5,40,2999760
5,41,1876378
5,42,2161341
5,43,2416284
5,44,8292017
5,45,2745587
5,46,2305890
5,47,1551256
5,48,1943711
5,49,8371837
5,50,2708525
