iteration,operation,ns
1,1,6254688
1,2,7900207
1,3,6782753
1,4,6292039
1,5,6896772
1,6,5819455
1,7,5915795
1,8,6163297
1,9,5400164
1,10,8835628
1,11,8298248
1,12,6440100
1,13,8659577
1,14,6802008
1,15,5944706
1,16,5718522
1,17,5956748
1,18,5952270
1,19,6358970
1,20,6258864
1,21,8516842
1,22,6571673
1,23,6174035
1,24,6039210
1,25,6428512
1,26,6363043
1,27,8173430
1,28,6743423
1,29,8112713
1,30,5761480
1,31,6377622
1,32,6467309
1,33,6597687
1,34,6420850
1,35,6079695
1,36,15176226
1,37,5914748
1,38,6661291
1,39,6547622
1,40,6974403
1,41,10249936
1,42,6508516
1,43,6729352
1,44,6968168
1,45,6576485
1,46,8512398
1,47,8347262
1,48,6066693
1,49,9099446
1,50,6256996
1,51,5881108
1,52,6102257
1,53,5995814
1,54,5835751
1,55,6183326
1,56,6561855
1,57,6071294
1,58,5835812
1,59,5972796
1,60,6044033
1,61,8812158
1,62,6263894
1,63,5775703
1,64,8809420
1,65,5607792
1,66,7740239
1,67,7787793
1,68,5935724
1,69,5785943
1,70,7016256
1,71,5968546
1,72,8221044
1,73,6364907
1,74,5746834
1,75,8485949
1,76,6490585
1,77,6198803
1,78,9873865
1,79,6318333
1,80,5966120
1,81,6081278
1,82,8354267
1,83,5781180
1,84,6436853
1,85,6123016
1,86,5758867
1,87,6121951
1,88,6245718
1,89,6079814
1,90,5854748
1,91,6002554
1,92,7805496
1,93,5829534
1,94,8059252
1,95,8122196
1,96,7687362
1,97,6215070
1,98,5561339
1,99,4976608
1,100,5346496
2,1,6194997
2,2,7382983
2,3,5853158
2,4,6035763
2,5,5862804
2,6,6939832
2,7,8906447
2,8,8176459
2,9,7927755
2,10,6098990
2,11,6463435
2,12,8962267
2,13,6173541
2,14,6309053
2,15,9110439
2,16,6223674
2,17,8699264
2,18,5896057
2,19,5479807
2,20,5733574
2,21,5447010
2,22,7331473
2,23,8681919
2,24,8439990
2,25,8422399
2,26,6689030
2,27,5704191
2,28,6281748
2,29,6755251
2,30,6189555
2,31,5388926
2,32,6010918
2,33,8561385
2,34,6616995
2,35,6298186
2,36,8999123
2,37,5802053
2,38,8778726
2,39,6187824
2,40,8287655
2,41,5932356
2,42,9423750
2,43,7757221
2,44,6187224
2,45,5837309
2,46,9682538
2,47,5814007
2,48,8243017
2,49,9462527
2,50,6548784
2,51,8457627
2,52,6448924
2,53,9760600
2,54,5430760
2,55,6262240
2,56,6550977
2,57,5691790
2,58,7894249
2,59,8872253
2,60,5964630
2,61,8792397
2,62,7476538
2,63,6253455
2,64,5932082
2,65,8368285
2,66,5835781
2,67,6066007
2,68,6337192
2,69,8358466
2,70,8606564
2,71,6618979
2,72,5434414
2,73,5596642
2,74,6469714
2,75,5973632
2,76,5864908
2,77,5887305
2,78,6565924
2,79,8328335
2,80,7924633
2,81,6775676
2,82,6195762
2,83,8450466
2,84,11089019
2,85,8085369
2,86,9317592
2,87,6304703
2,88,6781890
2,89,9156844
2,90,5990843
2,91,8772562
2,92,5939361
2,93,8251595
2,94,5267703
2,95,5538728
2,96,5993063
2,97,4751349
2,98,7260832
2,99,4851432
2,100,4466569
3,1,6169567
3,2,6433260
3,3,7095737
3,4,6103222
3,5,5705024
3,6,6231998
3,7,6535471
3,8,6031688
3,9,5883493
3,10,6151773
3,11,5858154
3,12,6049521
3,13,6883219
3,14,6501429
3,15,6672269
3,16,6061533
3,17,6164359
3,18,5671865
3,19,5473732
3,20,6483807
3,21,5849485
3,22,6681856
3,23,6670515
3,24,6590388
3,25,5635176
3,26,5973008
3,27,6518751
3,28,6367621
3,29,5890806
3,30,5606969
3,31,6816112
3,32,6557223
3,33,5764962
3,34,5727084
3,35,6446596
3,36,6006487
3,37,5568306
3,38,5899446
3,39,5743741
3,40,6158840
3,41,5677263
3,42,5549958
3,43,5726082
3,44,5621524
3,45,6210682
3,46,5712027
3,47,5970173
3,48,6169255
3,49,6366770
3,50,6107347
3,51,6211379
3,52,6457851
