iteration,operation,ns
1,1,9641720
1,2,7217190
1,3,7031513
1,4,9247232
1,5,8581174
1,6,6699858
1,7,11859427
1,8,9336963
1,9,8971422
1,10,6756990
1,11,9610321
1,12,9144533
1,13,8044246
1,14,10030370
1,15,8761365
1,16,6790535
1,17,9182315
1,18,9190353
1,19,8397392
1,20,9590590
1,21,8664698
1,22,8640156
1,23,8756775
1,24,6643785
1,25,8895472
1,26,8677409
1,27,14686636
1,28,10912409
1,29,9457231
1,30,11774788
1,31,10794921
1,32,9339426
1,33,9131249
1,34,11546538
1,35,6407319
1,36,6744665
1,37,6343946
1,38,9107117
1,39,12013532
1,40,6852396
1,41,8860542
1,42,8928079
1,43,9186396
1,44,9156916
1,45,6021307
1,46,12027884
1,47,8796395
1,48,6247443
1,49,9744438
1,50,8619916
1,51,8432093
1,52,8420796
1,53,8954495
1,54,13386603
1,55,9056429
1,56,7846802
1,57,6870257
1,58,8578841
1,59,6156849
1,60,9544357
1,61,11966396
1,62,8875680
1,63,6200807
1,64,7272025
1,65,11097889
1,66,8776793
1,67,6084751
1,68,6539972
1,69,8394667
1,70,11508704
1,71,10863998
1,72,11738657
1,73,8861863
1,74,8910888
1,75,8826504
1,76,9080821
1,77,5913156
1,78,5766629
1,79,9147489
1,80,5778472
1,81,8957521
1,82,8253506
1,83,8553816
1,84,8076315
1,85,8454735
1,86,10802995
1,87,8245984
1,88,8773815
1,89,9336258
1,90,6611975
1,91,9178721
1,92,6171801
1,93,10581667
1,94,5949360
1,95,9198701
1,96,8989782
1,97,13334231
1,98,6592667
1,99,11868471
1,100,8759707
2,1,10356721
2,2,9662404
2,3,6509502
2,4,14346535
2,5,8464611
2,6,9509427
2,7,6292531
2,8,14560230
2,9,9226031
2,10,8645438
2,11,9143705
2,12,8572969
2,13,8643924
2,14,8573547
2,15,8546411
2,16,6771297
2,17,8198011
2,18,6285583
2,19,10663144
2,20,6225774
2,21,8423686
2,22,6427659
2,23,10686636
2,24,8604725
2,25,6250435
2,26,9444215
2,27,5802113
2,28,11524843
2,29,6453135
2,30,5855693
2,31,8463824
2,32,8935673
2,33,11341013
2,34,8640070
2,35,5953470
2,36,6387331
2,37,9814777
2,38,9095666
2,39,8929227
2,40,8405108
2,41,9072727
2,42,6125036
2,43,9560642
2,44,8754913
2,45,8833713
2,46,11085748
2,47,6506778
2,48,11507140
2,49,8030144
2,50,9188907
2,51,6112234
2,52,9230923
2,53,9094273
2,54,9271517
2,55,11052982
2,56,8656428
2,57,6557987
2,58,6286058
2,59,10724927
2,60,12598332
2,61,11858715
2,62,9429257
2,63,9159216
2,64,8791653
2,65,8571912
2,66,6405619
2,67,8412425
2,68,6300570
2,69,8966720
2,70,6254014
2,71,11555696
2,72,6254143
2,73,9368024
2,74,13520283
2,75,8529641
2,76,8544288
2,77,6735517
2,78,11311801
2,79,11114489
2,80,9533332
2,81,8986167
2,82,8602161
2,83,9010481
2,84,8666886
2,85,8577577
2,86,8686998
2,87,6540931
2,88,9037035
2,89,8324887
2,90,16915396
2,91,5734994
2,92,8882955
2,93,8580484
2,94,8945565
2,95,10649822
2,96,10985530
2,97,8378076
2,98,6190744
2,99,8229517
2,100,5537757
3,1,6454165
3,2,8191556
3,3,9275515
3,4,8617937
3,5,11354265
