iteration,operation,ns
1,1,3519647
1,2,2756605
1,3,3149712
1,4,3345968
1,5,3132890
1,6,2959676
1,7,3276255
1,8,3045302
1,9,2856280
1,10,2321194
1,11,2451237
1,12,2396467
1,13,2310728
1,14,2326758
1,15,2710168
1,16,2436679
1,17,2629989
1,18,2542127
1,19,2458991
1,20,3128525
1,21,2156519
1,22,3499823
1,23,3102572
1,24,2475725
1,25,2515516
1,26,2732470
1,27,2838313
1,28,2432862
1,29,2799679
1,30,2025670
1,31,2842534
1,32,2724441
1,33,2109955
1,34,2284777
1,35,2213182
1,36,2496649
1,37,2615085
1,38,2925870
1,39,2808666
1,40,1946914
1,41,3074046
1,42,2314593
1,43,5423803
1,44,4637013
1,45,2743489
1,46,2431521
1,47,2526933
1,48,2277840
1,49,2551297
1,50,3138163
1,51,2742113
1,52,3289648
1,53,1913053
1,54,1662127
1,55,2199351
1,56,1961715
1,57,2726751
1,58,2410915
1,59,1964954
1,60,2276170
1,61,2947380
1,62,2097985
1,63,2391406
1,64,1807611
1,65,2948802
1,66,1952038
1,67,2850745
1,68,1777611
1,69,2776670
1,70,2825511
1,71,2774446
1,72,8482934
1,73,2287261
1,74,1925206
1,75,2915041
1,76,2386060
1,77,3155998
1,78,2626766
1,79,1887431
1,80,2266519
1,81,2283927
1,82,3325252
1,83,1973405
1,84,2749428
1,85,1939950
1,86,1987201
1,87,2098346
1,88,8533932
1,89,6089241
1,90,2162609
1,91,19709523
1,92,3103020
1,93,1889101
1,94,3333684
1,95,2293475
1,96,2245221
1,97,2767011
1,98,2394940
1,99,3448195
1,100,3325182
2,1,3256472
2,2,2245004
2,3,2809445
2,4,2181347
2,5,1898064
2,6,2992482
2,7,2332892
2,8,1999160
2,9,2561056
2,10,2360134
2,11,2416143
2,12,2557085
2,13,2697246
2,14,2351849
2,15,2520144
2,16,2698877
2,17,2994767
2,18,2553073
2,19,2769223
2,20,2508102
2,21,2417945
2,22,3201575
2,23,2613707
2,24,2890271
2,25,2641317
2,26,2106271
2,27,2772431
2,28,2529340
2,29,2330711
2,30,2473903
