iteration,operation,ns
1,1,3602142
1,2,3311654
1,3,4295758
1,4,3675015
1,5,2899023
1,6,2708492
1,7,3079593
1,8,3356051
1,9,3074127
1,10,2056282
1,11,3392854
1,12,3194056
1,13,2169445
1,14,3620228
1,15,6165719
1,16,2425020
1,17,3017897
1,18,3422509
1,19,3253606
1,20,2989821
1,21,2335509
1,22,2532430
1,23,3070516
1,24,2748716
1,25,2324169
1,26,3119761
1,27,3131566
1,28,2752929
1,29,3382353
1,30,2834374
1,31,2948554
1,32,2303978
1,33,2627771
1,34,2847382
1,35,3120985
1,36,3318879
1,37,3575856
1,38,2117873
1,39,2317610
1,40,3471448
1,41,3312237
1,42,3081991
1,43,3085095
1,44,2416873
1,45,3119879
1,46,3115343
1,47,2397517
1,48,2160040
1,49,2980575
1,50,2424494
1,51,2548144
1,52,3441404
1,53,3837464
1,54,2756084
1,55,2710761
1,56,3990814
1,57,3403657
1,58,4587948
1,59,3193391
1,60,2760199
1,61,3971642
1,62,3732281
1,63,2613850
1,64,3484786
1,65,2480403
1,66,3421570
1,67,4529099
1,68,2018555
1,69,3094466
1,70,2627378
1,71,3171995
1,72,3631951
1,73,3016478
1,74,2708865
1,75,2474059
1,76,2450362
1,77,2710708
1,78,3378136
1,79,2698195
1,80,3073393
1,81,3024398
1,82,2898891
1,83,2627039
1,84,3269225
1,85,3171514
1,86,3237148
1,87,2822352
1,88,2437694
1,89,2738424
1,90,2606949
1,91,2131328
1,92,2640517
1,93,2841110
1,94,2605911
1,95,2562275
1,96,3271387
1,97,3702380
1,98,2965807
1,99,2877780
1,100,2784481
2,1,2862941
2,2,3061338
2,3,3506515
2,4,2548173
2,5,4047318
2,6,2519830
2,7,2920976
2,8,2670032
2,9,2715594
2,10,3385206
2,11,3178426
2,12,3099247
2,13,2161364
2,14,2577482
2,15,2694882
2,16,2747896
2,17,3082171
2,18,3007024
2,19,2795874
2,20,2082436
2,21,3030200
2,22,2877286
2,23,3021427
2,24,2502868
2,25,2291225
2,26,2305733
2,27,2663280
2,28,2774330
2,29,3199767
2,30,2899230
2,31,3311625
2,32,2704621
2,33,2248822
2,34,3349157
2,35,2744360
2,36,2653175
2,37,2673967
2,38,2873226
2,39,2686987
2,40,2154125
2,41,2677826
2,42,2341104
2,43,2277492
2,44,2808872
2,45,2886704
2,46,2772832
2,47,2596368
2,48,2282951
2,49,2066369
2,50,3071036
2,51,2721352
2,52,2122049
2,53,3399514
2,54,2902373
2,55,2903466
2,56,1890489
2,57,3098740
2,58,3340089
2,59,3153205
2,60,3095464
2,61,2492961
2,62,2467170
2,63,2761342
2,64,2243512
2,65,2929440
2,66,2184762
2,67,3148889
2,68,3162346
2,69,2910771
2,70,2985947
2,71,3086399
2,72,3031761
2,73,2900387
2,74,2447970
2,75,2655650
2,76,5096443
2,77,2332135
2,78,2067403
2,79,3273686
2,80,2207000
2,81,3160510
2,82,2858808
2,83,3086860
2,84,2591464
2,85,3042085
2,86,2403587
2,87,4190501
2,88,3084277
2,89,2579181
2,90,3003208
2,91,3860687
2,92,2979750
2,93,2645401
2,94,2902741
2,95,2704403
2,96,2444253
2,97,2102194
2,98,2935971
2,99,2777085
2,100,2567124
3,1,4991993
3,2,5696002
3,3,2922660
3,4,2893387
3,5,2344655
3,6,2830037
3,7,3304345
3,8,2658308
3,9,3163790
3,10,3266300
3,11,2679369
3,12,2288992
3,13,2845890
3,14,2878595
3,15,2782092
3,16,3207971
3,17,2180047
3,18,2974581
3,19,4023250
3,20,3344128
3,21,3396877
3,22,3174967
3,23,2788053
3,24,2156918
3,25,3319811
3,26,2946462
3,27,3223001
3,28,3663278
3,29,3607958
3,30,3036134
3,31,2664917
3,32,3328022
3,33,2706034
3,34,2615121
3,35,2756781
3,36,2579545
3,37,3138162
3,38,2924042
3,39,3233387
3,40,3331942
3,41,3021382
3,42,2288046
3,43,3028751
3,44,3152912
3,45,2934752
3,46,3016892
3,47,3152102
3,48,2929025
3,49,2695493
3,50,3082805
3,51,2929193
3,52,3445173
3,53,2725532
3,54,3749785
3,55,3780596
3,56,3284600
3,57,2839227
3,58,2652438
3,59,2954046
3,60,3021006
3,61,2423583
3,62,3455319
3,63,2333791
3,64,2010389
3,65,2630437
3,66,3146236
3,67,2431245
3,68,2389818
3,69,3152130
3,70,2319234
3,71,2937969
3,72,3336140
3,73,2863807
3,74,3091061
3,75,3378929
3,76,2078318
3,77,3049065
3,78,2957841
3,79,3147364
3,80,2785307
3,81,4195225
3,82,3040735
3,83,2198920
3,84,4440714
3,85,2120741
3,86,2248270
3,87,3133283
3,88,2787985
3,89,3224379
3,90,2799807
3,91,2898842
3,92,2201478
3,93,3002680
3,94,3303314
3,95,3176707
3,96,2021778
3,97,3200010
3,98,1967955
3,99,2520470
3,100,2100883
4,1,3629141
4,2,2949581
4,3,2799801
4,4,2171140
4,5,3370669
4,6,2277908
4,7,2601128
4,8,2072971
4,9,2500750
4,10,1035423
4,11,2575060
4,12,2682633
4,13,2790838
4,14,4575713
4,15,3377510
4,16,3133517
4,17,2811413
4,18,2816199
4,19,2012701
4,20,2697448
4,21,3249360
4,22,2999752
4,23,1983739
4,24,3553954
4,25,2846630
4,26,2715523
4,27,2051527
4,28,2214461
4,29,2881456
4,30,2828317
4,31,3134658
4,32,3074690
4,33,3027196
4,34,2675499
4,35,2813592
4,36,2688501
4,37,3380391
4,38,2963311
4,39,3264188
4,40,2641679
4,41,2273972
4,42,3208314
4,43,2173316
4,44,2970477
4,45,2642121
4,46,2992648
4,47,3009853
4,48,2975565
4,49,3531818
4,50,3138050
4,51,3076942
4,52,2226068
4,53,2433884
4,54,2260486
4,55,2936289
4,56,4596579
4,57,2044588
4,58,3033908
4,59,3215136
4,60,3138229
4,61,2741917
4,62,2786185
4,63,2976765
4,64,3029594
4,65,2741426
4,66,2394338
4,67,3319877
4,68,3195373
4,69,2698944
4,70,3072932
4,71,2933466
4,72,2904600
4,73,2868689
4,74,2829583
4,75,2372457
4,76,2658960
4,77,3177382
4,78,3040513
4,79,2775196
4,80,2405520
4,81,3161033
4,82,2477143
4,83,2353568
4,84,2021429
4,85,2601942
4,86,2584522
4,87,2630832
4,88,3046937
4,89,2728972
4,90,3130553
4,91,3237414
4,92,2650146
4,93,2914918
4,94,2750080
4,95,3097461
4,96,3134729
4,97,2744881
4,98,2811548
4,99,2775803
4,100,4302753
5,1,3058058
5,2,2815647
5,3,3074503
5,4,2665176
5,5,3397941
5,6,2329797
5,7,2897368
5,8,2822953
5,9,3272243
5,10,3050289
5,11,3059056
5,12,2742813
5,13,2695647
5,14,4502116
5,15,2764831
5,16,2766986
5,17,2674780
5,18,2984004
5,19,2851559
5,20,2864621
5,21,2345210
5,22,3123481
5,23,3037710
5,24,1814459
5,25,3098390
5,26,2722384
5,27,2909926
5,28,2647344
5,29,3265736
5,30,2267458
5,31,2765343
5,32,3441403
5,33,2413613
5,34,5676272
5,35,3200199
5,36,2995855
5,37,2808442
5,38,2434775
5,39,3051858
5,40,2512129
5,41,2591069
5,42,2801362
5,43,3090080
5,44,2757226
5,45,3051859
5,46,3079385
5,47,2844885
5,48,2709307
5,49,2670343
5,50,2996699
5,51,3138627
5,52,2433027
5,53,3014235
5,54,2790575
5,55,2911655
5,56,3279779
5,57,2737980
5,58,2928134
5,59,3040990
5,60,3017215
5,61,3434796
5,62,2841797
5,63,2949371
5,64,4618279
5,65,2946715
5,66,2971344
5,67,2364057
5,68,3139259
5,69,2767692
5,70,2786025
5,71,3093637
5,72,3265665
5,73,2459610
5,74,2214857
5,75,3277594
5,76,3222762
5,77,3345342
5,78,2880573
5,79,2875104
5,80,2403126
5,81,3152413
5,82,2699253
5,83,2473065
5,84,1905441
5,85,2901936
5,86,2920781
5,87,4468856
5,88,5426996
5,89,2282275
5,90,2883231
5,91,2612759
5,92,2921528
5,93,2351675
5,94,2184810
5,95,2417891
5,96,2747809
5,97,2964363
5,98,3231378
5,99,3322122
5,100,2927647
6,1,5656026
6,2,2897188
6,3,3092681
6,4,3325895
6,5,2641598
6,6,2610729
6,7,3233966
6,8,3028597
6,9,3147064
6,10,2247919
6,11,3151623
6,12,3094268
6,13,3139234
6,14,3118749
6,15,3211141
6,16,3024626
6,17,2306402
6,18,2380920
6,19,3069312
6,20,2311774
6,21,3106179
6,22,2989077
6,23,3256645
6,24,2956777
6,25,2739688
6,26,2587709
6,27,2214766
6,28,2689454
6,29,2771038
6,30,3546826
6,31,4521632
6,32,3375212
6,33,3098782
6,34,2784598
6,35,3017399
6,36,2368860
6,37,3025941
6,38,2685909
6,39,3063582
6,40,2923404
6,41,2967086
6,42,2764738
6,43,4781270
6,44,3160432
6,45,3286895
6,46,3047228
6,47,2710883
6,48,3092277
6,49,3173636
6,50,2944353
6,51,3489629
6,52,3225878
6,53,2973888
6,54,2983291
6,55,2533964
6,56,3904329
6,57,2372248
6,58,3107599
6,59,2825845
6,60,2968931
6,61,2263230
6,62,2684544
6,63,2594356
6,64,2125651
6,65,3379750
6,66,3026404
6,67,3240091
6,68,3200110
6,69,3470413
6,70,3383709
6,71,3403067
6,72,3145281
6,73,2972428
6,74,2109070
6,75,3477684
6,76,2732048
6,77,2468028
6,78,3119126
6,79,2980335
6,80,2905811
6,81,3440501
6,82,3309871
6,83,3924917
6,84,2781395
6,85,2058367
6,86,3077268
6,87,2801726
6,88,3021973
6,89,2585697
6,90,2570418
6,91,2407325
6,92,2971863
6,93,3162850
6,94,3338449
6,95,2741449
6,96,2591138
6,97,2243950
6,98,2786955
6,99,2807531
6,100,3016305
7,1,2870859
7,2,2843798
7,3,3199635
7,4,2691095
7,5,2861784
7,6,2664594
7,7,2995714
7,8,3143561
7,9,2754562
7,10,2762742
7,11,2894479
7,12,3113392
7,13,3231327
7,14,2583839
7,15,2337296
7,16,3135423
7,17,2859045
7,18,2544133
7,19,2809132
7,20,3524102
7,21,2107765
7,22,1986412
7,23,2432811
7,24,3053497
7,25,2895652
7,26,2457136
7,27,2938346
7,28,3119514
7,29,2796984
7,30,3003464
7,31,2732846
7,32,3208294
7,33,4211994
7,34,3178672
7,35,2888065
7,36,2720745
7,37,3040949
7,38,2819637
7,39,2859094
7,40,3020602
7,41,2916846
7,42,2408909
7,43,2991247
7,44,2588363
7,45,2913790
7,46,2155520
7,47,2950679
7,48,2462593
7,49,3404961
7,50,2799785
7,51,3315653
7,52,2155100
7,53,2274020
7,54,2912383
7,55,2948852
7,56,3361476
7,57,3050097
7,58,2585455
7,59,3177930
7,60,2931925
7,61,2681345
7,62,3396503
7,63,3254547
7,64,2948424
7,65,3201247
7,66,3649104
7,67,3953539
7,68,9031329
7,69,5083194
7,70,3753406
7,71,2419702
7,72,2347388
7,73,3138219
7,74,3507437
7,75,2357693
7,76,3208506
7,77,2418208
7,78,4250728
7,79,3101229
7,80,2064147
7,81,2139829
7,82,2664132
7,83,3261889
7,84,2589863
7,85,2660597
7,86,3410448
7,87,3040733
7,88,3069650
7,89,2457868
7,90,3127131
7,91,2751539
7,92,2951477
7,93,3205563
7,94,3350860
7,95,3162827
7,96,2584288
7,97,2893234
7,98,2970898
7,99,1904694
7,100,3006928
8,1,3627555
8,2,2690222
8,3,2200699
8,4,2700314
8,5,3241452
8,6,2912268
8,7,2473000
8,8,3392050
8,9,4302140
8,10,3036009
8,11,2953657
8,12,3068471
8,13,3168046
8,14,3028947
8,15,2345166
8,16,2985880
8,17,3285233
8,18,2934826
8,19,2828351
8,20,2294323
8,21,3211625
8,22,2855091
8,23,3025302
8,24,2301740
8,25,3273402
8,26,4828398
8,27,2459676
8,28,5692691
8,29,2629067
8,30,2725539
8,31,3153919
8,32,2754373
8,33,2927622
8,34,3146805
8,35,3505068
8,36,2271150
8,37,3289755
8,38,3348667
8,39,3243205
8,40,3374938
8,41,8514309
8,42,2375491
8,43,2981324
8,44,2880256
8,45,2986176
8,46,3361929
8,47,3548847
8,48,2415348
8,49,2764354
8,50,3872760
8,51,2517989
8,52,2302592
8,53,2725453
8,54,1991883
8,55,2564953
8,56,2602066
8,57,3519864
8,58,2762908
8,59,2101515
8,60,3053636
8,61,3056268
8,62,2725269
8,63,3126495
8,64,2463070
8,65,2494994
8,66,2595372
8,67,3119205
8,68,3840281
8,69,3156822
8,70,2432565
8,71,2904014
8,72,2506467
8,73,2553248
8,74,3189830
8,75,3283745
8,76,6980279
8,77,3347590
8,78,32830993
8,79,3571427
8,80,2238460
8,81,2508705
8,82,3212942
8,83,2909203
8,84,4399060
8,85,3129813
8,86,3136122
8,87,3334176
8,88,2697589
8,89,3811054
8,90,2962239
8,91,3005784
8,92,2782456
8,93,2466149
8,94,3684140
8,95,3524368
8,96,2821106
8,97,3412927
8,98,3586557
8,99,3602193
8,100,2461409
9,1,3390566
9,2,2581841
9,3,3945562
9,4,3111027
9,5,2882608
9,6,3151871
9,7,2801587
9,8,2700697
9,9,3144621
9,10,3192734
9,11,2154744
9,12,2592035
9,13,2789802
9,14,2948998
9,15,3103679
9,16,2322534
9,17,2970713
9,18,2232516
9,19,2381254
9,20,2142956
9,21,2760006
9,22,3037095
9,23,3216265
9,24,2327109
9,25,2305273
9,26,2602598
9,27,6280585
9,28,2954250
9,29,2681961
9,30,3021458
9,31,2727691
9,32,3410150
9,33,2435246
9,34,2612214
9,35,3136826
9,36,2268719
9,37,2716824
9,38,2533148
9,39,2783112
9,40,3207064
9,41,2914901
9,42,2897773
9,43,3111202
9,44,3159396
9,45,2423556
9,46,2938522
9,47,2608088
9,48,2931253
9,49,2580331
9,50,2605133
9,51,2247552
9,52,3088788
9,53,2910382
9,54,2637780
9,55,2935734
9,56,2649661
9,57,2753478
9,58,2209673
9,59,3234296
9,60,3671470
9,61,3333748
9,62,2821044
9,63,3199889
9,64,2684486
9,65,3001234
9,66,3223124
9,67,2870859
9,68,3529650
9,69,3075739
9,70,2950462
9,71,2375963
9,72,5931023
9,73,3439156
9,74,3278505
9,75,2678566
9,76,2408671
9,77,3157277
9,78,3192573
9,79,2956603
9,80,2832221
9,81,3248426
9,82,3263254
9,83,3146466
9,84,2781436
9,85,2996147
9,86,3570927
9,87,3386715
9,88,2219993
9,89,4096036
9,90,4578818
9,91,2462071
9,92,3405702
9,93,3535010
9,94,3240062
9,95,3057865
9,96,2847815
9,97,3393718
9,98,3318068
9,99,3446424
9,100,2703560
10,1,3432541
10,2,2742939
10,3,2606681
10,4,3353240
10,5,2870955
10,6,3055014
10,7,3171294
10,8,2830538
10,9,2500043
10,10,3153185
10,11,2825478
10,12,3112030
10,13,2622880
10,14,2479034
10,15,2871642
10,16,2966814
10,17,3971758
10,18,3121607
10,19,2420857
10,20,2748032
10,21,2664127
10,22,2201840
10,23,2514418
10,24,2170876
10,25,2149332
10,26,2189683
10,27,3035811
10,28,2876745
10,29,2105754
10,30,2518139
10,31,3067853
10,32,3097980
10,33,2770309
10,34,2888746
10,35,2160665
10,36,2975196
10,37,4913243
10,38,3180575
10,39,2664048
10,40,2871518
10,41,2343441
10,42,3423966
10,43,3053056
10,44,4507385
10,45,3080919
10,46,3070596
10,47,3067172
10,48,2137696
10,49,2774973
10,50,2596875
10,51,2537068
10,52,2884524
10,53,2853599
10,54,3070289
10,55,3020056
10,56,4250917
10,57,2629452
10,58,2870149
10,59,3007389
10,60,3110558
10,61,2944949
10,62,2186533
10,63,4931854
10,64,2978014
10,65,2423974
10,66,2917027
10,67,2486056
10,68,2541268
10,69,3056357
10,70,2863931
10,71,2818564
10,72,2905893
10,73,2517267
10,74,2816013
10,75,2636331
10,76,2563514
10,77,2624025
10,78,2692283
10,79,2914878
10,80,2568643
10,81,2851506
10,82,3452411
10,83,3324027
10,84,3023570
10,85,3142749
10,86,2278766
10,87,3117233
10,88,2167227
10,89,3102158
10,90,4368558
10,91,2264069
10,92,2813916
10,93,2530946
10,94,2195572
10,95,3176749
10,96,2370393
10,97,3369067
10,98,2930321
10,99,2448404
10,100,2782628
