iteration,operation,ns
1,1,677714
1,2,186165
1,3,117935990
1,4,119207638
1,5,125259338
1,6,84774496
1,7,249171
1,8,139284
1,9,138984
1,10,128716
1,11,131929
1,12,155837
1,13,175076
1,14,137053
1,15,129107
1,16,109621301
1,17,127312820
1,18,236800
1,19,112656748
1,20,250208
1,21,99395123
1,22,270425
1,23,139573
1,24,136847
1,25,133227
1,26,129737
1,27,135439
1,28,129091
1,29,137871
1,30,122605
1,31,126016
1,32,150556
1,33,221002
1,34,130423
1,35,126773
1,36,130552
1,37,144789786
1,38,291128
1,39,128784
1,40,211979
1,41,129592
1,42,128844
1,43,125394
1,44,124651
1,45,120554984
1,46,262746
1,47,137522
1,48,166367
1,49,494483
1,50,132874
1,51,130774
1,52,124583
1,53,126444
1,54,119938559
1,55,284792
1,56,132824
1,57,148905
1,58,125705
1,59,168502
1,60,129282
1,61,124977
1,62,127331
1,63,152068
1,64,193700
1,65,124343
1,66,136779
1,67,118626754
1,68,318995
1,69,1695610
1,70,156744
1,71,123883
1,72,125140
1,73,127846
1,74,120720
1,75,102595379
1,76,263869
1,77,133301
1,78,115159
1,79,133449
1,80,124333
1,81,118125
1,82,111716
1,83,122562
1,84,128783
1,85,119160
1,86,151005
1,87,155082
1,88,119269
1,89,103659247
1,90,438095
1,91,123302153
1,92,237146
1,93,120974
1,94,117485
1,95,106755322
1,96,91595089
1,97,233505
1,98,126707
1,99,117348
1,100,180913
2,1,487637
2,2,161458
2,3,154288
2,4,154533
2,5,86021034
2,6,385577
2,7,126572
2,8,145127
2,9,168754
2,10,104915768
2,11,290466
2,12,129476
2,13,138211
2,14,132872
2,15,116805
2,16,99608613
2,17,242562
2,18,184046
2,19,451202
2,20,122252
2,21,112274
2,22,112306
2,23,182809
2,24,123710
2,25,123712
2,26,113811
2,27,109504761
2,28,304754
2,29,136345
2,30,116437
2,31,133301
2,32,116516545
2,33,270593
2,34,115808
2,35,125219
2,36,122753
2,37,289714
2,38,125364
2,39,164486
2,40,91423662
2,41,255242
2,42,152479
2,43,100456270
2,44,230345
2,45,125261
2,46,122837
2,47,115199
2,48,115713
2,49,159240
2,50,104971
2,51,110035
2,52,114941794
2,53,217050
2,54,110425
2,55,105749
2,56,59502705
2,57,220841
2,58,61138091
2,59,237517
2,60,216416
2,61,156065
2,62,111000
2,63,102945287
2,64,257960
2,65,120113
2,66,141874
2,67,124918
2,68,161695
2,69,212271197
2,70,90822370
2,71,222495
2,72,78107341
2,73,225317
2,74,114680
2,75,118489
2,76,117993
2,77,167028
2,78,128581
2,79,142307
2,80,114805
2,81,110071
2,82,111407
2,83,103290
2,84,109031
2,85,112780396
2,86,341129
2,87,121235593
2,88,235500
2,89,122105
2,90,113448
2,91,196643
2,92,129112037
2,93,220923
2,94,114205
2,95,87300653
2,96,225674
2,97,84954075
2,98,220459
2,99,114122
2,100,113629
3,1,517225
3,2,183748
3,3,131408
3,4,222059
3,5,93437079
3,6,71249416
3,7,216139
3,8,111696
3,9,102727883
3,10,79206899
3,11,271368
3,12,120502
3,13,108038
3,14,107085
3,15,133994
3,16,151300
3,17,105502
3,18,142116
