iteration,operation,ns
1,1,59308685
1,2,597702
1,3,15676284
1,4,517586
1,5,17087483
1,6,393337
1,7,217817
1,8,210381
1,9,248422
1,10,237268
1,11,241748
1,12,585999
1,13,224185
1,14,209400
1,15,14732864
1,16,21798322
1,17,328427
1,18,17816157
1,19,21237978
1,20,18182667
1,21,402185
1,22,216933
1,23,20575973
1,24,29217864
1,25,581775
1,26,207241
1,27,220648
1,28,187750
1,29,208685
1,30,209119
1,31,207413
1,32,192674
1,33,17314027
1,34,244049
1,35,202151
1,36,21088685
1,37,15463065
1,38,226731
1,39,333270
1,40,229655
1,41,203088
1,42,23811597
1,43,502577
1,44,218512
1,45,201006
1,46,17215812
1,47,282716
1,48,191212
1,49,219291
1,50,181017
1,51,209360
1,52,19012445
1,53,509999
1,54,14195877
1,55,14392134
1,56,228403
1,57,386698
1,58,215073
1,59,188966
1,60,23659046
1,61,8413423
1,62,250076
1,63,12215109
1,64,265888
1,65,223164
1,66,213742
1,67,210154
1,68,209885
1,69,187239
1,70,205630
1,71,195314
1,72,164853
1,73,1783521
1,74,194569
1,75,11636419
1,76,263430
1,77,186155
1,78,165017
1,79,164314
1,80,166962
1,81,157199
1,82,161336
1,83,156310
1,84,159157
1,85,155357
1,86,159564
1,87,155545
1,88,159634
1,89,156445
1,90,187559
1,91,7660554
1,92,229953
1,93,7057710
1,94,250091
1,95,193349
1,96,172893
1,97,164039
1,98,162585
1,99,166339
1,100,205532
2,1,375329
2,2,210558
2,3,196196
2,4,208099
2,5,225783
2,6,185356
2,7,188970
2,8,188812
2,9,192428
2,10,187987
2,11,42535107
2,12,673540
2,13,216890
2,14,453977
2,15,216795
2,16,212635
2,17,196542
2,18,14327114
2,19,271140
2,20,200280
2,21,675070
2,22,219551
2,23,170497
2,24,974634
2,25,20468356
2,26,257035
2,27,215619
2,28,169085
2,29,18343394
2,30,22257772
2,31,17325567
2,32,357545
2,33,222572
2,34,188764
2,35,173722
2,36,1546955
2,37,17730069
2,38,326100
2,39,525735
2,40,289099
2,41,192522
2,42,184835
2,43,175800
2,44,178374
2,45,184825
2,46,179026
2,47,173599
2,48,200715
2,49,185084
2,50,194589
2,51,174876
2,52,4232568
2,53,248456
2,54,16250382
2,55,306045
2,56,151891
2,57,145129
2,58,141365
2,59,317693
2,60,626418
2,61,167404
2,62,147822
2,63,1934010
2,64,175234
2,65,152002
2,66,144960
2,67,142427
2,68,16090029
2,69,325348
2,70,182126
2,71,16293726
2,72,319067
2,73,177912
2,74,148489
2,75,146978
2,76,140795
2,77,144443
2,78,146461
2,79,17731448
2,80,321847
2,81,153205
2,82,177721
2,83,28658453
2,84,444783
2,85,21807287
2,86,13923421
2,87,464893
2,88,15959337
2,89,324911
2,90,186232
2,91,169723
2,92,175470
2,93,171809
2,94,164634
2,95,169256
2,96,187571
2,97,162829
2,98,174611
2,99,168296
2,100,19335056
3,1,25058262
3,2,293837
3,3,210119
3,4,20343722
3,5,272510
3,6,19820257
3,7,534599
3,8,236698
3,9,180234
3,10,177773
3,11,195264
3,12,174804
3,13,174475
3,14,17465820
3,15,261164
3,16,193661
3,17,19295512
3,18,374153
3,19,205068
3,20,212193
3,21,175789
3,22,176955
3,23,17481488
3,24,20152586
3,25,340737
3,26,41221624
3,27,352320
3,28,13205326
3,29,303633
3,30,248529
3,31,195930
3,32,179068
3,33,20915310
3,34,319696
3,35,187028
3,36,180213
3,37,178567
3,38,20023216
3,39,476573
3,40,227799
3,41,181387
3,42,178129
3,43,173096
3,44,170930
3,45,182857
3,46,173672
3,47,16542513
3,48,257151
3,49,180018
3,50,164573
3,51,148462
3,52,167405
3,53,175376
3,54,151938
3,55,180073
3,56,142319
3,57,138485
3,58,137686
3,59,141199
3,60,2070812
3,61,181561
3,62,15282803
3,63,290441
3,64,177869
3,65,1200744
3,66,17181737
3,67,17593574
3,68,6255110
3,69,366203
3,70,19942126
3,71,476004
3,72,177072
3,73,198306
3,74,16496709
3,75,320184
3,76,18587373
3,77,313223
3,78,166144
3,79,15248120
3,80,250642
3,81,167591
3,82,18234680
3,83,282960
3,84,183425
3,85,159991
3,86,16210989
3,87,277879
3,88,170077
3,89,165994
3,90,160632
3,91,198211
3,92,12864050
3,93,226916
3,94,165383
3,95,178771
3,96,157635
3,97,157674
3,98,155521
3,99,154606
3,100,9333081
4,1,39917593
4,2,480135
4,3,20655508
4,4,329357
4,5,191381
4,6,23978117
4,7,254945
4,8,170159
4,9,157758
4,10,26887813
4,11,223697
4,12,170614
4,13,199118
4,14,161541
4,15,158193
4,16,157340
4,17,24560778
4,18,18761057
4,19,201908
4,20,15654086
4,21,464090
4,22,213194
4,23,189588
4,24,157795
4,25,151352
4,26,155935
4,27,200368
4,28,156557
4,29,177694
4,30,20257448
4,31,280550
4,32,185993
4,33,175480
4,34,165712
4,35,155756
4,36,157326
4,37,149791
4,38,165570
4,39,174067
4,40,172617
4,41,22291586
4,42,2608621
4,43,238496
4,44,144531
4,45,16547577
4,46,189468
4,47,18219756
4,48,360115
4,49,198879
4,50,165746
4,51,155020
4,52,156521
4,53,15918359
4,54,214565
4,55,170779
4,56,177898
4,57,173408
4,58,14344862
4,59,217470
4,60,179971
4,61,156852
4,62,158384
4,63,156510
4,64,154973
4,65,154616
4,66,157776
4,67,204448
4,68,174329
4,69,1322751
4,70,193155
4,71,14189811
4,72,379721
4,73,149861
4,74,133110
4,75,133449
4,76,125491
4,77,14502775
4,78,21826408
4,79,405434
4,80,14310030
4,81,205364
4,82,13609607
4,83,245243
4,84,15891350
4,85,285602
4,86,169854
4,87,176820
4,88,173445
4,89,175424
4,90,171728
4,91,168930
4,92,187296
4,93,10482804
4,94,252872
4,95,164821
4,96,833271
4,97,3876991
4,98,5975221
4,99,228016
4,100,191452
5,1,742993
5,2,212022
5,3,208298
5,4,174409
5,5,178244
5,6,30839251
5,7,26467987
5,8,291062
5,9,178406
5,10,206518
5,11,167829
5,12,150118
5,13,159324
5,14,161080
5,15,14633042
5,16,260779
5,17,169038
5,18,166532
5,19,21282134
5,20,268778
5,21,14740335
5,22,268123
5,23,171686
5,24,19409282
5,25,18310088
5,26,238006
5,27,19860725
5,28,21896403
5,29,378404
5,30,171179
5,31,159746
5,32,195001
5,33,15747276
5,34,270495
5,35,157612
5,36,164317
5,37,160764
5,38,157232
5,39,155549
5,40,156467
5,41,153112
5,42,152278
5,43,156958
5,44,153530
5,45,154870
5,46,150992
5,47,153627
5,48,28820007
5,49,288772
5,50,169871
5,51,167414
5,52,170507
5,53,162714
5,54,160820
5,55,160626
5,56,161002
5,57,160006
5,58,160072
5,59,35957269
5,60,295945
5,61,10453732
5,62,22536821
5,63,302318
5,64,199240
5,65,2461114
5,66,14638700
5,67,408063
5,68,184158
5,69,164815
5,70,19406148
5,71,300460
5,72,18585977
5,73,18298283
5,74,426849
5,75,195336
5,76,156632
5,77,18613190
5,78,325923
5,79,195885
5,80,175384
5,81,167227
5,82,152298
5,83,159656
5,84,144938
5,85,138303
5,86,159071
5,87,12430299
5,88,281695
5,89,184477
5,90,153889
5,91,166959
5,92,14460563
5,93,171526
5,94,163364
5,95,143845
5,96,150222
5,97,144344
5,98,162332
5,99,173702
5,100,137572
