iteration,operation,ns
1,1,572069
1,2,112804
1,3,10965675
1,4,10729256
1,5,143357
1,6,139538
1,7,121176
1,8,98567
1,9,2274880
1,10,91840
1,11,109010
1,12,102392
1,13,70387
1,14,69943
1,15,4481612
1,16,80177
1,17,92395
1,18,4891446
1,19,121089
1,20,117264
1,21,92883
1,22,115882
1,23,94331
1,24,2534548
1,25,176442
1,26,118630
1,27,120073
1,28,93229
1,29,94067
1,30,93558
1,31,70023
1,32,66664
1,33,6501471
1,34,375565
1,35,81568
1,36,361444
1,37,112364
1,38,93257
1,39,182686
1,40,1115543
1,41,22304340
1,42,117662
1,43,1444326
1,44,427141
1,45,132882
1,46,97770
1,47,75243
1,48,97326
1,49,99143
1,50,88451
1,51,1550501
1,52,119402
1,53,104237
1,54,75684
1,55,73861
1,56,98601
1,57,76144
1,58,126407
1,59,3708524
1,60,183905
1,61,4059332
1,62,144412
1,63,20575866
1,64,238024
1,65,103290
1,66,141685
1,67,8976662
1,68,146866
1,69,138351
1,70,129425
1,71,100852
1,72,154959
1,73,103828
1,74,125145
1,75,121174
1,76,126223
1,77,93109
1,78,122450
1,79,153871
1,80,117307
1,81,106933
1,82,130173
1,83,106053
1,84,149638
1,85,11558680
1,86,105840
1,87,103477
1,88,94910
1,89,125563
1,90,8411257
1,91,126235
1,92,99002
1,93,103080
1,94,2134234
1,95,6525009
1,96,300786
1,97,5538440
1,98,121314
1,99,118408
1,100,193123
1,101,14355951
1,102,85854
1,103,86648
1,104,90297
1,105,3490104
1,106,2510279
1,107,239929
1,108,141137
1,109,146016
1,110,12624211
1,111,137259
1,112,124747
1,113,142649
1,114,134653
1,115,138587
1,116,98358
1,117,98075
1,118,91957
1,119,4652153
1,120,15987746
1,121,114018
1,122,108259
1,123,99077
1,124,97123
1,125,136583
1,126,92881
1,127,133518
1,128,95457
1,129,2168704
1,130,140767
1,131,131226
1,132,124869
1,133,3203985
1,134,119351
1,135,5062285
1,136,136670
1,137,125231
1,138,123349
1,139,155058
1,140,119017
1,141,99124
1,142,88942
1,143,117955
1,144,120619
1,145,104688
1,146,121404
1,147,120164
1,148,94400
1,149,90415
1,150,240272
1,151,118998
1,152,166363
1,153,106925
1,154,5077121
1,155,354619
1,156,152846
1,157,16728279
1,158,4541088
1,159,2418323
1,160,164754
1,161,105098
1,162,96681
1,163,3255292
1,164,80225
1,165,6057123
1,166,92867
1,167,122186
1,168,142063
1,169,67359
1,170,68444
1,171,10934919
1,172,14573348
1,173,148661
1,174,133881
1,175,181788
1,176,3358304
1,177,111851
1,178,102837
1,179,90655
1,180,128457
1,181,92989
1,182,89802
1,183,85430
1,184,89975
1,185,120536
1,186,88894
1,187,12007801
1,188,193630
1,189,140207
1,190,117797
1,191,107194
1,192,129781
1,193,16610511
1,194,396224
1,195,98935
1,196,103237
1,197,11199589
1,198,95619
1,199,147278
1,200,140735
1,201,122773
1,202,155652
1,203,15462400
1,204,6110535
1,205,214319
1,206,131490
1,207,93563
1,208,97367
1,209,85722
1,210,129518
1,211,79884
1,212,136326
1,213,86240
1,214,12225824
1,215,283226
1,216,107987
1,217,132017
1,218,116934
1,219,130472
1,220,110736
1,221,114124
1,222,112141
1,223,122660
1,224,147104
1,225,93420
1,226,113917
1,227,113395
1,228,108527
1,229,145550
1,230,173692
1,231,4030672
1,232,115385
1,233,183486
1,234,2211372
1,235,119142
1,236,94830
1,237,88956
1,238,4652051
1,239,74503
1,240,3832887
1,241,103885
1,242,110550
1,243,141929
1,244,90476
1,245,87486
1,246,65266
1,247,66377
1,248,97450
1,249,95015
1,250,88799
1,251,84343
1,252,13415147
1,253,3680474
1,254,74760
1,255,82525
1,256,76527
1,257,96521
1,258,88718
1,259,8003053
1,260,181531
1,261,75801
1,262,75120
1,263,252839
1,264,7542443
1,265,107956
1,266,100330
1,267,88003
1,268,84699
1,269,68298
1,270,61418
1,271,62792
1,272,60472
1,273,59423
1,274,60366
1,275,60325
1,276,141567
1,277,59805
1,278,63974
1,279,63808
1,280,114690
1,281,85286
1,282,84361
1,283,129297
1,284,60998
1,285,8462659
1,286,146289
1,287,132667
1,288,89026
1,289,82428
1,290,26191043
1,291,411977
1,292,5573327
1,293,321625
1,294,144161
1,295,116575
1,296,82586
1,297,136435
1,298,123609
1,299,112815
1,300,8291572
2,1,1360487
2,2,1122699
2,3,169166
2,4,95130
2,5,92871
2,6,106364
2,7,6646169
2,8,147084
2,9,1956315
2,10,113887
2,11,87231
2,12,69670
2,13,63875
2,14,2300449
2,15,116762
2,16,91134
2,17,72290
2,18,4784160
2,19,112945
2,20,72160
2,21,89138
2,22,85112
2,23,224951
2,24,98855
2,25,65949
2,26,82360
2,27,84503
2,28,62197
2,29,13780140
2,30,4510026
2,31,634769
2,32,155682
2,33,66559
2,34,95225
2,35,82424
2,36,11387220
2,37,18419689
2,38,143129
2,39,73648
2,40,17556427
2,41,218338
2,42,104898
2,43,91472
2,44,70826
2,45,148767
2,46,145479
2,47,18015745
2,48,144496
2,49,109417
2,50,12561833
2,51,18927588
2,52,196117
2,53,3005105
2,54,118826
2,55,1319836
2,56,127413
2,57,72713
2,58,4531677
2,59,167256
2,60,15090422
2,61,300032
2,62,19389322
2,63,9014971
2,64,166457
2,65,116707
2,66,133177
2,67,129212
2,68,154679
2,69,131104
2,70,127797
2,71,92944
2,72,2861351
2,73,3683817
2,74,4167893
2,75,102457
2,76,11028185
2,77,8392008
2,78,273746
2,79,123509
2,80,131158
2,81,128707
2,82,145299
2,83,98615
2,84,14125719
2,85,148327
2,86,9086465
2,87,141700
2,88,8011360
2,89,168684
2,90,141720
2,91,88078
2,92,129230
2,93,94220
2,94,4765792
2,95,128340
2,96,4965444
2,97,139543
2,98,204870
2,99,105331
2,100,93957
2,101,120942
2,102,108330
2,103,85704
2,104,83561
2,105,10236362
2,106,86913
2,107,530565
2,108,140219
2,109,100574
2,110,4248902
2,111,159912
2,112,166778
2,113,129199
2,114,88354
2,115,100973
2,116,61093
2,117,57976
2,118,16204911
2,119,155490
2,120,101553
