iteration,operation,ns
1,1,56554232
1,2,396301
1,3,207605
1,4,14246440
1,5,338508
1,6,210079
1,7,13845215
1,8,19309890
1,9,347762
1,10,240686
1,11,284000
1,12,590279
1,13,260364
1,14,203065
1,15,19073209
1,16,593148
1,17,19067559
1,18,447049
1,19,209889
1,20,169131
1,21,161037
1,22,20870868
1,23,458353
1,24,204429
1,25,20978139
1,26,23682377
1,27,3687790
1,28,29879589
1,29,603153
1,30,199619
1,31,196861
1,32,190607
1,33,193394
1,34,210795
1,35,191606
1,36,19828000
1,37,314811
1,38,181623
1,39,158657
1,40,179267
1,41,182708
1,42,148476
1,43,146165
1,44,148285
1,45,157864
1,46,153521
1,47,212561
1,48,200986
1,49,195811
1,50,220318
1,51,197597
1,52,197931
1,53,176464
1,54,152199
1,55,155919
1,56,164321
1,57,161909
1,58,149089
1,59,24792223
1,60,350995
1,61,202381
1,62,199214
1,63,193470
1,64,270099
1,65,180949
1,66,180908
1,67,1881503
1,68,224859
1,69,201861
1,70,193653
1,71,167261
1,72,147175
1,73,144335
1,74,172271
1,75,145389
1,76,25440439
1,77,2190479
1,78,221645
1,79,184265
1,80,181540
1,81,193515
1,82,184059
1,83,182039
1,84,2459835
1,85,16454165
1,86,286328
1,87,351745
1,88,178986
1,89,225576
1,90,177700
1,91,168613
1,92,170350
1,93,197608
1,94,12976093
1,95,286053
1,96,193370
1,97,12738990
1,98,319378
1,99,199552
1,100,195849
2,1,407231
2,2,209038
2,3,199132
2,4,174014
2,5,177955
2,6,169826
2,7,172276
2,8,177008
2,9,47486944
2,10,343688
2,11,193097
2,12,192941
2,13,227498
2,14,1723053
2,15,18138733
2,16,21512738
2,17,332257
2,18,178436
2,19,174311
2,20,174741
2,21,179714
2,22,178118
2,23,187921
2,24,185892
2,25,190136
2,26,187619
2,27,189777
2,28,196051
2,29,22824577
2,30,338659
2,31,448268
2,32,351877
2,33,640413
2,34,172888
2,35,379815
2,36,19541476
2,37,445484
2,38,184501
2,39,177825
2,40,233548
2,41,152234
2,42,144676
2,43,174991
2,44,143777
2,45,142522
2,46,148066
2,47,142283
2,48,140198
2,49,18051189
2,50,462006
2,51,208898
2,52,228503
2,53,189060
2,54,20463006
2,55,318900
2,56,194617
2,57,189348
2,58,187227
2,59,221091
2,60,17962893
2,61,289676
2,62,16767926
2,63,446747
2,64,18840306
2,65,329413
2,66,184627
2,67,197371
2,68,32596218
2,69,327817
2,70,224501
2,71,176907
2,72,192765
2,73,19055586
2,74,362088
2,75,202396
2,76,186245
2,77,169093
2,78,193524
2,79,183403
2,80,181361
2,81,181906
2,82,163941
2,83,185806
2,84,18947613
2,85,300499
2,86,161419
2,87,141042
2,88,142405
2,89,135759
2,90,134196
2,91,16928995
2,92,15697526
2,93,320310
2,94,383470
2,95,201316
2,96,184092
2,97,139689
2,98,141815
2,99,14002510
2,100,251422
3,1,331327
3,2,214668
3,3,30363560
3,4,24937202
3,5,12670651
3,6,17964402
3,7,21228841
3,8,17950539
3,9,384010
3,10,21305512
3,11,277077
3,12,169728
3,13,39594501
3,14,12253744
3,15,17878072
3,16,435225
3,17,18601282
3,18,297881
3,19,16353934
3,20,322056
3,21,14769624
3,22,23480920
3,23,782759
3,24,190799
3,25,194156
3,26,172568
3,27,168515
3,28,178772
3,29,201914
3,30,181779
3,31,182229
3,32,168039
3,33,141803
3,34,177288
3,35,176418
3,36,176252
3,37,148785
3,38,16957867
3,39,322185
3,40,183396
3,41,186204
3,42,182236
3,43,198175
3,44,186912
3,45,16392348
3,46,274428
3,47,15624007
3,48,299167
3,49,191902
3,50,183380
3,51,184348
3,52,19320628
3,53,307486
3,54,198467
3,55,658174
3,56,15722457
3,57,274778
3,58,18181138
3,59,315880
3,60,198400
3,61,18409401
3,62,324020
3,63,15806746
3,64,313534
3,65,187922
3,66,179918
3,67,143987
3,68,5236579
3,69,12669848
3,70,414261
3,71,11301125
3,72,223304
3,73,302054
3,74,5565593
3,75,369110
3,76,165598
3,77,6756204
3,78,472845
3,79,183222
3,80,170013
3,81,4618164
3,82,184748
3,83,4591519
3,84,179689
3,85,162135
3,86,159980
3,87,123313
3,88,7399899
3,89,4706209
3,90,183189
3,91,173867
3,92,168831
3,93,191267
3,94,145136
3,95,7260500
3,96,206706
3,97,162033
3,98,123859
3,99,117393
3,100,6400743
4,1,319919
4,2,159839
4,3,151275
4,4,144378
4,5,153440
4,6,141730
4,7,150410
4,8,148148
4,9,145057
4,10,178072
4,11,165009
4,12,39866371
4,13,12750617
4,14,271443
4,15,465501
4,16,199715
4,17,27072829
4,18,330130
4,19,161941
4,20,178890
4,21,24328484
4,22,298628
4,23,171144
4,24,150804
4,25,676483
4,26,173710
4,27,157142
4,28,18242999
4,29,23949963
4,30,306845
4,31,162632
4,32,193132
4,33,167962
4,34,13891984
4,35,20931868
4,36,297575
4,37,171561
4,38,17869144
4,39,310644
4,40,211411
4,41,156655
4,42,151200
4,43,145508
4,44,161835
4,45,164434
4,46,161265
4,47,161538
4,48,147143
4,49,165578
4,50,150768
4,51,164097
4,52,163313
4,53,162187
4,54,164682
4,55,160718
4,56,163596
4,57,145356
4,58,150827
4,59,153088
4,60,22496984
4,61,281003
4,62,13290498
4,63,476335
4,64,179382
4,65,181499
4,66,177190
4,67,179206
4,68,178573
4,69,172399
4,70,200094
4,71,771890
4,72,174904
4,73,175570
4,74,19170564
4,75,291510
4,76,202833
4,77,153904
4,78,144231
4,79,176118
4,80,183244
4,81,13414044
4,82,402549
4,83,1868024
4,84,173304
4,85,175182
4,86,14613081
4,87,266719
4,88,190649
4,89,156958
4,90,166843
4,91,163652
4,92,189006
4,93,151203
4,94,156778
4,95,163169
4,96,1033499
4,97,408861
4,98,319685
4,99,852086
4,100,176404
5,1,29777305
5,2,486037
5,3,186972
5,4,30600587
5,5,997787
5,6,190617
5,7,13126035
5,8,248872
5,9,21642775
5,10,379266
5,11,17528781
5,12,444957
5,13,150388
5,14,146104
5,15,18701771
5,16,419902
5,17,174459
5,18,18221652
5,19,246795
5,20,184230
5,21,157165
5,22,150812
5,23,153475
5,24,21663303
5,25,302354
5,26,16433455
5,27,15844528
5,28,24976510
5,29,374707
5,30,42443254
5,31,445251
5,32,169781
5,33,178162
5,34,190832
5,35,153026
5,36,149892
5,37,148821
5,38,16055085
5,39,15630808
5,40,234762
5,41,161489
5,42,167327
5,43,2651200
5,44,173998
5,45,190115
5,46,157228
5,47,153054
5,48,152965
5,49,159274
5,50,163279
5,51,149175
5,52,17630361
5,53,255027
5,54,289194
5,55,144928
5,56,166402
5,57,154830
5,58,150997
5,59,151665
5,60,17005799
5,61,272518
5,62,164304
5,63,189090
5,64,156026
5,65,148949
5,66,152482
5,67,151968
5,68,17188281
5,69,387241
5,70,19363363
5,71,423688
5,72,153830
5,73,15637730
5,74,12213617
5,75,441931
5,76,153957
5,77,169384
