iteration,operation,ns
1,1,625686
1,2,253669
1,3,83666
1,4,68246
1,5,104790
1,6,66993
1,7,95427
1,8,89594
1,9,91677
1,10,64114
1,11,367663
1,12,74001
1,13,114987
1,14,3577602
1,15,80266
1,16,6340049
1,17,241035
1,18,4711141
1,19,152717
1,20,99500
1,21,103739
1,22,75112
1,23,97105
1,24,70881
1,25,68085
1,26,14912843
1,27,85750
1,28,128708
1,29,67508
1,30,124704
1,31,88396
1,32,89254
1,33,11759225
1,34,21571560
1,35,8436301
1,36,206023
1,37,97823
1,38,111005
1,39,82017
1,40,86091
1,41,108841
1,42,91759
1,43,20513922
1,44,5946438
1,45,146251
1,46,130277
1,47,122684
1,48,19352411
1,49,135935
1,50,8322835
1,51,18542529
1,52,147888
1,53,138281
1,54,114602
1,55,91451
1,56,168253
1,57,133582
1,58,128117
1,59,129373
1,60,126131
1,61,106673
1,62,132525
1,63,119023
1,64,105199
1,65,6677746
1,66,113738
1,67,152602
1,68,82046
1,69,97353
1,70,5660370
1,71,107396
1,72,6208935
1,73,160074
1,74,121067
1,75,134936
1,76,108169
1,77,107187
1,78,130253
1,79,102592
1,80,102053
1,81,123359
1,82,122488
1,83,94193
1,84,5175861
1,85,84627
1,86,118460
1,87,93816
1,88,92280
1,89,5856901
1,90,4263393
1,91,405638
1,92,105897
1,93,130732
1,94,95065
1,95,87314
1,96,3096290
1,97,151394
1,98,136508
1,99,143303
1,100,70432
1,101,16128754
1,102,166013
1,103,4360551
1,104,7342580
1,105,138083
1,106,134504
1,107,132430
1,108,108567
1,109,157726
1,110,102834
1,111,111442
1,112,112311
1,113,15094249
1,114,143008
1,115,79564
1,116,135721
1,117,105914
1,118,95743
1,119,91673
1,120,66957
1,121,88305
1,122,8779623
1,123,114595
1,124,90749
1,125,101310
1,126,7462516
1,127,105433
1,128,101225
1,129,175742
1,130,108726
1,131,104263
1,132,2571500
1,133,588780
1,134,4003992
1,135,234378
1,136,93748
1,137,113899
1,138,108341
1,139,101962
1,140,132250
1,141,125174
1,142,5685213
1,143,258656
1,144,104941
1,145,143819
1,146,155155
1,147,153044
1,148,142140
1,149,106236
1,150,87669
1,151,126216
1,152,107761
1,153,6028836
1,154,8785172
1,155,118174
1,156,167914
1,157,94413
1,158,130624
1,159,10568585
1,160,153143
1,161,144001
1,162,118440
1,163,128046
1,164,111888
1,165,112475
