iteration,operation,ns
1,1,510229
1,2,304250
1,3,108460
1,4,120699
1,5,943540
1,6,7864906
1,7,130155
1,8,84006
1,9,26792404
1,10,4196150
1,11,67885
1,12,122237
1,13,137147
1,14,103803
1,15,4772719
1,16,132926
1,17,91748
1,18,89325
1,19,52801
1,20,169304
1,21,110697
1,22,11134344
1,23,129856
1,24,100513
1,25,104555
1,26,90529
1,27,134971
1,28,127108
1,29,91649
1,30,7264656
1,31,8423325
1,32,85715
1,33,143163
1,34,161947
1,35,89801
1,36,89875
1,37,80665
1,38,45598
1,39,104194
1,40,106220
1,41,10862291
1,42,151733
1,43,69432
1,44,13623945
1,45,173221
1,46,13546568
1,47,99835
1,48,7304241
1,49,21379243
1,50,88522
1,51,115048
1,52,52560
1,53,60443
1,54,108705
1,55,99444
1,56,119142
1,57,8285108
1,58,20143048
1,59,182550
1,60,105761
1,61,117063
1,62,9490977
1,63,118721
1,64,99243
1,65,66418
1,66,13852577
1,67,182169
1,68,104913
1,69,104519
1,70,165905
1,71,95374
1,72,140936
1,73,8843912
1,74,75599
1,75,115475
1,76,95337
1,77,143779
1,78,245897
1,79,138555
1,80,173911
1,81,111607
1,82,58654
1,83,15376037
1,84,135702
1,85,95822
1,86,2837280
1,87,3398775
1,88,119043
1,89,11573775
1,90,2913866
1,91,112636
1,92,100627
1,93,95301
1,94,5696315
1,95,67618
1,96,101913
1,97,6094374
1,98,169073
1,99,9452314
1,100,63650
2,1,20767592
2,2,99520
2,3,87951
2,4,84380
2,5,74928
2,6,87860
2,7,11826584
2,8,101997
2,9,4570287
2,10,392322
2,11,142640
2,12,73463
2,13,100713
2,14,67500
2,15,316869
2,16,101916
2,17,65761
2,18,64805
2,19,63609
2,20,65593
2,21,72155
2,22,65081
2,23,4610850
2,24,135621
2,25,75325
2,26,82988
2,27,70542
2,28,70859
2,29,38433
2,30,62875
2,31,67678
2,32,63853
2,33,8632551
2,34,2163827
2,35,6337110
2,36,151894
2,37,84008
2,38,39678
2,39,101689
2,40,82770
2,41,2516187
2,42,86551
2,43,69148
2,44,89714
2,45,72387
2,46,66409
2,47,73258
2,48,38184
2,49,64698
2,50,63666
2,51,131765
2,52,77450
2,53,74860
2,54,4777828
2,55,6191214
2,56,55544
2,57,49158
2,58,37342
2,59,15270993
2,60,128441
2,61,157795
2,62,3864118
2,63,109453
2,64,99293
2,65,86859
2,66,146126
2,67,70980
2,68,79862
2,69,63230
2,70,2512964
2,71,57653
2,72,12934507
2,73,95601
2,74,153774
2,75,81123
2,76,84441
2,77,72851
2,78,2661239
2,79,135437
2,80,55631
2,81,71731
2,82,69488
2,83,108954
2,84,46586
2,85,101269
2,86,75713
2,87,6679306
2,88,97477
2,89,95762
2,90,73248
2,91,2871147
2,92,140484
2,93,80622
2,94,7948680
2,95,194438
2,96,11205892
2,97,120915
2,98,139594
2,99,86754
2,100,84084
