iteration,operation,ns
1,1,482068
1,2,127935094
1,3,267030
1,4,149151
1,5,161513
1,6,196815
1,7,136482
1,8,118921451
1,9,120319282
1,10,277986
1,11,154765
1,12,207169
1,13,194662
1,14,163526
1,15,184017
1,16,141440
1,17,142479
1,18,140048
1,19,136278
1,20,99799920
1,21,95174113
1,22,127005048
1,23,108672892
1,24,258485
1,25,93155199
1,26,312713
1,27,142185
1,28,142759203
1,29,308829
1,30,144480
1,31,137280
1,32,151562
1,33,142335
1,34,143415
1,35,145510
1,36,134539
1,37,187652
1,38,136336
1,39,164426
1,40,122632689
1,41,320636
1,42,144347
1,43,156384
1,44,136642
1,45,119977821
1,46,261066
1,47,121173103
1,48,275728
1,49,146289
1,50,138643
1,51,151621
1,52,109599671
1,53,1055555
1,54,152613
1,55,149004
1,56,147279
1,57,129883
1,58,130626
1,59,157386
1,60,130632
1,61,128222
1,62,99134655
1,63,122157099
1,64,235407
1,65,107220469
1,66,92460356
1,67,273466
1,68,139190
1,69,128335
1,70,118386
1,71,78092668
1,72,248337
1,73,129927
1,74,122392
1,75,120510
1,76,76123772
1,77,301023
1,78,126329
1,79,130655
1,80,162673
1,81,120128
1,82,119170
1,83,119701
1,84,119304
1,85,125674
1,86,123335
1,87,71714249
1,88,1749868
1,89,158446
1,90,139077
1,91,75146817
1,92,297869
1,93,132008
1,94,129388
1,95,124071
1,96,57638953
1,97,337738
1,98,131912
1,99,137924
1,100,124238
2,1,467652
2,2,161956
2,3,144788
2,4,82937854
2,5,88959347
2,6,255719
2,7,169220
2,8,116454426
2,9,244332
2,10,98012335
2,11,246871
2,12,122974
2,13,131730
2,14,118804
2,15,117996
2,16,114122
2,17,118921
2,18,115141
2,19,116670
2,20,114831
2,21,125940
2,22,117110
2,23,116577
2,24,123743
2,25,120471
2,26,111161
2,27,116069
2,28,119289
2,29,127625
2,30,130613
2,31,162429
2,32,125995
2,33,120698
2,34,117758
2,35,144975
2,36,116317
2,37,121366832
2,38,94458803
2,39,279245
2,40,142436
2,41,145942
2,42,94832404
2,43,282975
2,44,146674
2,45,118722161
2,46,258858
2,47,118261
2,48,137336
2,49,136675
2,50,120296
2,51,115627
2,52,111562
2,53,112399
2,54,125446
2,55,110791
2,56,114548
2,57,110715
2,58,119611
2,59,107720
2,60,121600
2,61,64547786
2,62,385869
2,63,65090245
2,64,271123
2,65,121395
2,66,115436
2,67,112329
2,68,110919
2,69,124447
2,70,129221
2,71,107192
2,72,112607
2,73,116387
2,74,110395493
2,75,273341
2,76,207865387
2,77,240028
2,78,122114
2,79,121034
2,80,86761736
2,81,234184
2,82,122853
2,83,129235
2,84,117121
2,85,95491237
2,86,579156
2,87,126123
2,88,116994671
2,89,119273015
2,90,234235
2,91,126959593
2,92,234096
2,93,124248
2,94,115340
2,95,114690
2,96,112370
2,97,111505
2,98,120028
2,99,120131
2,100,237445
3,1,466571
3,2,94052772
3,3,277110
3,4,73276335
3,5,100846176
3,6,226765
3,7,76739647
3,8,231598
3,9,140147
3,10,74356194
3,11,228979
3,12,116659
3,13,112610
3,14,110296
3,15,124172787
3,16,83531099
3,17,78181242
3,18,230620
3,19,121305
3,20,112952811
3,21,262210
3,22,100395549
3,23,107862402
3,24,236710
3,25,195610880
3,26,226372
3,27,121749
3,28,116961
3,29,113079
3,30,113877
3,31,115742
3,32,148885117
3,33,286165
3,34,125118
3,35,123284
3,36,114707
3,37,96829511
3,38,245104
3,39,117588
3,40,155449
3,41,114310
3,42,110917218
3,43,102400473
3,44,258006
3,45,125929
3,46,126413
3,47,110418402
3,48,305114
3,49,116500
3,50,114512
3,51,135862981
3,52,603459
3,53,156958
3,54,117224
3,55,143780
3,56,113091
3,57,112998
3,58,112357
3,59,124165
3,60,120912
3,61,115795
3,62,118936
3,63,111112
3,64,115890
3,65,117601
3,66,112607
3,67,111075
3,68,197827
3,69,56933733
3,70,281365
3,71,137391
3,72,58784109
3,73,259614
3,74,115271
3,75,117412
3,76,18500367
3,77,355956
3,78,113489
3,79,100412
3,80,107511
3,81,107759
3,82,112207
3,83,20476990
3,84,240087
3,85,127827
3,86,113736
3,87,29157172
3,88,458777
3,89,114737
3,90,15758164
3,91,230416
3,92,121103
3,93,112741
3,94,126061
3,95,110056
3,96,110131
3,97,108072
3,98,111319
3,99,110312
3,100,113313
4,1,818833
4,2,162957
4,3,129675
4,4,138254
4,5,107527442
4,6,228767
4,7,123725
4,8,130395
4,9,127651
4,10,113085
4,11,127452051
4,12,238285
4,13,112233
4,14,113564
4,15,108213
4,16,111117
4,17,104166773
4,18,233410
4,19,116815
4,20,110457
4,21,73218258
4,22,226603
4,23,62565312
4,24,233473
4,25,70670805
4,26,255814
4,27,119846
4,28,111061
4,29,64641081
4,30,313068
4,31,120126
4,32,111438
4,33,119701
4,34,117737
4,35,75501242
4,36,248217
4,37,121354
4,38,120005
4,39,121660
4,40,118472
4,41,134836
4,42,113730
4,43,50574013
4,44,219942
4,45,124267
4,46,110007
4,47,67525115
4,48,284261
4,49,141853
4,50,117053873
4,51,219542
4,52,112168
4,53,112098
4,54,110165078
4,55,234776
4,56,111636
4,57,130900
4,58,113998
4,59,87065908
4,60,267987
4,61,113983
4,62,108958
4,63,108100634
4,64,290515
4,65,122243
4,66,111674
4,67,105017
4,68,109812
4,69,99576347
4,70,217118
4,71,115000
4,72,120706
4,73,86416549
4,74,87551473
4,75,221362
4,76,117987
4,77,107487
4,78,107226
4,79,118182
4,80,109125
4,81,101452
4,82,106715
4,83,109557
4,84,105281
4,85,105780
4,86,64709360
4,87,735532
4,88,132502
4,89,112083
4,90,116027
4,91,103767
4,92,92864286
4,93,73529092
4,94,220156
4,95,123627882
4,96,220770
4,97,129537
4,98,108060
4,99,114926
4,100,106798
5,1,463364
5,2,62948712
5,3,305469
5,4,115893
5,5,123835
5,6,45353689
5,7,275030
5,8,109332
5,9,104597
5,10,101948
5,11,120012700
5,12,261452
5,13,139581
5,14,134375
5,15,104556
5,16,103572
5,17,104370
5,18,3474548
5,19,124386
5,20,107024
5,21,110758
5,22,108911
5,23,103250
5,24,108696
5,25,111288
5,26,118381646
5,27,114187806
5,28,288477
5,29,114023
5,30,104180
5,31,102927
5,32,147932801
5,33,218888
5,34,187360
5,35,144828640
5,36,287775
5,37,115271
5,38,104741
5,39,108135
5,40,104803
5,41,99195
5,42,102917
5,43,104357
5,44,105172
5,45,98332
5,46,103954
5,47,107897
5,48,99744
5,49,102310
5,50,98825
5,51,101630
5,52,104506
5,53,103731
5,54,103716
5,55,924279
5,56,106672
5,57,100988
5,58,113891
5,59,107589
5,60,104432
5,61,97654
5,62,97810
5,63,101637
5,64,164455674
5,65,230308
5,66,115028
5,67,104436
5,68,107519
5,69,121233
5,70,107165
5,71,119119
5,72,98920
5,73,104192
5,74,111352850
5,75,319365
5,76,113908343
5,77,120643679
5,78,244598
5,79,110665
5,80,106599
5,81,82787655
5,82,202774
5,83,119060
5,84,108272
5,85,109433
5,86,125791
5,87,45203524
5,88,136230573
5,89,49697726
5,90,213364
5,91,109197
5,92,106822
5,93,100372
5,94,107452
5,95,933990
5,96,78581894
5,97,83220002
5,98,262953
5,99,127042
5,100,102046
