iteration,operation,ns
1,1,678999
1,2,688952
1,3,759421
1,4,184823
1,5,13100798
1,6,112988
1,7,72583
1,8,193870
1,9,124058
1,10,1260152
1,11,152975
1,12,11444289
1,13,246192
1,14,106173
1,15,435855
1,16,116085
1,17,121211
1,18,107275
1,19,103875
1,20,104405
1,21,101598
1,22,156553
1,23,139434
1,24,8916534
1,25,3244905
1,26,58283
1,27,4470386
1,28,202423
1,29,104482
1,30,96675
1,31,110678
1,32,183263
1,33,146026
1,34,104502
1,35,103216
1,36,93871
1,37,90636
1,38,90568
1,39,25145692
1,40,170081
1,41,106634
1,42,103408
1,43,105662
1,44,4459217
1,45,195793
1,46,116377
1,47,82772
1,48,104469
1,49,154019
1,50,50264
1,51,53553
1,52,8003995
1,53,5790259
1,54,192372
1,55,106186
1,56,129894
1,57,74811
1,58,28200312
1,59,164991
1,60,106585
1,61,2632571
1,62,121150
1,63,77172
1,64,3250745
1,65,153857
1,66,120185
1,67,67973
1,68,7143607
1,69,943332
1,70,122522
1,71,220435
1,72,144764
1,73,65479
1,74,106992
1,75,62332
1,76,58874
1,77,101493
1,78,140781
1,79,102970
1,80,58220
1,81,102320
1,82,94488
1,83,101583
1,84,19968401
1,85,232227
1,86,173828
1,87,92907
1,88,144002
1,89,99344
1,90,98114
1,91,107072
1,92,108417
1,93,98245
1,94,145907
1,95,6429991
1,96,133559
1,97,4014793
1,98,81225
1,99,6132724
1,100,32206501
2,1,655439
2,2,327979
2,3,13253100
2,4,157174
2,5,1282925
2,6,94921
2,7,10830735
2,8,104817
2,9,5180925
2,10,158244
2,11,8713451
2,12,92448
2,13,192134
2,14,108067
2,15,100067
2,16,6464330
2,17,135626
2,18,17001018
2,19,102969
2,20,13520479
2,21,59982
2,22,12477398
2,23,104048
2,24,122209
2,25,96880
2,26,47154
2,27,46042
2,28,80316
2,29,117515
2,30,85692
2,31,77646
2,32,6589889
2,33,64656
2,34,88830
2,35,6531054
2,36,116315
2,37,53177
2,38,88654
2,39,77494
2,40,81333
2,41,132946
2,42,527947
2,43,11392468
2,44,8715475
2,45,88646
2,46,83515
2,47,110597
2,48,83563
2,49,19486504
2,50,93494
2,51,87225
2,52,7941960
2,53,104254
2,54,52211
2,55,102304
2,56,81399
2,57,76576
2,58,70344
2,59,129206
2,60,89245
2,61,71283
2,62,62172
2,63,10126737
2,64,133640
2,65,139401
2,66,58034
2,67,87330
2,68,99734
2,69,46895
2,70,94930
2,71,6709608
2,72,113463
2,73,56139
2,74,4300106
2,75,101198
2,76,137771
2,77,673801
2,78,105226
2,79,117254
2,80,31929420
2,81,8869189
2,82,131814
2,83,3418593
2,84,126232
2,85,106425
2,86,106158
2,87,147205
2,88,118962
2,89,83739
2,90,83549
2,91,82096
2,92,90543
2,93,89467
2,94,43306
2,95,40988
2,96,89786
2,97,279877
2,98,84062
2,99,42014
2,100,40906
