iteration,operation,ns
1,1,644774
1,2,326051
1,3,1253892929
1,4,482641
1,5,1251720242
1,6,274131
1,7,1252263659
1,8,284900
1,9,164391
1,10,134941
1,11,129802
1,12,187329
1,13,188936
1,14,155039
1,15,142793
1,16,1253860306
1,17,494177
1,18,149995
1,19,132142
1,20,1250607174
1,21,1250676070
1,22,298878
1,23,130856
1,24,148672
1,25,141314
1,26,128860
1,27,162159
1,28,1251580282
1,29,312885
1,30,1251388220
1,31,301406
1,32,1257332230
1,33,254309
1,34,135536
1,35,128286
1,36,160630
1,37,125102
1,38,118541
1,39,118163
1,40,117221
1,41,1252255351
1,42,306765
1,43,135259
1,44,132356
1,45,133380
1,46,1264342818
1,47,276841
1,48,147245
1,49,138619
1,50,125598
1,51,1254327768
1,52,274544
1,53,159858
1,54,126703
1,55,138766
1,56,125143
1,57,1251538219
1,58,1252947649
1,59,1256837157
1,60,250829
1,61,146195
1,62,126328
1,63,1258035506
1,64,280207
1,65,145228
1,66,126580
1,67,126512
1,68,1254076143
1,69,1261890633
1,70,280974
1,71,154651
1,72,132400
1,73,1250814999
1,74,400019
1,75,1251763994
1,76,356693
1,77,1249645206
1,78,299603
1,79,156042
1,80,223189
1,81,139850
1,82,1264194636
1,83,307764
1,84,123685
1,85,110655
1,86,107696
1,87,1252216769
1,88,404319
1,89,1255339415
1,90,296144
1,91,134593
1,92,115768
1,93,114452
1,94,112734
1,95,121303
1,96,1251261208
1,97,290478
1,98,126306
1,99,1256931085
1,100,264482
2,1,1258906776
2,2,277377
2,3,147274
2,4,114957
2,5,110156
2,6,113017
2,7,110087
2,8,121351
2,9,1251579433
2,10,1257465132
2,11,246808
2,12,154032
2,13,147934
2,14,211208
2,15,1250471558
2,16,235079
2,17,121388
2,18,114119
2,19,1251427466
2,20,1253586567
2,21,372899
2,22,113784
2,23,122445
2,24,107914
2,25,1254283248
2,26,269083
2,27,143278
2,28,119966
2,29,144922
2,30,1249487469
2,31,1248469227
2,32,276265
2,33,128650
2,34,147093
2,35,125415
2,36,111995
2,37,108409
2,38,106753
2,39,1252664265
2,40,361922
2,41,140561
2,42,105620
2,43,110492
2,44,1248692448
2,45,266828
2,46,133426
2,47,145338
2,48,112568
2,49,109354
2,50,1252188467
2,51,363609
2,52,1252368070
2,53,236718
2,54,124280
2,55,106296
2,56,121666
2,57,106529
2,58,118698
2,59,104971
2,60,113279
2,61,113149
2,62,104022
2,63,112031
2,64,1253756059
2,65,242779
2,66,125465
2,67,1256905870
2,68,249478
2,69,131104
2,70,123210
2,71,117541
2,72,125063
2,73,139400
2,74,110499
2,75,1252330818
2,76,1250197267
2,77,255344
2,78,111334
2,79,133938
2,80,103053
2,81,1263852232
2,82,220619
2,83,128833
2,84,123800
2,85,1275740816
2,86,223944
2,87,129101
2,88,119785
2,89,110480
2,90,115174
2,91,108281
2,92,108116
2,93,103796
2,94,104284
2,95,118693
2,96,91753
2,97,91033
2,98,87516
2,99,87794
2,100,103898
3,1,514862
3,2,143264
3,3,140474
3,4,147746
3,5,1284561784
3,6,255576
3,7,125909
3,8,117359
3,9,1250516128
3,10,261629
3,11,130940
3,12,99225
3,13,122086
3,14,120144
3,15,102905
3,16,1249113407
3,17,231984
3,18,125159
3,19,138005
3,20,126137
3,21,124354
3,22,121488
3,23,113471
3,24,106574
3,25,109103
3,26,108556
3,27,96194
3,28,97852
3,29,100811
3,30,97137
3,31,1251542806
3,32,245066
3,33,114349
3,34,107091
3,35,110206
3,36,1256098832
3,37,226782
3,38,123733
3,39,108896
3,40,1251023961
3,41,224079
3,42,132423
3,43,105317
3,44,130474
3,45,104344
3,46,102932
3,47,1249288534
3,48,239410
3,49,121071
3,50,130574
3,51,108327
3,52,107591
3,53,138563
3,54,103768
3,55,103964
3,56,1247440362
3,57,234018
3,58,113331
3,59,520078
3,60,114049
3,61,109577
3,62,114712
3,63,108246
3,64,102917
3,65,126491
3,66,105265
3,67,98168
3,68,91902
3,69,101668
3,70,1249580517
3,71,228049
3,72,1249958006
3,73,229989
3,74,112015
3,75,102171
3,76,99196
3,77,111005
3,78,103623
3,79,108278
3,80,250051
3,81,104879
3,82,1255815308
3,83,266208
3,84,128011
3,85,1256247699
3,86,243653
3,87,124039
3,88,127338
3,89,1255889168
3,90,278332
3,91,202050
3,92,1251658012
3,93,300473
3,94,127380
3,95,107199
3,96,104988
3,97,103584
3,98,1249958777
3,99,229504
3,100,127408
4,1,1262765379
4,2,253949
4,3,1249777282
4,4,232675
4,5,1256943380
4,6,229801
4,7,114384
4,8,120963
4,9,1254757524
4,10,309118
4,11,128985
4,12,132335
4,13,105434
4,14,110652
4,15,116607
4,16,120129
4,17,108160
4,18,1259423254
4,19,243338
4,20,126010
4,21,120877
4,22,111096
4,23,119013
4,24,136896
4,25,113891
4,26,116730
4,27,116073
4,28,1249873551
4,29,240595
4,30,113438
4,31,110941
4,32,110713
4,33,101256
4,34,102170
4,35,106963
4,36,1252414124
4,37,1253131424
4,38,267980
4,39,113919
4,40,1256631601
4,41,324526
4,42,106129
4,43,117327
4,44,112166
4,45,125213
4,46,1248973886
4,47,1266354429
4,48,222611
4,49,1260742690
4,50,272328
4,51,141392
4,52,1251116301
4,53,276792
4,54,123857
4,55,99451
4,56,104883
4,57,98254
4,58,112751
4,59,100040
4,60,108188
4,61,95169
4,62,94673
4,63,83263
4,64,90993
4,65,110569
4,66,93659
4,67,93565
4,68,1248061037
4,69,228250
4,70,114090
4,71,113918
4,72,105846
4,73,128073
4,74,99816
4,75,98114
4,76,99952
4,77,103217
4,78,121058
4,79,1249250837
4,80,218173
4,81,106591
4,82,116518
4,83,128228
4,84,105758
4,85,103258
4,86,99612
4,87,99009
4,88,129595
4,89,106228
4,90,1247887362
4,91,273742
4,92,195345
4,93,113979
4,94,99705
4,95,1249383815
4,96,220680
4,97,111936
4,98,1248166929
4,99,227169
4,100,1247876540
5,1,529943
5,2,156158
5,3,151383
5,4,127555
5,5,133506
5,6,1259499923
5,7,309827
5,8,144204
5,9,1251619289
5,10,258721
5,11,1252125849
5,12,233509
5,13,1255869944
5,14,1248975459
5,15,261225
5,16,1256016236
5,17,388002
5,18,117484
5,19,115141
5,20,110728
5,21,131399
5,22,102231
5,23,116136
5,24,1250634905
5,25,250467
5,26,110536
5,27,123370
5,28,105133
5,29,97580
5,30,103058
5,31,99276
5,32,106849
5,33,1251103193
5,34,1259814584
5,35,280114
5,36,149643
5,37,173780
5,38,142959
5,39,117536
5,40,1249886749
5,41,1252451232
5,42,224011
5,43,1252934665
5,44,213909
5,45,163246
5,46,113643
5,47,118371
5,48,142009
5,49,119572
5,50,123338
5,51,106536
5,52,1248719892
5,53,1250469313
5,54,226878
5,55,109661
5,56,104056
5,57,104361
5,58,115024
5,59,110691
5,60,139890
5,61,127408
5,62,105631
5,63,105182
5,64,1269083632
5,65,1248582910
5,66,216134
5,67,108732
5,68,100981
5,69,143787
5,70,100968
5,71,127595
5,72,100533
5,73,122453
5,74,106014
5,75,101054
5,76,1253033325
5,77,246937
5,78,113402
5,79,1249703585
5,80,1251834198
5,81,1248782808
5,82,219492
5,83,108733
5,84,103476
5,85,94539
5,86,111420
5,87,110824
5,88,126039
5,89,103569
5,90,98299
5,91,102959
5,92,147392
5,93,89164
5,94,105562
5,95,83851
5,96,105933
5,97,108861
5,98,96723
5,99,87079
5,100,102216
