iteration,ns
0,112418309026
1,112527709497
2,112420593663
3,113172434400
4,112377509526
5,112445584313
6,112432590748
7,112501145252
8,112693816991
9,112534795240
10,112424226769
11,112355050480
12,112399783260
13,112345592093
14,112450182021
15,112380935687
16,112362415106
17,112390113370
18,112369081299
19,112345083873
20,112353650049
21,112342008559
22,112338397895
23,112421765230
24,112350618805
25,112352542367
26,112512321520
27,112298652593
28,112322719903
29,112320366271
30,112324336331
31,112356608733
32,112353144902
33,112450447545
34,112406383950
35,112354381645
36,112356569824
