iteration,operation,ns
1,1,418199
1,2,235248210
1,3,433670
1,4,215536
1,5,217901
1,6,217867
1,7,258635
1,8,202586
1,9,219870
1,10,232118
1,11,195556
1,12,582836
1,13,232382
1,14,2528688
1,15,258569
1,16,226428645
1,17,1162885
1,18,225357916
1,19,557239
1,20,224966
1,21,258200
1,22,191417
1,23,208793
1,24,171805
1,25,192110
1,26,235234
1,27,226927136
1,28,376975
1,29,219158
1,30,199047
1,31,229123815
1,32,350557
1,33,220339
1,34,227124853
1,35,225707124
1,36,415323
1,37,233723
1,38,220465
1,39,214369
1,40,200998
1,41,206785
1,42,198475
1,43,245641
1,44,210990
1,45,201621
1,46,2209457
1,47,2319891
1,48,306580
1,49,203335
1,50,231129408
1,51,367470
1,52,204890
1,53,235358
1,54,208070
1,55,191059
1,56,232209858
1,57,364942
1,58,202157
1,59,275905
1,60,204859
1,61,207778
1,62,206376
1,63,214754
1,64,201484
1,65,198955
1,66,202395
1,67,226580413
1,68,378935
1,69,226131518
1,70,370607
1,71,216979
1,72,189406
1,73,200623
1,74,197047
1,75,1496681
1,76,213886
1,77,206915
1,78,200963
1,79,197829
1,80,225826504
1,81,373474
1,82,225648176
1,83,383521
1,84,649628
1,85,222340
1,86,217958
1,87,204342
1,88,197953
1,89,224084
1,90,197517
1,91,226009433
1,92,357064
1,93,206365
1,94,1027986
1,95,215824
1,96,230457
1,97,199759
1,98,197509
1,99,184960
1,100,195023
2,1,600932
2,2,237395260
2,3,227562808
2,4,374193
2,5,226514588
2,6,346654
2,7,225305598
2,8,366647
2,9,191860
2,10,199487
2,11,184196
2,12,185540
2,13,297689
2,14,227555541
2,15,225486415
2,16,381475
2,17,385959
2,18,231705
2,19,225037567
2,20,681172
2,21,195872
2,22,181782
2,23,183270
2,24,507346
2,25,192847
2,26,182189
2,27,229189
2,28,179290
2,29,187013
2,30,160593
2,31,149407
2,32,224980869
2,33,833426
2,34,241261
2,35,190922
2,36,205199
2,37,199393
2,38,179718
2,39,206364
2,40,252518
2,41,225204329
2,42,225552014
2,43,419845
2,44,224999332
2,45,325086
2,46,188724
2,47,226432950
2,48,226259953
2,49,335071
2,50,180709
2,51,227203696
2,52,851359
2,53,207265
2,54,213811
2,55,180823
2,56,176828
2,57,170599
2,58,182771
2,59,188470
2,60,170031
2,61,225779300
2,62,334333
2,63,195767
2,64,1252662
2,65,190273
2,66,177476
