iteration,operation,ns
1,1,515546
1,2,102848
1,3,810541646
1,4,526470
1,5,146109
1,6,139610
1,7,55158
1,8,88052
1,9,810942
1,10,119654
1,11,127744
1,12,94890
1,13,89332
1,14,71975
1,15,66004
1,16,65360
1,17,71701
1,18,63271
1,19,68109
1,20,630244275
1,21,135078
1,22,121036
1,23,97344
1,24,84120
1,25,390933975
1,26,230534484
1,27,199325
1,28,90018
1,29,89677
1,30,91848
1,31,65673
1,32,149084
1,33,132970
1,34,204047
1,35,138104
1,36,60399
1,37,400040758
1,38,190774
1,39,621964819
1,40,135137
1,41,172346
1,42,102478
1,43,58492
1,44,47165
1,45,80004
1,46,154888
1,47,112083
1,48,47826
1,49,84961
1,50,65498
1,51,66779
1,52,71752
1,53,672412
1,54,54440
1,55,403314017
1,56,162029
1,57,86403
1,58,62939
1,59,803520731
1,60,408087
1,61,94437
1,62,124032
1,63,89552
1,64,95613
1,65,121534
1,66,93239
1,67,88453
1,68,792709524
1,69,268529
1,70,91928
1,71,392007161
1,72,226442468
1,73,193914
1,74,782475930
1,75,203891
1,76,90433
1,77,74272
1,78,119064
1,79,805956584
1,80,417376
1,81,209193
1,82,137391
1,83,101301
1,84,98068
1,85,65140
1,86,134727
1,87,626311055
1,88,229885
1,89,175993
1,90,97799
1,91,76450
1,92,103924
1,93,101015
1,94,105162
1,95,98785
1,96,230497582
1,97,791952903
1,98,208101
1,99,119469
1,100,4104644
2,1,632102797
2,2,128084
2,3,166902
2,4,409604
2,5,97574
2,6,88615
2,7,129388
2,8,55222
2,9,228220800
2,10,179919
2,11,89310
2,12,95982
2,13,238708
2,14,390236365
2,15,231363
2,16,86524
2,17,132481
2,18,90786
2,19,89353
2,20,60709
2,21,622321600
2,22,126415
2,23,108210
2,24,779952137
2,25,125158
2,26,619070985
2,27,113723
2,28,154894
2,29,111928
2,30,108363
2,31,113099
2,32,391538717
2,33,158117
2,34,85154
2,35,788441319
2,36,628802608
2,37,202081
2,38,56226
2,39,454726620
2,40,188679
2,41,97005
2,42,141769
2,43,118664
2,44,47800
2,45,80036
2,46,39093
2,47,56339
2,48,396915863
2,49,118297
2,50,108337
2,51,399373893
2,52,217215
2,53,132756
2,54,102617
2,55,45887
2,56,102033
2,57,804546897
2,58,164563
2,59,43234
2,60,36565
2,61,461083918
2,62,157729
2,63,86829
2,64,105793
2,65,74226
2,66,76651
2,67,72983
2,68,77469
2,69,453020766
2,70,223572
2,71,95685
2,72,54158
2,73,107750
2,74,76190
2,75,85759
2,76,228842527
2,77,212220
2,78,91810
2,79,75378
2,80,107757
2,81,71044
2,82,390773731
2,83,196095
2,84,149315
2,85,104151
2,86,126311
2,87,88649
2,88,54500
2,89,138916
2,90,118703
2,91,77597
2,92,83864
2,93,86974
2,94,51476
2,95,31258
2,96,27312
2,97,58635
2,98,82377
2,99,30869
2,100,57550
