iteration,operation,ns
1,1,268883192
1,2,241344
1,3,121588
1,4,232756988
1,5,202234
1,6,120733
1,7,69859
1,8,65169
1,9,63196
1,10,60074
1,11,94726
1,12,132150
1,13,116151
1,14,101288
1,15,108363
1,16,89676
1,17,91801
1,18,85942
1,19,84165
1,20,91685
1,21,156463157
1,22,307655
1,23,96687
1,24,58113
1,25,54575
1,26,70052
1,27,211580
1,28,126465
1,29,115465
1,30,105741
1,31,174246004
1,32,133845502
1,33,258982
1,34,123324790
1,35,137220287
1,36,310070
1,37,117199
1,38,89457
1,39,87048
1,40,81260
1,41,86108
1,42,228895257
1,43,476527
1,44,229737
1,45,276847
1,46,205107
1,47,113788
1,48,92263
1,49,102609
1,50,101411
1,51,109942
1,52,109117
1,53,110646
1,54,245468664
1,55,250476
1,56,135568
1,57,103011
1,58,198451545
1,59,205197217
1,60,264604
1,61,130656
1,62,133926
1,63,109033
1,64,109605
1,65,106408
1,66,527148
1,67,134485
1,68,206654098
1,69,278055
1,70,148547
1,71,111918
1,72,90902
1,73,91869
1,74,97358
1,75,108159
1,76,112918
1,77,97925
1,78,99502
1,79,269503
1,80,162882762
1,81,249367
1,82,200621
1,83,109141
1,84,95999
1,85,91833
1,86,91105
1,87,110181
1,88,95848
1,89,90274
1,90,99541
1,91,94774
1,92,91996
1,93,89139
1,94,87776
1,95,204616633
1,96,393633
1,97,235717
1,98,200263
1,99,95271093
1,100,301815
2,1,102571308
2,2,240319
2,3,141290
2,4,89737223
2,5,315101
2,6,134844387
2,7,124435059
2,8,276375
2,9,107791
2,10,92455
2,11,94935
2,12,109007
2,13,143192443
2,14,245659
2,15,116853
2,16,91944
2,17,141457
2,18,134983
2,19,87895
2,20,94277
2,21,86963
2,22,120062472
2,23,290470
2,24,212879
2,25,221466666
2,26,324596
2,27,168766
2,28,151193289
2,29,235137
2,30,117145355
2,31,338982
2,32,115373
2,33,114312
2,34,91219
2,35,105682
2,36,102372
2,37,97961
2,38,103791
2,39,102607
2,40,104625
2,41,96906
2,42,112612
2,43,96107
2,44,98389
2,45,89896
2,46,87035
2,47,90956
2,48,89678
2,49,130943048
2,50,251539
2,51,185360
2,52,98030
2,53,90605832
2,54,134551161
2,55,240884
2,56,203721643
2,57,191613
2,58,92464
2,59,108733044
2,60,244308
2,61,149648
2,62,130594
2,63,176401
2,64,119096
2,65,128501
2,66,99906
2,67,107544
2,68,93036
2,69,80760
2,70,79786
2,71,93969
2,72,134028
2,73,115482
2,74,92637288
2,75,291601
2,76,111376070
2,77,237633
2,78,156978
2,79,85309
2,80,462550
2,81,61960452
2,82,278507
2,83,139594
2,84,116854
2,85,104838
2,86,89699622
2,87,141257889
2,88,211181
2,89,97918
2,90,84565
2,91,68636
2,92,57970
2,93,50772
2,94,59360
2,95,98556
2,96,49435
2,97,46261
2,98,88035445
2,99,260409
2,100,98743
3,1,262340
3,2,86193
3,3,92470
3,4,124188126
3,5,85387066
3,6,626489
3,7,110750
3,8,80382260
3,9,251050
3,10,126928
3,11,104238440
3,12,199253
3,13,111437788
3,14,226847
3,15,133543
3,16,101833
3,17,76009
3,18,70958
3,19,98269
3,20,147408253
3,21,225661
