iteration,operation,ns
1,1,963449329
1,2,1123417290
1,3,849402481
1,4,351775
1,5,1093907
1,6,4319728
1,7,807071
1,8,1446671
1,9,993722
1,10,518805804
2,1,900496295
2,2,564682
2,3,1287070436
2,4,1506619
2,5,593604
2,6,879630139
2,7,493565625
2,8,363738091
2,9,188942878
2,10,241213
3,1,1302583
3,2,851786907
3,3,659793075
3,4,1667102
3,5,1879036
3,6,1258116
3,7,390048
3,8,506386521
3,9,443058601
3,10,813325
4,1,698100419
4,2,601789676
4,3,24751767
4,4,562312
4,5,9660460
4,6,303049
4,7,246499
4,8,637531289
4,9,547308209
4,10,2231549
5,1,693882907
5,2,2203188
5,3,841232897
5,4,711357613
5,5,504338222
5,6,2046033
5,7,2426628
5,8,221107670
5,9,158094551
5,10,164559418
