iteration,operation,ns
1,1,688533
1,2,199397
1,3,97207
1,4,65260
1,5,63752591
1,6,259360
1,7,167685
1,8,87187
1,9,33165098
1,10,539370
1,11,181275
1,12,1714205
1,13,317404
1,14,139486
1,15,137678
1,16,140179
1,17,93862
1,18,149611
1,19,27594735
1,20,228999
1,21,218128
1,22,63674
1,23,179228
1,24,105479
1,25,82218
1,26,82390077
1,27,109699
1,28,155904
1,29,96721
1,30,968940
1,31,130666
1,32,73355
1,33,127218
1,34,94599
1,35,87543
1,36,67360
1,37,127017
1,38,78442
1,39,46147
1,40,77022
1,41,81027
1,42,59909
1,43,43456
1,44,135638
1,45,41518
1,46,148154
1,47,102709
1,48,53808
1,49,37860
1,50,113518
1,51,51646
1,52,88262
1,53,39999
1,54,37708
1,55,31754887
1,56,670139
1,57,487351
1,58,321069
1,59,2424160
1,60,724468
1,61,173596
1,62,1346461
1,63,371859
1,64,544533
1,65,232068
1,66,147239
1,67,263350
1,68,125646
1,69,97075
1,70,193873
1,71,877326
1,72,132309
1,73,104036
1,74,86510
1,75,68430
1,76,1816135
1,77,135583
1,78,80623
1,79,46844
1,80,49448
1,81,162147
1,82,98796
1,83,126974
1,84,74874
1,85,112485
1,86,102374
1,87,71060
1,88,3684669
1,89,2139847
1,90,182100
1,91,62491
1,92,106932
1,93,752256
1,94,3388348
1,95,51177293
1,96,108157
1,97,162368
1,98,174713
1,99,187944
1,100,110486
2,1,990155
2,2,111283
2,3,125780
2,4,71392
2,5,61311
2,6,49568530
2,7,159997
2,8,39206168
2,9,193410
2,10,76817
2,11,105442
2,12,75661
2,13,77719
2,14,91798
2,15,64615
2,16,80585
2,17,54279067
2,18,213451
2,19,140154
2,20,30979320
2,21,106197
2,22,67633
2,23,10618006
2,24,246948
2,25,29688537
2,26,109473
2,27,137526
2,28,135218
2,29,81599
2,30,62827
2,31,38044395
2,32,177205
2,33,74367
2,34,142048
2,35,500883
2,36,642702
2,37,3301169
2,38,204873
2,39,68209
2,40,30256852
2,41,10618672
2,42,198168
2,43,77530
2,44,51905
