iteration,operation,ns
1,1,660469
1,2,68857
1,3,31795
1,4,477429
1,5,196649
1,6,35880
1,7,43227
1,8,36739
1,9,490116
1,10,32121
1,11,142555
1,12,56668
1,13,73962
1,14,48614
1,15,29294
1,16,27091719
1,17,56818
1,18,109117
1,19,99161
1,20,59701161
1,21,52613
1,22,26934776
1,23,31821510
1,24,83930
1,25,80070
1,26,106620
1,27,46107979
1,28,92206
1,29,36855
1,30,39960
1,31,16523
1,32,5437105
1,33,60254
1,34,81383
1,35,38451
1,36,56094
1,37,36113
1,38,70423
1,39,332084
1,40,55046
1,41,113029
1,42,58009
1,43,107342
1,44,28644285
1,45,92948
1,46,21367
1,47,29445
1,48,75266
1,49,13875997
1,50,88164
1,51,32603
1,52,32510
1,53,24537
1,54,66240
1,55,26810
1,56,25136
1,57,52521426
1,58,86771
1,59,45757198
1,60,93927
1,61,35537
1,62,40958
1,63,36983
1,64,33671025
1,65,97194
1,66,89717
1,67,31970
1,68,26053
1,69,39220
1,70,19027236
1,71,137419
1,72,51298
1,73,21533
1,74,30002
1,75,33712
1,76,71821
1,77,29285
1,78,28971
1,79,13563
1,80,44201694
1,81,111149
1,82,65947
1,83,35285
1,84,16460491
1,85,87181
1,86,78586
1,87,51105
1,88,29125
1,89,32967
1,90,14466
1,91,29819677
1,92,23250985
1,93,89856
1,94,31776
1,95,21101554
1,96,163235
1,97,47474
1,98,24005
1,99,114842
1,100,35307819
2,1,537432
2,2,1128781
2,3,646747
2,4,55739370
2,5,57120
2,6,53304
2,7,27877
2,8,11553726
2,9,83608
2,10,73649
2,11,36207
2,12,14283996
2,13,144968
2,14,30427
2,15,37771
2,16,16527
2,17,26357
2,18,22483483
2,19,80492
2,20,95577
2,21,36197
2,22,28977
2,23,37661
2,24,26898
2,25,28758
2,26,19392
2,27,25357
2,28,77319
2,29,22307222
2,30,89525
2,31,38427475
2,32,156593
2,33,91249
2,34,37975
2,35,39818
2,36,27072
2,37,16727
2,38,24928
2,39,86409
2,40,16560
2,41,36723625
2,42,198486
2,43,106083
2,44,96730
2,45,39788
2,46,39411
2,47,29404
2,48,24642
2,49,25987
2,50,28626628
2,51,89200
2,52,29037
2,53,46523
2,54,73124
2,55,25526
2,56,28402107
2,57,87073
2,58,30308478
2,59,52603053
2,60,26949330
2,61,78978
2,62,42654533
2,63,81563
2,64,31006
2,65,41897
2,66,4061970
2,67,57167
2,68,3084904
2,69,76424
2,70,75827225
2,71,30802412
2,72,77137
2,73,25779
2,74,23128
2,75,83432
2,76,26308
2,77,24946
2,78,22159400
2,79,135603
2,80,47345
2,81,36166
2,82,16173838
2,83,56326
2,84,43393
2,85,43990
2,86,13440
2,87,22854317
2,88,10455532
2,89,76774
2,90,44064
2,91,25784
2,92,19067
2,93,36354
2,94,28500
2,95,35788
2,96,17653611
2,97,96493
2,98,81812
2,99,18935
2,100,22731
3,1,570565
3,2,80782
3,3,30791
3,4,20178071
3,5,544837
3,6,94879
3,7,44093946
3,8,97052
3,9,34951
3,10,17800
3,11,21339753
3,12,29650216
3,13,54753
3,14,24625
3,15,30313
3,16,18921
3,17,19935
3,18,52496
3,19,17188
3,20,42881
3,21,24318
3,22,27736290
3,23,40965818
3,24,73957
3,25,26400
3,26,24848
3,27,5835794
3,28,63308
3,29,26077
3,30,55855
3,31,60681
3,32,81546
3,33,117342
3,34,67317
3,35,30031820
3,36,130591
3,37,33910
3,38,67108
3,39,28491
3,40,39836166
3,41,46230958
3,42,85767
3,43,29810
3,44,24059
3,45,23026
3,46,27071
3,47,34530
3,48,95529
3,49,31998
3,50,45368
3,51,47944
3,52,9121726
3,53,99140
3,54,29618
3,55,28652
3,56,40090475
3,57,63389
3,58,63844212
3,59,339627
3,60,21234
3,61,29135
3,62,12210
3,63,438521
3,64,82389
3,65,31005
3,66,23871
3,67,29020959
3,68,8305774
3,69,56103
3,70,40503
3,71,20822
3,72,76478
3,73,26563
3,74,54706
3,75,8278623
3,76,126030
3,77,69888
3,78,30722
3,79,28264
3,80,21984
3,81,14184
3,82,24396
3,83,23460
3,84,13239
3,85,23815
3,86,46353
3,87,27997
3,88,78064
3,89,14234
3,90,23963
3,91,60454
3,92,57112
3,93,82275
3,94,57664
3,95,30812
3,96,29970
3,97,24492
3,98,24282
3,99,31770
3,100,16591
4,1,580731
4,2,566830
4,3,178037
4,4,41357
4,5,29266
4,6,14105
4,7,7896
4,8,37569874
4,9,77050
4,10,97359
4,11,39870
4,12,32746
4,13,76439
4,14,31519
4,15,66138
4,16,58263
4,17,288700
4,18,46155
4,19,103561
4,20,30945523
4,21,24331733
4,22,83059
4,23,45182
4,24,24563
4,25,25244
4,26,27940
4,27,30890
4,28,22034
4,29,21023
4,30,27785413
4,31,65997108
4,32,124135
4,33,46948
4,34,12810
4,35,38003
4,36,28797
4,37,10833918
4,38,115515
4,39,46364
4,40,13759
4,41,18449022
4,42,270886
4,43,575473
4,44,17545
4,45,10398
4,46,28652
4,47,21174
4,48,23725
4,49,57710
4,50,21920
4,51,23113
4,52,44798
4,53,30884
4,54,47780484
4,55,36647920
4,56,90485
4,57,34846
4,58,17697
4,59,44062379
4,60,127214
4,61,27079
4,62,20102
4,63,69537
4,64,28492
4,65,21072
4,66,20680
4,67,20399738
4,68,57241
4,69,86712
4,70,47527
4,71,28683
4,72,21777
4,73,11619
4,74,9348
4,75,46283
4,76,11193
4,77,39836
4,78,25166
4,79,28664087
4,80,156312
4,81,12455324
4,82,76449
4,83,26624057
4,84,73546
4,85,13055857
4,86,5474000
4,87,38650
4,88,34459
4,89,14936993
4,90,18998005
4,91,97235
4,92,29969
4,93,38622520
4,94,56720
4,95,19813609
4,96,362288
4,97,33793
4,98,25862
4,99,94611
4,100,43762
5,1,587655
5,2,681262
5,3,71053
5,4,15698
5,5,488059
5,6,78668
5,7,86691
5,8,40045
5,9,16114
5,10,31673
5,11,142654
5,12,51526
5,13,24987
5,14,22736
5,15,24154
5,16,24163
5,17,18243
5,18,12324
5,19,5665615
5,20,154001
5,21,36332
5,22,29931767
5,23,129463
5,24,31686067
5,25,53727
5,26,46159
5,27,87185
5,28,26622
5,29,52795
5,30,67396
5,31,67291
5,32,54998
5,33,35970
5,34,100339
5,35,16402
5,36,27169
5,37,10996
5,38,9579
5,39,9620
5,40,9289
5,41,9012
5,42,54927806
5,43,12293446
5,44,28912848
5,45,48004005
5,46,89173
5,47,90256
5,48,30656232
5,49,77471
5,50,62814
5,51,644331
5,52,41809
5,53,20061
5,54,129677
5,55,79626
5,56,59261
5,57,30308
5,58,50829
5,59,26156
5,60,42298
5,61,74355
5,62,107834
5,63,84083
5,64,53424
5,65,19648
5,66,18856982
5,67,73385
5,68,32204
5,69,43492
5,70,36034014
5,71,39717511
5,72,58114
5,73,43195
5,74,25166
5,75,81408
5,76,12526
5,77,31962
5,78,12087
5,79,21493284
5,80,28401356
5,81,55500
5,82,43451
5,83,82877
5,84,27699
5,85,46829388
5,86,133201
5,87,19766
5,88,29889
5,89,72716
5,90,12094
5,91,30152
5,92,25260
5,93,30967
5,94,11346
5,95,13217844
5,96,101143
5,97,35277
5,98,6276762
5,99,79127
5,100,13594739
