iteration,ns
1,387163
2,322750
3,277257
4,278353
5,270588
6,257323
7,3070203
8,273321
9,258518
10,257636
11,246668
12,250382
13,262262
14,253502
15,252339
16,237559
17,243371
18,253402
19,245446
20,263003
21,4340298
22,332755
23,263904
24,265050
25,248421
26,292084
27,250714
28,243441
29,290758
30,263250
31,7161414
32,363142
33,331769
34,262232
35,258097
36,252373
37,243762
38,237467
39,250127
40,638657
41,299939
42,283857
43,261670
44,267549
45,280640
46,267648
47,622530
48,265765
49,254910
50,265665
51,276225
52,4165582
53,806419
54,475996
55,305010
56,302501
57,249369
58,1784226
59,321193
60,296805
61,260181
62,259553
63,254229
64,262986
65,260905
66,286153
67,285527
68,280589
69,262398
70,255998
71,260432
72,249451
73,238553
74,258634
75,248753
76,258317
77,297499
78,1524356
79,291098
80,299794
81,261911
82,253845
83,242068
84,245314
85,271054
86,246692
87,233858
88,273204
89,246235
90,237965
91,274911
92,252937
93,1009570
94,326965
95,318315
96,255794
97,239962
98,243821
99,242425
100,249116
101,235509
102,251220
103,243607
104,246532
105,237598
106,289297
107,270855
108,257265
109,291181
110,275488
111,254714
112,249110
113,260976
114,246378
115,244806
116,257246
117,252003
118,283473
119,283260
120,274912
121,261671
122,247276
123,294543
124,296889
125,257348
126,307953
127,258487
128,3671047
129,361667
130,299443
131,451305
132,244039
133,243189
134,270990
135,244005
136,249714
137,208029
138,238316
139,307246
140,266466
141,292667
142,238082
143,254481
144,258769
145,241036
146,291528
147,242057
148,240079
149,330612
150,255208
151,249303
152,242951
153,240564
154,244132
155,278859
156,261461
157,292411
158,274426
159,256615
160,277424
161,276324
162,257962
163,667320
164,294242
165,245107
166,233857
167,284635
168,264310
169,266753
170,300488
171,261385
172,261190
173,331398
174,268589
175,249989
176,244683
177,263086
178,271413
179,296344
180,269375
181,247312
182,246824
183,279833
184,246514
185,230902
186,213990
187,226953
188,219493
189,294228
190,324729
191,278595
192,252373
193,286136
194,230774
195,242653
196,216041
197,231693
198,243949
199,914548
200,346434
201,274861
202,267043
203,262840
204,235204
205,284759
206,236967
207,228489
208,240567
209,296728
210,298942
211,272709
212,240623
213,280053
214,271021
215,1662157
216,318131
217,251300
218,238203
219,252696
220,237397
221,230962
222,241536
223,227346
224,275984
225,279766
226,264705
227,248623
228,239908
229,240868
230,236523
231,242023
232,246436
233,251274
234,259794
235,251492
236,766578
237,286314
238,273416
239,2361663
240,279389
241,263424
242,255627
243,241400
244,253920
245,245551
246,230690
247,272092
248,245947
249,292114
250,254298
251,253473
252,240301
253,229334
254,256212
255,256788
256,272702
257,251744
258,241946
259,239578
260,240974
261,245433
262,242726
263,242243
264,236838
265,229513
266,232910
267,274038
268,8544597
269,300536
270,304363
271,280057
272,247299
273,270902
274,267749
275,256668
276,256320
277,246044
278,299079
279,247338
280,246820
281,244878
282,239954
283,236672
284,237416
285,3045444
286,303161
287,278791
288,1143954
289,328801
290,316137
291,265211
292,244686
293,248292
294,239679
295,251691
296,249326
297,241096
298,299444
299,292045
300,262531
301,292293
302,268951
303,252916
304,286530
305,265528
306,260099
307,6235037
308,329916
309,271998
310,270548
311,248430
312,241903
313,235356
314,288148
315,276509
316,273080
317,253806
318,242949
319,261534
320,246933
321,239349
322,246233
323,240576
324,234715
325,246629
326,239622
327,292824
328,290648
329,268809
330,244392
331,292116
332,265604
333,264152
334,245035
335,295486
336,276362
337,247031
338,262323
339,241982
340,239290
341,243071
342,256436
343,243177
344,6180710
345,402688
346,334232
347,247987
348,284585
349,270381
350,246299
351,278756
352,257726
353,249072
354,258282
355,238416
356,252824
357,247743
358,242150
359,241992
360,243857
361,245630
362,248671
363,236280
364,249693
365,276476
366,248070
367,239013
368,248624
369,235281
370,227396
371,217382
372,226347
373,219419
374,224754
375,230659
376,246270
377,246987
378,279619
379,270756
380,242690
381,241647
382,239614
383,274783
384,283615
385,308082
386,250603
387,236829
388,275974
389,254963
390,313294
391,252786
392,244246
393,291606
394,239595
395,234749
396,280844
397,252545
398,237695
399,232776
400,242181
401,337948
402,256334
403,242051
404,275211
405,243450
406,299470
407,304800
408,251056
409,253331
410,262354
411,232290
412,238646
413,231453
414,275070
415,289523
416,246403
417,249910
418,278875
419,231405
420,1359575
421,260045
422,249052
423,233490
424,236904
425,240000
426,227226
427,230895
428,278682
429,249770
430,251759
431,279523
432,250842
433,243318
434,239012
435,250837
436,289948
437,255890
438,249675
439,235292
440,243717
441,238075
442,278598
443,257815
444,247405
445,240983
446,246063
447,231338
448,230772
449,240496
450,235431
451,236504
452,222936
453,240632
454,242890
455,231745
456,225121
457,243017
458,1345617
459,327280
460,260169
461,232418
462,260637
463,233658
464,232041
465,232181
466,208407
467,229752
468,293892
469,266306
470,590107
471,285150
472,257774
473,231676
474,3001351
475,329178
476,253094
477,231534
478,252887
479,245374
480,234314
481,236194
482,229842
483,220877
484,230613
485,224855
486,235301
487,220664
488,230012
489,286913
490,277035
491,270495
492,256549
493,244195
494,267679
495,253505
496,245957
497,229795
498,241029
499,241001
500,240531
501,229783
502,250878
503,224583
504,228948
505,225062
506,762036
507,304961
508,292365
509,246159
510,240034
511,284495
512,270214
513,252751
514,242777
515,245447
516,236563
517,236541
518,243147
519,258027
520,238263
521,227608
522,233868
523,221923
524,234254
525,227738
526,224918
527,226394
528,255033
529,308843
530,254474
531,237337
532,239006
533,234570
534,229769
535,230677
536,713304
537,256329
538,232324
539,245577
540,238891
541,230765
542,287955
543,250577
544,240701
545,235987
546,221220
547,255876
548,298926
549,253799
550,242781
551,234675
552,242247
553,225095
554,234930
555,228235
556,227804
557,248252
558,240880
559,243747
560,257829
561,230198
562,221990
563,225996
564,252314
565,1060234
566,291096
567,245314
568,294064
569,270718
570,247497
571,271946
572,263741
573,236545
574,236604
575,233683
576,238794
577,232453
578,247457
579,252166
580,271513
581,248160
582,247028
583,272113
584,242134
585,255552
586,225431
587,233057
588,232342
589,233268
590,225040
591,273799
592,255438
593,236263
594,234672
595,237593
596,228402
597,235972
598,299010
599,253048
600,254181
601,255096
602,243433
603,241775
604,276404
605,253619
606,257352
607,244287
608,261600
609,230474
610,234587
611,229098
612,228228
613,221733
614,1015954
615,256266
616,245213
617,274570
618,245755
619,247523
620,258965
621,256688
622,235426
623,225370
624,236702
625,238553
626,226804
627,243752
628,284781
629,258957
630,243389
631,232709
632,234323
633,228316
634,227857
635,226082
636,236855
637,251370
638,239210
639,239679
640,227509
641,262526
642,244038
643,229142
644,238275
645,257412
646,224254
647,236508
648,227428
649,223154
650,229313
651,249073
652,234998
653,220998
654,232262
655,222352
656,231650
657,224960
658,232989
659,277356
660,253518
661,242621
662,253912
663,247607
664,230908
665,225930
666,232609
667,255457
668,286349
669,293503
670,255239
671,235810
672,225667
673,229783
674,240400
675,231100
676,237086
677,242177
678,232261
679,237938
680,317948
681,255894
682,238297
683,246245
684,222460
