iteration,operation,ns
1,1,386352
1,2,301423
1,3,1076970
1,4,1128349
1,5,1104677
1,6,637431
1,7,386379
1,8,296551
1,9,5775547
1,10,7110867
1,11,246199
1,12,2164580
1,13,643566
1,14,506141
1,15,326010
1,16,9835726
1,17,351330
1,18,10830425
1,19,235443
1,20,3145581
1,21,301343
1,22,282018
1,23,13230231
1,24,273917
1,25,8365649
1,26,13197668
1,27,308846
1,28,278166
1,29,257444
1,30,336879
1,31,263668
1,32,279135
1,33,286586
1,34,336204
1,35,241108
1,36,212122
1,37,4379138
1,38,319027
1,39,7573500
1,40,327946
1,41,229417
1,42,440332
1,43,3568348
1,44,3055481
1,45,226380
1,46,795806
1,47,734486
1,48,1235631
1,49,736744
1,50,27885963
1,51,402511
1,52,13809156
1,53,4352256
1,54,286499
1,55,304712
1,56,301625
1,57,375375
1,58,387970
1,59,11079873
1,60,337897
1,61,4439289
1,62,349441
1,63,235615
1,64,280333
1,65,316044
1,66,240862
1,67,230719
1,68,15182500
1,69,217481
1,70,218674
1,71,278857
1,72,284912
1,73,399492
1,74,354002
1,75,244773
1,76,283154
1,77,213304
1,78,316449
1,79,576908
1,80,586825
1,81,581411
1,82,750342
1,83,460575
1,84,361941
1,85,313593
1,86,329702
1,87,232941
1,88,231044
1,89,293290
1,90,391587
1,91,337365
1,92,320635
1,93,312743
1,94,2765846
1,95,291613
1,96,299856
1,97,314131
1,98,328344
1,99,311226
1,100,323655
2,1,330033
2,2,12764692
2,3,14746810
2,4,420817
2,5,292622
2,6,229554
2,7,3583986
2,8,422361
2,9,323769
2,10,296692
2,11,2832878
2,12,211414
2,13,3485108
2,14,322641
2,15,320841
2,16,286389
2,17,310186
2,18,6198179
2,19,218047
2,20,299310
2,21,4447572
2,22,5621584
2,23,360513
2,24,7532913
2,25,326022
2,26,302438
2,27,393258
2,28,306368
2,29,302533
2,30,293885
2,31,13277086
2,32,233453
2,33,228019
2,34,244541
2,35,8373111
2,36,17155803
2,37,488268
2,38,246230
2,39,331600
2,40,372330
2,41,13760695
2,42,431745
2,43,21803558
2,44,216101
2,45,223657
2,46,8051199
2,47,13853520
2,48,263255
2,49,263359
2,50,3396993
2,51,220588
2,52,244110
2,53,721655
2,54,17921665
2,55,914518
2,56,365888
2,57,5267138
2,58,198941
2,59,257438
2,60,2681536
2,61,366475
2,62,212530
2,63,193506
2,64,197966
2,65,201855
2,66,194670
2,67,3777828
2,68,238432
2,69,2945866
2,70,642357
2,71,797392
2,72,769346
2,73,16548134
2,74,347489
2,75,450901
2,76,262086
