iteration,operation,ns
1,1,387435
1,2,404990
1,3,394543
1,4,12438586
1,5,373667
1,6,2241901
1,7,463638
1,8,414379
1,9,360954
1,10,3594395
1,11,3600648
1,12,4247857
1,13,536578
1,14,405793
1,15,8500863
1,16,358990
1,17,330738
1,18,306107
1,19,307721
1,20,354658
1,21,318335
1,22,310032
1,23,880968
1,24,350343
1,25,338544
1,26,311668
1,27,325075
1,28,10068541
1,29,14484853
1,30,338207
1,31,343966
1,32,7909108
1,33,12341564
1,34,10592870
1,35,9570386
1,36,334219
1,37,318150
1,38,8866427
1,39,363672
1,40,354349
1,41,15608168
1,42,383935
1,43,9928246
1,44,339723
1,45,8646052
1,46,362029
1,47,323059
1,48,285551
1,49,302500
1,50,298168
1,51,310693
1,52,15247132
1,53,6067374
1,54,348113
1,55,306997
1,56,6283062
1,57,431476
1,58,327447
1,59,356736
1,60,10552009
1,61,348225
1,62,351083
1,63,342930
1,64,317451
1,65,7614968
1,66,319371
1,67,359006
1,68,344566
1,69,8253026
1,70,352226
1,71,322717
1,72,349179
1,73,347206
1,74,321629
1,75,9085144
1,76,345153
1,77,349122
1,78,317930
1,79,344789
1,80,9453017
1,81,391512
1,82,395318
1,83,332914
1,84,350494
1,85,325790
1,86,319650
1,87,317363
1,88,319717
1,89,306809
1,90,9376500
1,91,344400
1,92,341218
1,93,338761
1,94,312770
1,95,347589
1,96,335771
1,97,7165534
1,98,329508
1,99,268269
1,100,4668863
2,1,350579
2,2,7132135
2,3,330852
2,4,304701
2,5,10830601
2,6,338757
2,7,291954
2,8,337312
2,9,332102
2,10,337768
2,11,8005675
2,12,321922
2,13,390670
2,14,352270
2,15,368823
2,16,303276
2,17,313579
2,18,296617
2,19,353366
2,20,362331
2,21,9931387
2,22,331213
2,23,6577263
2,24,9154081
2,25,6586232
2,26,331144
2,27,315580
2,28,309162
2,29,327112
2,30,354475
2,31,314274
2,32,11834118
2,33,386393
2,34,11160842
2,35,346156
2,36,312948
2,37,1376277
2,38,1809596
2,39,1778882
2,40,11436141
2,41,348348
2,42,5803598
2,43,298079
2,44,303812
2,45,273041
2,46,266964
2,47,317902
2,48,293892
2,49,277346
2,50,8827185
2,51,8466774
