iteration,ns
1,355302
2,371105
3,334033
4,3991675
5,359143
6,327263
7,332304
8,318767
9,320474
10,308541
11,353830
12,333846
13,308517
14,295948
15,362140
16,316111
17,315934
18,309843
19,348247
20,315689
21,311157
22,347892
23,316979
24,3823990
25,427160
26,321168
27,295855
28,276257
29,331175
30,299010
31,287711
32,311649
33,303489
34,283267
35,302019
36,4047684
37,323683
38,903878
39,337097
40,295819
41,267630
42,311934
43,268162
44,264780
45,269183
46,303409
47,296245
48,298195
49,312575
50,299122
51,306337
52,282145
53,312144
54,274958
55,259376
56,254628
57,252295
58,282779
59,309842
60,267763
61,264521
62,305338
63,689909
64,347192
65,339648
66,279531
67,310485
68,300353
69,313972
70,270713
71,270386
72,319224
73,287973
74,301725
75,294683
76,267160
77,269355
78,303350
79,274639
80,268210
81,283686
82,324683
83,290318
84,267328
85,265286
86,257602
87,260475
88,309688
89,1154208
90,326031
91,310988
92,313346
93,290068
94,280892
95,276453
96,308884
97,277875
98,295698
99,260971
100,296910
101,291664
102,271473
103,260327
104,315361
105,274713
106,327571
107,295503
108,297045
109,314283
110,302876
111,287792
112,315267
113,330507
114,297802
115,270351
116,270099
117,264850
118,269358
119,302006
120,276734
121,307352
122,303343
123,311588
124,274406
125,273988
126,289740
127,270219
128,1805962
129,338720
130,344652
131,306971
132,299842
133,1168779
134,1629081
135,312101
136,279873
137,307047
138,312971
139,329637
140,290195
141,307512
142,310631
143,277256
144,294182
145,312677
146,318941
147,295606
148,282767
149,278800
150,279944
151,291972
152,279807
153,266264
154,259051
155,1094339
156,299157
157,331447
158,276858
159,272226
160,292549
161,271303
162,310247
163,272043
164,278870
165,302810
166,290193
167,312105
168,328054
169,280968
170,296726
171,309596
172,298613
173,276325
174,315552
175,294640
176,276174
177,270123
178,264989
179,250392
180,303608
181,312711
182,299047
183,278158
184,304558
185,1369933
186,332882
187,295537
188,258019
189,257886
190,292884
191,315654
192,295350
193,270501
194,299917
195,314422
196,278814
197,300870
198,284705
199,262256
200,301189
201,264681
202,304015
203,281547
204,304234
205,285300
206,277055
207,315817
208,267063
209,271845
210,315172
211,297975
212,303321
213,283126
214,267240
215,305609
216,300955
217,303212
218,276760
219,300056
220,297954
221,302413
222,326456
223,282955
224,261797
225,787099
226,308663
227,262511
228,259056
229,303876
230,276741
231,266024
232,318034
233,275513
234,268516
235,270602
236,308331
237,295339
238,283921
239,2159762
240,314125
241,266165
242,311362
243,268284
244,257514
245,872533
246,318289
247,300650
248,322817
249,277146
250,289483
251,292171
252,302884
253,325901
254,323874
255,273368
256,276320
257,315739
258,293110
259,277578
260,270515
261,252999
262,326146
263,313882
264,307735
265,308067
266,290091
267,305725
268,274843
269,310449
270,284828
271,288165
272,306913
273,314611
274,275616
275,279268
276,288123
277,284017
278,742996
279,299205
280,286812
281,274923
282,272638
283,251496
284,3604475
285,347624
286,299306
287,306786
288,308267
289,308350
290,278918
291,300393
292,312352
293,278220
294,261770
295,259664
296,258071
297,295029
298,274399
299,319326
300,299288
301,272075
302,271605
303,275968
304,322585
305,309122
306,309038
307,4550796
308,352647
309,285031
310,262082
311,267402
312,277391
313,290168
314,269486
315,4659400
316,316972
317,316878
318,308626
319,4595997
320,387789
321,358822
322,301005
323,290273
324,308976
325,288323
326,268134
327,1102322
328,335048
329,310542
330,293501
331,262930
332,305361
333,303893
334,274764
335,250052
336,265085
337,309354
338,274794
339,258981
340,252809
341,333829
342,313949
343,298565
344,271669
345,303095
346,274203
347,314752
348,303802
349,284754
350,260506
351,319685
352,304209
353,310391
354,281297
355,254171
356,308965
357,1001925
358,325036
359,317610
360,267601
361,263863
362,259407
363,273360
364,299221
365,267496
366,308226
367,1584526
368,284685
369,891246
370,279997
371,285393
372,298593
373,273648
374,297425
375,292904
376,301152
377,309094
378,319191
379,283058
380,271589
381,332949
382,300899
383,286727
384,292832
385,277868
386,252262
387,250676
388,244517
389,271471
390,2596417
391,1514744
392,376466
393,292335
394,278904
395,261120
396,275431
397,250300
398,293448
399,276690
400,257427
401,273117
402,293123
403,275908
404,276732
405,263254
406,264844
407,255583
408,250876
409,300950
410,292313
411,290705
412,260385
413,262840
414,252014
415,297796
416,268321
417,306709
418,268428
419,288255
420,308394
421,711694
422,328804
423,336674
424,298234
425,266391
426,296332
427,304707
428,269883
429,301871
430,274786
431,256565
432,258925
433,260201
434,257934
435,262199
436,1060230
437,341341
438,285895
439,314100
440,274941
441,299329
442,314922
443,263248
444,309189
445,302546
446,319531
447,291187
448,263860
449,325508
450,298889
451,270165
452,301132
453,277561
454,264128
455,259753
456,252721
457,245747
458,253193
459,253478
460,295110
461,293255
462,298800
463,307249
464,278275
465,277647
466,281083
467,297330
468,299084
469,295869
470,279583
471,294944
472,303273
473,314290
474,305976
475,272353
476,298784
477,327300
478,300705
479,279088
480,262656
481,304662
482,312586
483,268974
484,265224
485,247956
486,275743
487,268362
488,259167
489,269666
490,299900
491,298096
492,310207
493,284575
494,268170
495,272844
496,321617
497,290348
498,271829
499,294447
500,327319
501,285760
502,301645
503,325805
504,280385
505,259633
506,285591
507,263020
508,305177
509,309322
510,305989
511,284740
512,297750
513,268116
514,300124
515,702172
516,290041
517,308303
518,310962
519,273988
520,274087
521,282446
522,281463
523,304701
524,285229
525,260649
526,313705
527,298120
528,300069
529,279847
530,304128
531,275882
532,323663
533,277386
534,314094
535,269198
536,1406072
537,327124
538,320867
539,298528
540,267892
541,250759
542,303776
543,273451
544,263640
545,3433496
546,3597223
547,352091
548,348438
549,278103
550,293519
551,285063
552,297159
553,271537
554,2042383
555,304312
556,329099
557,281996
558,261148
559,258164
560,245631
561,255536
562,289648
563,283805
564,316131
565,299428
566,264388
567,278668
568,262445
569,260941
570,259383
571,308607
572,292019
573,284607
574,302852
575,281272
576,255131
577,294473
578,284417
579,261522
580,297209
581,269790
582,262799
583,282031
584,300250
585,275281
586,265224
587,266968
588,289326
589,296756
590,293432
591,268064
592,300126
593,273194
594,298561
595,267883
596,281847
597,299919
598,274988
599,273005
600,298545
601,267658
602,293336
603,265541
604,264536
605,254401
606,242474
607,321308
608,277756
609,258307
610,272816
611,248036
612,276796
613,282499
614,248708
615,289770
616,265696
617,289196
618,279951
619,306081
620,266029
621,296316
622,304506
623,257992
624,267054
625,251606
626,244122
627,260489
628,249004
629,272527
630,265918
631,259589
632,287295
633,269411
634,261171
635,257686
636,257057
637,255496
638,301662
639,283882
640,256858
641,245376
642,296942
643,264986
644,295386
645,265396
646,260034
647,268766
648,244326
649,296384
650,273906
651,257859
652,300385
653,274403
654,297001
655,269179
656,256846
657,272874
658,297953
659,281423
660,273582
661,248391
662,307821
663,275007
664,277700
665,1254324
666,339748
667,336644
668,264227
669,289409
670,280532
671,253487
672,303613
673,270403
674,279727
675,266648
676,307095
677,305135
678,279019
679,263329
680,298762
681,267624
682,301465
683,301957
684,307485
685,282781
686,269292
687,253694
688,249022
689,296822
690,327642
691,284127
692,305415
693,283615
694,300453
695,275427
696,299670
697,303804
698,298732
699,276421
700,271265
701,247971
702,289297
703,2079231
704,1101958
705,282482
706,2758759
707,4624684
708,375446
709,313190
710,290802
711,294555
712,299146
713,294549
714,284891
715,274578
716,273579
717,275708
718,257621
719,249425
720,246382
721,282910
722,296616
723,287775
724,250231
725,244090
726,248492
727,245996
728,244082
729,234551
730,228270
731,313172
732,310959
733,305192
734,267333
735,272858
736,296253
737,276268
738,246949
739,295025
740,288360
741,309485
742,289302
743,261361
744,287711
745,285518
746,264850
747,296250
748,1531167
749,327110
750,339367
751,265409
752,300927
753,310835
754,281785
755,260008
756,256274
757,292930
758,278616
759,283056
760,260623
761,259003
762,289793
763,276954
764,290650
765,273058
766,271539
767,252176
768,249678
769,265950
770,244232
771,254146
772,271257
773,294835
774,270618
775,246996
776,259678
777,294820
778,293947
779,301071
780,269863
781,251919
782,312549
783,293420
784,302174
785,271948
786,264711
787,312377
788,275197
789,248382
790,3550187
791,326470
792,317245
793,281430
794,272397
795,2471902
796,307202
797,314847
798,244054
799,243276
800,240462
801,297755
802,289615
803,272933
804,286641
805,6660334
806,330564
807,314802
808,292665
809,256469
810,256172
811,332420
812,308302
813,268242
814,282147
815,261981
816,292781
817,268538
818,293615
819,284890
820,248190
821,284747
822,265432
823,259549
824,247825
825,249939
826,241080
827,245650
828,257609
829,247404
830,288312
831,281028
832,284890
833,265801
834,273288
835,3682986
836,338873
837,326627
838,282987
839,254436
840,281702
841,303523
842,287124
843,257687
844,5577583
845,339691
846,298835
847,252230
