iteration,operation,ns
1,1,391440
1,2,382390
1,3,12471706
1,4,426461
1,5,499511
1,6,393198
1,7,396322
1,8,429778
1,9,2530929
1,10,3535409
1,11,3580499
1,12,12507143
1,13,545776
1,14,385622
1,15,359513
1,16,310100
1,17,375571
1,18,326577
1,19,8981082
1,20,369026
1,21,376665
1,22,388912
1,23,14771045
1,24,362778
1,25,12684147
1,26,363170
1,27,6661056
1,28,345761
1,29,329714
1,30,352191
1,31,326675
1,32,341636
1,33,17758824
1,34,341459
1,35,331380
1,36,8739008
1,37,347824
1,38,2348599
1,39,386626
1,40,873595
1,41,375794
1,42,320122
1,43,345712
1,44,397083
1,45,341491
1,46,7459324
1,47,345163
1,48,305084
1,49,8919466
1,50,326278
1,51,340359
1,52,12487708
1,53,363871
1,54,329898
1,55,350297
1,56,312636
1,57,304918
1,58,295071
1,59,298127
1,60,344085
1,61,360668
1,62,14758477
1,63,8687248
1,64,7144037
1,65,349203
1,66,8053912
1,67,324229
1,68,327686
1,69,351448
1,70,698474
1,71,352304
1,72,2432420
1,73,343275
1,74,349052
1,75,1242855
1,76,372136
1,77,8700713
1,78,368429
1,79,336986
1,80,366101
1,81,361013
1,82,353989
1,83,355296
1,84,9651796
1,85,4708214
1,86,326286
1,87,356654
1,88,362624
1,89,344895
1,90,347066
1,91,10761442
1,92,322545
1,93,337979
1,94,309063
1,95,350348
1,96,10670663
1,97,9463705
1,98,6918002
1,99,319151
1,100,282115
2,1,331400
2,2,334791
2,3,339785
2,4,339046
2,5,9580259
2,6,6021603
2,7,337678
2,8,318018
2,9,345689
2,10,324040
2,11,380257
2,12,304059
2,13,350346
2,14,2440174
2,15,351092
2,16,362278
2,17,388527
2,18,17512822
2,19,19268728
2,20,319493
2,21,337275
2,22,306223
2,23,346910
2,24,308178
2,25,340384
2,26,342452
2,27,345833
2,28,10909002
2,29,7825138
2,30,1160918
2,31,333592
2,32,12463210
2,33,326956
2,34,297308
2,35,334156
2,36,342945
2,37,8511997
2,38,1775892
2,39,9669465
2,40,9886187
2,41,342486
2,42,304733
2,43,310560
2,44,302947
2,45,301573
2,46,8642597
2,47,311396
2,48,276985
2,49,15515145
2,50,334250
2,51,323107
2,52,9702237
2,53,9831711
2,54,327286
2,55,313185
2,56,315893
2,57,2384426
2,58,317079
2,59,2405188
2,60,13261462
2,61,12557806
2,62,323392
2,63,323648
2,64,15200668
2,65,333829
2,66,304755
2,67,305273
2,68,272788
2,69,320541
2,70,2437378
2,71,286825
2,72,7305761
2,73,313158
2,74,306588
2,75,8947323
2,76,311468
2,77,273623
2,78,10023764
2,79,291222
2,80,306725
2,81,10296861
2,82,308663
2,83,11697299
2,84,313040
2,85,286693
2,86,865996
2,87,13888036
2,88,558811
2,89,283683
2,90,319296
2,91,315838
2,92,310147
2,93,323111
2,94,306524
2,95,6927037
2,96,826219
2,97,8031877
2,98,8034364
2,99,366326
2,100,273704
3,1,335794
3,2,8226724
3,3,6214132
3,4,331740
3,5,292825
3,6,299537
3,7,297724
3,8,13235241
3,9,321705
3,10,297300
3,11,293481
3,12,297346
3,13,327517
3,14,406095
3,15,311535
3,16,310899
3,17,309040
3,18,12803958
3,19,309484
3,20,296052
3,21,7891841
3,22,313939
3,23,306860
3,24,302062
3,25,295539
3,26,287159
3,27,306737
3,28,313624
3,29,2405284
3,30,315420
3,31,389421
3,32,281873
3,33,326308
3,34,312165
3,35,307814
3,36,291550
3,37,18448317
3,38,12490389
3,39,7488471
3,40,355557
3,41,13247940
3,42,298480
3,43,310222
3,44,274252
3,45,304835
3,46,358504
3,47,268974
3,48,346532
3,49,2415557
3,50,315752
3,51,330266
3,52,326242
3,53,296792
3,54,273963
3,55,320507
3,56,7778396
3,57,303614
3,58,299017
3,59,305113
3,60,298487
3,61,270525
3,62,321266
3,63,300323
3,64,2359275
3,65,280001
3,66,298740
3,67,287398
3,68,272126
3,69,318064
3,70,320499
3,71,303290
3,72,314140
3,73,313855
3,74,320588
3,75,321118
3,76,8368784
3,77,346124
3,78,328818
3,79,9821180
3,80,315888
3,81,306076
3,82,302774
3,83,10961675
3,84,305886
3,85,323039
3,86,8339719
3,87,312116
3,88,303240
3,89,320758
3,90,320248
3,91,284349
3,92,10173948
3,93,306953
3,94,300449
3,95,286399
3,96,311268
3,97,323691
3,98,17674625
3,99,301725
3,100,2174604
4,1,326689
4,2,300833
4,3,7687901
4,4,313415
4,5,9000691
4,6,304121
4,7,308684
4,8,317660
4,9,8061163
4,10,320747
4,11,333341
4,12,5998878
4,13,321392
4,14,4029156
4,15,328439
4,16,7404412
