iteration,ns
1,102935069
2,47227791
3,57486538
4,41309985
5,58271098
6,41945920
7,31069149
8,60374953
9,31099854
10,38510808
11,35939504
12,29882763
13,49723641
14,159353576
15,51594949
16,42125794
17,45694626
18,41379586
19,46119789
20,47537892
21,42467021
22,46750906
23,46798686
24,59148570
25,62608611
26,56390234
27,57247800
28,57250700
29,50870529
30,88767277
31,59269943
32,62286239
33,54527102
34,72225762
35,55744875
36,53112354
37,42203662
38,42346031
39,54299137
40,42627239
41,35715666
42,27685019
43,34093007
44,30363350
45,37946955
46,36079231
47,33668756
48,36732920
49,41738806
50,54606120
51,31630188
52,46926473
53,49107986
54,40268005
55,34198503
56,40189328
57,32221577
58,41743884
59,34619307
60,39574463
61,42276601
62,36113456
63,37732088
64,35534914
65,41691787
66,33883016
67,28979626
68,37049305
69,30405192
70,48601783
71,44226129
72,51118142
73,30183786
74,30423514
75,34289749
76,38881545
77,31844538
78,25116639
79,28794197
80,25715837
81,38825817
82,34290895
83,27724783
84,37533258
85,25344631
86,31616467
87,35539904
88,52755246
89,27274962
90,23876166
91,33078259
92,30797679
93,36660968
94,36310983
95,32613438
96,31988175
97,52489249
98,35175080
99,40835416
100,35476939
101,36265664
102,45103386
103,47702036
104,46733947
105,49464918
106,54324555
107,44129764
108,25916474
109,27980076
110,32676271
111,25558104
112,24414140
113,43269749
114,24609044
115,40024665
116,26711381
117,32158747
118,31549531
119,28803896
120,35321646
121,28748944
122,40525031
123,35956367
124,28235167
125,30840332
126,28052079
127,24782619
128,34586712
129,26426840
130,30052702
131,27813962
132,31712275
133,28463937
134,24496981
135,35116402
136,31645308
137,33881074
138,27284907
139,43717432
140,32619281
141,31981019
142,30269765
143,26514073
144,31241194
145,56697470
146,25162273
147,37098374
148,32489607
149,34422532
150,32661876
151,26475046
152,29289084
153,29109344
154,35313223
155,27432885
156,34365219
157,25855589
158,34693664
159,32340354
160,37184656
161,33716131
162,42535614
163,36119224
164,44390946
165,33057892
166,31290724
167,36071586
168,31789417
169,32186487
170,27534937
171,34106421
172,26387364
173,27728784
174,30699650
175,28235444
176,31320268
177,22624992
178,29364811
179,25391031
180,33857152
181,26099883
182,30593816
183,27483233
184,24644722
185,37340821
186,30152636
187,31130656
188,40970993
189,32536758
190,27976798
191,34332604
192,31529267
193,24619274
194,29956936
195,30350766
196,32896073
197,27460509
198,28208488
199,33216999
200,31255033
201,31157088
202,26994614
203,32180401
204,28108976
205,33361108
206,33441105
207,29563736
208,32402994
209,25501085
210,32507213
211,23252089
212,60239605
213,33534690
214,39749816
215,29327859
216,32093983
217,27739052
218,38203086
219,22385300
220,32429745
221,53023834
222,22160300
223,28135910
224,25725857
225,37690550
226,25864846
227,31306777
228,29142000
229,31558007
230,32968082
231,25459680
232,29758455
233,31910955
234,23639046
235,39336054
236,32244308
237,41320189
238,28868562
239,50377179
240,43663314
241,30508514
242,31482991
243,27758309
244,41791815
245,38737196
246,33223090
247,30859998
248,25740318
249,30658862
250,27763780
251,32394602
252,34857951
253,33494934
254,28262182
255,46127857
256,22183817
257,43369217
258,37025910
259,43114072
260,29881679
261,28113024
262,33970420
263,42759268
264,50468879
265,25198392
266,29072499
267,25262781
268,30891770
269,27238370
270,33530439
271,33339931
272,27973948
273,32284829
274,31842192
275,29289073
276,29973269
277,26181333
278,29760230
279,29921412
280,33705401
281,31731052
282,29911820
283,27250107
284,30768932
285,29511530
286,27245805
287,31332611
288,27256232
289,33018638
290,32323121
291,38968010
292,37084719
293,25596334
294,38702164
295,45096111
296,28069125
297,30549042
298,34528354
299,31414072
300,24626224
301,31981123
302,28643924
303,32753337
304,28571828
305,33324412
306,30446326
307,46792454
308,25651666
309,31758069
310,31897525
311,23400946
312,26251776
313,31941788
314,24460192
315,49155779
316,40078434
317,29183732
318,28735172
319,26222397
320,27391517
321,30916642
322,26298535
323,23805281
324,27248995
325,30396849
326,25912842
327,28310187
328,28084436
329,26264429
330,35432987
331,23407630
332,38502669
333,35601534
334,33845464
335,26177328
336,29462010
337,28325620
338,36126834
339,22058703
340,46163369
341,23743888
342,22815298
343,29329203
344,23823038
345,32348617
346,23130354
347,21585074
348,25749619
349,28611891
350,27407276
351,32333313
352,24576563
353,30150968
354,23673094
355,31217319
356,24389918
357,32820060
358,31790316
359,24527337
360,32696905
361,33492584
362,25901436
363,29997924
364,29836725
365,31340171
366,45818639
367,26051860
368,31269245
369,24087935
370,25334167
371,22860474
372,36125657
373,28293326
374,29813808
375,31099665
376,55842767
377,21502228
378,24487903
379,23673974
380,30903572
381,25061435
382,26190677
383,28099410
384,24125429
385,31581175
386,32363113
387,23259383
388,31545863
389,30778838
390,26185923
391,27791416
392,38383254
393,32104260
394,23099510
395,34367098
396,22513172
397,24288521
398,27037802
399,24694934
400,31542017
401,30322615
402,76048621
403,26833955
404,27731725
405,26633359
406,30547455
407,79987675
408,32431799
409,28793796
410,28301173
411,30824598
412,28287390
413,26434390
414,28847136
415,29444606
416,27758688
417,42778660
418,23428389
419,28295676
420,31871339
421,24327978
422,31393264
423,22223935
424,30850771
425,31306828
426,29279521
427,27531246
428,32456891
429,23505641
430,32582709
431,22285427
432,32622054
433,33256977
434,33080853
435,27182892
436,28043492
437,30911629
438,31810253
439,23292611
440,30877385
441,32591331
442,38390551
443,33961626
444,27575073
445,24723669
446,31732218
447,33448941
448,23704335
449,31045548
450,29411540
451,27730288
452,21820735
453,25320442
454,25021078
455,27911903
456,26264670
457,32044651
458,22947025
459,63846805
460,31478105
461,35338979
462,19469847
463,31181822
464,26084891
465,27855290
466,22212097
467,35840690
468,40387931
469,31344202
470,22390708
471,28225129
472,21734656
473,32495724
474,24412748
475,32444091
476,29240150
477,30625310
478,23908228
479,33389863
480,27251788
481,43011971
482,29844341
483,27306971
484,23805759
485,29782117
486,28403779
487,81432370
488,30230311
489,24736969
490,30929994
491,32897692
492,29396049
493,37113548
494,44191774
495,26256379
496,30711771
497,28022089
498,30943469
499,25685394
500,31539120
501,31737745
502,22130964
503,29519173
504,27199985
505,29315825
506,26151931
507,30252514
508,37692875
509,24606821
510,32146950
511,22266711
512,22948817
513,33943009
514,29827568
515,24939537
516,31867373
517,31618201
518,30216999
519,180349669
520,32282414
521,21711184
522,32316707
523,23844932
524,30244518
525,22784356
526,30092552
527,29437058
528,22643379
529,34547258
530,28796877
531,29721055
532,30241930
533,27149911
534,56162707
535,32466225
536,21758027
537,29358756
538,28124866
539,28127270
540,29379287
541,27718619
542,41130291
543,26795524
544,32901915
545,46279459
546,46622365
547,74965349
548,47825524
549,46221656
550,37742863
551,29390134
552,28902833
553,23537442
554,79803844
555,25498922
556,29356590
557,24209488
558,30489351
559,21838570
560,31556288
561,27162382
562,34838878
563,21762420
564,24115246
565,31483245
566,24032692
567,36320807
568,23086058
569,29360936
570,28264926
571,22880537
572,30806324
573,32924618
574,29354451
575,26209729
576,26645874
577,29821568
578,41596585
579,32234651
580,24878525
581,34353920
582,22356782
583,34354637
584,28521152
585,26553111
586,27066396
587,24881936
588,30581127
589,25272449
590,24135501
591,27133539
592,29231964
593,25410078
594,29976901
595,23041026
596,28491165
597,23507002
598,33390891
599,21996355
600,30583764
601,27202387
602,26685082
603,28909304
604,29594840
605,32404721
606,24884118
607,26990616
608,24551702
609,47598186
610,31249377
611,21637109
612,30256836
613,23388031
614,30822530
615,27583498
616,26368468
617,31598211
618,30422195
619,21451577
620,25515175
621,31101958
622,29249271
623,26611273
624,25734495
625,24826917
626,30685599
627,30350010
628,26252569
629,26109928
630,33648613
631,31516544
632,29191449
633,32347880
634,23690852
635,31350668
636,23010190
637,33074994
638,24572490
639,27819868
640,43504120
641,33430901
642,24634025
643,29615801
644,23303267
645,42760881
646,27133456
647,29585894
648,24870283
649,30890211
650,32476667
651,23834958
652,34584766
653,22345257
654,27803367
655,30751582
656,30869792
657,33607336
658,82280503
659,27180318
660,25135461
661,29781924
662,38306135
663,29461818
664,29644110
665,25507784
666,34686790
667,27762906
668,27623361
669,25746765
670,44125103
671,30321456
672,25757101
673,30683019
674,24486664
675,32463607
676,22612628
677,29849199
678,26266654
679,27252372
680,16205540
681,19327226
682,15497608
683,22732369
684,37705375
685,19046485
686,16147641
687,20531185
688,19548420
689,22433920
690,19533528
691,21212200
692,21389159
693,18313274
694,16139193
