iteration,operation,ns
1,1,37472260
1,2,20630006
1,3,21898518
1,4,39020939
1,5,31204471
1,6,24740926
1,7,31304554
1,8,29374300
1,9,29005906
1,10,37098234
1,11,42407188
1,12,45454975
1,13,34992193
1,14,22092166
1,15,28927976
1,16,13801597
1,17,27654227
1,18,24941136
1,19,15314300
1,20,33241190
1,21,31125290
1,22,24404738
1,23,135538934
1,24,24788252
1,25,29983879
1,26,36554985
1,27,21947410
1,28,21417200
1,29,30303478
1,30,26592222
1,31,37753049
1,32,22404107
1,33,20987808
1,34,25101925
1,35,16211854
1,36,21821932
1,37,24838183
1,38,32817806
1,39,19462263
1,40,27460713
1,41,44880969
1,42,26316483
1,43,31064470
1,44,23197308
1,45,26972300
1,46,30608685
1,47,28940018
1,48,32683676
1,49,19874964
1,50,20010815
1,51,23944362
1,52,16359340
1,53,23640662
1,54,33799352
1,55,34296204
1,56,27854742
1,57,18135643
1,58,20004415
1,59,30263892
1,60,40745256
1,61,35472434
1,62,37736649
1,63,40992626
1,64,30435816
1,65,21225306
1,66,27600685
1,67,31516976
1,68,25831294
1,69,37189934
1,70,26387863
1,71,23997914
1,72,24624309
1,73,26866562
1,74,25530552
1,75,26583879
1,76,26019919
1,77,22995696
1,78,12315419
1,79,6006884
1,80,15760136
1,81,10858598
1,82,10507238
1,83,5605992
1,84,15896715
1,85,13207974
1,86,10417989
1,87,15980411
1,88,34130138
1,89,10447249
1,90,13091963
1,91,5496153
1,92,20098529
1,93,6489789
1,94,5991467
1,95,8165679
1,96,9836769
1,97,12609733
1,98,13786646
1,99,14291303
1,100,5128072
2,1,42790909
2,2,25873017
2,3,24939809
2,4,22118583
2,5,18689687
2,6,18100890
2,7,20255939
2,8,21853299
2,9,21247193
2,10,22142260
2,11,19544575
2,12,22998792
2,13,18821576
2,14,27905544
2,15,21266506
2,16,16845924
2,17,20218907
2,18,19784513
2,19,21719027
2,20,18131584
2,21,16300027
2,22,20477034
2,23,14382928
2,24,18980533
2,25,14182822
2,26,21915904
2,27,20940916
2,28,17088991
2,29,18531640
2,30,26869110
2,31,24939326
2,32,22394835
2,33,23744412
2,34,16713620
2,35,17035509
2,36,19908158
2,37,25105333
2,38,51452360
2,39,41131933
2,40,42952370
2,41,18921622
2,42,34063446
2,43,15192368
2,44,18380972
2,45,23480017
2,46,20246013
2,47,19249228
2,48,28744380
2,49,14356815
2,50,13993855
2,51,31147572
2,52,16301922
2,53,26017037
2,54,25821410
2,55,31831824
2,56,27015505
2,57,17719261
2,58,16454065
2,59,19230451
2,60,34411847
2,61,65908188
2,62,28059716
2,63,14454494
2,64,27594013
2,65,20899783
2,66,18966850
2,67,22172521
2,68,18954419
2,69,19015261
2,70,18651471
2,71,20195356
2,72,43845193
2,73,35188823
2,74,31044360
2,75,40820242
2,76,36055155
2,77,21987997
2,78,14339822
2,79,5973138
2,80,6024874
2,81,6030800
2,82,6396546
2,83,20801166
2,84,9742177
2,85,8410991
2,86,6741520
2,87,10994136
2,88,7377272
2,89,8290360
2,90,20245686
2,91,5883940
2,92,16395791
2,93,16260230
2,94,7115812
2,95,7840223
2,96,10443931
2,97,13965030
2,98,15159831
2,99,5622178
2,100,9737562
3,1,32926861
3,2,30282785
3,3,14824226
3,4,21238689
3,5,21361808
3,6,21736097
3,7,36925861
3,8,20311066
3,9,21741666
3,10,24220657
3,11,27027231
3,12,19027032
3,13,38402880
3,14,26980234
3,15,20958015
3,16,19600161
3,17,25419985
3,18,19380247
3,19,28091066
3,20,23423356
3,21,18129054
3,22,22818740
3,23,18237545
3,24,25235859
3,25,21264890
3,26,26487394
3,27,23050474
3,28,23771640
3,29,22851550
3,30,47805283
3,31,29831992
3,32,15566574
3,33,21367278
3,34,20381936
3,35,21652458
3,36,28636945
3,37,25877642
3,38,20930194
3,39,14071781
3,40,20826555
3,41,16794197
3,42,17245036
3,43,19567750
3,44,16908837
3,45,19005349
3,46,21257200
3,47,20212795
3,48,20878461
3,49,20569548
3,50,20503621
3,51,21154961
3,52,20952590
3,53,39935466
3,54,18934544
3,55,19918498
3,56,17370916
3,57,18863625
3,58,24927344
3,59,23129422
3,60,17158353
3,61,22055742
3,62,18954261
3,63,23168987
3,64,16357117
3,65,19169329
3,66,18974104
3,67,17230675
3,68,36344102
3,69,35549471
3,70,20378720
3,71,18899570
3,72,23879137
3,73,20501512
3,74,20779104
3,75,18976615
3,76,24514428
3,77,7930304
3,78,6116179
3,79,5584067
3,80,12221973
3,81,7622023
3,82,5257809
3,83,9721239
3,84,7988397
3,85,8849074
3,86,5455960
3,87,6151268
3,88,6938956
3,89,13809035
3,90,7489134
3,91,19300589
3,92,15364948
3,93,19034086
3,94,5860300
3,95,8900829
3,96,7266800
3,97,12492709
3,98,14966787
3,99,17807989
3,100,17210283
4,1,41763863
4,2,15897138
4,3,30584537
4,4,23058361
4,5,21846395
4,6,19888422
4,7,38202206
4,8,38791838
4,9,30019384
4,10,36947403
4,11,25149696
4,12,27822154
4,13,29788487
4,14,17126235
4,15,32563072
4,16,31978798
4,17,27828352
4,18,22101112
4,19,28176068
4,20,19461320
4,21,23163075
4,22,31704902
4,23,20600993
4,24,17020266
4,25,20216943
4,26,17258202
4,27,24390471
4,28,19511469
4,29,22369079
4,30,27785161
4,31,29835045
4,32,24846114
4,33,19082962
4,34,15979235
4,35,24493960
4,36,22347198
4,37,32488184
4,38,26082164
4,39,13912614
4,40,18109113
4,41,26530369
4,42,11595877
4,43,37556489
4,44,32586377
4,45,19725151
4,46,17853384
4,47,37850624
4,48,38509544
4,49,20577755
4,50,26129296
4,51,22870015
4,52,22426339
4,53,19256594
4,54,20893900
4,55,23411527
4,56,16956286
4,57,23373177
4,58,12963403
4,59,18965134
4,60,18518263
4,61,20043031
4,62,24858751
4,63,17202364
4,64,29859537
4,65,28596452
4,66,20165799
4,67,32591455
4,68,24691841
4,69,25905195
4,70,96969894
4,71,36551188
4,72,29420882
4,73,21100134
4,74,24857486
4,75,27795511
4,76,8454029
4,77,18808217
4,78,12971046
4,79,8483132
4,80,8725425
4,81,8392062
4,82,34900739
4,83,32301939
4,84,32772879
4,85,28389198
4,86,22529192
4,87,13888469
4,88,9770247
4,89,10033346
4,90,8190880
4,91,5098547
4,92,5424254
4,93,5513863
4,94,5542902
4,95,8196991
4,96,10390298
4,97,5616721
4,98,5782673
4,99,7026988
4,100,8909138
5,1,39762675
5,2,28264855
5,3,18560546
5,4,18005778
5,5,24468185
5,6,24737394
5,7,31300256
5,8,14564361
5,9,27782203
5,10,32328471
5,11,22677162
5,12,20946503
5,13,27076153
5,14,22788738
5,15,17286605
5,16,20395094
5,17,21978446
5,18,21904817
5,19,22491548
5,20,24239937
5,21,22535824
5,22,22833059
5,23,12712427
5,24,23093249
5,25,22197924
