iteration,operation,ns
1,1,38103107
1,2,24479024
1,3,16829366
1,4,38352550
1,5,31780737
1,6,32074079
1,7,29226414
1,8,26136005
1,9,26637863
1,10,37592641
1,11,49207430
1,12,41213943
1,13,32259802
1,14,26163413
1,15,22458199
1,16,19853999
1,17,27986542
1,18,23169488
1,19,19567326
1,20,35406576
1,21,26184986
1,22,28323858
1,23,106582169
1,24,17798370
1,25,38210379
1,26,26547317
1,27,34024469
1,28,24091358
1,29,30447208
1,30,21282495
1,31,28957499
1,32,27897127
1,33,19817471
1,34,29066806
1,35,19396141
1,36,20715507
1,37,21957945
1,38,24928241
1,39,30921815
1,40,25264018
1,41,48345647
1,42,25761263
1,43,27345471
1,44,26877591
1,45,25134261
1,46,29235893
1,47,30502708
1,48,33593537
1,49,21099744
1,50,20090831
1,51,14773633
1,52,24535557
1,53,26181268
1,54,25408816
1,55,32344885
1,56,22100744
1,57,25576725
1,58,19608699
1,59,26776095
1,60,31469219
1,61,44162966
1,62,35488104
1,63,41471211
1,64,33368768
1,65,21480570
1,66,32790011
1,67,32050371
1,68,24987977
1,69,32740722
1,70,32487653
1,71,19892944
1,72,18094478
1,73,24074586
1,74,33687318
1,75,19707435
1,76,30751457
1,77,24242382
1,78,19307930
1,79,8138218
1,80,19674822
1,81,11255884
1,82,5326916
1,83,5759192
1,84,5130326
1,85,13328308
1,86,12743884
1,87,18038100
1,88,12946046
1,89,27131968
1,90,10141858
1,91,6757790
1,92,7531894
1,93,21914844
1,94,5424539
1,95,7654080
1,96,7571234
1,97,11928919
1,98,15776513
1,99,13236715
1,100,10421349
2,1,21324379
2,2,18174570
2,3,23176319
2,4,21592639
2,5,14501618
2,6,20851773
2,7,17881653
2,8,23373546
2,9,19082295
2,10,23618704
2,11,18614951
2,12,21114204
2,13,23244513
2,14,20698390
2,15,20930164
2,16,20456161
2,17,20083365
2,18,23313757
2,19,19724764
2,20,14025974
2,21,24196666
2,22,17148810
2,23,15970674
2,24,18042498
2,25,20075650
2,26,14479067
2,27,16751196
2,28,22675925
2,29,21122327
2,30,14298060
2,31,30327403
2,32,17268448
2,33,26103791
2,34,18101232
2,35,22291144
2,36,18580697
2,37,21146910
2,38,22461127
2,39,50045164
2,40,36774240
2,41,47600275
2,42,21646717
2,43,29189251
2,44,19559499
2,45,14134705
2,46,23747376
2,47,21080518
2,48,17324039
2,49,22449513
2,50,23245460
2,51,18119844
2,52,28054330
2,53,20237792
2,54,26324558
2,55,21836082
2,56,16702170
2,57,31059108
2,58,18474469
2,59,23582413
2,60,15959379
2,61,20471335
2,62,39002919
2,63,59965597
2,64,24074163
2,65,19576448
2,66,24077757
2,67,15343412
2,68,20892104
2,69,23539701
2,70,18545659
2,71,18531513
2,72,22555973
2,73,27305069
2,74,35492374
2,75,38037629
2,76,32203135
2,77,43922922
2,78,21244639
2,79,19197081
2,80,13953095
2,81,9474936
2,82,5838836
2,83,8598780
2,84,11111223
2,85,28071386
2,86,8282632
2,87,4994876
2,88,7173341
2,89,12078282
2,90,6298147
2,91,7788634
2,92,17858407
2,93,5734159
2,94,21120244
2,95,11538723
2,96,11149349
2,97,7451523
2,98,12852538
2,99,10253973
2,100,15403827
3,1,39651281
3,2,30922381
3,3,19077567
3,4,21696995
3,5,22607514
3,6,21592630
3,7,33063275
3,8,20649190
3,9,22307427
3,10,28892257
3,11,20737551
3,12,27065243
3,13,36928321
3,14,25818071
3,15,26366850
3,16,16861093
3,17,22974757
3,18,23285161
3,19,26890448
3,20,20282948
3,21,18609914
3,22,23485947
3,23,21202230
3,24,21339127
3,25,30090856
3,26,19423744
3,27,24717881
3,28,21101985
3,29,22378678
3,30,34410229
3,31,35421373
3,32,15279105
3,33,15750987
3,34,23945346
3,35,23641925
3,36,28164501
3,37,22297362
3,38,23655412
3,39,14693070
3,40,16340897
3,41,21129601
3,42,14854239
3,43,23071629
3,44,15873337
3,45,14366502
3,46,22932696
3,47,23317225
3,48,14974184
3,49,22185974
3,50,23552929
3,51,19166952
3,52,14158295
3,53,34630015
3,54,11314627
3,55,21147111
3,56,18955406
3,57,19797936
3,58,22864361
3,59,19753009
3,60,25036786
3,61,20295835
3,62,17036441
3,63,21299614
3,64,21231161
3,65,21794404
3,66,19377398
3,67,15023922
3,68,30570588
3,69,38170632
3,70,25639341
3,71,21152368
3,72,17827964
3,73,19264778
3,74,24016051
3,75,18221624
3,76,17454987
3,77,22229688
3,78,4898502
3,79,8451911
3,80,6993794
3,81,9693357
3,82,8309450
3,83,9608064
3,84,6527867
3,85,6386710
3,86,8878420
3,87,7325641
3,88,5738613
3,89,10171043
3,90,6335891
3,91,12872761
3,92,14376890
3,93,14934503
3,94,16539178
3,95,7662756
3,96,5612163
3,97,9933905
3,98,11834003
3,99,17696948
3,100,15294806
4,1,26547700
4,2,20878890
4,3,26214183
4,4,31337590
4,5,21370518
4,6,21678192
4,7,32126710
4,8,20159777
4,9,42147529
4,10,29951588
4,11,32203459
4,12,27100607
4,13,32059951
4,14,21990956
4,15,18583779
4,16,37296911
4,17,24174625
4,18,31252375
4,19,23751141
4,20,25119424
4,21,23346288
4,22,29944780
4,23,20324950
4,24,25161229
4,25,17139093
4,26,21207465
4,27,21330069
4,28,20740677
4,29,18210318
4,30,17844012
4,31,25117803
4,32,25594507
4,33,25437896
4,34,17106728
4,35,16584571
4,36,21519558
4,37,22802411
4,38,23577599
4,39,29119859
4,40,19020292
4,41,15999675
4,42,22063511
4,43,18380394
4,44,32944110
4,45,27298161
4,46,23932572
4,47,16058566
4,48,45418160
4,49,38082154
4,50,23802925
4,51,35822970
4,52,24322630
4,53,19123020
4,54,17721117
4,55,14344970
4,56,14245307
4,57,22153225
4,58,17504173
4,59,20278456
4,60,18756791
4,61,22612188
4,62,22041833
4,63,20570455
4,64,19342977
4,65,24949912
4,66,30175258
4,67,19736692
4,68,30984594
4,69,27217637
4,70,24546893
4,71,94483111
4,72,32223147
4,73,38306691
4,74,21291186
4,75,20492878
4,76,29247139
4,77,8340407
4,78,18861209
4,79,13126025
4,80,9942669
4,81,8126311
4,82,4739225
4,83,27384464
4,84,30218509
4,85,33506406
4,86,29141392
4,87,25822925
4,88,17928822
4,89,13351355
4,90,7960774
4,91,5365963
4,92,8410024
4,93,6831477
4,94,6311004
4,95,5229305
4,96,7631722
4,97,7297810
4,98,4676620
4,99,7928234
4,100,7314584
5,1,29452036
5,2,20008940
5,3,22774262
5,4,17075257
5,5,25227195
5,6,17405614
5,7,35071016
5,8,19592608
5,9,20326101
5,10,23549288
5,11,29293503
5,12,21225075
5,13,20020620
5,14,25210718
5,15,18062434
5,16,16439746
5,17,21535696
5,18,27911287
5,19,15024415
5,20,25198756
5,21,29272883
5,22,19948904
5,23,14646888
5,24,18853398
5,25,23366103
5,26,20001814
5,27,15574316
5,28,20719097
5,29,13697652
5,30,22207982
5,31,20169391
5,32,19820813
5,33,22428276
5,34,16847449
5,35,40276184
5,36,18158774
5,37,17627935
5,38,40005950
5,39,27115715
5,40,17439015
5,41,28095986
5,42,28178676
5,43,29582372
5,44,39665349
5,45,24311427
5,46,25476039
5,47,17450633
5,48,36689275
5,49,16349762
5,50,18023698
5,51,16654015
5,52,18645556
5,53,28948749
5,54,23220265
5,55,15681800
5,56,25332064
5,57,38778327
5,58,25132255
5,59,33861996
5,60,24152118
5,61,26758235
5,62,14986784
5,63,28173718
5,64,31426312
5,65,35161075
5,66,21638942
5,67,22093280
5,68,27433743
5,69,27451849
5,70,16549833
5,71,30117268
5,72,16473360
5,73,31969899
5,74,17600382
5,75,26255532
5,76,25036086
5,77,18357665
5,78,23854226
5,79,10053034
5,80,7773545
5,81,17471258
5,82,7630679
5,83,16926559
5,84,5582830
5,85,13187285
5,86,20851438
5,87,9534200
5,88,23956182
5,89,12697183
5,90,15447627
5,91,13031965
5,92,6638629
5,93,9154804
5,94,12477443
5,95,27953851
5,96,20671888
5,97,16275892
5,98,18448178
5,99,6066231
5,100,16366196
