iteration,operation,ns
1,1,74442017
1,2,32995314
1,3,39172660
1,4,30938480
1,5,26960650
1,6,59350206
1,7,24719291
1,8,8893956
1,9,14092378
1,10,27783191
1,11,22411339
1,12,36588577
1,13,38182271
1,14,27915663
1,15,15956187
1,16,33471513
1,17,49845170
1,18,26296305
1,19,57655465
1,20,72855805
1,21,83741660
1,22,39841759
1,23,66504033
1,24,26321023
1,25,67279438
1,26,31170398
1,27,6766042
1,28,12593576
1,29,40532644
1,30,24634067
1,31,224559959
1,32,120640295
1,33,250684062
1,34,74133255
1,35,103708461
1,36,185431731
1,37,233647930
1,38,97262175
1,39,84839066
1,40,60488176
1,41,55052460
1,42,74986725
1,43,34105467
1,44,84903349
1,45,41363921
1,46,17049976
1,47,20219238
1,48,12847103
1,49,14513530
1,50,13439301
1,51,18003445
1,52,33275406
1,53,9926291
1,54,11739530
1,55,30479630
1,56,20872392
1,57,50281697
1,58,95904299
1,59,85966800
1,60,146411144
1,61,109066499
1,62,46016044
1,63,21161894
1,64,22369529
1,65,11653999
1,66,59660919
1,67,36453723
1,68,13794816
1,69,15891679
1,70,30475973
1,71,44292283
1,72,43111635
1,73,167039506
1,74,82737472
1,75,41620484
1,76,28740606
1,77,23181148
1,78,36378532
1,79,24499104
1,80,25606876
1,81,17556465
1,82,14025549
1,83,12919394
1,84,27820992
1,85,5890444
1,86,27272977
1,87,11175851
1,88,17416942
1,89,11076737
1,90,12503030
1,91,19325601
1,92,21443298
1,93,23874935
1,94,20032103
1,95,23318220
1,96,22014864
1,97,23172418
1,98,13320942
1,99,52856015
1,100,39983929
2,1,92521295
2,2,17537337
2,3,12214299
2,4,17677370
2,5,8357343
2,6,12061711
2,7,9374700
2,8,42404248
2,9,43931324
2,10,46509138
2,11,20387164
2,12,8425641
2,13,10863727
2,14,17457920
2,15,30693940
2,16,28080863
2,17,14926456
2,18,7898170
2,19,11917110
2,20,26824006
2,21,29193354
2,22,10711555
2,23,25927465
2,24,10448856
2,25,5413423
2,26,16091736
2,27,17734280
2,28,7641560
2,29,6702618
2,30,9774827
2,31,16786984
2,32,12669161
2,33,9413917
2,34,11876028
2,35,12701022
2,36,10240461
2,37,49207619
2,38,47105614
2,39,22689331
2,40,30764155
2,41,30920907
2,42,8580401
2,43,14160339
2,44,12175499
2,45,7841689
2,46,32704070
2,47,48131383
2,48,34117659
2,49,11831133
2,50,10864579
2,51,81245713
2,52,25048995
2,53,39009751
2,54,57238360
2,55,41532958
2,56,28616601
2,57,13047608
2,58,28350386
2,59,29279666
2,60,59856529
2,61,49023172
2,62,48283299
2,63,6228617
2,64,16780138
2,65,34134643
2,66,8906563
2,67,73107992
2,68,47186540
2,69,19853272
2,70,8304220
2,71,4829908
2,72,44523917
2,73,26131590
2,74,55270361
2,75,54443337
2,76,88401219
2,77,27953474
2,78,137963618
2,79,223102116
2,80,174577590
2,81,100306733
2,82,97475908
2,83,26451117
2,84,40728544
2,85,35158731
2,86,43436927
2,87,16897158
2,88,13485620
2,89,55436320
2,90,20838266
2,91,27405790
2,92,10250082
2,93,26922857
2,94,28054040
2,95,40257778
2,96,50135342
2,97,24389501
2,98,14072911
2,99,15137918
2,100,16298137
3,1,49495951
3,2,85944544
3,3,166906378
3,4,63670645
3,5,32652890
3,6,63235609
3,7,3627040
3,8,5690022
3,9,8338325
3,10,4656998
3,11,22037491
3,12,5087464
3,13,217472021
3,14,165886671
3,15,143064725
3,16,163496706
3,17,68490526
3,18,116155398
3,19,75404536
3,20,47198047
3,21,47433352
3,22,63276019
3,23,40219312
3,24,48104325
3,25,28258915
3,26,4138374
3,27,6830166
3,28,7558873
3,29,13449966
3,30,8735440
3,31,6966395
3,32,10405954
3,33,11974797
3,34,4306500
3,35,5788137
3,36,28179301
3,37,11382416
3,38,8348570
3,39,8726727
3,40,16166998
3,41,7054664
3,42,6975864
3,43,8496742
3,44,14829823
3,45,11687789
3,46,8676318
3,47,7590744
3,48,10521644
3,49,12315152
3,50,16835374
3,51,5264298
3,52,17048972
3,53,14104047
3,54,8801895
3,55,8540103
3,56,10486858
3,57,13724540
3,58,13534794
3,59,15370622
3,60,9914938
3,61,10172891
3,62,11865710
3,63,13748843
3,64,6910074
3,65,10950647
3,66,18109701
3,67,7765628
3,68,11487125
3,69,33228970
3,70,16541468
3,71,7252889
3,72,14886940
3,73,20410849
3,74,26421887
3,75,11675446
3,76,20224609
3,77,14619885
3,78,17337501
3,79,9872645
3,80,17822596
3,81,6346134
3,82,15191575
3,83,8110726
3,84,11637482
3,85,13527221
3,86,22247296
3,87,27132793
3,88,20665201
3,89,18649485
3,90,31889325
3,91,38267195
3,92,29044395
3,93,35606495
3,94,18128853
3,95,34444478
3,96,30790443
3,97,21223519
3,98,5677507
3,99,13022143
3,100,35798034
4,1,40061967
4,2,8680917
4,3,30960142
4,4,27551409
4,5,36689003
4,6,3675562
4,7,9260543
4,8,7468061
4,9,20629692
4,10,21540319
4,11,27824369
4,12,11063542
4,13,64023688
4,14,25825550
4,15,71483837
4,16,75709649
4,17,148738610
4,18,181205386
4,19,122525519
4,20,94460037
4,21,25442193
4,22,10630284
4,23,23978101
4,24,19196020
4,25,14488511
4,26,16204987
4,27,6215866
4,28,13249433
4,29,5385072
4,30,20478142
4,31,3938631
4,32,21442778
4,33,7054819
4,34,6980907
4,35,11105205
4,36,23691606
4,37,9978743
4,38,45769140
4,39,86377146
4,40,84892306
4,41,126473776
4,42,40350515
4,43,22916069
4,44,73056770
4,45,21907456
4,46,5955136
4,47,14449041
4,48,40490094
4,49,16191620
4,50,49067384
4,51,55394979
4,52,31133793
4,53,16260925
4,54,17452342
4,55,8465411
4,56,34041495
4,57,83763098
4,58,106383008
4,59,44895963
4,60,101319666
4,61,6397933
4,62,20084267
4,63,14270278
4,64,3919096
4,65,17445038
4,66,8313518
4,67,16439244
4,68,16079754
4,69,4076898
4,70,13449279
4,71,11737543
4,72,22337820
4,73,81172190
4,74,73058788
4,75,35833999
4,76,24999272
4,77,12711774
4,78,14296805
4,79,10229832
4,80,22815195
4,81,11762774
4,82,14298960
4,83,14162541
4,84,6578171
4,85,7691390
4,86,12684426
4,87,14847710
4,88,28308900
4,89,33887322
4,90,8250941
4,91,12233331
4,92,12486014
4,93,4661289
4,94,19190527
4,95,29139857
4,96,37904985
4,97,21542636
4,98,11528980
4,99,13195255
4,100,12788941
5,1,102364572
5,2,22322989
5,3,10084654
5,4,13248785
5,5,4556802
5,6,4170095
5,7,11035548
5,8,38120195
5,9,9791875
5,10,8324818
5,11,21307545
5,12,28610951
5,13,33397532
5,14,40298834
5,15,43881912
5,16,43324943
5,17,61055016
5,18,40669194
5,19,59831986
5,20,54634065
5,21,69118904
5,22,86096150
5,23,58600237
5,24,70032799
5,25,78267921
5,26,26636397
5,27,75459994
5,28,43218999
5,29,55060505
5,30,38065522
5,31,66517608
5,32,61919617
5,33,134201713
5,34,89824242
5,35,113037516
5,36,56021761
5,37,11134451
5,38,75890178
5,39,21099608
5,40,71065760
5,41,91625082
5,42,90571605
5,43,92438345
5,44,54320897
5,45,4400227
5,46,13601240
5,47,3543808
5,48,21121295
5,49,4865747
5,50,9294574
5,51,4569915
5,52,18260146
5,53,3945253
5,54,7942706
5,55,13222460
5,56,18669338
5,57,51072498
5,58,83082361
5,59,37454574
5,60,38457948
5,61,45294613
5,62,12529140
5,63,8804749
5,64,13844757
5,65,9329985
5,66,61181633
5,67,61608020
5,68,31891249
5,69,23810276
5,70,21048646
5,71,57251318
5,72,15785716
5,73,19971498
5,74,6118062
5,75,19403859
5,76,16755842
5,77,5125281
5,78,19493340
5,79,11716729
5,80,10414935
5,81,100391165
5,82,127267071
5,83,114013264
5,84,3963267
5,85,101811706
5,86,73200882
5,87,39396174
5,88,7398352
5,89,19272098
5,90,13017946
5,91,5239840
5,92,72171873
5,93,110452635
5,94,70404423
5,95,136828852
5,96,102438209
5,97,48786195
5,98,36358224
5,99,26964127
5,100,34732410
