iteration,operation,ns
1,1,438270
1,2,229736270
1,3,230960097
1,4,408935
1,5,378832
1,6,415807
1,7,1899817
1,8,231299950
1,9,410457
1,10,432550
1,11,426979
1,12,1250237
1,13,444058
1,14,440327
1,15,390471
1,16,385448
1,17,237025498
1,18,407278
1,19,228978190
1,20,429354
1,21,307049
1,22,298719
1,23,379261
1,24,411332
1,25,399979
1,26,1601466
1,27,231170955
1,28,441129
1,29,423864
1,30,422230
1,31,396339
1,32,398242
1,33,228813548
1,34,431449
1,35,361485
1,36,411004
1,37,408899
1,38,3491232
1,39,462206
1,40,229186934
1,41,405357
1,42,388077
1,43,230263532
1,44,395687
1,45,228984954
1,46,422574
1,47,356870
1,48,303619
1,49,299028
1,50,229086029
1,51,436329
1,52,303367
1,53,345791
1,54,403972
1,55,231352207
1,56,229292342
1,57,414541
1,58,313554
1,59,400959
1,60,284660
1,61,302191
1,62,309959
1,63,333845
1,64,413862
1,65,389074
1,66,395993
1,67,387302
1,68,372416
1,69,328966
1,70,229660927
1,71,399612
1,72,374386
1,73,394893
1,74,422742
1,75,230866821
1,76,363551
1,77,228617971
1,78,426073
1,79,894339
1,80,412839
1,81,412388
1,82,381345
1,83,369715
1,84,400834
1,85,229075005
1,86,391102
1,87,412005
1,88,420179
1,89,444564
1,90,413052
1,91,376348
1,92,386522
1,93,372056
1,94,328169
1,95,305795
1,96,417892
1,97,386277
1,98,341688
1,99,322384
1,100,400965
2,1,376661
2,2,388240
2,3,229222895
2,4,390268
2,5,316535
2,6,389475
2,7,386045
2,8,228948440
2,9,435309
2,10,435369
2,11,422467
2,12,402205
2,13,358854
2,14,299555
2,15,415902
2,16,435324
2,17,415916
2,18,359989
2,19,405426
2,20,334871
2,21,421898
2,22,235472002
2,23,392870
2,24,313895
2,25,388470
2,26,228500865
2,27,410804
2,28,411729
2,29,399736
2,30,386136
2,31,386574
2,32,231358990
2,33,1326287
2,34,390842
2,35,409683
2,36,391295
2,37,228489634
2,38,339472
2,39,407535
2,40,4316318
2,41,399457
2,42,429781
2,43,406872
2,44,230401453
2,45,363246
2,46,359084
2,47,318474
2,48,229693133
2,49,401907
2,50,228139069
2,51,228695644
2,52,395982
2,53,412088
2,54,316878
2,55,379689
2,56,390971
2,57,369409
2,58,358293
2,59,346234
2,60,229032515
2,61,414868
2,62,232357658
2,63,347314
2,64,399972
2,65,380278
2,66,372133
2,67,356963
2,68,413687
2,69,229184682
2,70,233198142
2,71,374693
2,72,358372
2,73,346080
2,74,403439
2,75,233354511
2,76,407359
2,77,367446
2,78,364616
2,79,341591
2,80,364436
2,81,362848
2,82,391171
2,83,374146
2,84,297444
2,85,357539
2,86,881274
2,87,232473495
2,88,347134
2,89,228669557
2,90,396468
2,91,230110664
2,92,384975
2,93,380400
2,94,1565643
2,95,229121810
2,96,927309
2,97,228736596
2,98,446307
2,99,397246
2,100,341595
3,1,364977
3,2,3950598
3,3,234987369
3,4,477830
3,5,228143424
3,6,381188
3,7,379569
3,8,668071
3,9,397307
3,10,379995
3,11,344325
3,12,338354
3,13,332853
3,14,230601604
3,15,392091
3,16,399013
3,17,370343
3,18,359659
3,19,364208
3,20,232305354
3,21,405598
3,22,359667
3,23,352516
3,24,358422
3,25,339346
3,26,413260
3,27,359719
3,28,327685
3,29,319423
3,30,383054
3,31,364515
3,32,329090
3,33,412923
3,34,231666549
3,35,358577
3,36,405211
3,37,419186
3,38,400925
3,39,228532226
3,40,376803
3,41,391958
3,42,229477221
3,43,362575
3,44,228503136
3,45,380175
3,46,230809366
3,47,387684
3,48,320910
3,49,228964782
3,50,416406
3,51,397174
3,52,356880
3,53,385054
3,54,350886
3,55,291152
3,56,229172283
3,57,384473
3,58,289495
3,59,311737
3,60,409504
3,61,362500
3,62,381005
3,63,229940074
3,64,363778
3,65,300417
3,66,377924
3,67,357655
3,68,4241093
3,69,228916946
3,70,482663
3,71,354044
3,72,360003
3,73,355664
3,74,351026
3,75,359506
3,76,351469
3,77,348806
3,78,345268
3,79,344639
3,80,347031
3,81,379400
3,82,341006
3,83,347439
3,84,353271
3,85,305536
3,86,358977
3,87,276533
3,88,233060183
3,89,337391
3,90,278980
3,91,327651
3,92,336903
3,93,353856
3,94,330256
3,95,334814
3,96,358829
3,97,338067
3,98,334068
3,99,334423
3,100,314897
4,1,334848
4,2,333393
4,3,331554
4,4,230378366
4,5,349793
4,6,386218
4,7,356972
4,8,230451049
4,9,361617
4,10,329422
4,11,360799
4,12,332958
4,13,227983104
4,14,352541
4,15,334380
4,16,353072
4,17,373339
4,18,322652
4,19,349151
4,20,228535104
4,21,341772
4,22,305325
4,23,314114
4,24,306296
4,25,298961
4,26,228672609
4,27,357844
4,28,301290
4,29,317388
4,30,327334
4,31,303253
4,32,334566
4,33,335501
4,34,228770566
4,35,233636836
4,36,343233
4,37,327649
4,38,309060
4,39,228870162
4,40,268874
4,41,229592984
4,42,336777
4,43,230056441
4,44,352986
4,45,328027
4,46,340407
4,47,343230
4,48,228105940
4,49,313853
4,50,346822
4,51,345575
4,52,228206055
4,53,289769
4,54,233609282
4,55,288478
4,56,232987510
4,57,254784
4,58,194062
4,59,228011855
4,60,266059
4,61,231374497
4,62,315332
4,63,221456
4,64,315986
4,65,331206
4,66,329492
4,67,231107174
4,68,317301
4,69,373593
4,70,326802
4,71,333244
4,72,310677
4,73,228446070
4,74,297174
4,75,289112
4,76,213896
4,77,328714
4,78,328467
4,79,315366
4,80,379719
4,81,314935
4,82,230041729
4,83,335674
4,84,230062280
4,85,296509
4,86,310398
4,87,341492
4,88,231108537
4,89,387374
4,90,228490363
4,91,318656
4,92,292983
4,93,304149
4,94,279626
4,95,318581
4,96,3729381
4,97,228814996
4,98,299384
4,99,277125
4,100,248489
5,1,265037
5,2,271261
5,3,304843
5,4,331964
5,5,350084
5,6,304242
5,7,279375
5,8,232407794
5,9,332041
5,10,357081
5,11,284053
5,12,319432
5,13,266189
5,14,228466732
5,15,270501
5,16,300383
5,17,255359
5,18,197659
5,19,195554
5,20,200955
5,21,233302884
5,22,278218
5,23,218379
5,24,196917
5,25,228486891
5,26,229005553
5,27,236005830
5,28,302119
5,29,291360
5,30,319262
5,31,228525761
5,32,271476
5,33,229039089
5,34,287552
5,35,227378583
5,36,468530
5,37,274875
5,38,227730985
5,39,376813
5,40,279228
5,41,261704
5,42,246737
5,43,261798
5,44,228828922
5,45,301233
5,46,227122548
5,47,250723
5,48,272064
5,49,239109
5,50,227650611
5,51,243572
5,52,313367
5,53,278635
5,54,229580
5,55,268756
5,56,297374
5,57,303170
5,58,253523
5,59,229256003
5,60,279274
5,61,272601
5,62,304230
5,63,231524698
5,64,310075
5,65,227234
5,66,259053
5,67,213751
5,68,242094
5,69,269648
5,70,228323734
5,71,311583
5,72,214803
5,73,228582801
5,74,2216355
5,75,283399
5,76,329866
5,77,315935
5,78,229071153
5,79,232087927
5,80,228048571
5,81,228322706
5,82,305092
5,83,202868
5,84,228769421
5,85,275118
5,86,292141
5,87,287838
5,88,228775095
5,89,316398
5,90,228388154
5,91,232241619
5,92,298908
5,93,293955
5,94,314747
5,95,320970
5,96,311614
5,97,291877
5,98,307341
5,99,228765348
5,100,229063168
