iteration,operation,ns
1,1,903016449
1,2,1743854554
1,3,1740387240
1,4,1738130982
1,5,1735827904
1,6,1741768461
1,7,1752910261
1,8,1739101517
1,9,1742077697
1,10,1736822276
1,11,1739923527
1,12,1745364110
1,13,1748562347
1,14,1738058819
1,15,1736413802
1,16,1744206885
1,17,1745992874
1,18,1735574440
1,19,1735976589
1,20,1738722912
1,21,1739376056
1,22,1743091940
1,23,1738724650
1,24,1735892221
1,25,1743350710
1,26,1899557213
1,27,1748403495
1,28,1739957531
1,29,1743326459
1,30,1739533048
1,31,1752757877
1,32,1746088382
1,33,1740883472
1,34,1739247112
1,35,1738853073
1,36,1748766730
1,37,1749776730
1,38,1738392678
1,39,1740986306
1,40,1740171942
1,41,1738423277
1,42,1748365429
1,43,1739516157
1,44,1739304424
1,45,1749035478
1,46,1739641693
1,47,1755752670
1,48,1751278369
1,49,1747108471
1,50,1744737450
1,51,1744338251
1,52,1756607089
1,53,1735143310
1,54,1741983348
1,55,1737542772
1,56,1747450066
1,57,1743519320
1,58,1739239565
1,59,1742361137
1,60,1737180098
1,61,1743358046
1,62,1749454330
1,63,1737227604
1,64,1737437039
1,65,1744411482
1,66,1739967223
1,67,1751238306
1,68,1743684123
1,69,1742180460
1,70,1735838400
1,71,1736976444
1,72,1744419008
1,73,1734344500
1,74,1741959780
1,75,1736549677
1,76,1741431769
1,77,1749706361
1,78,1733990764
1,79,1733268967
1,80,1732915665
1,81,1725893315
1,82,1729438197
1,83,1728155481
1,84,1727733486
1,85,1727764316
1,86,1728848372
1,87,1726991997
1,88,1733595441
1,89,1729563947
1,90,1727858560
1,91,1726670355
1,92,1731852278
1,93,1727376301
1,94,1726078986
1,95,1725100272
1,96,1730245177
1,97,1726047410
1,98,1730464479
1,99,1729673330
1,100,1730706526
2,1,1849263141
2,2,1736723147
2,3,1734226062
2,4,1739173452
2,5,1745741680
2,6,1736636182
2,7,1730152717
2,8,1734421127
2,9,1739279557
2,10,1746404562
2,11,1746079615
2,12,1737165599
2,13,1745423956
2,14,1736669860
2,15,1742618324
2,16,1734844390
2,17,1739237634
2,18,1734000063
2,19,1734421267
2,20,1751897153
2,21,1743309825
2,22,1736512558
2,23,1736303355
2,24,1736877554
2,25,1755859672
2,26,1738849567
2,27,1733805669
2,28,1737044812
2,29,1743812394
2,30,1751122045
2,31,1731167759
2,32,1735220676
2,33,1746003375
2,34,1733230214
2,35,1746496127
2,36,1734374999
2,37,1734667455
2,38,1746418887
2,39,1734883485
2,40,1747690382
2,41,1746199953
2,42,1733861807
2,43,1745626690
2,44,1736520816
2,45,1744743993
2,46,1731418226
2,47,1732469664
2,48,1731875468
2,49,1732588862
2,50,1741448613
2,51,1736045940
2,52,1742253843
2,53,1742744991
2,54,1738689788
2,55,1753762178
2,56,1743710810
2,57,1736908003
2,58,1736555981
2,59,1729250020
2,60,1746072208
2,61,1742032192
2,62,1735592524
2,63,1734240880
2,64,1733129012
2,65,1748579415
2,66,1747945467
2,67,1737413105
2,68,1745481190
2,69,1736314389
2,70,1751261554
2,71,1737546814
2,72,1732780282
2,73,1735192358
2,74,1737562519
2,75,1756598774
2,76,1765239970
2,77,1737643633
2,78,1737620742
2,79,1737429031
2,80,1741693617
2,81,1731222110
2,82,1728549922
2,83,1729173415
2,84,1731138854
2,85,1726225465
2,86,1725399871
2,87,1724332831
