iteration,ns
1,7879550
2,429188
3,11084660
4,236874
5,6729133
6,161378
7,7361634
8,11104760
9,225998
10,179391
11,10443998
12,204647
13,167436
14,11447873
15,356043
16,232601
17,229209
18,8890878
19,5723900
20,218553
21,231403
22,13992432
23,15212288
24,566568
25,195711
26,178984
27,210760
28,9068084
29,291024
30,20297698
31,9968111
32,10923642
33,196771
34,205686
35,10788843
36,210258
37,190657
38,151312
39,12252132
40,4394914
41,16705422
42,198427
43,471163
44,177491
45,1409695
46,1039083
47,173503
48,152035
49,135625
50,14713905
51,1289320
52,10568251
53,10022886
54,11783280
55,292395
56,12789609
57,11256716
58,15545024
59,319442
60,256449
61,212767
62,241241
63,10238557
64,10966716
65,17903606
66,399790
67,13108526
68,5656173
69,218303
70,4977912
71,176288
72,8116919
73,239503
74,171195
75,213616
76,177288
77,15837500
78,221191
79,5308562
80,174245
81,214687
82,170250
83,252168
84,175702
85,159230
86,18178390
87,280267
88,162533
89,163677
90,150510
91,5670523
92,560622
93,7163047
94,267911
95,169529
96,165894
97,142971
98,14160315
99,201777
100,11649872
101,13210365
102,281093
103,435803
104,14583696
105,266136
106,8368837
107,265990
108,160718
109,220703
110,8079911
111,2402656
112,13689147
113,205308
114,8927325
115,212601
116,9513837
117,214906
118,15973856
119,221187
120,7383176
121,186393
122,161672
123,1127086
124,479342
125,18141013
126,288174
127,261765
128,263832
129,205103
130,222795
131,154667
132,10255372
133,4921007
134,846853
135,7567586
136,15989222
137,244731
138,2805688
139,5465386
140,169833
141,13325881
142,208403
143,11944053
144,12397524
145,202885
146,2863108
147,177335
148,325292
149,8857935
150,260429
151,14676770
152,7932060
153,235785
154,169372
155,141789
156,159442
157,7879607
158,5356157
159,189168
160,2676480
161,18111485
162,521369
163,1232810
164,4513883
165,158363
166,8473118
167,12991465
168,10307316
169,187078
170,168669
171,148222
172,13384201
173,336050
174,153178
175,12796453
176,5644706
177,5419923
178,191887
179,206721
180,133755
181,9625230
182,241925
183,145119
184,127959
185,156406
186,149089
187,134691
188,118815
189,9013661
190,145959
191,12346913
192,684799
193,197766
194,207886
195,12722013
196,310333
197,520690
198,238881
199,169348
200,143184
201,147399
202,162859
203,7035751
204,214035
205,156481
206,4570753
207,156467
208,12892519
209,11051538
210,226724
211,193845
212,217619
213,241646
214,8886213
215,252085
216,252800
217,214885
218,146591
219,4994908
220,11968767
221,229709
222,8277614
223,225088
224,152502
225,130481
226,145063
227,13753338
228,1181223
229,15164482
230,220307
231,14058327
232,245291
233,157773
234,8286910
235,178800
236,7913320
237,9696097
238,18457944
239,7724520
240,474583
241,2382053
242,209763
243,6761611
244,12497797
245,5850844
246,172997
247,145787
248,144917
249,137321
250,127287
251,184771
252,151345
253,133933
254,262610
255,230453
256,186453
257,144876
258,167114
259,148367
260,149117
261,188763
262,170253
263,148632
264,142207
265,155872
266,252574
267,11848000
268,161718
269,4238319
270,13153881
271,168427
272,321713
273,5380222
274,5163762
275,160721
276,15594456
277,274447
278,150560
279,177743
280,174093
281,161971
282,145826
283,146032
284,146871
285,11384385
286,169139
287,143976
288,10159623
289,176616
290,647512
291,204464
292,190833
293,177112
294,12063516
295,16411803
296,14679943
297,246145
298,6335356
299,16752215
300,234760
301,215585
302,192106
303,205505
304,11850927
305,272084
306,157047
307,9695964
308,7824630
309,12380812
310,291025
311,167243
312,143010
313,8631003
314,194204
315,9886200
316,583845
317,9514629
318,215916
319,11662059
320,310379
321,22700711
322,975207
323,173281
324,21214386
325,11481952
326,8524175
327,9890424
328,490428
329,144942
330,382947
331,10175753
332,209981
333,162281
334,12946112
335,214209
336,240616
337,4928030
338,251957
339,162860
340,14588644
341,177873
342,9541649
343,13422605
344,454788
345,8834066
346,12695369
347,467969
348,14023873
349,5234551
350,259120
351,13346711
352,8314384
353,473913
354,171886
355,745228
356,191112
357,172563
358,10995635
359,8659320
360,11989093
361,252365
362,203665
363,184143
364,705087
365,10663784
366,260279
367,9692186
368,12030183
369,216150
370,9711490
371,217376
372,239419
373,422548
374,216698
375,181519
376,149942
377,154598
378,19603726
379,10143418
380,14758830
381,5577965
382,7171064
383,222572
384,203005
385,9778798
386,219720
387,226441
388,6706945
389,187279
390,7164225
391,322381
392,6471236
393,256479
394,196514
395,166600
396,12209519
397,947972
398,197751
399,155649
400,158576
401,203741
402,253836
403,202926
404,10900451
405,175581
406,520408
407,195369
408,15537491
409,12636235
410,230388
411,188530
412,149207
413,167711
414,9873987
415,223065
416,214376
417,235037
418,14679151
419,226867
420,149012
421,13473342
422,164727
423,748906
424,183425
425,128187
426,132234
427,130294
428,10755473
429,188072
430,7325095
431,226462
432,152552
433,148560
434,222066
435,359490
436,8716408
437,10087699
438,377099
439,537183
440,11996575
441,7970440
442,282132
443,316625
444,235998
445,9799269
446,8206404
447,243567
448,147938
449,140326
450,140925
451,170722
452,136974
453,165916
454,145235
455,149617
456,133158
457,139619
458,235897
459,8883863
460,225986
461,147720
462,145582
463,12839446
464,218040
465,185906
466,160586
467,11689958
468,223078
469,146453
470,11974073
471,272825
472,9597557
473,208701
474,153881
475,151785
476,11565488
477,228664
478,9466463
479,161676
480,154179
481,138622
482,9926899
483,208672
484,159750
485,148072
486,170490
