iteration,ns
1,9015613
2,51526704
3,14417151
4,21707668
5,38853138
6,9730376
7,27578899
8,21877802
9,28004922
10,36246025
11,20941717
12,354218
13,18746362
14,351351
15,22132859
16,20764397
17,24195370
18,20312450
19,23651399
20,480090
21,8102389
22,22272286
23,13370372
24,21875863
25,21164322
26,36965454
27,29295631
28,11192437
29,22499688
30,23456165
31,30195379
32,46190780
33,23196523
34,22713859
35,38344366
36,21871665
37,20683627
38,337824
39,33418273
40,22371379
41,22841582
42,31217545
43,42048965
44,12264945
45,19807920
46,21191980
47,11917224
48,20101821
49,1350255
50,15313358
51,22245372
52,345670
53,19062785
54,21779814
55,19196457
56,13400310
57,19625030
58,23117990
59,25287757
60,20678564
61,20674573
62,20756993
63,23787526
64,22723161
65,22193722
66,26449009
67,348062
68,11853140
69,10055371
70,14228397
71,25206818
72,23680579
73,13822726
74,22816400
75,10342392
76,26155510
77,22804573
78,16730280
79,13230899
80,27794245
81,20175677
82,348331
83,10842602
84,7074406
85,17809725
86,23111573
87,349616
88,20023829
89,21056047
90,5799042
91,23081369
92,22347224
93,35605549
94,25272724
95,26270282
96,24704793
97,21347123
98,25267926
99,35358574
100,20224634
101,17318371
102,21689919
103,27192608
104,20800897
105,20665484
106,50668779
107,351224
108,22733975
109,22644621
110,21612757
111,285428
112,19631130
113,14934674
114,23099425
115,20788675
116,29944493
117,9356701
118,46198448
119,14878531
120,28721080
121,418024
122,27401553
123,32257675
124,11642512
125,21866406
126,13088161
127,31961611
128,60554449
129,346413
130,22845062
131,20858179
132,27111886
133,13167189
134,13895626
135,23069643
136,10086555
137,23013312
138,20392312
139,29711058
140,21866294
141,13807932
142,342931
143,28956076
144,25565855
145,23406624
146,26065799
147,349782
148,288961
149,24054046
150,296060
151,13579745
152,11825050
153,327347
154,11140182
155,9296814
156,10980241
157,27812663
158,20969337
159,21250562
160,29725701
161,15313081
162,50466659
163,35512726
164,5366544
165,13733629
166,22367234
167,307101
168,419669
169,14153424
170,32059740
171,21198513
172,16323162
173,21372247
174,21568403
175,337669
176,21089154
177,11962111
178,24854613
179,290201
180,29124469
181,22829712
182,14070407
183,30231852
184,16283094
185,8433755
186,636411
187,32108001
188,356513
189,20418069
190,28359637
191,22905720
192,21272572
193,20247031
194,21439622
195,22816806
196,22975642
197,15805007
198,15337335
199,14416899
200,29313789
201,440527
202,313801
203,42464782
204,38158541
205,20890967
206,34062188
207,23362366
208,23171299
209,14536446
210,20388823
211,34921383
212,21384023
213,32556004
214,423942
215,35759314
216,21293308
217,17616346
218,7447458
219,343938
220,13143173
221,40478582
222,24427268
223,20903230
224,15321469
225,40037860
226,17383076
227,22783603
228,19102525
229,22752191
230,331938
231,26905651
232,20168885
233,587504
234,12851619
235,21933600
236,23735217
237,22755185
238,9977102
239,322138
240,22859697
241,20828859
242,20833157
243,24794693
244,50212727
245,22633797
246,12020644
247,22710209
248,23349171
249,15504197
250,17318624
251,343062
252,7583012
253,14781188
254,36330486
255,20096138
256,37564405
257,23036890
258,14749107
259,20928851
260,46122829
261,65365531
262,29859446
263,22135474
264,25334146
265,13613020
266,20579002
267,28691608
268,340782
269,20765460
270,23346193
271,24492189
272,23927103
273,337705
274,33302357
275,13880819
276,23791202
277,21867387
278,20713764
279,412643
280,22802349
281,29627107
282,39055293
283,20248722
284,21541199
285,20680989
286,20730469
287,24762131
288,33660655
289,34777303
290,30795484
291,12732026
292,11115000
293,47358197
294,1688723
295,29425187
296,23820900
297,328468
298,349040
299,19818513
300,19957876
301,25646511
302,19986526
303,22755803
304,30021706
305,22696481
306,20767150
307,10812438
308,21748675
309,28432215
310,29688608
311,10042886
312,20618104
313,18779158
314,22160136
315,22916219
316,20794087
317,11388354
318,28997168
319,23576658
320,10630032
321,26451926
322,45899740
323,19443501
324,39100525
325,22221040
326,14138394
327,22817844
328,19677210
329,22469531
330,330396
331,10924295
332,13060289
333,28031578
334,29018883
335,30412660
336,11913765
337,425459
338,28785026
339,325597
340,17422137
341,21749418
342,8962124
343,19946907
344,19905503
345,20120065
346,12934273
347,28890213
348,16949117
349,326374
350,19503717
351,22386484
352,31136553
353,19712908
354,23135316
355,23109139
356,353731
357,20069263
358,13156831
359,12285290
360,14941684
361,14350048
362,19052647
363,22541107
364,13190156
365,47483925
366,13164506
367,20127204
368,19179760
369,30153762
370,12253915
371,23326103
372,20242751
373,14317109
374,20208254
375,24234991
376,338898
377,9540482
378,30309702
379,22829221
380,9655722
381,30475329
382,36931228
383,22859417
384,22964101
385,22141468
386,19873073
387,25014909
388,19861108
389,21147454
390,9974162
391,22856234
392,25089520
393,20093024
394,22487714
395,29022882
396,27100610
397,23169725
398,23278732
399,20308665
400,28096410
401,20064019
402,41088866
403,12190844
404,45538223
405,414715
406,15249655
407,12139787
408,22302517
409,20301932
410,17209366
411,22130773
412,293788
413,19230778
414,311217
415,325570
416,13683113
417,46335766
418,14689612
419,14401055
420,301390
421,598899
422,37092162
423,20976243
424,21609563
425,322002
426,414178
427,24664235
428,27224919
429,21714757
430,26303587
431,336463
432,20694588
433,26926727
434,23288075
435,23199585
436,331875
437,19062336
438,15217274
439,26751476
440,329281
441,9115766
442,23071573
443,21472193
444,411203
445,19009264
446,19507767
447,7813408
448,26148305
449,54695963
450,19984698
451,20796124
452,31032647
453,49738289
454,30036598
455,25408337
456,23320566
457,20422361
458,27539567
459,21915282
460,14815235
461,21225433
462,22229438
463,27626633
464,10784988
465,22479927
466,50747838
467,23242711
468,325428
469,20299740
470,23113665
471,29064615
472,19770092
473,37661060
474,39847378
475,20535658
476,19657948
477,315593
478,21946954
479,12562552
480,20743932
481,15348741
482,20452982
483,34262245
484,19727554
485,20082445
486,30833033
487,30917542
488,32987722
489,21110083
490,31027795
491,33422809
492,22712076
493,12165450
494,14249905
495,15017543
496,20929016
497,20219658
498,19927150
499,316335
500,13305397
501,399541
502,338694
503,323680
504,20334520
505,24566149
506,19542874
507,19464023
508,20557515
509,21691665
510,19586324
511,33236290
512,8898942
513,19495529
514,332315
515,47215143
516,43320550
517,37099294
518,329938
519,20513308
520,31059621
521,30853438
522,547951
523,25971894
524,13064509
525,11187302
526,12814889
527,12819996
528,39015765
529,25941896
530,22957533
531,13182003
532,48073766
533,21067909
534,915772
535,28258131
536,56862484
537,23127883
538,27997243
539,22620088
540,11301731
541,21174592
542,19843986
543,28389721
544,323109
545,21619406
546,35178293
547,20084733
548,45533417
549,23574073
550,21268372
551,23172499
552,320717
553,29320872
554,35428485
555,12128487
556,31155778
557,29685373
558,319086
559,321492
560,21044248
561,23107991
562,10131906
563,22537706
564,23075795
565,20092866
566,21944617
567,11323638
568,22421755
569,20136135
570,20069942
571,60334641
572,9279928
573,22334030
574,25367014
575,22607578
576,8111676
577,15297200
578,22301576
579,8177818
580,21334862
581,6804070
582,22574855
583,22981737
584,13417734
585,31659529
586,20781783
587,25515762
588,19435162
589,27750637
590,34520183
591,11174712
592,23473255
593,22478497
594,21237772
595,11290086
596,31445967
597,12350984
598,18935753
599,333385
600,22332099
601,23174299
602,22202558
603,19862154
604,305844
605,22205917
606,552957
607,23578770
608,19504637
609,318436
610,23371839
611,22279518
612,22235032
613,21154319
614,19736596
615,15374056
616,27274307
617,21417291
618,314363
619,314939
620,7321830
621,13303144
622,7384890
623,28434955
624,19430173
625,29938419
626,389298
627,318106
628,19410742
629,10902867
630,48471814
631,20304285
632,19446430
633,20724283
634,19098142
635,63375737
636,13562464
637,313229
638,374895
639,34354467
640,24526697
641,27738269
642,18412866
643,33923718
644,21720690
645,15458750
646,22342500
647,14437491
648,13593459
649,12746487
650,22360282
651,18862026
652,49469995
653,294014
654,14241149
655,27413011
656,23363997
657,12085322
658,15781985
659,21326842
660,21561996
661,15756540
662,23123291
663,13034765
664,21431487
665,38623455
666,24864512
667,287458
668,13654725
669,13547786
670,29698466
671,15945415
672,273988
673,21591247
674,12621908
675,32234448
676,19495619
677,30963524
678,20802014
679,27571931
680,28879511
681,21745759
682,12619768
683,21367239
684,19500804
685,20867217
686,19743400
687,10770666
688,20105775
689,19708760
690,19599643
691,22472086
692,18802382
693,18723571
694,19565765
695,19597696
696,21873520
697,15635524
698,30350007
699,15781016
700,310236
701,28767222
702,30696309
703,9774058
704,38353460
705,22607532
706,21711872
707,13493641
708,38263766
709,19870197
710,20857079
711,26542388
712,27332382
713,28796981
714,10925412
715,21917850
716,50689813
717,19392840
718,15918974
719,21258801
720,19944800
721,20972732
722,21392668
723,22921914
724,20953355
725,325719
726,29162469
727,19962253
728,30491353
729,296219
730,42674830
731,33893974
732,25620121
733,36878270
734,59616929
735,21413439
736,8370049
737,44539067
738,10244085
739,50557829
740,15180051
741,21455532
742,23205857
743,21465487
744,25485518
745,14316679
746,40350072
747,8228839
748,21133418
749,23038518
750,4708865
751,17827338
752,15293294
753,9568314
754,29443205
755,20920342
756,19960490
757,25572082
758,22516992
759,20407603
760,25180053
761,21043178
762,527832
763,300174
764,19537734
765,267962
766,22237189
767,8550300
768,21423026
769,277940
770,209647655
771,297507
772,31296087
773,21579560
774,15709442
775,30284323
776,14186089
777,9268103
778,299840
779,23140916
780,21777371
781,8260131
782,19870866
783,292861
784,20178927
785,56995264
786,27005015
787,21393586
788,14832313
789,289237
790,21094508
791,23057826
792,12288547
793,63236041
794,30235072
795,20239962
796,275576
797,6011373
798,19282856
799,15670603
800,28377230
801,13146918
802,28561419
803,68292857
804,13881038
805,15830410
806,12271106
807,20144547
808,20813672
809,20336436
810,23229135
811,23021420
812,9432609
813,19230331
814,22396791
815,21364473
816,8459152
817,386196
818,283553
819,12795777
820,12872279
821,47043698
822,20124753
823,21977726
824,20847962
825,30567416
826,30937412
827,32055904
828,20191267
829,19220669
830,22955292
