iteration,operation,ns
1,1,857015
1,2,219172
1,3,515675
1,4,199269
1,5,181723
1,6,486902
1,7,1053088
1,8,276238
1,9,157404
1,10,7745466
1,11,23733932
1,12,309700
1,13,17509378
1,14,307304
1,15,16755182
1,16,245872
1,17,154890
1,18,155283
1,19,151379
1,20,145821
1,21,147452
1,22,146989
1,23,198986
1,24,790333
1,25,238010
1,26,146602
1,27,151274
1,28,147161
1,29,19237006
1,30,268970
1,31,29144666
1,32,333959
1,33,171519
1,34,146190
1,35,138653
1,36,48020207
1,37,36268492
1,38,336553
1,39,154768
1,40,149631
1,41,154393
1,42,55320949
1,43,271706
1,44,161010
1,45,167707
1,46,140140
1,47,167753
1,48,154805
1,49,140878
1,50,140039
1,51,140201
1,52,40363994
1,53,25816149
1,54,283277
1,55,152437
1,56,150108
1,57,161472
1,58,142265
1,59,138746
1,60,144611
1,61,1328118
1,62,152338
1,63,19009564
1,64,298160
1,65,18116980
1,66,280522
1,67,159991
1,68,165293
1,69,142826
1,70,140626
1,71,144243
1,72,139475
1,73,149761
1,74,141169
1,75,143427
1,76,143413
1,77,138564
1,78,29868129
1,79,252573
1,80,158590
1,81,145588
1,82,144682
1,83,21908384
1,84,250570
1,85,18488184
1,86,241023
1,87,145890
1,88,155897
1,89,162499
1,90,147563
1,91,180767
1,92,141670
1,93,146610
1,94,146414
1,95,144773
1,96,139105
1,97,35071625
1,98,16174053
1,99,254422
1,100,156188
2,1,852066
2,2,190110
2,3,176127
2,4,189347
2,5,184313
2,6,147711
2,7,157543
2,8,151569
2,9,138944
2,10,130294
2,11,124253
2,12,38505015
2,13,266772
2,14,150446
2,15,142051
2,16,140497
2,17,29955420
2,18,264358
2,19,136764
2,20,155657
2,21,21214596
2,22,278341
2,23,20353591
2,24,18488586
2,25,26664199
2,26,242182
2,27,155226
2,28,154621
2,29,121760
2,30,125011
2,31,119680
2,32,162810
2,33,143394
2,34,148273
2,35,134851
2,36,154089
2,37,135655
2,38,26198194
2,39,267671
2,40,152515
2,41,144944
2,42,146283
2,43,139071
2,44,141493
2,45,147521
2,46,23103094
2,47,264482
2,48,148546
2,49,142985
2,50,145467
2,51,24576209
2,52,24146011
2,53,281652
2,54,18899762
2,55,254127
2,56,177757
2,57,171744
2,58,138797
2,59,153046
2,60,174710
2,61,165775
2,62,140089
2,63,144457
2,64,142955
2,65,140706
2,66,20577885
2,67,27040010
2,68,283458
2,69,144356
2,70,203408
2,71,144853
2,72,149152
2,73,153460
2,74,145261
2,75,139916
2,76,170699
2,77,211734
2,78,131935
2,79,19128613
2,80,244276
2,81,175112
2,82,20519289
2,83,272345
2,84,35582692
2,85,52445965
2,86,31079636
2,87,254138
2,88,142004
2,89,143833
2,90,133004
2,91,154050
2,92,156514
2,93,166220
2,94,28004853
2,95,273912
2,96,144646
2,97,145183
2,98,143381
2,99,141079
2,100,141752
3,1,46172044
3,2,348944
3,3,144424
3,4,138612
3,5,140908
3,6,160852
3,7,128672
3,8,131677
3,9,127849
3,10,136770
3,11,16048754
3,12,252299
3,13,24426124
3,14,252390
3,15,160575
3,16,39301145
3,17,250356
3,18,35322218
3,19,270943
3,20,20402164
3,21,291759
3,22,17179379
3,23,281599
3,24,149352
3,25,141284
3,26,142393
3,27,136562
3,28,98105869
3,29,17107605
3,30,288214
3,31,15541801
3,32,16913206
3,33,242340
3,34,140522
3,35,18000729
3,36,246049
3,37,144229
3,38,19643686
3,39,275791
3,40,152619
3,41,19843737
3,42,17160044
3,43,266939
3,44,146570
3,45,144301
3,46,133386
3,47,138329
3,48,16345236
3,49,274668
3,50,196621
3,51,16101711
3,52,284697
3,53,189584
3,54,146693
3,55,160385
3,56,16767505
3,57,302030
3,58,192520
3,59,138507
3,60,15646580
3,61,271787
3,62,146962
3,63,134552
3,64,132773
3,65,134327
3,66,128316
3,67,128343
3,68,19296331
3,69,264752
3,70,133863
3,71,133743
3,72,135318
3,73,130475
3,74,135234
3,75,136592
3,76,128586
3,77,129469
3,78,131850
3,79,126890
3,80,18514091
3,81,270500
3,82,133327
3,83,137109
3,84,130407
3,85,14173363
3,86,278065
3,87,131049
3,88,15815505
3,89,236866
3,90,137598
3,91,132609
3,92,131540
3,93,131799
3,94,139579
3,95,134246
3,96,133945
3,97,14269832
3,98,252221
3,99,130859
3,100,136599
4,1,830072
4,2,174553
4,3,214960
4,4,174910
4,5,22298255
4,6,300789
4,7,149762
4,8,134876
4,9,138718
4,10,137309
4,11,22001242
4,12,425279
4,13,160960
4,14,138752
4,15,139823
4,16,19735756
4,17,323574
4,18,133077
4,19,137736
4,20,127945
4,21,133016
4,22,154180
4,23,134154
4,24,132592
4,25,129570
4,26,128028
4,27,133067
4,28,21082901
4,29,290212
4,30,140900
4,31,153876
4,32,146780
4,33,130765
4,34,130390
4,35,130222
4,36,145767
4,37,129390
4,38,23441219
4,39,231931
4,40,19252487
4,41,405840
4,42,130520
4,43,17114699
4,44,265447
4,45,18461887
4,46,22953278
4,47,262501
4,48,128109
4,49,130248
4,50,131239
4,51,16603488
4,52,212301
4,53,133413
4,54,128145
4,55,119401
4,56,131211
4,57,119129
4,58,120700
4,59,117066
4,60,119845
4,61,122518
4,62,118996
4,63,144517
4,64,120395
4,65,117574
4,66,118825
4,67,26965524
4,68,275645
4,69,16155341
4,70,38950413
4,71,241761
4,72,126069
4,73,127049
4,74,117408
4,75,120832
4,76,122071
4,77,121982
4,78,127469
4,79,117579
4,80,142357
4,81,132294
4,82,124835
4,83,18050369
4,84,219214
4,85,122435
4,86,16843613
4,87,196167
4,88,139336
4,89,129945
4,90,132049
4,91,124921
4,92,128433
4,93,119151
4,94,21592044
4,95,222998
4,96,136091
4,97,131344
4,98,119550
4,99,125707
4,100,117508
5,1,23472508
5,2,262929
5,3,131248
5,4,119116
5,5,118764
5,6,112457
5,7,20082602
5,8,224281
5,9,160743
5,10,121781
5,11,17445733
5,12,234038
5,13,120462
5,14,122990
5,15,24919983
5,16,631941
5,17,137194
5,18,16177602
5,19,219958
5,20,125813
5,21,130826
5,22,123678
5,23,119995
5,24,124085
5,25,132159
5,26,129101
5,27,20219411
5,28,230440
5,29,122873
5,30,20170189
5,31,252893
5,32,137102
5,33,16484813
5,34,300504
5,35,126141
5,36,128702
5,37,136956
5,38,17518391
5,39,16471605
5,40,242503
5,41,129205
5,42,24777164
5,43,18109664
5,44,755835
5,45,145916
5,46,128916
5,47,552993
5,48,148193
5,49,120094
5,50,159026
5,51,126167
5,52,108295
5,53,23553033
5,54,228761
5,55,167980
5,56,125482
5,57,115790
5,58,113786
5,59,26251099
5,60,295326
5,61,129505
5,62,121468
5,63,119513
5,64,17531641
5,65,272905
5,66,133675
5,67,158383
5,68,123277
5,69,122197
5,70,122827
5,71,28150618
