iteration,ns
0,58094267211
1,58221565500
2,58063109245
3,58023420423
4,58005616847
5,58150472496
6,58068239619
7,58071006421
8,58020357636
9,58045545090
10,58456421396
11,58185012621
12,61005880959
13,61900436361
14,58314684582
15,58023664855
16,58091007431
17,58093693681
18,58045690641
19,58198922756
20,58049091268
21,57999494667
22,58057221891
23,58019488155
24,58032696472
25,58055505610
26,58227551982
27,57950351516
28,58037221016
29,58119761632
30,58065337136
31,58054205975
32,58014269052
33,58008703664
34,58068426740
35,57955321409
36,58017187168
