iteration,operation,ns
1,1,22526305
1,2,6577328
1,3,335281
1,4,6375988
1,5,331742
1,6,252187
1,7,212694
1,8,197136
1,9,7573215
1,10,331143
1,11,7227950
1,12,15521398
1,13,665970
1,14,208764
1,15,198857
1,16,858318
1,17,218102
1,18,198202
1,19,192084
1,20,7312662
1,21,371690
1,22,214367
1,23,202649
1,24,206132
1,25,211024
1,26,188380
1,27,8194648
1,28,249227
1,29,192517
1,30,188364
1,31,179415
1,32,198439
1,33,181005
1,34,181688
1,35,175548
1,36,196150
1,37,190773
1,38,9985695
1,39,323703
1,40,195227
1,41,209378
1,42,6393666
1,43,241079
1,44,219798
1,45,180219
1,46,200632
1,47,184595
1,48,203518
1,49,176315
1,50,169256
1,51,7859705
1,52,9364443
1,53,564222
1,54,205272
1,55,504305
1,56,7735709
1,57,226293
1,58,191208
1,59,203876
1,60,1041515
1,61,206519
1,62,190140
1,63,186950
1,64,899838
1,65,209605
1,66,196807
1,67,189456
1,68,320452
1,69,196437
1,70,212234
1,71,214276
1,72,396591
1,73,192481
1,74,149030
1,75,150851
1,76,145808
1,77,155551
1,78,183544
1,79,158560
1,80,159036
1,81,10161300
1,82,291127
1,83,191391
1,84,9003590
1,85,295624
1,86,193955
1,87,187408
1,88,182795
1,89,192495
1,90,181738
1,91,174702
1,92,195461
1,93,185965
1,94,216025
1,95,194089
1,96,178309
1,97,194185
1,98,200896
1,99,5073294
1,100,203250
2,1,446391
2,2,187409
2,3,195844
2,4,188588
2,5,185160
2,6,163507
2,7,168387
2,8,148349
2,9,142667
2,10,26439343
2,11,538806
2,12,225036
2,13,204049
2,14,201400
2,15,198303
2,16,194640
2,17,5708291
2,18,235474
2,19,202177
2,20,185983
2,21,151275
2,22,143922
2,23,143758
2,24,146219
2,25,161166
2,26,8374030
2,27,328110
2,28,3965632
2,29,267287
2,30,231650
2,31,200771
2,32,196533
2,33,681699
2,34,245781
2,35,206792
2,36,573402
2,37,224878
2,38,205335
2,39,210520
2,40,6486812
2,41,246212
2,42,209154
2,43,189882
2,44,186130
2,45,1091442
2,46,172347
2,47,192058
2,48,140777
2,49,177144
2,50,4416016
2,51,237352
2,52,4081526
2,53,5097714
2,54,275264
2,55,184752
2,56,181451
2,57,175377
2,58,172466
2,59,176286
2,60,174959
2,61,171069
2,62,169863
2,63,168300
2,64,174571
2,65,169541
2,66,1974526
2,67,232152
2,68,196308
2,69,170035
2,70,132259
2,71,136385
2,72,132441
2,73,127758
2,74,125854
2,75,786513
2,76,155640
2,77,146990
2,78,138471
2,79,9942059
2,80,224998
2,81,5359408
2,82,184597
2,83,183123
2,84,178592
2,85,6043297
2,86,727940
2,87,236218
2,88,174739
2,89,181167
2,90,172504
2,91,178927
2,92,6567989
2,93,266180
2,94,1186285
2,95,10465533
2,96,325901
2,97,10053037
2,98,361292
2,99,186766
2,100,150823
3,1,307912
3,2,182209
3,3,173238
3,4,15719585
3,5,289825
3,6,183710
3,7,163107
3,8,170279
3,9,172080
3,10,167358
3,11,165474
3,12,5524571
3,13,181001
3,14,156289
3,15,129853
3,16,127541
3,17,127897
3,18,123559
3,19,4422753
3,20,166119
3,21,154167
3,22,187388
3,23,169907
3,24,127073
3,25,3714283
3,26,219965
3,27,165300
3,28,176739
3,29,164959
3,30,2841245
3,31,217877
3,32,174459
3,33,7393544
3,34,219076
3,35,182631
3,36,194078
3,37,200406
3,38,192029
3,39,184148
3,40,169710
3,41,168973
3,42,153654
3,43,164247
3,44,165735
3,45,5194171
3,46,291455
3,47,183650
3,48,172060
3,49,6569694
3,50,249681
3,51,167052
3,52,159111
3,53,8258657
3,54,396501
3,55,183331
3,56,160068
3,57,7237986
3,58,283969
3,59,7684575
3,60,7700022
3,61,223598
3,62,169647
3,63,174230
3,64,172215
3,65,174203
3,66,169574
3,67,168745
3,68,1888696
3,69,224392
3,70,229808
3,71,6412877
3,72,227164
3,73,156547
3,74,170548
3,75,158969
3,76,160745
3,77,170075
3,78,155437
3,79,172518
3,80,142405
3,81,188969
3,82,147352
3,83,153361
3,84,6995791
3,85,215929
3,86,168302
3,87,162724
3,88,6460957
3,89,205784
3,90,180241
3,91,172423
3,92,177189
3,93,8733026
3,94,238791
3,95,7856482
3,96,9582888
3,97,279591
3,98,153236
3,99,160841
3,100,158596
4,1,329010
4,2,176363
4,3,22332687
4,4,5663819
4,5,287202
4,6,173386
4,7,162889
4,8,3345951
4,9,183404
4,10,146432
4,11,5433373
4,12,3096655
4,13,179926
4,14,207636
4,15,4958326
4,16,190420
4,17,5468728
4,18,230430
4,19,158203
4,20,138728
4,21,147646
4,22,145856
4,23,157752
4,24,6662795
4,25,254913
4,26,154574
4,27,5695230
4,28,326134
4,29,162203
4,30,167350
4,31,161329
4,32,176947
4,33,147691
4,34,10002076
4,35,7283658
4,36,259928
4,37,171644
4,38,10693845
4,39,6944932
4,40,5776370
4,41,247316
4,42,198892
4,43,151328
4,44,165276
4,45,5367629
4,46,7503193
4,47,375564
4,48,163146
4,49,165963
4,50,161435
4,51,159384
4,52,158476
4,53,146751
4,54,132080
4,55,113801
4,56,153513
4,57,6131126
4,58,221880
4,59,163310
4,60,148036
4,61,7681991
4,62,297909
4,63,160127
4,64,163581
4,65,163449
4,66,159272
4,67,160684
4,68,140105
4,69,157567
4,70,156891
4,71,158529
4,72,4577505
4,73,213487
4,74,6577854
4,75,372635
4,76,209271
4,77,175012
4,78,183755
4,79,179489
4,80,152162
4,81,193363
4,82,169147
4,83,156197
4,84,159527
4,85,154588
4,86,356706
4,87,454277
4,88,4011273
4,89,188896
4,90,182870
4,91,132712
4,92,124796
4,93,119192
4,94,116018
4,95,121110
4,96,363707
4,97,3978865
4,98,320775
4,99,4190203
4,100,184151
5,1,23107524
5,2,525107
5,3,174475
5,4,181282
5,5,143444
5,6,141503
5,7,107156
5,8,103827
5,9,102658
5,10,107291
5,11,102784
5,12,101697
5,13,108000
5,14,107205
5,15,101408
5,16,5915695
5,17,7317035
5,18,241839
5,19,5339576
5,20,5311867
5,21,368948
5,22,170832
5,23,175047
5,24,152962
5,25,149315
5,26,179759
5,27,148422
5,28,117355
5,29,108742
5,30,101783
5,31,101013
5,32,100869
5,33,161271
5,34,160143
5,35,148212
5,36,178266
5,37,117704
5,38,3062823
5,39,148764
5,40,3066593
5,41,178093
5,42,3018383
5,43,172042
5,44,136753
5,45,139505
5,46,188093
5,47,189963
5,48,172499
5,49,159311
5,50,167107
5,51,162330
5,52,223766
5,53,155829
5,54,153530
5,55,3771114
5,56,212787
5,57,3140717
5,58,219125
5,59,4377215
5,60,220367
5,61,167304
5,62,195254
5,63,3712825
5,64,190519
5,65,3633105
5,66,244863
5,67,189085
5,68,153322
5,69,8408468
5,70,317740
5,71,146560
5,72,152744
5,73,148351
5,74,147265
5,75,147113
5,76,135755
5,77,150539
5,78,144702
5,79,146457
5,80,143581
5,81,5797748
5,82,214076
5,83,4448602
5,84,208712
5,85,184306
5,86,7519195
5,87,208226
5,88,146456
5,89,134760
5,90,156826
5,91,152316
5,92,147207
5,93,145418
5,94,6358587
5,95,199922
5,96,5624333
5,97,220817
5,98,142347
5,99,5462952
5,100,4073854
