iteration,operation,ns
1,1,2027471
1,2,155956
1,3,294071
1,4,122988
1,5,127953
1,6,113598
1,7,76565
1,8,117501540
1,9,141343
1,10,155130
1,11,2843804
1,12,138811
1,13,121485
1,14,109732
1,15,103747
1,16,104860
1,17,143590
1,18,87700
1,19,59466301
1,20,182104
1,21,121233
1,22,147088
1,23,402964342
1,24,2472210
1,25,106227
1,26,178653
1,27,117949
1,28,126574
1,29,107356
1,30,130525
1,31,103531
1,32,180237791
1,33,2302424
1,34,224517
1,35,98311
1,36,130375
1,37,129618
1,38,139534
1,39,299533
1,40,127258
1,41,95458
1,42,110991952
1,43,355438160
1,44,175792
1,45,186482
1,46,126175
1,47,111638
1,48,112178
1,49,110856
1,50,151908
1,51,119953
1,52,103087
1,53,138166
1,54,63087
1,55,89204
1,56,77910
1,57,2239308
1,58,145984
1,59,127144
1,60,1149254
1,61,122880
1,62,56144730
1,63,630041
1,64,86671
1,65,183385
1,66,110236
1,67,86595
1,68,396487602
1,69,349057
1,70,104824
1,71,162819
1,72,120888
1,73,177822809
1,74,183365
1,75,111066
1,76,395910003
1,77,221793
1,78,115380
1,79,117425
1,80,125091
1,81,55062482
1,82,109250
1,83,70718
1,84,120662
1,85,121268
1,86,72549
1,87,62068
1,88,88059
1,89,94929
1,90,112735
1,91,69876
1,92,355360569
1,93,152185
1,94,115345
1,95,155103
1,96,98870
1,97,1106345
1,98,180231
1,99,72897
1,100,98444
1,101,104651
1,102,84303
1,103,354947594
1,104,115574
1,105,200815
1,106,200409
1,107,149178
1,108,112146
1,109,112961
1,110,101857
1,111,121901
1,112,90038
1,113,103582
1,114,116503
1,115,108969335
1,116,106756
1,117,54653347
1,118,127629
1,119,791590901
1,120,320764
1,121,132047
1,122,131471
1,123,123268
1,124,128663
1,125,105350
1,126,85525
1,127,99052
1,128,85375
1,129,80199
1,130,77859
1,131,78865
1,132,93676
1,133,71893
1,134,90598
1,135,62200
1,136,70837
1,137,55012
1,138,179210522
1,139,101018
1,140,355469298
1,141,4159164
1,142,137808
1,143,114422
1,144,100273
1,145,101658
1,146,97982
1,147,73629
1,148,59715
1,149,81682
1,150,79348
1,151,55600
1,152,79719
1,153,86258
1,154,82327
1,155,63207
1,156,96779
1,157,129075
1,158,89606
1,159,78636
1,160,60801
1,161,82180
1,162,61748
1,163,112303
1,164,110460
1,165,98104
1,166,77740
1,167,358014295
1,168,164698
1,169,120469
1,170,97646
1,171,132714
1,172,169114
1,173,108223266
1,174,122090
1,175,1889631
1,176,93125
1,177,203633
1,178,163871
1,179,111076552
1,180,137645
1,181,108051659
1,182,139178
1,183,145880
1,184,121646
1,185,124792
1,186,130915
1,187,90752
1,188,130216
1,189,102913
1,190,126294
1,191,97754
1,192,125717
1,193,97655
1,194,121738
1,195,85337
1,196,84610
1,197,178410269
1,198,2691993
1,199,241688
1,200,135333
1,201,128380
1,202,115413
1,203,115382
1,204,116080
1,205,104478
1,206,153430
1,207,89181
1,208,145563
1,209,114065
1,210,138020
1,211,133882
1,212,120416
1,213,87669
1,214,87313
1,215,355512052
1,216,110811
1,217,139503
1,218,101668
1,219,178873
1,220,180642843
1,221,177908211
1,222,245550
1,223,287348
1,224,109520
1,225,127611
1,226,103556
1,227,96669
1,228,87687
1,229,129398
1,230,1309010
1,231,110649
1,232,132985
1,233,91199
1,234,152129
1,235,97070
1,236,89914
1,237,103934
1,238,396144277
1,239,210174
1,240,131889
1,241,93617
1,242,90057
1,243,124338
1,244,85632
1,245,93866
1,246,123754
1,247,106883
1,248,143204
1,249,398731979
1,250,198497
1,251,117154
1,252,117632
1,253,102520
1,254,107862427
1,255,160419
1,256,119628
1,257,119321
1,258,85715
1,259,791405661
1,260,179820
1,261,133189
1,262,115599
1,263,180184816
1,264,4529085
1,265,134257
1,266,355253889
1,267,132666
1,268,373631742
1,269,167443
1,270,143549
1,271,113429
1,272,110285
1,273,99019
1,274,84644
1,275,101526
1,276,82088
1,277,83476
1,278,794411438
1,279,135608
1,280,139407
1,281,4243084
1,282,100348
1,283,103052
1,284,87457
1,285,83671
1,286,83335
1,287,101032
1,288,117379
1,289,85227
1,290,59033
1,291,85354
1,292,794267996
1,293,396222019
1,294,111452272
1,295,106651
1,296,107060
1,297,181421643
1,298,6835902
1,299,106425
1,300,538157
2,1,482689
2,2,101775
2,3,2228226
2,4,54988205
2,5,174989
2,6,113034
2,7,87496
2,8,83382
2,9,85632
2,10,4087629
2,11,136044
2,12,149776
2,13,115575
2,14,147535
2,15,182779570
2,16,179395070
2,17,225744
2,18,108216
2,19,177493169
2,20,137888
2,21,395779218
2,22,201220
2,23,173309
2,24,114664
2,25,103112
2,26,98752
2,27,115792
2,28,96328
2,29,86358
2,30,175743
2,31,95997
2,32,87032
2,33,112328
2,34,89591
2,35,94249
2,36,102678
2,37,56454774
2,38,116939
2,39,1819277
2,40,108245
2,41,87221
2,42,180952595
2,43,183893
2,44,126380
2,45,155224
2,46,112043
2,47,126232
2,48,793156165
2,49,131537
2,50,139254
2,51,4831802
2,52,97485
2,53,137252
2,54,97174
2,55,118706
2,56,62517
2,57,2055896
2,58,177944720
2,59,218503
2,60,135748
2,61,198008
2,62,111236717
2,63,106193
2,64,152942
2,65,178468314
2,66,206035
2,67,102950
2,68,115652
2,69,127611
2,70,112070
2,71,126148
2,72,123588
2,73,111083
2,74,107302
2,75,91749
2,76,117439474
2,77,144750
2,78,93003
2,79,791114302
2,80,157041
2,81,1257571
2,82,141714
2,83,131000
2,84,129778
2,85,358429047
2,86,127245
2,87,87628
2,88,158124
2,89,1258122
2,90,180000880
2,91,303419
2,92,132871
2,93,118417
2,94,1018405
2,95,137537
2,96,109146
2,97,97911
2,98,127006
2,99,83568
2,100,138138
2,101,102113
2,102,98827
2,103,57555
2,104,51659
2,105,69099
2,106,52743
2,107,50497
2,108,99812
2,109,99423
2,110,53902
2,111,54827378
2,112,232506
2,113,142460
2,114,84896
2,115,65809
2,116,63232
2,117,95664
2,118,61937
2,119,84504
2,120,52924
2,121,110463
2,122,126358
2,123,794262478
2,124,142790
2,125,225309
2,126,54360030
2,127,363775821
2,128,113871
2,129,267404
2,130,88609
2,131,114736
2,132,365226780
2,133,277411
2,134,105141
2,135,86661
2,136,118886
2,137,190585126
2,138,253731
2,139,114011
2,140,86316
2,141,78280
2,142,86107
2,143,76423
2,144,75447
2,145,59616
2,146,111041079
2,147,130057
2,148,105570
2,149,106786
2,150,112932
2,151,106488
2,152,794984322
2,153,796602758
2,154,100661
2,155,200156
2,156,71736
2,157,51066
2,158,113232416
2,159,109133878
2,160,108615488
2,161,117079
2,162,4164222
2,163,122993
2,164,122788
2,165,76961
2,166,140647
2,167,89884
2,168,2349354
2,169,82485
2,170,71668
2,171,118975
2,172,60378
2,173,81919
2,174,54613
2,175,53651
2,176,355043738
2,177,164202
2,178,106722
2,179,104130
2,180,113454
2,181,103805
2,182,89886
2,183,153364
2,184,100661
2,185,359360751
2,186,110240
2,187,98738
2,188,101269
2,189,104336
2,190,113867926
2,191,183807801
2,192,183180
2,193,129856
2,194,354882999
2,195,185774
2,196,354924633
2,197,108493088
2,198,133830
2,199,55773599
2,200,313222
2,201,117578
2,202,107049
2,203,80138
2,204,177429421
2,205,231417
2,206,86275
2,207,99297
2,208,155974
2,209,97613
2,210,134122
2,211,3105447
2,212,125469
2,213,142901
2,214,133632
2,215,66097
2,216,91601
2,217,84799
2,218,90287
2,219,87078
2,220,71687
2,221,64825
2,222,51222
2,223,98516
2,224,360246921
2,225,173948
2,226,182433469
2,227,186447
2,228,142956
2,229,127521
2,230,109759
2,231,105213
2,232,97065
2,233,93400
2,234,120247
2,235,359738563
2,236,130367
2,237,136132
2,238,124180
2,239,129031
2,240,791518709
2,241,4422209
2,242,213865
2,243,120826
2,244,110697296
2,245,215642
2,246,55373966
2,247,153022
2,248,354447706
2,249,177860283
2,250,332582
2,251,101929
2,252,54536822
2,253,130357
2,254,89555
2,255,110561
2,256,53245
2,257,77548
2,258,55335
2,259,50500
2,260,80613
2,261,72765
2,262,51784
2,263,125321
2,264,53151
2,265,1725346
2,266,1600346
2,267,69648
2,268,100294
2,269,98767
2,270,4314430
2,271,790734085
2,272,102894
2,273,91626
2,274,179184
2,275,90291
2,276,85214
2,277,58436
2,278,52136
2,279,80699
2,280,234756
2,281,88674
2,282,108628986
2,283,184054
2,284,154317
2,285,794221487
2,286,137929
2,287,261310
2,288,99311
2,289,790973074
2,290,214357
2,291,802127306
2,292,190407
2,293,129391
2,294,103276
2,295,138688
2,296,91767
2,297,53501
2,298,84239
2,299,790521173
2,300,164826
3,1,53895688
3,2,1174876
3,3,126920
3,4,117754
3,5,113342
3,6,55547025
3,7,156478
3,8,184183
3,9,796016527
3,10,395919720
3,11,384818
3,12,794723183
3,13,140169
3,14,94621
3,15,181867575
3,16,293484
3,17,130357
3,18,124747
3,19,129291
3,20,115298
3,21,101087
3,22,78252
3,23,50929
3,24,78386
3,25,790997850
3,26,144498
3,27,138996
3,28,359132969
3,29,2721970
3,30,223395
3,31,116728
3,32,110371
3,33,90893
3,34,56139716
3,35,109761
3,36,103570
3,37,3928803
3,38,61606
3,39,88332
3,40,80901
3,41,94901
3,42,110098053
3,43,103084
3,44,121610
