iteration,operation,ns
1,1,496398
1,2,222380
1,3,154761
1,4,145355
1,5,144923
1,6,212311490
1,7,264386
1,8,191427
1,9,152794
1,10,104073
1,11,140088
1,12,103277
1,13,236972
1,14,138135
1,15,137999
1,16,144318
1,17,149933
1,18,137331
1,19,150813
1,20,206114
1,21,169894
1,22,424010
1,23,160290
1,24,113447
1,25,327212
1,26,116573
1,27,100855
1,28,315205
1,29,205907
1,30,261568331
1,31,157716947
1,32,277794
1,33,130544
1,34,123542
1,35,231912
1,36,151092228
1,37,254057
1,38,167634653
1,39,221098
1,40,159295
1,41,110703
1,42,133501
1,43,122969
1,44,116790
1,45,121044
1,46,110533
1,47,97969
1,48,111493841
1,49,246963
1,50,174472788
1,51,238090650
1,52,204255939
1,53,151073033
1,54,268774
1,55,131478
1,56,176426634
1,57,244595926
1,58,238545
1,59,241791
1,60,119876340
1,61,304373
1,62,132791
1,63,77155
1,64,236234107
1,65,254529
1,66,161037
1,67,162349
1,68,247248
1,69,126577
1,70,112750
1,71,109539
1,72,96888
1,73,98091
1,74,217540
1,75,131175
1,76,107949
1,77,98448
1,78,107189337
1,79,94515094
1,80,158088337
1,81,252572
1,82,109309
1,83,92234
1,84,82155
1,85,87566
1,86,92062
1,87,89070
1,88,90227
1,89,127461457
1,90,274407
1,91,94871
1,92,83269
1,93,80177
1,94,101746050
1,95,276257
1,96,58080688
1,97,98675185
1,98,239959
1,99,63375857
1,100,286227
2,1,292992
2,2,160712
2,3,169914
2,4,184831
2,5,136996
2,6,100774315
2,7,1810151
2,8,68622458
2,9,248498
2,10,108632
2,11,121816
2,12,74972025
2,13,164708743
2,14,225891
2,15,216603
2,16,215404
2,17,233499
2,18,197928
2,19,105670
2,20,128263786
2,21,226942
2,22,91857
2,23,79072
2,24,79992
2,25,129344972
2,26,283948
2,27,198379132
2,28,237248
2,29,110117
2,30,87709
2,31,99849
2,32,91818
2,33,84791
2,34,173267367
2,35,247508
2,36,110943
2,37,92541
2,38,84248
2,39,84885
2,40,91055
2,41,104100
2,42,131399
2,43,88161
2,44,84538
2,45,110325
2,46,121486817
2,47,447877
2,48,197040
2,49,83020
2,50,154372477
2,51,570696
2,52,104562485
2,53,248852
2,54,165821
2,55,104974
2,56,136871174
2,57,212900
2,58,149166
2,59,312285
2,60,1873278
2,61,117572
2,62,114050
2,63,202633748
2,64,129549494
2,65,291820
2,66,220978
2,67,93819
2,68,109495
2,69,109770
2,70,102935
2,71,139569804
2,72,228171
2,73,93422
2,74,80314094
2,75,266270
2,76,80449707
2,77,207791
2,78,67396
2,79,59264
2,80,51368
2,81,50560
2,82,84215
2,83,54820
2,84,50394
2,85,50288
2,86,60728
2,87,133120617
2,88,207020
2,89,83709
2,90,84876
2,91,103107
2,92,79420
2,93,73905
2,94,105094789
2,95,260057
2,96,112495
2,97,97238
2,98,112755
2,99,169916
2,100,106172
3,1,1291022
3,2,263727
3,3,287815
3,4,136931578
3,5,331955
3,6,65324565
3,7,227521
3,8,129882
3,9,133915
3,10,117956
3,11,99747
3,12,85004
3,13,88933
3,14,90033
3,15,99149
3,16,106190
3,17,83533120
3,18,155810784
3,19,125518095
3,20,229924
3,21,100798
3,22,117098
3,23,127384658
3,24,290781
3,25,88413
3,26,135841186
3,27,207264
