iteration,operation,ns
1,1,2473889
1,2,4668674
1,3,3978237
1,4,431759
1,5,307719
1,6,270475
1,7,7715778
1,8,320756
1,9,186558
1,10,185105
1,11,6866266
1,12,2532200
1,13,449720
1,14,180597
1,15,36895981
1,16,163454
1,17,80844
1,18,47223
1,19,45651
1,20,41241
1,21,44616
1,22,41492
1,23,50445
1,24,43007
1,25,34672307
1,26,149208
1,27,86427
1,28,64469
1,29,28926641
1,30,171832
1,31,44445673
1,32,164969
1,33,84723
1,34,54920
1,35,43774
1,36,321254
1,37,129727
1,38,78429
1,39,61595
1,40,599555
1,41,163046
1,42,95934
1,43,199998
1,44,69652
1,45,52223
1,46,72832
1,47,68730
1,48,49299
1,49,43347
1,50,53946
1,51,42799
1,52,39616
1,53,46089782
1,54,242448
1,55,225760
1,56,215232
1,57,39876374
1,58,158535
1,59,66329
1,60,45651
1,61,30879488
1,62,175841
1,63,13615061
1,64,186325
1,65,294700
1,66,183951
1,67,90817
1,68,69505
1,69,70178
1,70,69395
1,71,130674
1,72,65769
1,73,54791
1,74,60648
1,75,53640
1,76,54604
1,77,50519
1,78,50965
1,79,50676
1,80,81810
1,81,13828832
1,82,9448659
1,83,419931
1,84,199471
1,85,113678
1,86,83475
1,87,155778
1,88,290143
1,89,148624
1,90,30994014
1,91,223988
1,92,62532763
1,93,143621
1,94,114733
1,95,49673
1,96,48022
1,97,46563
1,98,50339116
1,99,198814
1,100,86851
1,101,69317
1,102,7015265
1,103,3504570
1,104,163953
1,105,61004
1,106,53394
1,107,43801
1,108,12806599
1,109,163154
1,110,94505
1,111,55448
1,112,45191
1,113,41707
1,114,31398113
1,115,145089
1,116,43835952
1,117,143721
1,118,13966237
1,119,314739
1,120,161362
1,121,90785
1,122,50905
1,123,43070
1,124,48296129
1,125,140467
1,126,32072698
1,127,179988
1,128,258350
1,129,22427974
1,130,158618
1,131,38130940
1,132,174810
1,133,394968
1,134,172279
1,135,86504
1,136,51041
1,137,43145
1,138,42829
